CUCUÍ	-66.853	1.215
    22     5  1984     4424.080000
    23     5  1984     4874.440000
    24     5  1984     5300.080000
    25     5  1984     5557.130000
    26     5  1984     5769.570000
    27     5  1984     5936.110000
    28     5  1984     6188.020000
    29     5  1984     6613.320000
    30     5  1984     6822.300000
    31     5  1984     6884.060000
     1     6  1984     6958.350000
     2     6  1984     7119.940000
     3     6  1984     7269.890000
     4     6  1984     7408.000000
     5     6  1984     7496.200000
     6     6  1984     7572.010000
     7     6  1984     7647.990000
     8     6  1984     7711.450000
     9     6  1984     7889.790000
    10     6  1984     7851.490000
    11     6  1984     7902.570000
    12     6  1984     7979.330000
    13     6  1984     8081.950000
    14     6  1984     8262.280000
    15     6  1984     8391.670000
    16     6  1984     8495.520000
    17     6  1984     8560.580000
    18     6  1984     8599.680000
    19     6  1984     8599.680000
    20     6  1984     8638.810000
    21     6  1984     8677.990000
    22     6  1984     8677.990000
    23     6  1984     8625.760000
    24     6  1984     8599.680000
    25     6  1984     8547.560000
    26     6  1984     8521.530000
    27     6  1984     8469.530000
    28     6  1984     8430.580000
    29     6  1984     8430.580000
    30     6  1984     8456.540000
     1     7  1984     8495.520000
     2     7  1984     8495.520000
     3     7  1984     8495.520000
     4     7  1984     8521.530000
     5     7  1984     8586.640000
     6     7  1984     8704.140000
     7     7  1984     8769.580000
     8     7  1984     8861.390000
     9     7  1984     8887.660000
    10     7  1984     8900.800000
    11     7  1984     8913.950000
    12     7  1984     8874.520000
    13     7  1984     8808.900000
    14     7  1984     8717.210000
    15     7  1984     8664.930000
    16     7  1984     8651.870000
    17     7  1984     8612.720000
    18     7  1984     8599.680000
    19     7  1984     8586.640000
    20     7  1984     8573.610000
    21     7  1984     8534.540000
    22     7  1984     8521.530000
    23     7  1984     8521.530000
    24     7  1984     8495.520000
    25     7  1984     8430.580000
    26     7  1984     8262.280000
    27     7  1984     8210.660000
    28     7  1984     8223.560000
    29     7  1984     8236.460000
    30     7  1984     8249.370000
    31     7  1984     8223.560000
     1     8  1984     8223.560000
     2     8  1984     8171.990000
     3     8  1984     8133.370000
     4     8  1984     8069.100000
     5     8  1984     8004.950000
     6     8  1984     7928.130000
     7     8  1984     7864.260000
     8     8  1984     7877.020000
     9     8  1984     7915.350000
    10     8  1984     7928.130000
    11     8  1984     7940.930000
    12     8  1984     7966.520000
    13     8  1984     8056.260000
    14     8  1984     8107.650000
    15     8  1984     8120.510000
    16     8  1984     8133.370000
    17     8  1984     8120.510000
    18     8  1984     8197.770000
    19     8  1984     8365.750000
    20     8  1984     8521.530000
    21     8  1984     8599.680000
    22     8  1984     8612.720000
    23     8  1984     8586.640000
    24     8  1984     8547.560000
    25     8  1984     8495.520000
    26     8  1984     8469.530000
    27     8  1984     8456.540000
    28     8  1984     8417.600000
    29     8  1984     8313.980000
    30     8  1984     8210.660000
    31     8  1984     8094.800000
     1     9  1984     8056.260000
     2     9  1984     7915.350000
     3     9  1984     7825.990000
     4     9  1984     7673.360000
     5     9  1984     7496.200000
     6     9  1984     7294.960000
     7     9  1984     7057.690000
     8     9  1984     6846.990000
     9     9  1984     6674.630000
    10     9  1984     6588.840000
    11     9  1984     6539.940000
    12     9  1984     6442.390000
    13     9  1984     6418.060000
    14     9  1984     6405.900000
    15     9  1984     6405.900000
    16     9  1984     6393.750000
    17     9  1984     6405.900000
    18     9  1984     6478.930000
    19     9  1984     6650.090000
    20     9  1984     6723.770000
    21     9  1984     6686.900000
    22     9  1984     6662.350000
    23     9  1984     6564.380000
    24     9  1984     6491.120000
    25     9  1984     6418.060000
    26     9  1984     6333.080000
    27     9  1984     6236.280000
    28     9  1984     6103.770000
    29     9  1984     5971.950000
    30     9  1984     5852.700000
     1    10  1984     5545.380000
     2    10  1984     5358.250000
     3    10  1984     5218.910000
     4    10  1984     5068.950000
     5    10  1984     4931.460000
     6    10  1984     4794.880000
     7    10  1984     4670.490000
     8    10  1984     4569.300000
