SERINGALGUARANY	-69.417	-9.350
     7     5  1983       37.010000
     8     5  1983       42.430000
     9     5  1983       48.070000
    10     5  1983       50.980000
    11     5  1983       50.980000
    12     5  1983       50.330000
    13     5  1983       45.180000
    14     5  1983       44.070000
    15     5  1983       42.160000
    16     5  1983       27.160000
    17     5  1983       14.920000
    18     5  1983       10.420000
    19     5  1983        9.080000
    20     5  1983        9.690000
    21     5  1983       13.220000
    22     5  1983       17.800000
    23     5  1983       16.610000
    24     5  1983       17.960000
    25     5  1983       21.550000
    26     5  1983       19.860000
    27     5  1983       14.510000
    28     5  1983        9.580000
    29     5  1983        7.770000
    30     5  1983        7.860000
    31     5  1983        9.690000
     1     6  1983       19.540000
     2     6  1983       18.270000
     3     6  1983       16.320000
     4     6  1983       13.600000
     5     6  1983       10.420000
     6     6  1983       14.780000
     7     6  1983       22.780000
     8     6  1983       32.060000
     9     6  1983       37.750000
    10     6  1983       40.830000
    11     6  1983       49.360000
    12     6  1983       49.680000
    13     6  1983       41.090000
    14     6  1983       30.730000
    15     6  1983       20.360000
    16     6  1983       11.190000
    17     6  1983        7.340000
    18     6  1983        4.920000
    19     6  1983        3.720000
    20     6  1983        3.350000
    21     6  1983        3.100000
    22     6  1983        2.960000
    23     6  1983        2.820000
    24     6  1983        2.640000
    25     6  1983        2.820000
    26     6  1983        2.340000
    27     6  1983        2.150000
    28     6  1983        1.930000
    29     6  1983        1.790000
    30     6  1983        1.690000
     1     7  1983        1.620000
     2     7  1983        1.560000
     3     7  1983        1.560000
     4     7  1983        1.560000
     5     7  1983        1.470000
     6     7  1983        1.330000
     7     7  1983        1.270000
     8     7  1983        1.270000
     9     7  1983        1.270000
    10     7  1983        1.300000
    11     7  1983        1.270000
    12     7  1983        1.220000
    13     7  1983        1.170000
    14     7  1983        1.140000
    15     7  1983        1.110000
    16     7  1983        1.040000
    17     7  1983        1.040000
    18     7  1983        1.070000
    19     7  1983        1.040000
    20     7  1983        1.020000
    21     7  1983        1.020000
    22     7  1983        0.970000
    23     7  1983        1.190000
    24     7  1983        4.000000
    25     7  1983        4.360000
    26     7  1983        3.450000
    27     7  1983        3.050000
    28     7  1983        2.510000
    29     7  1983        2.040000
    30     7  1983        1.820000
    31     7  1983        1.530000
     1     8  1983        1.440000
     2     8  1983        1.330000
     3     8  1983        1.240000
     4     8  1983        1.140000
     5     8  1983        1.110000
     6     8  1983        1.350000
     7     8  1983        1.470000
     8     8  1983        1.350000
     9     8  1983        1.240000
    10     8  1983        1.170000
    11     8  1983        1.070000
    12     8  1983        1.020000
    13     8  1983        0.930000
    14     8  1983        0.910000
    15     8  1983        0.880000
    16     8  1983        0.840000
    17     8  1983        0.820000
    18     8  1983        0.780000
    19     8  1983        0.760000
    20     8  1983        0.740000
    21     8  1983        0.720000
    22     8  1983        0.700000
    23     8  1983        0.700000
    24     8  1983        0.690000
    25     8  1983        0.670000
    26     8  1983        0.650000
    27     8  1983        0.650000
    28     8  1983        0.630000
    29     8  1983        0.820000
    30     8  1983        0.780000
    31     8  1983        0.700000
