SERINGALSÃOJOSÉ	-68.718	-9.319
     5     7  1985       22.170000
     6     7  1985       22.170000
     7     7  1985       22.170000
     8     7  1985       20.620000
     9     7  1985       20.250000
    10     7  1985       19.870000
    11     7  1985       18.390000
    12     7  1985       28.380000
    13     7  1985       46.810000
    14     7  1985       37.120000
    15     7  1985       29.250000
    16     7  1985       22.960000
    17     7  1985       21.390000
    18     7  1985       18.760000
    19     7  1985       16.960000
    20     7  1985       17.670000
    21     7  1985       16.260000
    22     7  1985       15.920000
    23     7  1985       14.910000
    24     7  1985       14.910000
    25     7  1985       14.570000
    26     7  1985       14.240000
    27     7  1985       14.240000
    28     7  1985       13.600000
    29     7  1985       13.280000
    30     7  1985       13.600000
    31     7  1985       13.280000
     1     8  1985       12.960000
     2     8  1985       18.390000
     3     8  1985       16.260000
     4     8  1985       16.260000
     5     8  1985       17.310000
     6     8  1985       19.490000
     7     8  1985       22.960000
     8     8  1985       21.390000
     9     8  1985       17.310000
    10     8  1985       14.910000
    11     8  1985       13.600000
    12     8  1985       12.650000
    13     8  1985       12.340000
    14     8  1985       11.730000
    15     8  1985       11.130000
    16     8  1985       10.540000
    17     8  1985       10.260000
    18     8  1985       10.540000
    19     8  1985       12.960000
    20     8  1985       14.240000
    21     8  1985       13.280000
    22     8  1985       12.340000
    23     8  1985       11.730000
    24     8  1985       13.600000
    25     8  1985       14.910000
    26     8  1985       18.390000
    27     8  1985       23.770000
    28     8  1985       20.620000
    29     8  1985       22.170000
    30     8  1985       20.620000
    31     8  1985       16.960000
     1     9  1985       18.390000
     2     9  1985       25.820000
     3     9  1985       40.080000
     4     9  1985       35.200000
     5     9  1985       26.240000
     6     9  1985       22.170000
     7     9  1985       19.120000
     8     9  1985       15.580000
     9     9  1985       13.600000
    10     9  1985       12.340000
    11     9  1985       11.730000
    12     9  1985       11.130000
    13     9  1985       10.540000
    14     9  1985        9.970000
    15     9  1985        9.690000
    16     9  1985        9.410000
    17     9  1985        9.410000
    18     9  1985        9.410000
    19     9  1985       10.540000
    20     9  1985       22.170000
    21     9  1985       22.170000
    22     9  1985       20.620000
    23     9  1985       19.870000
    24     9  1985       19.870000
    25     9  1985       19.870000
    26     9  1985       21.010000
    27     9  1985       28.820000
    28     9  1985       35.200000
    29     9  1985       30.590000
    30     9  1985       40.080000
     1    10  1985       57.990000
     2    10  1985       51.170000
     3    10  1985       39.090000
     4    10  1985       28.820000
     5    10  1985       26.240000
     6    10  1985      107.560000
     7    10  1985       99.300000
     8    10  1985       78.740000
     9    10  1985       65.780000
    10    10  1985       57.410000
    11    10  1985       49.520000
    12    10  1985       37.120000
    13    10  1985       26.660000
    14    10  1985       43.140000
    15    10  1985       44.170000
    16    10  1985       61.530000
    17    10  1985       67.010000
    18    10  1985       72.080000
    19    10  1985       59.160000
    20    10  1985       48.430000
    21    10  1985       51.720000
    22    10  1985       72.080000
    23    10  1985       59.750000
    24    10  1985       76.720000
    25    10  1985      103.780000
    26    10  1985      174.020000
    27    10  1985      154.300000
    28    10  1985      130.540000
    29    10  1985       89.150000
    30    10  1985       62.130000
    31    10  1985       48.430000
     1    11  1985       67.630000
     2    11  1985      223.110000
     3    11  1985      353.650000
     4    11  1985      264.790000
     5    11  1985      270.190000
     6    11  1985      198.460000
     7    11  1985      169.460000
     8    11  1985      187.970000
     9    11  1985      184.210000
    10    11  1985      152.550000
    11    11  1985      118.440000
    12    11  1985       99.300000
    13    11  1985      150.820000
    14    11  1985      613.140000
    15    11  1985      771.760000
    16    11  1985      790.140000
    17    11  1985      795.190000
    18    11  1985      730.800000
    19    11  1985      427.200000
    20    11  1985      288.860000
    21    11  1985      247.790000
    22    11  1985      217.090000
    23    11  1985      229.190000
    24    11  1985      199.430000
    25    11  1985      155.180000
    26    11  1985      203.300000
    27    11  1985      461.270000
    28    11  1985      680.000000
    29    11  1985      519.330000
    30    11  1985      436.280000
     1    12  1985      320.630000
     2    12  1985      200.390000
     3    12  1985      147.360000
