ESTIRÃODOREPOUSO	-70.933	-4.367
    20     4  1984     3717.160000
    21     4  1984     3729.850000
    22     4  1984     3742.550000
    23     4  1984     3772.250000
    24     4  1984     3814.830000
    25     4  1984     3853.310000
    26     4  1984     3879.040000
    27     4  1984     3896.230000
    28     4  1984     3922.070000
    29     4  1984     3939.330000
    30     4  1984     3956.620000
     1     5  1984     3965.270000
     2     5  1984     3973.940000
     3     5  1984     3995.620000
     4     5  1984     3999.970000
     5     5  1984     4008.660000
     6     5  1984     4017.360000
     7     5  1984     4039.130000
     8     5  1984     4056.590000
     9     5  1984     4069.700000
    10     5  1984     4078.450000
    11     5  1984     4078.450000
    12     5  1984     4091.580000
    13     5  1984     4104.730000
    14     5  1984     4131.080000
    15     5  1984     4175.140000
    16     5  1984     4201.660000
    17     5  1984     4228.240000
    18     5  1984     4246.000000
    19     5  1984     4272.690000
    20     5  1984     4263.780000
    21     5  1984     4250.440000
    22     5  1984     4237.120000
    23     5  1984     4223.810000
    24     5  1984     4183.970000
    25     5  1984     4131.080000
    26     5  1984     4069.700000
    27     5  1984     3978.270000
    28     5  1984     3891.930000
    29     5  1984     3806.300000
    30     5  1984     3734.080000
    31     5  1984     3696.060000
     1     6  1984     3679.200000
     2     6  1984     3658.180000
     3     6  1984     3591.210000
     4     6  1984     3520.570000
     5     6  1984     3466.900000
     6     6  1984     3397.190000
     7     6  1984     3307.780000
     8     6  1984     3239.300000
     9     6  1984     3183.310000
    10     6  1984     3135.610000
    11     6  1984     3100.020000
    12     6  1984     3072.440000
    13     6  1984     3029.290000
    14     6  1984     2932.080000
    15     6  1984     2820.820000
    16     6  1984     2696.200000
    17     6  1984     2621.700000
    18     6  1984     2581.070000
    19     6  1984     2562.680000
    20     6  1984     2551.660000
    21     6  1984     2540.670000
    22     6  1984     2548.000000
    23     6  1984     2555.330000
    24     6  1984     2566.350000
    25     6  1984     2577.380000
    26     6  1984     2640.250000
    27     6  1984     2684.970000
    28     6  1984     2636.540000
    29     6  1984     2592.130000
    30     6  1984     2559.000000
     1     7  1984     2522.390000
     2     7  1984     2402.980000
     3     7  1984     2289.280000
     4     7  1984     2177.660000
     5     7  1984     2051.250000
     6     7  1984     1944.230000
     7     7  1984     1858.880000
     8     7  1984     1794.210000
     9     7  1984     1736.740000
    10     7  1984     1695.680000
    11     7  1984     1651.880000
    12     7  1984     1620.850000
    13     7  1984     1596.190000
    14     7  1984     1568.620000
    15     7  1984     1544.260000
