FAZENDAPASSARÃO	-60.571	3.208
    25     1  1984      909.229000
    26     1  1984     1029.390000
    27     1  1984     1102.310000
    28     1  1984     1159.340000
    29     1  1984     1176.600000
    30     1  1984     1147.870000
    31     1  1984     1085.360000
     1     2  1984     1046.090000
     2     2  1984      996.207000
     3     2  1984     1147.870000
     4     2  1984     1199.730000
     5     2  1984     1217.160000
     6     2  1984     1240.510000
     7     2  1984     1193.940000
     8     2  1984     1125.030000
     9     2  1984      877.191000
    10     2  1984      803.701000
    11     2  1984      777.894000
    12     2  1984      604.082000
    13     2  1984      628.153000
    14     2  1984      613.679000
    15     2  1984      599.300000
    16     2  1984      599.300000
    17     2  1984      613.679000
    18     2  1984      618.493000
    19     2  1984      623.318000
    20     2  1984      642.720000
    21     2  1984      647.597000
    22     2  1984      628.153000
    23     2  1984      604.082000
    24     2  1984      732.041000
    25     2  1984      861.293000
    26     2  1984      871.882000
    27     2  1984      877.191000
    28     2  1984      887.835000
    29     2  1984      893.170000
     1     3  1984      850.739000
     2     3  1984      677.070000
     3     3  1984      594.528000
     4     3  1984      570.829000
     5     3  1984      566.122000
     6     3  1984      528.859000
     7     3  1984      430.164000
     8     3  1984      404.257000
     9     3  1984      408.543000
    10     3  1984      408.543000
    11     3  1984      408.543000
    12     3  1984      399.983000
    13     3  1984      370.425000
    14     3  1984      341.512000
    15     3  1984      313.266000
    16     3  1984      301.371000
    17     3  1984      262.671000
    18     3  1984      255.112000
    19     3  1984      258.884000
    20     3  1984      266.474000
    21     3  1984      266.474000
    22     3  1984      270.292000
    23     3  1984      266.474000
    24     3  1984      262.671000
    25     3  1984      270.292000
    26     3  1984      297.435000
    27     3  1984      309.287000
    28     3  1984      317.259000
    29     3  1984      333.372000
    30     3  1984      357.954000
    31     3  1984      374.609000
     1     4  1984      417.154000
     2     4  1984      469.850000
     3     4  1984      556.740000
     4     4  1984      542.750000
     5     4  1984      447.682000
     6     4  1984      399.983000
     7     4  1984      391.474000
     8     4  1984      362.098000
     9     4  1984      333.372000
    10     4  1984      301.371000
    11     4  1984      281.836000
    12     4  1984      251.355000
    13     4  1984      240.180000
    14     4  1984      225.503000
    15     4  1984      218.262000
    16     4  1984      203.980000
    17     4  1984      196.942000
    18     4  1984      193.448000
    19     4  1984      189.973000
    20     4  1984      200.452000
    21     4  1984      240.180000
    22     4  1984      262.671000
    23     4  1984      274.125000
    24     4  1984      270.292000
    25     4  1984      247.615000
    26     4  1984      240.180000
    27     4  1984      236.486000
    28     4  1984      236.486000
    29     4  1984      266.474000
    30     4  1984      538.108000
     1     5  1984      871.882000
     2     5  1984     1023.840000
     3     5  1984      985.214000
     4     5  1984      903.867000
     5     5  1984      783.037000
     6     5  1984      767.637000
     7     5  1984      711.913000
     8     5  1984      599.300000
     9     5  1984      528.859000
    10     5  1984      519.655000
    11     5  1984      783.037000
    12     5  1984     1001.720000
    13     5  1984     1217.160000
    14     5  1984      996.207000
    15     5  1984      914.600000
    16     5  1984      925.368000
