PALMEIRASDOJAVARI	-72.800	-5.133
    31     1  1984      607.260000
     1     2  1984      612.260000
     2     2  1984      675.980000
     3     2  1984      741.860000
     4     2  1984      785.130000
     5     2  1984      808.460000
     6     2  1984      819.520000
     7     2  1984      848.810000
     8     2  1984      896.980000
     9     2  1984      925.740000
    10     2  1984      954.820000
    11     2  1984      987.170000
    12     2  1984     1009.440000
    13     2  1984     1031.880000
    14     2  1984     1059.030000
    15     2  1984     1087.960000
    16     2  1984     1118.150000
    17     2  1984     1131.890000
    18     2  1984     1137.800000
    19     2  1984     1139.770000
    20     2  1984     1139.770000
    21     2  1984     1139.770000
    22     2  1984     1135.830000
    23     2  1984     1135.830000
    24     2  1984     1139.770000
    25     2  1984     1143.720000
    26     2  1984     1153.620000
    27     2  1984     1159.570000
    28     2  1984     1159.570000
    29     2  1984     1153.620000
     1     3  1984     1155.600000
     2     3  1984     1163.550000
     3     3  1984     1153.620000
     4     3  1984     1139.770000
     5     3  1984     1131.890000
     6     3  1984     1120.110000
     7     3  1984     1108.380000
     8     3  1984     1094.760000
     9     3  1984     1084.910000
    10     3  1984     1083.380000
    11     3  1984     1080.320000
    12     3  1984     1074.230000
    13     3  1984     1065.100000
    14     3  1984     1052.980000
    15     3  1984     1039.400000
    16     3  1984     1021.380000
    17     3  1984     1003.480000
    18     3  1984      969.480000
    19     3  1984      925.740000
    20     3  1984      830.640000
    21     3  1984      731.170000
    22     3  1984      645.120000
    23     3  1984      597.300000
    24     3  1984      575.090000
    25     3  1984      578.770000
    26     3  1984      580.000000
    27     3  1984      602.270000
    28     3  1984      634.940000
    29     3  1984      668.210000
    30     3  1984      709.970000
    31     3  1984      739.180000
     1     4  1984      757.980000
     2     4  1984      785.130000
     3     4  1984      829.240000
     4     4  1984      851.620000
     5     4  1984      874.190000
     6     4  1984      899.840000
     7     4  1984      908.450000
     8     4  1984      908.450000
     9     4  1984      905.570000
    10     4  1984      899.840000
    11     4  1984      925.740000
    12     4  1984      948.980000
    13     4  1984      969.480000
    14     4  1984      984.210000
    15     4  1984      988.650000
    16     4  1984      987.170000
    17     4  1984     1000.510000
    18     4  1984     1019.890000
    19     4  1984     1031.880000
    20     4  1984     1031.880000
    21     4  1984     1031.880000
    22     4  1984     1033.380000
    23     4  1984     1034.880000
    24     4  1984     1018.390000
    25     4  1984     1006.460000
    26     4  1984     1018.390000
    27     4  1984     1037.890000
    28     4  1984     1049.960000
    29     4  1984     1052.980000
    30     4  1984     1056.000000
     1     5  1984     1062.070000
     2     5  1984     1071.180000
     3     5  1984     1077.270000
     4     5  1984     1084.910000
     5     5  1984     1092.820000
     6     5  1984     1104.480000
     7     5  1984     1116.190000
     8     5  1984     1124.030000
     9     5  1984     1124.030000
    10     5  1984     1116.190000
    11     5  1984     1108.380000
    12     5  1984     1098.650000
    13     5  1984     1086.430000
    14     5  1984     1077.270000
    15     5  1984     1069.660000
    16     5  1984     1060.550000
    17     5  1984     1049.960000
    18     5  1984     1037.890000
    19     5  1984     1028.880000
    20     5  1984     1019.890000
    21     5  1984     1010.930000
    22     5  1984     1002.000000
    23     5  1984      990.130000
    24     5  1984      954.820000
    25     5  1984      908.450000
    26     5  1984      874.190000
    27     5  1984      832.030000
    28     5  1984      804.330000
    29     5  1984      796.080000
    30     5  1984      779.670000
    31     5  1984      753.940000
     1     6  1984      725.850000
     2     6  1984      683.770000
     3     6  1984      642.570000
     4     6  1984      617.280000
     5     6  1984      577.550000
     6     6  1984      533.960000
     7     6  1984      497.400000
     8     6  1984      529.200000
     9     6  1984      559.240000
    10     6  1984      556.820000
    11     6  1984      555.610000
    12     6  1984      544.750000
    13     6  1984      507.920000
    14     6  1984      484.640000
    15     6  1984      493.910000
    16     6  1984      520.890000
    17     6  1984      542.350000
    18     6  1984      544.750000
    19     6  1984      539.950000
    20     6  1984      525.630000
    21     6  1984      505.580000
    22     6  1984      475.440000
    23     6  1984      462.880000
    24     6  1984      475.440000
    25     6  1984      470.860000
    26     6  1984      451.570000
    27     6  1984      430.350000
    28     6  1984      404.050000
    29     6  1984      394.340000
    30     6  1984      393.270000
     1     7  1984      366.750000
     2     7  1984      334.780000
     3     7  1984      311.720000
     4     7  1984      296.990000
     5     7  1984      287.320000
     6     7  1984      281.560000
     7     7  1984      316.680000
     8     7  1984      378.340000
     9     7  1984      388.980000
    10     7  1984      367.800000
    11     7  1984      340.890000
    12     7  1984      321.680000
    13     7  1984      320.680000
    14     7  1984      321.680000
    15     7  1984      320.680000
    16     7  1984      313.700000
    17     7  1984      314.700000
    18     7  1984      344.980000
    19     7  1984      422.620000
    20     7  1984      468.580000
    21     7  1984      472.000000
    22     7  1984      457.210000
    23     7  1984      437.010000
    24     7  1984      414.940000
    25     7  1984      381.520000
    26     7  1984      337.830000
    27     7  1984      298.940000
    28     7  1984      257.970000
    29     7  1984      215.650000
    30     7  1984      188.590000
    31     7  1984      172.860000
     1     8  1984      166.430000
     2     8  1984      153.150000
     3     8  1984      140.400000
     4     8  1984      133.860000
     5     8  1984      150.100000
     6     8  1984      203.220000
     7     8  1984      240.610000
     8     8  1984      216.550000
     9     8  1984      182.720000
    10     8  1984      157.000000
    11     8  1984      148.590000
    12     8  1984      176.940000
    13     8  1984      247.300000
    14     8  1984      258.950000
    15     8  1984      268.300000
    16     8  1984      276.800000
    17     8  1984      277.750000
    18     8  1984      274.900000
    19     8  1984      249.220000
    20     8  1984      232.150000
    21     8  1984      267.360000
    22     8  1984      323.680000
    23     8  1984      336.810000
    24     8  1984      334.780000
    25     8  1984      336.810000
    26     8  1984      386.840000
    27     8  1984      468.580000
    28     8  1984      464.020000
    29     8  1984      427.030000
    30     8  1984      372.000000
    31     8  1984      316.680000
     1     9  1984      265.480000
     2     9  1984      222.000000
     3     9  1984      190.290000
     4     9  1984      198.000000
     5     9  1984      202.340000
     6     9  1984      189.440000
     7     9  1984      176.120000
     8     9  1984      169.630000
     9     9  1984      186.910000
    10     9  1984      239.670000
    11     9  1984      262.680000
    12     9  1984      265.480000
    13     9  1984      274.900000
    14     9  1984      292.140000
    15     9  1984      282.520000
    16     9  1984      268.300000
    17     9  1984      253.090000
    18     9  1984      253.090000
    19     9  1984      247.300000
    20     9  1984      226.590000
    21     9  1984      203.220000
    22     9  1984      176.120000
    23     9  1984      157.000000
    24     9  1984      143.350000
    25     9  1984      133.140000
    26     9  1984      128.870000
    27     9  1984      122.600000
    28     9  1984      133.860000
    29     9  1984      141.870000
    30     9  1984      137.470000
     1    10  1984      126.060000
     2    10  1984      120.540000
     3    10  1984      131.710000
     4    10  1984      143.350000
     5    10  1984      149.340000
     6    10  1984      155.460000
     7    10  1984      181.060000
     8    10  1984      226.590000
     9    10  1984      249.220000
    10    10  1984      262.680000
    11    10  1984      266.420000
    12    10  1984      276.800000
    13    10  1984      308.760000
    14    10  1984      357.360000
    15    10  1984      398.650000
    16    10  1984      458.350000
    17    10  1984      627.350000
    18    10  1984      741.860000
    19    10  1984      774.230000
    20    10  1984      767.450000
    21    10  1984      745.880000
    22    10  1984      719.220000
    23    10  1984      677.270000
    24    10  1984      645.120000
    25    10  1984      626.090000
    26    10  1984      624.830000
    27    10  1984      621.050000
    28    10  1984      602.270000
    29    10  1984      575.090000
    30    10  1984      535.160000
    31    10  1984      500.900000
     1    11  1984      464.020000
     2    11  1984      410.570000
     3    11  1984      365.700000
     4    11  1984      347.030000
     5    11  1984      325.690000
     6    11  1984      300.900000
     7    11  1984      270.180000
     8    11  1984      254.070000
     9    11  1984      262.680000
    10    11  1984      272.060000
    11    11  1984      281.560000
    12    11  1984      280.610000
    13    11  1984      271.120000
    14    11  1984      264.550000
    15    11  1984      271.120000
    16    11  1984      291.170000
    17    11  1984      326.690000
    18    11  1984      355.290000
    19    11  1984      359.440000
    20    11  1984      406.220000
    21    11  1984      430.350000
    22    11  1984      454.950000
    23    11  1984      454.950000
    24    11  1984      452.700000
    25    11  1984      482.340000
    26    11  1984      533.960000
    27    11  1984      619.790000
    28    11  1984      688.980000
    29    11  1984      724.520000
    30    11  1984      763.390000
     1    12  1984      829.240000
     2    12  1984      878.450000
     3    12  1984      891.260000
     4    12  1984      932.980000
     5    12  1984      968.010000
     6    12  1984      984.210000
     7    12  1984     1003.480000
     8    12  1984     1022.880000
     9    12  1984     1040.900000
    10    12  1984     1059.030000
    11    12  1984     1075.750000
    12    12  1984     1120.110000
    13    12  1984     1147.670000
    14    12  1984     1171.520000
    15    12  1984     1183.520000
    16    12  1984     1195.570000
    17    12  1984     1199.600000
    18    12  1984     1207.670000
    19    12  1984     1221.850000
    20    12  1984     1223.880000
    21    12  1984     1215.760000
    22    12  1984     1201.610000
    23    12  1984     1177.510000
    24    12  1984     1143.720000
    25    12  1984     1106.430000
    26    12  1984     1080.320000
    27    12  1984     1049.960000
    28    12  1984     1034.880000
    29    12  1984     1028.880000
    30    12  1984     1025.880000
    31    12  1984     1019.890000
     1     1  1985     1022.880000
     2     1  1985     1024.380000
     3     1  1985     1024.380000
     4     1  1985     1019.890000
     5     1  1985     1004.970000
     6     1  1985      969.480000
     7     1  1985      914.200000
     8     1  1985      840.400000
     9     1  1985      739.180000
    10     1  1985      632.410000
    11     1  1985      510.270000
    12     1  1985      421.520000
    13     1  1985      327.700000
    14     1  1985      316.680000
    15     1  1985      388.980000
    16     1  1985      457.210000
    17     1  1985      505.580000
    18     1  1985      514.980000
    19     1  1985      498.560000
    20     1  1985      469.720000
    21     1  1985      393.270000
    22     1  1985      308.760000
    23     1  1985      253.090000
    24     1  1985      212.060000
    25     1  1985      181.060000
    26     1  1985      153.920000
    27     1  1985      126.760000
    28     1  1985      113.790000
    29     1  1985      103.380000
    30     1  1985       98.360000
    31     1  1985       94.670000
     1     2  1985       91.040000
     2     2  1985       88.070000
     3     2  1985       84.570000
     4     2  1985       82.840000
     5     2  1985       81.700000
     6     2  1985       77.210000
     7     2  1985       77.210000
     8     2  1985       80.570000
     9     2  1985       91.040000
    10     2  1985      141.870000
    11     2  1985      297.970000
    12     2  1985      359.440000
    13     2  1985      374.110000
    14     2  1985      364.660000
    15     2  1985      369.900000
    16     2  1985      397.570000
    17     2  1985      391.120000
    18     2  1985      401.890000
    19     2  1985      467.440000
    20     2  1985      533.960000
    21     2  1985      618.530000
    22     2  1985      760.680000
    23     2  1985      820.910000
    24     2  1985      823.680000
    25     2  1985      781.030000
    26     2  1985      708.650000
    27     2  1985      603.510000
    28     2  1985      496.240000
     1     3  1985      399.730000
     2     3  1985      332.750000
     3     3  1985      295.050000
     4     3  1985      368.850000
     5     3  1985      522.070000
     6     3  1985      629.880000
     7     3  1985      704.700000
     8     3  1985      760.680000
     9     3  1985      801.570000
    10     3  1985      836.210000
    11     3  1985      854.430000
    12     3  1985      864.290000
    13     3  1985      869.950000
    14     3  1985      879.870000
    15     3  1985      871.360000
    16     3  1985      850.210000
    17     3  1985      823.680000
    18     3  1985      805.700000
    19     3  1985      790.600000
    20     3  1985      812.600000
    21     3  1985      832.030000
    22     3  1985      830.640000
    23     3  1985      836.210000
    24     3  1985      834.820000
    25     3  1985      826.460000
    26     3  1985      812.600000
    27     3  1985      804.330000
    28     3  1985      804.330000
    29     3  1985      811.220000
    30     3  1985      807.080000
    31     3  1985      785.130000
     1     4  1985      755.290000
     2     4  1985      720.540000
     3     4  1985      694.210000
     4     4  1985      694.210000
     5     4  1985      723.200000
     6     4  1985      771.510000
     7     4  1985      785.130000
     8     4  1985      815.370000
     9     4  1985      846.000000
    10     4  1985      888.410000
    11     4  1985      907.010000
    12     4  1985      911.320000
    13     4  1985      922.850000
    14     4  1985      931.530000
    15     4  1985      934.430000
    16     4  1985      928.640000
    17     4  1985      912.760000
    18     4  1985      891.260000
    19     4  1985      861.470000
    20     4  1985      826.460000
    21     4  1985      783.760000
    22     4  1985      749.900000
    23     4  1985      712.610000
    24     4  1985      682.470000
    25     4  1985      677.270000
    26     4  1985      704.700000
    27     4  1985      793.340000
    28     4  1985      848.810000
    29     4  1985      865.700000
    30     4  1985      860.060000
     1     5  1985      854.430000
     2     5  1985      858.650000
     3     5  1985      877.030000
     4     5  1985      888.410000
     5     5  1985      885.560000
     6     5  1985      872.780000
     7     5  1985      851.620000
     8     5  1985      804.330000
     9     5  1985      719.220000
    10     5  1985      616.020000
    11     5  1985      533.960000
    12     5  1985      493.910000
    13     5  1985      475.440000
    14     5  1985      465.160000
    15     5  1985      474.290000
    16     5  1985      518.520000
    17     5  1985      561.670000
    18     5  1985      608.510000
    19     5  1985      699.450000
    20     5  1985      739.180000
    21     5  1985      747.220000
    22     5  1985      744.540000
    23     5  1985      743.200000
    24     5  1985      733.840000
    25     5  1985      709.970000
    26     5  1985      656.630000
    27     5  1985      619.790000
    28     5  1985      593.580000
    29     5  1985      567.760000
    30     5  1985      543.550000
    31     5  1985      568.980000
     1     6  1985      659.200000
     2     6  1985      723.200000
     3     6  1985      740.520000
     4     6  1985      737.840000
     5     6  1985      755.290000
     6     6  1985      755.290000
     7     6  1985      724.520000
     8     6  1985      678.570000
     9     6  1985      618.530000
    10     6  1985      555.610000
    11     6  1985      470.860000
    12     6  1985      382.580000
    13     6  1985      303.840000
    14     6  1985      249.220000
    15     6  1985      197.130000
    16     6  1985      167.230000
    17     6  1985      150.100000
    18     6  1985      141.130000
    19     6  1985      150.860000
    20     6  1985      158.560000
    21     6  1985      168.030000
    22     6  1985      189.440000
    23     6  1985      204.970000
    24     6  1985      210.280000
    25     6  1985      215.650000
    26     6  1985      232.150000
    27     6  1985      235.890000
    28     6  1985      247.300000
    29     6  1985      283.480000
    30     6  1985      320.680000
     1     7  1985      352.190000
     2     7  1985      382.580000
     3     7  1985      454.950000
     4     7  1985      554.400000
     5     7  1985      587.390000
     6     7  1985      597.300000
     7     7  1985      627.350000
     8     7  1985      660.480000
     9     7  1985      638.750000
    10     7  1985      599.780000
    11     7  1985      560.460000
    12     7  1985      503.240000
    13     7  1985      444.830000
    14     7  1985      391.120000
    15     7  1985      347.030000
    16     7  1985      308.760000
    17     7  1985      273.950000
    18     7  1985      231.220000
    19     7  1985      188.590000
    20     7  1985      168.830000
    21     7  1985      169.630000
    22     7  1985      166.430000
    23     7  1985      157.000000
    24     7  1985      141.870000
    25     7  1985      128.870000
    26     7  1985      111.800000
    27     7  1985      105.940000
    28     7  1985      123.290000
    29     7  1985      133.140000
    30     7  1985      140.400000
    31     7  1985      185.230000
     1     8  1985      239.670000
     2     8  1985      264.550000
     3     8  1985      258.950000
     4     8  1985      251.150000
     5     8  1985      230.290000
     6     8  1985      206.740000
     7     8  1985      172.050000
     8     8  1985      146.330000
     9     8  1985      124.670000
    10     8  1985      111.150000
    11     8  1985      107.230000
    12     8  1985      104.020000
    13     8  1985      108.530000
    14     8  1985      117.140000
    15     8  1985      116.470000
    16     8  1985      110.490000
    17     8  1985       97.120000
    18     8  1985       95.890000
    19     8  1985       91.040000
    20     8  1985      103.380000
    21     8  1985      128.870000
    22     8  1985      164.840000
    23     8  1985      191.990000
    24     8  1985      196.270000
    25     8  1985      181.890000
    26     8  1985      157.000000
    27     8  1985      138.200000
    28     8  1985      126.060000
    29     8  1985      121.910000
    30     8  1985      147.080000
    31     8  1985      186.070000
     1     9  1985      229.360000
     2     9  1985      235.890000
     3     9  1985      212.960000
     4     9  1985      194.550000
     5     9  1985      209.390000
     6     9  1985      219.270000
     7     9  1985      213.850000
     8     9  1985      200.600000
     9     9  1985      179.410000
    10     9  1985      149.340000
    11     9  1985      124.670000
    12     9  1985      104.660000
    13     9  1985       86.900000
    14     9  1985       78.330000
    15     9  1985      100.860000
    16     9  1985       91.040000
    17     9  1985       86.310000
    18     9  1985       97.120000
    19     9  1985      104.660000
    20     9  1985      116.470000
    21     9  1985      141.870000
    22     9  1985      187.750000
    23     9  1985      212.060000
    24     9  1985      213.850000
    25     9  1985      250.190000
    26     9  1985      304.820000
    27     9  1985      357.360000
    28     9  1985      378.340000
    29     9  1985      377.280000
    30     9  1985      406.220000
     1    10  1985      468.580000
     2    10  1985      507.920000
     3    10  1985      512.620000
     4    10  1985      529.200000
     5    10  1985      621.050000
     6    10  1985      744.540000
     7    10  1985      811.220000
     8    10  1985      837.610000
     9    10  1985      860.060000
    10    10  1985      878.450000
    11    10  1985      888.410000
    12    10  1985      899.840000
    13    10  1985      911.320000
    14    10  1985      917.080000
    15    10  1985      912.760000
    16    10  1985      894.120000
    17    10  1985      840.400000
    18    10  1985      770.160000
    19    10  1985      704.700000
    20    10  1985      675.980000
    21    10  1985      631.140000
    22    10  1985      565.320000
    23    10  1985      513.800000
    24    10  1985      551.980000
    25    10  1985      634.940000
    26    10  1985      681.170000
    27    10  1985      688.980000
    28    10  1985      707.330000
    29    10  1985      781.030000
    30    10  1985      812.600000
    31    10  1985      805.700000
     1    11  1985      762.030000
     2    11  1985      672.090000
     3    11  1985      555.610000
     4    11  1985      468.580000
     5    11  1985      434.790000
     6    11  1985      421.520000
     7    11  1985      434.790000
     8    11  1985      428.130000
     9    11  1985      439.240000
    10    11  1985      488.110000
    11    11  1985      514.980000
    12    11  1985      523.260000
    13    11  1985      536.350000
    14    11  1985      571.420000
    15    11  1985      685.070000
    16    11  1985      868.530000
    17    11  1985      937.340000
    18    11  1985      978.310000
    19    11  1985     1004.970000
    20    11  1985     1027.380000
    21    11  1985     1046.930000
    22    11  1985     1063.580000
    23    11  1985     1083.380000
    24    11  1985     1112.290000
