GUAJARÁ-MIRIM	-65.348	-10.793
     7    12  1983     6090.070000
     8    12  1983     6090.070000
     9    12  1983     6090.070000
    10    12  1983     6090.070000
    11    12  1983     6090.070000
    12    12  1983     6090.070000
    13    12  1983     6090.070000
    14    12  1983     6043.170000
    15    12  1983     5996.420000
    16    12  1983     5926.560000
    17    12  1983     5857.020000
    18    12  1983     5718.950000
    19    12  1983     5582.190000
    20    12  1983     5469.230000
    21    12  1983     5334.910000
    22    12  1983     5268.250000
    23    12  1983     5224.000000
    24    12  1983     5179.900000
    25    12  1983     5004.980000
    26    12  1983     4875.370000
    27    12  1983     5026.710000
    28    12  1983     5246.110000
    29    12  1983     5491.750000
    30    12  1983     5718.950000
    31    12  1983     5926.560000
     1     1  1984     6137.120000
     2     1  1984     6326.740000
     3     1  1984     6567.000000
     4     1  1984     6909.350000
     5     1  1984     7208.310000
     6     1  1984     7563.460000
     7     1  1984     7847.270000
     8     1  1984     8135.250000
     9     1  1984     8427.370000
    10     1  1984     8723.590000
    11     1  1984     8996.410000
    12     1  1984     9272.590000
    13     1  1984     9495.930000
    14     1  1984     9721.390000
    15     1  1984     9948.960000
    16     1  1984    10121.000000
    17     1  1984    10294.200000
    18     1  1984    10410.400000
    19     1  1984    10585.600000
    20     1  1984    10703.000000
    21     1  1984    10821.000000
    22     1  1984    10880.100000
    23     1  1984    10998.900000
    24     1  1984    11177.900000
    25     1  1984    11267.900000
    26     1  1984    11297.900000
    27     1  1984    11358.100000
    28     1  1984    11478.900000
    29     1  1984    11569.800000
    30     1  1984    11600.200000
    31     1  1984    11661.100000
     1     2  1984    11722.000000
     2     2  1984    11783.100000
     3     2  1984    11844.300000
     4     2  1984    11905.700000
     5     2  1984    11967.100000
     6     2  1984    12028.700000
     7     2  1984    12059.600000
     8     2  1984    12121.400000
     9     2  1984    12214.300000
    10     2  1984    12245.300000
    11     2  1984    12276.400000
    12     2  1984    12338.600000
    13     2  1984    12401.000000
    14     2  1984    12463.500000
    15     2  1984    12557.400000
    16     2  1984    12651.600000
    17     2  1984    12714.600000
    18     2  1984    12809.300000
    19     2  1984    12967.800000
    20     2  1984    13031.400000
    21     2  1984    13159.000000
    22     2  1984    13223.000000
    23     2  1984    13287.100000
    24     2  1984    13351.300000
    25     2  1984    13415.600000
    26     2  1984    13544.700000
    27     2  1984    13609.400000
    28     2  1984    13739.200000
    29     2  1984    13869.500000
     1     3  1984    13934.900000
     2     3  1984    14065.900000
     3     3  1984    14131.600000
     4     3  1984    14197.400000
     5     3  1984    14263.400000
     6     3  1984    14296.400000
     7     3  1984    14395.600000
     8     3  1984    14495.200000
     9     3  1984    14528.400000
    10     3  1984    14594.900000
    11     3  1984    14728.400000
    12     3  1984    14862.400000
    13     3  1984    14963.200000
    14     3  1984    15098.000000
    15     3  1984    15233.300000
    16     3  1984    15335.100000
    17     3  1984    15471.200000
    18     3  1984    15676.300000
    19     3  1984    15882.500000
    20     3  1984    16055.100000
    21     3  1984    16193.800000
    22     3  1984    16367.700000
    23     3  1984    16577.500000
    24     3  1984    16753.100000
    25     3  1984    16894.100000
    26     3  1984    17071.100000
    27     3  1984    17391.400000
    28     3  1984    17570.400000
    29     3  1984    17786.200000
    30     3  1984    17930.600000
    31     3  1984    18111.800000
     1     4  1984    18293.700000
     2     4  1984    18549.600000
     3     4  1984    18880.700000
     4     4  1984    19139.900000
     5     4  1984    19363.100000
     6     4  1984    19549.900000
     7     4  1984    19850.400000
