PIMENTEIRAS	-61.046	-13.480
    27     5  1985      706.353000
    28     5  1985      697.188000
    29     5  1985      688.065000
    30     5  1985      678.981000
    31     5  1985      667.684000
     1     6  1985      656.451000
     2     6  1985      647.510000
     3     6  1985      638.611000
     4     6  1985      627.545000
     5     6  1985      614.352000
     6     6  1985      603.430000
     7     6  1985      594.740000
     8     6  1985      586.092000
     9     6  1985      573.200000
    10     6  1985      554.044000
    11     6  1985      533.016000
    12     6  1985      518.461000
    13     6  1985      508.147000
    14     6  1985      495.862000
    15     6  1985      481.662000
    16     6  1985      467.000000
    17     6  1985      458.708000
    18     6  1985      446.392000
    19     6  1985      432.204000
    20     6  1985      420.200000
    21     6  1985      408.341000
    22     6  1985      390.827000
    23     6  1985      412.278000
    24     6  1985      408.341000
    25     6  1985      404.421000
    26     6  1985      400.517000
    27     6  1985      396.629000
    28     6  1985      392.757000
    29     6  1985      388.902000
    30     6  1985      385.063000
     1     7  1985      381.240000
     2     7  1985      377.433000
     3     7  1985      373.643000
     4     7  1985      369.870000
     5     7  1985      366.113000
     6     7  1985      362.372000
     7     7  1985      358.648000
     8     7  1985      354.940000
     9     7  1985      351.249000
    10     7  1985      349.410000
    11     7  1985      347.574000
    12     7  1985      343.916000
    13     7  1985      340.275000
    14     7  1985      336.650000
    15     7  1985      333.042000
    16     7  1985      329.451000
    17     7  1985      325.876000
    18     7  1985      322.318000
    19     7  1985      318.777000
    20     7  1985      315.253000
    21     7  1985      311.745000
    22     7  1985      308.254000
    23     7  1985      304.781000
    24     7  1985      301.324000
    25     7  1985      297.884000
    26     7  1985      294.461000
    27     7  1985      291.055000
    28     7  1985      287.665000
    29     7  1985      284.293000
    30     7  1985      284.293000
    31     7  1985      280.939000
     1     8  1985      277.601000
     2     8  1985      277.601000
     3     8  1985      274.280000
     4     8  1985      272.626000
     5     8  1985      270.976000
     6     8  1985      270.976000
     7     8  1985      269.331000
     8     8  1985      267.690000
     9     8  1985      267.690000
    10     8  1985      264.421000
    11     8  1985      261.169000
    12     8  1985      257.934000
    13     8  1985      254.717000
    14     8  1985      251.517000
    15     8  1985      251.517000
    16     8  1985      248.334000
    17     8  1985      245.169000
    18     8  1985      245.169000
    19     8  1985      242.021000
    20     8  1985      238.891000
    21     8  1985      238.891000
    22     8  1985      235.778000
    23     8  1985      232.682000
    24     8  1985      229.605000
    25     8  1985      226.544000
    26     8  1985      223.502000
    27     8  1985      220.477000
    28     8  1985      217.470000
    29     8  1985      214.480000
    30     8  1985      211.509000
    31     8  1985      208.555000
     1     9  1985      207.084000
     2     9  1985      205.619000
     3     9  1985      205.619000
     4     9  1985      207.084000
     5     9  1985      207.084000
     6     9  1985      208.555000
     7     9  1985      208.555000
     8     9  1985      210.029000
     9     9  1985      211.509000
    10     9  1985      211.509000
    11     9  1985      212.992000
    12     9  1985      214.480000
    13     9  1985      214.480000
    14     9  1985      215.973000
    15     9  1985      215.973000
    16     9  1985      217.470000
    17     9  1985      218.971000
    18     9  1985      218.971000
    19     9  1985      220.477000
    20     9  1985      221.987000
    21     9  1985      223.502000
    22     9  1985      223.502000
    23     9  1985      225.021000
    24     9  1985      225.021000
    25     9  1985      226.544000
    26     9  1985      226.544000
    27     9  1985      228.072000
    28     9  1985      228.072000
    29     9  1985      229.605000
    30     9  1985      232.682000
     1    10  1985      221.987000
     2    10  1985      226.544000
     3    10  1985      229.605000
     4    10  1985      226.544000
     5    10  1985      223.502000
     6    10  1985      220.477000
     7    10  1985      220.477000
     8    10  1985      220.477000
     9    10  1985      223.502000
    10    10  1985      226.544000
    11    10  1985      229.605000
    12    10  1985      229.605000
    13    10  1985      226.544000
    14    10  1985      226.544000
    15    10  1985      229.605000
    16    10  1985      232.682000
    17    10  1985      229.605000
    18    10  1985      232.682000
    19    10  1985      235.778000
    20    10  1985      238.891000
    21    10  1985      242.021000
    22    10  1985      246.749000
    23    10  1985      251.517000
    24    10  1985      257.934000
    25    10  1985      264.421000
    26    10  1985      261.169000
    27    10  1985      264.421000
    28    10  1985      267.690000
    29    10  1985      267.690000
    30    10  1985      270.976000
    31    10  1985      270.976000
     1    11  1985      274.280000
     2    11  1985      277.601000
     3    11  1985      280.939000
     4    11  1985      280.939000
     5    11  1985      284.293000
     6    11  1985      284.293000
     7    11  1985      284.293000
     8    11  1985      284.293000
     9    11  1985      284.293000
    10    11  1985      284.293000
    11    11  1985      285.977000
    12    11  1985      285.977000
    13    11  1985      285.977000
    14    11  1985      285.977000
    15    11  1985      287.665000
    16    11  1985      287.665000
    17    11  1985      287.665000
    18    11  1985      287.665000
    19    11  1985      289.358000
    20    11  1985      289.358000
    21    11  1985      289.358000
    22    11  1985      289.358000
    23    11  1985      292.755000
    24    11  1985      297.884000
    25    11  1985      301.324000
    26    11  1985      304.781000
    27    11  1985      308.254000
    28    11  1985      311.745000
    29    11  1985      315.253000
    30    11  1985      318.777000
