CURICURIARI	-66.801	-0.200
    17     5  1984    12315.700000
    18     5  1984    12180.500000
    19     5  1984    12207.500000
    20     5  1984    12478.600000
    21     5  1984    12669.500000
    22     5  1984    12861.400000
    23     5  1984    13331.400000
    24     5  1984    13948.000000
    25     5  1984    15354.100000
    26     5  1984    15675.900000
    27     5  1984    15911.300000
    28     5  1984    16118.300000
    29     5  1984    16326.100000
    30     5  1984    16594.700000
    31     5  1984    16804.500000
     1     6  1984    16955.000000
     2     6  1984    17105.900000
     3     6  1984    17500.300000
     4     6  1984    18020.500000
     5     6  1984    17989.800000
     6     6  1984    18359.800000
     7     6  1984    18328.900000
     8     6  1984    18298.000000
     9     6  1984    18236.200000
    10     6  1984    18174.500000
    11     6  1984    18143.700000
    12     6  1984    18143.700000
    13     6  1984    18452.800000
    14     6  1984    19013.500000
    15     6  1984    19485.000000
    16     6  1984    19928.500000
    17     6  1984    20279.400000
    18     6  1984    20632.200000
    19     6  1984    20857.900000
    20     6  1984    20922.500000
    21     6  1984    20922.500000
    22     6  1984    20922.500000
    23     6  1984    20954.800000
    24     6  1984    21019.500000
    25     6  1984    21084.300000
    26     6  1984    21051.900000
    27     6  1984    21019.500000
    28     6  1984    20987.100000
    29     6  1984    20954.800000
    30     6  1984    20954.800000
     1     7  1984    20825.600000
     2     7  1984    20567.900000
     3     7  1984    20375.400000
     4     7  1984    20247.400000
     5     7  1984    20119.700000
     6     7  1984    20024.000000
     7     7  1984    20087.800000
     8     7  1984    20215.400000
     9     7  1984    20375.400000
    10     7  1984    20471.600000
    11     7  1984    20535.800000
    12     7  1984    20503.700000
    13     7  1984    20407.500000
    14     7  1984    20535.800000
    15     7  1984    20632.200000
    16     7  1984    20632.200000
    17     7  1984    20632.200000
    18     7  1984    20632.200000
    19     7  1984    20535.800000
    20     7  1984    20439.500000
    21     7  1984    20311.400000
    22     7  1984    20119.700000
    23     7  1984    20151.600000
    24     7  1984    20087.800000
    25     7  1984    20311.400000
    26     7  1984    20439.500000
    27     7  1984    20503.700000
    28     7  1984    20503.700000
    29     7  1984    20535.800000
    30     7  1984    20567.900000
    31     7  1984    20535.800000
     1     8  1984    20503.700000
     2     8  1984    20503.700000
     3     8  1984    20535.800000
     4     8  1984    20471.600000
     5     8  1984    20343.400000
     6     8  1984    20183.500000
     7     8  1984    20024.000000
     8     8  1984    19769.800000
     9     8  1984    19516.600000
    10     8  1984    19233.000000
    11     8  1984    18982.200000
    12     8  1984    18732.400000
    13     8  1984    18639.000000
    14     8  1984    18514.800000
    15     8  1984    18359.800000
    16     8  1984    18205.300000
    17     8  1984    18020.500000
    18     8  1984    18051.300000
    19     8  1984    17897.600000
    20     8  1984    17897.600000
    21     8  1984    17928.300000
    22     8  1984    17989.800000
    23     8  1984    18051.300000
    24     8  1984    18298.000000
    25     8  1984    18483.800000
    26     8  1984    18607.900000
    27     8  1984    18763.600000
    28     8  1984    18763.600000
    29     8  1984    18607.900000
    30     8  1984    18390.800000
    31     8  1984    18051.300000
     1     9  1984    17744.500000
     2     9  1984    17348.200000
     3     9  1984    16894.800000
     4     9  1984    16385.700000
     5     9  1984    15940.800000
     6     9  1984    15558.600000
     7     9  1984    15237.600000
     8     9  1984    15034.500000
     9     9  1984    14861.200000
    10     9  1984    14717.200000
    11     9  1984    14631.100000
    12     9  1984    14717.200000
    13     9  1984    14602.400000
    14     9  1984    14487.900000
    15     9  1984    14373.600000
    16     9  1984    14231.300000
    17     9  1984    14117.700000
    18     9  1984    14117.700000
    19     9  1984    14430.700000
    20     9  1984    14573.700000
    21     9  1984    14602.400000
    22     9  1984    14602.400000
    23     9  1984    14717.200000
    24     9  1984    14717.200000
    25     9  1984    14631.100000
    26     9  1984    14373.600000
    27     9  1984    14117.700000
    28     9  1984    13891.500000
    29     9  1984    13722.700000
    30     9  1984    13526.600000
     1    10  1984    13275.900000
     2    10  1984    12916.400000
     3    10  1984    12505.800000
     4    10  1984    12180.500000
     5    10  1984    11751.300000
     6    10  1984    11485.600000
     7    10  1984    11091.000000
     8    10  1984    11091.000000
     9    10  1984    11038.700000
    10    10  1984    11038.700000
    11    10  1984    11012.600000
    12    10  1984    10960.400000
    13    10  1984    10908.400000
    14    10  1984    10986.500000
    15    10  1984    11169.500000
    16    10  1984    11644.800000
    17    10  1984    12424.200000
    18    10  1984    13081.900000
    19    10  1984    13610.500000
    20    10  1984    13948.000000
    21    10  1984    14089.400000
    22    10  1984    14117.700000
    23    10  1984    13948.000000
    24    10  1984    13863.400000
    25    10  1984    13722.700000
    26    10  1984    13554.600000
    27    10  1984    13387.100000
    28    10  1984    13248.100000
    29    10  1984    13109.600000
    30    10  1984    12806.500000
    31    10  1984    12451.400000
     1    11  1984    12342.800000
     2    11  1984    12424.200000
     3    11  1984    12288.700000
     4    11  1984    12045.900000
     5    11  1984    11804.700000
     6    11  1984    11432.800000
     7    11  1984    10934.400000
     8    11  1984    10469.100000
     9    11  1984    10036.000000
    10    11  1984     9683.850000
    11    11  1984     9434.920000
    12    11  1984     9212.730000
    13    11  1984     8870.640000
    14    11  1984     8556.860000
    15    11  1984     8365.650000
    16    11  1984     8413.320000
    17    11  1984     8461.080000
    18    11  1984     8580.870000
    19    11  1984     8701.210000
    20    11  1984     8701.210000
    21    11  1984     8943.580000
    22    11  1984     9188.150000
    23    11  1984     9410.140000
    24    11  1984     9534.230000
    25    11  1984     9584.020000
    26    11  1984     9658.860000
    27    11  1984     9658.860000
    28    11  1984     9633.890000
    29    11  1984     9633.890000
    30    11  1984     9608.940000
