MANACAPURU	-60.609	-3.308
    28    10  1983    54998.700000
    29    10  1983    55285.900000
    30    10  1983    55516.000000
    31    10  1983    55804.100000
     1    11  1983    56150.600000
     2    11  1983    56324.200000
     3    11  1983    56498.000000
     4    11  1983    56730.000000
     5    11  1983    57020.600000
     6    11  1983    57311.700000
     7    11  1983    57603.400000
     8    11  1983    58129.900000
     9    11  1983    58658.200000
    10    11  1983    59129.300000
    11    11  1983    59720.300000
    12    11  1983    60373.000000
    13    11  1983    60968.700000
    14    11  1983    61506.700000
    15    11  1983    62046.600000
    16    11  1983    62588.200000
    17    11  1983    63131.700000
    18    11  1983    63555.700000
    19    11  1983    63980.700000
    20    11  1983    64406.900000
    21    11  1983    64711.900000
    22    11  1983    65017.500000
    23    11  1983    65385.000000
    24    11  1983    65630.400000
    25    11  1983    65876.100000
    26    11  1983    66060.700000
    27    11  1983    66245.400000
    28    11  1983    66368.700000
    29    11  1983    66492.100000
    30    11  1983    66553.800000
     1    12  1983    66553.800000
     2    12  1983    66553.800000
     3    12  1983    66430.400000
     4    12  1983    66430.400000
     5    12  1983    66430.400000
     6    12  1983    66492.100000
     7    12  1983    66677.300000
     8    12  1983    66924.500000
     9    12  1983    67172.200000
    10    12  1983    67606.300000
    11    12  1983    67979.300000
    12    12  1983    68415.500000
    13    12  1983    68977.800000
    14    12  1983    69479.200000
    15    12  1983    70107.800000
    16    12  1983    70801.800000
    17    12  1983    71308.200000
    18    12  1983    72006.800000
    19    12  1983    72644.100000
    20    12  1983    73219.500000
    21    12  1983    73925.100000
    22    12  1983    74633.400000
    23    12  1983    75214.800000
    24    12  1983    75797.900000
    25    12  1983    76382.800000
    26    12  1983    77100.000000
    27    12  1983    77688.700000
    28    12  1983    78213.400000
    29    12  1983    78739.500000
    30    12  1983    79333.000000
    31    12  1983    80060.700000
     1     1  1984    80591.500000
     2     1  1984    81256.900000
     3     1  1984    81724.000000
     4     1  1984    82125.100000
     5     1  1984    82460.000000
     6     1  1984    82862.500000
     7     1  1984    83265.800000
     8     1  1984    83669.800000
     9     1  1984    84142.100000
    10     1  1984    84750.900000
    11     1  1984    85157.600000
    12     1  1984    85565.200000
    13     1  1984    85973.500000
    14     1  1984    86382.500000
    15     1  1984    86929.000000
    16     1  1984    87134.300000
    17     1  1984    87476.800000
    18     1  1984    87751.300000
    19     1  1984    87957.300000
    20     1  1984    88301.100000
    21     1  1984    88576.500000
    22     1  1984    88714.300000
    23     1  1984    88921.200000
    24     1  1984    89128.300000
    25     1  1984    89266.400000
    26     1  1984    89266.400000
    27     1  1984    89404.700000
    28     1  1984    89681.400000
    29     1  1984    89819.900000
    30     1  1984    90027.800000
    31     1  1984    90235.800000
     1     2  1984    90374.600000
     2     2  1984    90513.500000
     3     2  1984    90652.500000
     4     2  1984    90861.100000
     5     2  1984    91139.600000
     6     2  1984    91418.300000
     7     2  1984    91767.300000
     8     2  1984    92116.700000
     9     2  1984    92536.700000
    10     2  1984    92887.300000
    11     2  1984    93168.100000
    12     2  1984    93801.100000
    13     2  1984    93942.000000
    14     2  1984    94224.000000
    15     2  1984    94718.400000
    16     2  1984    95213.700000
    17     2  1984    95568.100000
    18     2  1984    95994.100000
    19     2  1984    96420.800000
    20     2  1984    96776.900000
    21     2  1984    97276.300000
    22     2  1984    97848.300000
    23     2  1984    98278.100000
    24     2  1984    98708.700000
    25     2  1984    99283.900000
    26     2  1984    99788.300000
    27     2  1984   100438.000000
    28     2  1984   100800.000000
    29     2  1984   101307.000000
     1     3  1984   101670.000000
     2     3  1984   102325.000000
     3     3  1984   102616.000000
     4     3  1984   103054.000000
     5     3  1984   103712.000000
     6     3  1984   104665.000000
     7     3  1984   105106.000000
     8     3  1984   105548.000000
     9     3  1984   106194.000000
    10     3  1984   106672.000000
    11     3  1984   107247.000000
    12     3  1984   107823.000000
    13     3  1984   108111.000000
    14     3  1984   108592.000000
    15     3  1984   109074.000000
    16     3  1984   109460.000000
    17     3  1984   109847.000000
    18     3  1984   110331.000000
    19     3  1984   110913.000000
    20     3  1984   111690.000000
    21     3  1984   112177.000000
    22     3  1984   112568.000000
    23     3  1984   112958.000000
    24     3  1984   113252.000000
    25     3  1984   113448.000000
    26     3  1984   113643.000000
    27     3  1984   114036.000000
    28     3  1984   114232.000000
    29     3  1984   114526.000000
    30     3  1984   114625.000000
    31     3  1984   114920.000000
     1     4  1984   115313.000000
     2     4  1984   115609.000000
     3     4  1984   115806.000000
     4     4  1984   116102.000000
     5     4  1984   116300.000000
     6     4  1984   116498.000000
     7     4  1984   116795.000000
     8     4  1984   116795.000000
     9     4  1984   116795.000000
    10     4  1984   116993.000000
    11     4  1984   117191.000000
    12     4  1984   117389.000000
    13     4  1984   117587.000000
    14     4  1984   117786.000000
    15     4  1984   117885.000000
    16     4  1984   117985.000000
    17     4  1984   118183.000000
    18     4  1984   118780.000000
    19     4  1984   118980.000000
    20     4  1984   119279.000000
    21     4  1984   119578.000000
    22     4  1984   119778.000000
    23     4  1984   120178.000000
    24     4  1984   120779.000000
    25     4  1984   121180.000000
    26     4  1984   121582.000000
    27     4  1984   122386.000000
    28     4  1984   122891.000000
    29     4  1984   123092.000000
    30     4  1984   123699.000000
     1     5  1984   124205.000000
     2     5  1984   124813.000000
     3     5  1984   125117.000000
     4     5  1984   125422.000000
     5     5  1984   125727.000000
     6     5  1984   126033.000000
     7     5  1984   126237.000000
     8     5  1984   126747.000000
     9     5  1984   127053.000000
    10     5  1984   127359.000000
    11     5  1984   127666.000000
    12     5  1984   128076.000000
    13     5  1984   128383.000000
    14     5  1984   128691.000000
    15     5  1984   129102.000000
    16     5  1984   129616.000000
    17     5  1984   129822.000000
    18     5  1984   130131.000000
    19     5  1984   130441.000000
    20     5  1984   130750.000000
    21     5  1984   131164.000000
    22     5  1984   131474.000000
    23     5  1984   131784.000000
    24     5  1984   132199.000000
    25     5  1984   132406.000000
    26     5  1984   132822.000000
    27     5  1984   133029.000000
    28     5  1984   133237.000000
    29     5  1984   133445.000000
    30     5  1984   133549.000000
    31     5  1984   133862.000000
     1     6  1984   133966.000000
     2     6  1984   134070.000000
     3     6  1984   134487.000000
     4     6  1984   134696.000000
     5     6  1984   134800.000000
     6     6  1984   134905.000000
     7     6  1984   135219.000000
     8     6  1984   135428.000000
     9     6  1984   135742.000000
    10     6  1984   135742.000000
    11     6  1984   135951.000000
    12     6  1984   136161.000000
    13     6  1984   136476.000000
    14     6  1984   136580.000000
    15     6  1984   136580.000000
    16     6  1984   136685.000000
    17     6  1984   136685.000000
    18     6  1984   136685.000000
    19     6  1984   136685.000000
    20     6  1984   136685.000000
    21     6  1984   136685.000000
    22     6  1984   136580.000000
    23     6  1984   136580.000000
    24     6  1984   136580.000000
    25     6  1984   136476.000000
    26     6  1984   136476.000000
    27     6  1984   136371.000000
    28     6  1984   136371.000000
    29     6  1984   136266.000000
    30     6  1984   136161.000000
     1     7  1984   136161.000000
     2     7  1984   135951.000000
     3     7  1984   135532.000000
     4     7  1984   135323.000000
     5     7  1984   135114.000000
     6     7  1984   135114.000000
     7     7  1984   134905.000000
     8     7  1984   134800.000000
     9     7  1984   134487.000000
    10     7  1984   134279.000000
    11     7  1984   134070.000000
    12     7  1984   133862.000000
    13     7  1984   133549.000000
    14     7  1984   133237.000000
    15     7  1984   133133.000000
    16     7  1984   133029.000000
    17     7  1984   132614.000000
    18     7  1984   132303.000000
    19     7  1984   131888.000000
    20     7  1984   131681.000000
    21     7  1984   131370.000000
    22     7  1984   131164.000000
    23     7  1984   130957.000000
    24     7  1984   130441.000000
    25     7  1984   130028.000000
    26     7  1984   129719.000000
    27     7  1984   129410.000000
    28     7  1984   128999.000000
