GAVIÃO	-66.849	-4.839
     3     5  1984     8511.170000
     4     5  1984     8491.950000
     5     5  1984     8491.950000
     6     5  1984     8511.170000
     7     5  1984     8511.170000
     8     5  1984     8530.420000
     9     5  1984     8511.170000
    10     5  1984     8511.170000
    11     5  1984     8511.170000
    12     5  1984     8472.780000
    13     5  1984     8491.950000
    14     5  1984     8472.780000
    15     5  1984     8472.780000
    16     5  1984     8472.780000
    17     5  1984     8472.780000
    18     5  1984     8434.530000
    19     5  1984     8415.460000
    20     5  1984     8396.420000
    21     5  1984     8377.420000
    22     5  1984     8358.450000
    23     5  1984     8320.630000
    24     5  1984     8320.630000
    25     5  1984     8301.770000
    26     5  1984     8282.950000
    27     5  1984     8282.950000
    28     5  1984     8226.690000
    29     5  1984     8208.010000
    30     5  1984     8189.360000
    31     5  1984     8170.750000
     1     6  1984     8170.750000
     2     6  1984     8133.620000
     3     6  1984     8096.640000
     4     6  1984     8059.800000
     5     6  1984     8059.800000
     6     6  1984     8096.640000
     7     6  1984     8041.430000
     8     6  1984     7968.290000
     9     6  1984     7931.930000
    10     6  1984     7859.610000
    11     6  1984     7787.840000
    12     6  1984     7716.610000
    13     6  1984     7663.540000
    14     6  1984     7593.250000
    15     6  1984     7488.800000
    16     6  1984     7419.840000
    17     6  1984     7351.390000
    18     6  1984     7182.550000
    19     6  1984     7066.270000
    20     6  1984     6902.850000
    21     6  1984     6695.080000
    22     6  1984     6385.490000
    23     6  1984     6073.220000
    24     6  1984     5796.860000
    25     6  1984     5564.940000
    26     6  1984     5276.130000
    27     6  1984     5019.760000
    28     6  1984     4746.960000
    29     6  1984     4527.880000
    30     6  1984     4325.550000
     1     7  1984     4139.080000
     2     7  1984     3862.580000
     3     7  1984     3551.480000
     4     7  1984     3350.390000
     5     7  1984     3151.020000
     6     7  1984     3003.600000
     7     7  1984     2855.610000
     8     7  1984     2703.110000
     9     7  1984     2576.020000
    10     7  1984     2501.380000
    11     7  1984     2411.770000
    12     7  1984     2308.170000
    13     7  1984     2245.660000
    14     7  1984     2165.020000
    15     7  1984     2093.460000
    16     7  1984     2056.320000
    17     7  1984     2008.580000
    18     7  1984     1972.280000
    19     7  1984     1932.760000
    20     7  1984     1893.680000
    21     7  1984     1858.530000
    22     7  1984     1827.210000
    23     7  1984     1779.060000
    24     7  1984     1738.340000
    25     7  1984     1698.150000
    26     7  1984     1651.900000
    27     7  1984     1616.050000
    28     7  1984     1574.240000
    29     7  1984     1529.880000
    30     7  1984     1498.610000
