FLORIANOPEIXOTO	-67.368	-9.051
    22     5  1984      855.260000
    23     5  1984      894.680000
    24     5  1984      913.020000
    25     5  1984      901.330000
    26     5  1984      869.950000
    27     5  1984      829.430000
    28     5  1984      789.790000
    29     5  1984      746.460000
    30     5  1984      708.710000
    31     5  1984      673.310000
     1     6  1984      634.490000
     2     6  1984      591.210000
     3     6  1984      551.990000
     4     6  1984      521.760000
     5     6  1984      499.920000
     6     6  1984      469.810000
     7     6  1984      433.380000
     8     6  1984      393.720000
     9     6  1984      343.920000
    10     6  1984      302.240000
    11     6  1984      272.600000
    12     6  1984      249.900000
    13     6  1984      230.780000
    14     6  1984      214.080000
    15     6  1984      197.120000
    16     6  1984      184.020000
    17     6  1984      177.620000
    18     6  1984      172.890000
    19     6  1984      168.990000
    20     6  1984      165.140000
    21     6  1984      160.560000
    22     6  1984      157.550000
    23     6  1984      154.550000
    24     6  1984      152.330000
    25     6  1984      150.120000
    26     6  1984      147.190000
    27     6  1984      145.020000
    28     6  1984      141.420000
    29     6  1984      138.570000
    30     6  1984      135.050000
     1     7  1984      132.270000
     2     7  1984      128.820000
     3     7  1984      127.450000
     4     7  1984      124.740000
     5     7  1984      122.720000
     6     7  1984      120.720000
     7     7  1984      118.070000
     8     7  1984      116.760000
     9     7  1984      116.110000
    10     7  1984      116.760000
    11     7  1984      118.070000
    12     7  1984      121.390000
    13     7  1984      123.390000
    14     7  1984      121.390000
    15     7  1984      118.070000
    16     7  1984      115.450000
    17     7  1984      112.860000
    18     7  1984      111.570000
    19     7  1984      111.570000
    20     7  1984      110.290000
    21     7  1984      109.020000
    22     7  1984      109.020000
    23     7  1984      107.120000
    24     7  1984      105.240000
    25     7  1984      102.760000
    26     7  1984      100.910000
    27     7  1984       97.870000
    28     7  1984       96.660000
    29     7  1984       95.470000
    30     7  1984       93.090000
    31     7  1984       91.320000
     1     8  1984       89.580000
     2     8  1984       88.420000
     3     8  1984       86.120000
     4     8  1984       84.990000
     5     8  1984       83.860000
     6     8  1984       82.180000
     7     8  1984       80.510000
     8     8  1984       80.510000
     9     8  1984       80.510000
    10     8  1984       79.410000
    11     8  1984       78.310000
    12     8  1984       77.230000
    13     8  1984       76.140000
    14     8  1984       75.610000
    15     8  1984       75.070000
    16     8  1984       74.000000
    17     8  1984       72.940000
    18     8  1984       71.890000
    19     8  1984       70.840000
    20     8  1984       70.840000
    21     8  1984       69.800000
    22     8  1984       68.770000
    23     8  1984       67.750000
    24     8  1984       66.730000
    25     8  1984       65.720000
    26     8  1984       64.710000
    27     8  1984       63.720000
    28     8  1984       62.730000
    29     8  1984       60.770000
    30     8  1984       58.840000
    31     8  1984       59.320000
     1     9  1984       62.230000
     2     9  1984       65.210000
     3     9  1984       67.750000
     4     9  1984       67.240000
     5     9  1984       63.720000
     6     9  1984       60.770000
     7     9  1984       58.840000
     8     9  1984       57.880000
     9     9  1984       55.530000
    10     9  1984       54.140000
    11     9  1984       51.400000
    12     9  1984       49.610000
    13     9  1984       47.860000
    14     9  1984       46.130000
    15     9  1984       46.560000
    16     9  1984       49.610000
    17     9  1984       51.850000
    18     9  1984       55.530000
    19     9  1984       59.320000
