LÁBREA	-64.800	-7.252
    14    11  1983     1058.180000
    15    11  1983     1149.490000
    16    11  1983     1253.440000
    17    11  1983     1320.600000
    18    11  1983     1370.730000
    19    11  1983     1399.620000
    20    11  1983     1406.870000
    21    11  1983     1396.000000
    22    11  1983     1385.150000
    23    11  1983     1374.330000
    24    11  1983     1359.940000
    25    11  1983     1399.620000
    26    11  1983     1435.970000
    27    11  1983     1487.300000
    28    11  1983     1524.290000
    29    11  1983     1546.610000
    30    11  1983     1554.070000
     1    12  1983     1554.070000
     2    12  1983     1569.020000
     3    12  1983     1580.260000
     4    12  1983     1614.110000
     5    12  1983     1686.060000
     6    12  1983     1795.930000
     7    12  1983     1905.310000
     8    12  1983     1997.580000
     9    12  1983     2108.710000
    10    12  1983     2222.860000
    11    12  1983     2362.060000
    12    12  1983     2514.620000
    13    12  1983     2671.980000
    14    12  1983     2858.390000
    15    12  1983     3016.060000
    16    12  1983     3172.860000
    17    12  1983     3302.220000
    18    12  1983     3418.210000
    19    12  1983     3493.060000
    20    12  1983     3536.200000
    21    12  1983     3585.060000
    22    12  1983     3585.060000
    23    12  1983     3568.730000
    24    12  1983     3536.200000
    25    12  1983     3519.990000
    26    12  1983     3536.200000
    27    12  1983     3595.960000
    28    12  1983     3683.770000
    29    12  1983     3789.430000
    30    12  1983     3873.900000
    31    12  1983     3953.590000
     1     1  1984     4016.780000
     2     1  1984     4063.050000
     3     1  1984     4086.280000
     4     1  1984     4115.420000
     5     1  1984     4156.380000
     6     1  1984     4203.450000
     7     1  1984     4250.790000
     8     1  1984     4322.290000
     9     1  1984     4467.080000
    10     1  1984     4577.260000
    11     1  1984     4676.320000
    12     1  1984     4814.270000
    13     1  1984     5005.640000
    14     1  1984     5154.890000
    15     1  1984     5359.540000
    16     1  1984     5581.800000
    17     1  1984     5767.020000
    18     1  1984     5990.470000
    19     1  1984     6189.500000
    20     1  1984     6362.690000
    21     1  1984     6523.570000
    22     1  1984     6686.460000
    23     1  1984     6843.820000
    24     1  1984     6980.180000
    25     1  1984     7125.570000
    26     1  1984     7241.420000
    27     1  1984     7342.580000
    28     1  1984     7468.060000
    29     1  1984     7570.790000
    30     1  1984     7674.230000
    31     1  1984     7786.420000
     1     2  1984     7883.230000
     2     2  1984     7980.640000
     3     2  1984     8054.090000
     4     2  1984     8136.100000
     5     2  1984     8218.530000
     6     2  1984     8293.080000
     7     2  1984     8384.640000
     8     2  1984     8518.730000
     9     2  1984     8611.540000
    10     2  1984     8679.350000
    11     2  1984     8764.500000
    12     2  1984     8815.780000
    13     2  1984     8867.220000
    14     2  1984     8927.420000
    15     2  1984     9005.120000
    16     2  1984     9100.550000
    17     2  1984     9179.000000
    18     2  1984     9266.560000
    19     2  1984     9336.920000
    20     2  1984     9425.240000
    21     2  1984     9505.080000
    22     2  1984     9549.580000
    23     2  1984     9612.060000
    24     2  1984     9656.820000
    25     2  1984     9728.640000
    26     2  1984     9764.650000
    27     2  1984     9818.800000
    28     2  1984     9854.980000
    29     2  1984     9945.720000
     1     3  1984    10027.700000
     2     3  1984    10110.100000
     3     3  1984    10165.200000
     4     3  1984    10238.900000
     5     3  1984    10279.700000
     6     3  1984    10371.100000
     7     3  1984    10394.000000
     8     3  1984    10416.900000
     9     3  1984    10462.900000
    10     3  1984    10485.800000
    11     3  1984    10508.900000
    12     3  1984    10554.900000
    13     3  1984    10554.900000
    14     3  1984    10554.900000
    15     3  1984    10531.900000
    16     3  1984    10531.900000
    17     3  1984    10531.900000
    18     3  1984    10531.900000
    19     3  1984    10554.900000
    20     3  1984    10578.000000
    21     3  1984    10578.000000
    22     3  1984    10578.000000
    23     3  1984    10601.100000
    24     3  1984    10624.200000
    25     3  1984    10624.200000
    26     3  1984    10647.400000
    27     3  1984    10693.700000
    28     3  1984    10670.500000
    29     3  1984    10693.700000
    30     3  1984    10716.900000
    31     3  1984    10740.100000
     1     4  1984    10740.100000
     2     4  1984    10740.100000
     3     4  1984    10786.600000
     4     4  1984    10833.200000
     5     4  1984    10833.200000
     6     4  1984    10950.000000
     7     4  1984    10950.000000
     8     4  1984    10973.400000
     9     4  1984    10973.400000
    10     4  1984    10996.900000
    11     4  1984    10996.900000
    12     4  1984    10996.900000
    13     4  1984    10973.400000
    14     4  1984    10950.000000
    15     4  1984    10950.000000
    16     4  1984    10950.000000
    17     4  1984    10903.200000
    18     4  1984    10879.900000
    19     4  1984    10879.900000
    20     4  1984    10856.500000
    21     4  1984    10809.900000
    22     4  1984    10833.200000
    23     4  1984    10833.200000
    24     4  1984    10809.900000
    25     4  1984    10786.600000
    26     4  1984    10786.600000
    27     4  1984    10786.600000
    28     4  1984    10763.300000
    29     4  1984    10763.300000
    30     4  1984    10786.600000
     1     5  1984    10786.600000
     2     5  1984    10786.600000
     3     5  1984    10809.900000
     4     5  1984    10786.600000
     5     5  1984    10809.900000
     6     5  1984    10786.600000
     7     5  1984    10786.600000
     8     5  1984    10740.100000
     9     5  1984    10716.900000
    10     5  1984    10716.900000
    11     5  1984    10693.700000
    12     5  1984    10647.400000
    13     5  1984    10624.200000
    14     5  1984    10601.100000
    15     5  1984    10554.900000
    16     5  1984    10508.900000
    17     5  1984    10416.900000
    18     5  1984    10348.200000
    19     5  1984    10256.900000
    20     5  1984    10202.000000
    21     5  1984    10146.800000
    22     5  1984    10091.800000
    23     5  1984     9991.250000
    24     5  1984     9873.090000
    25     5  1984     9800.730000
    26     5  1984     9701.680000
    27     5  1984     9585.260000
    28     5  1984     9442.950000
    29     5  1984     9284.130000
    30     5  1984     9144.090000
    31     5  1984     8987.820000
     1     6  1984     8798.670000
     2     6  1984     8594.630000
     3     6  1984     8367.960000
     4     6  1984     8062.270000
     5     6  1984     7754.280000
     6     6  1984     7578.720000
     7     6  1984     7358.210000
     8     6  1984     7202.700000
     9     6  1984     7033.570000
    10     6  1984     6866.460000
    11     6  1984     6649.260000
    12     6  1984     6406.370000
    13     6  1984     6225.380000
    14     6  1984     5934.210000
    15     6  1984     5670.600000
    16     6  1984     5406.310000
    17     6  1984     5246.820000
    18     6  1984     5122.260000
    19     6  1984     5012.080000
    20     6  1984     4858.590000
    21     6  1984     4688.780000
    22     6  1984     4528.120000
    23     6  1984     4358.260000
    24     6  1984     4191.660000
    25     6  1984     4039.880000
    26     6  1984     3879.570000
    27     6  1984     3755.900000
    28     6  1984     3623.280000
    29     6  1984     3482.320000
    30     6  1984     3349.430000
     1     7  1984     3229.460000
     2     7  1984     3086.380000
     3     7  1984     2956.440000
     4     7  1984     2858.390000
     5     7  1984     2771.570000
     6     7  1984     2695.530000
     7     7  1984     2625.200000
     8     7  1984     2555.810000
     9     7  1984     2510.070000
    10     7  1984     2469.250000
    11     7  1984     2410.900000
    12     7  1984     2366.480000
    13     7  1984     2322.480000
    14     7  1984     2287.580000
    15     7  1984     2252.950000
    16     7  1984     2218.580000
    17     7  1984     2188.720000
    18     7  1984     2159.070000
    19     7  1984     2117.060000
    20     7  1984     2079.610000
    21     7  1984     2042.490000
