FAZENDACAJUPIRANGA	-61.037	3.438
    21    11  1983      364.754000
    22    11  1983      356.818000
    23    11  1983      352.875000
    24    11  1983      341.152000
    25    11  1983      329.588000
    26    11  1983      303.226000
    27    11  1983      284.935000
    28    11  1983      277.746000
    29    11  1983      270.630000
    30    11  1983      260.095000
     1    12  1983      249.727000
     2    12  1983      246.308000
     3    12  1983      270.630000
     4    12  1983      270.630000
     5    12  1983      270.630000
     6    12  1983      310.669000
     7    12  1983      314.417000
     8    12  1983      318.183000
     9    12  1983      325.769000
    10    12  1983      345.043000
    11    12  1983      356.818000
    12    12  1983      469.723000
    13    12  1983      594.640000
    14    12  1983      861.433000
    15    12  1983      872.685000
    16    12  1983      839.106000
    17    12  1983      795.153000
    18    12  1983      768.162000
    19    12  1983      663.949000
    20    12  1983      604.355000
    21    12  1983      614.132000
    22    12  1983      648.842000
    23    12  1983      619.044000
    24    12  1983      584.988000
    25    12  1983      523.795000
    26    12  1983      409.640000
    27    12  1983      356.818000
    28    12  1983      329.588000
    29    12  1983      321.967000
    30    12  1983      333.425000
    31    12  1983      356.818000
     1     1  1984      388.981000
     2     1  1984      409.640000
     3     1  1984      405.474000
     4     1  1984      388.981000
     5     1  1984      376.790000
     6     1  1984      388.981000
     7     1  1984      439.273000
     8     1  1984      496.466000
     9     1  1984      514.621000
    10     1  1984      487.487000
    11     1  1984      447.890000
    12     1  1984      409.640000
    13     1  1984      376.790000
    14     1  1984      352.875000
    15     1  1984      352.875000
    16     1  1984      341.152000
    17     1  1984      447.890000
    18     1  1984      409.640000
    19     1  1984      372.761000
    20     1  1984      364.754000
    21     1  1984      348.950000
    22     1  1984      348.950000
    23     1  1984      356.818000
    24     1  1984      393.078000
    25     1  1984      500.981000
    26     1  1984      731.001000
    27     1  1984      982.445000
    28     1  1984     1134.640000
    29     1  1984     1223.640000
    30     1  1984     1295.430000
    31     1  1984     1321.940000
     1     2  1984     1295.430000
     2     2  1984     1230.100000
     3     2  1984     1185.170000
     4     2  1984     1128.380000
     5     2  1984     1262.590000
     6     2  1984     1341.960000
     7     2  1984     1368.840000
     8     2  1984     1389.140000
     9     2  1984     1348.660000
    10     2  1984     1275.690000
    11     2  1984     1030.200000
    12     2  1984      918.269000
    13     2  1984      878.332000
    14     2  1984      710.097000
    15     2  1984      699.735000
    16     2  1984      694.577000
    17     2  1984      679.194000
    18     2  1984      674.097000
    19     2  1984      689.434000
    20     2  1984      694.577000
    21     2  1984      699.735000
    22     2  1984      720.519000
    23     2  1984      725.752000
    24     2  1984      710.097000
    25     2  1984      684.307000
    26     2  1984      800.595000
    27     2  1984      947.226000
    28     2  1984      976.540000
    29     2  1984      988.365000
     1     3  1984      994.299000
     2     3  1984     1006.210000
     3     3  1984      964.772000
     4     3  1984      795.153000
     5     3  1984      684.307000
     6     3  1984      648.842000
     7     3  1984      638.847000
     8     3  1984      599.490000
     9     3  1984      500.981000
    10     3  1984      460.940000
    11     3  1984      456.574000
    12     3  1984      460.940000
    13     3  1984      460.940000
    14     3  1984      452.224000
    15     3  1984      422.239000
    16     3  1984      388.981000
    17     3  1984      356.818000
    18     3  1984      341.152000
    19     3  1984      303.226000
    20     3  1984      288.557000
    21     3  1984      292.197000
    22     3  1984      299.532000
    23     3  1984      299.532000
    24     3  1984      303.226000
    25     3  1984      299.532000
    26     3  1984      295.855000
