MANOELURBANO	-69.268	-8.884
    12    12  1983      838.840000
    13    12  1983      662.150000
    14    12  1983      431.320000
    15    12  1983      388.490000
    16    12  1983      415.240000
    17    12  1983      464.590000
    18    12  1983      496.780000
    19    12  1983      538.160000
    20    12  1983      601.090000
    21    12  1983      606.750000
    22    12  1983      589.850000
    23    12  1983      559.580000
    24    12  1983      540.810000
    25    12  1983      519.820000
    26    12  1983      479.290000
    27    12  1983      447.770000
    28    12  1983      410.710000
    29    12  1983      403.960000
    30    12  1983      499.310000
    31    12  1983      559.580000
     1     1  1984      584.280000
     2     1  1984      598.260000
     3     1  1984      791.520000
     4     1  1984      931.030000
     5     1  1984     1225.000000
     6     1  1984     1417.970000
     7     1  1984     1479.600000
     8     1  1984     1720.670000
     9     1  1984     1921.270000
    10     1  1984     2201.120000
    11     1  1984     2387.490000
    12     1  1984     2677.120000
    13     1  1984     2850.430000
    14     1  1984     3081.670000
    15     1  1984     3201.280000
    16     1  1984     4053.820000
    17     1  1984     3840.060000
    18     1  1984     3015.560000
    19     1  1984     2510.170000
    20     1  1984     2225.450000
    21     1  1984     1811.220000
    22     1  1984     1627.760000
    23     1  1984     1484.410000
    24     1  1984     2058.400000
    25     1  1984     2081.790000
    26     1  1984     1455.720000
    27     1  1984     1246.590000
    28     1  1984     1028.930000
    29     1  1984     1084.040000
    30     1  1984     1259.650000
    31     1  1984     1362.450000
     1     2  1984     1617.620000
     2     2  1984     1966.360000
     3     2  1984     2081.790000
     4     2  1984     2305.640000
     5     2  1984     2445.150000
     6     2  1984     2582.850000
     7     2  1984     2711.270000
     8     2  1984     2752.590000
     9     2  1984     2822.270000
    10     2  1984     2871.660000
    11     2  1984     2745.680000
    12     2  1984     2629.730000
    13     2  1984     2464.550000
    14     2  1984     2400.240000
    15     2  1984     2562.900000
    16     2  1984     2738.770000
    17     2  1984     2766.440000
    18     2  1984     2766.440000
    19     2  1984     2850.430000
    20     2  1984     2921.550000
    21     2  1984     3022.860000
    22     2  1984     3201.280000
    23     2  1984     3464.420000
    24     2  1984     3723.330000
    25     2  1984     3924.750000
    26     2  1984     4097.390000
    27     2  1984     3993.280000
    28     2  1984     3882.270000
    29     2  1984     3673.940000
     1     3  1984     3354.590000
     2     3  1984     3074.280000
     3     3  1984     2808.250000
     4     3  1984     2549.660000
     5     3  1984     2318.120000
     6     3  1984     2075.930000
     7     3  1984     1789.670000
     8     3  1984     1627.760000
     9     3  1984     1547.710000
    10     3  1984     1503.720000
    11     3  1984     1413.300000
    12     3  1984     1385.420000
    13     3  1984     1348.770000
    14     3  1984     1335.170000
    15     3  1984     1367.020000
    16     3  1984     1417.970000
    17     3  1984     1470.020000
    18     3  1984     1518.300000
    19     3  1984     1587.440000
    20     3  1984     1627.760000
    21     3  1984     1784.310000
    22     3  1984     1966.360000
    23     3  1984     1816.640000
    24     3  1984     1752.320000
    25     3  1984     1648.150000
    26     3  1984     1494.050000
    27     3  1984     1362.450000
    28     3  1984     1339.690000
    29     3  1984     1394.680000
    30     3  1984     1422.660000
    31     3  1984     1484.410000
     1     4  1984     1582.440000
     2     4  1984     1747.020000
     3     4  1984     1537.870000
     4     4  1984     1552.640000
     5     4  1984     1597.460000
     6     4  1984     1653.270000
     7     4  1984     1795.050000
     8     4  1984     2158.910000
     9     4  1984     2146.940000
    10     4  1984     2087.670000
    11     4  1984     1983.430000
    12     4  1984     1773.610000
    13     4  1984     1567.500000
    14     4  1984     1432.060000
    15     4  1984     1547.710000
    16     4  1984     1592.450000
    17     4  1984     1537.870000
    18     4  1984     1498.880000
    19     4  1984     1441.490000
    20     4  1984     1362.450000
    21     4  1984     1312.690000
    22     4  1984     1408.630000
    23     4  1984     1518.300000
    24     4  1984     1557.590000
    25     4  1984     1658.390000
    26     4  1984     1752.320000
    27     4  1984     1816.640000
    28     4  1984     1843.840000
    29     4  1984     1838.380000
    30     4  1984     1778.950000
     1     5  1984     1720.670000
     2     5  1984     1648.150000
     3     5  1984     1537.870000
     4     5  1984     1408.630000
     5     5  1984     1321.660000
     6     5  1984     1233.610000
     7     5  1984     1144.980000
     8     5  1984      968.000000
     9     5  1984      804.880000
    10     5  1984      758.710000
    11     5  1984      711.020000
    12     5  1984      680.240000
    13     5  1984      695.530000
    14     5  1984      717.280000
    15     5  1984      680.240000
    16     5  1984      618.180000
    17     5  1984      565.020000
    18     5  1984      499.310000
    19     5  1984      426.690000
    20     5  1984      386.310000
    21     5  1984      381.970000
    22     5  1984      350.320000
    23     5  1984      308.690000
    24     5  1984      289.950000
    25     5  1984      289.950000
    26     5  1984      297.370000
    27     5  1984      275.460000
    28     5  1984      256.230000
    29     5  1984      234.560000
    30     5  1984      218.650000
    31     5  1984      203.390000
     1     6  1984      197.470000
     2     6  1984      194.550000
     3     6  1984      194.550000
     4     6  1984      196.010000
     5     6  1984      209.420000
     6     6  1984      242.760000
     7     6  1984      232.940000
     8     6  1984      212.470000
     9     6  1984      194.550000
    10     6  1984      224.930000
    11     6  1984      308.690000
    12     6  1984      261.390000
    13     6  1984      241.110000
    14     6  1984      221.780000
    15     6  1984      203.390000
    16     6  1984      185.940000
    17     6  1984      181.720000
    18     6  1984      172.090000
    19     6  1984      168.060000
    20     6  1984      162.770000
    21     6  1984      160.160000
    22     6  1984      156.300000
    23     6  1984      151.230000
    24     6  1984      148.740000
    25     6  1984      151.230000
    26     6  1984      151.230000
    27     6  1984      153.750000
    28     6  1984      176.180000
    29     6  1984      200.420000
    30     6  1984      176.180000
     1     7  1984      158.870000
     2     7  1984      147.500000
     3     7  1984      146.260000
     4     7  1984      148.740000
     5     7  1984      141.390000
     6     7  1984      136.620000
     7     7  1984      126.230000
     8     7  1984      123.980000
     9     7  1984      120.660000
    10     7  1984      118.480000
    11     7  1984      116.320000
    12     7  1984      115.250000
    13     7  1984      116.320000
    14     7  1984      111.020000
    15     7  1984      109.970000
    16     7  1984      109.970000
    17     7  1984      107.910000
    18     7  1984      107.910000
    19     7  1984      108.940000
    20     7  1984      108.940000
    21     7  1984      107.910000
    22     7  1984      107.910000
    23     7  1984      105.860000
    24     7  1984      127.360000
    25     7  1984      135.440000
    26     7  1984      125.100000
    27     7  1984      114.180000
    28     7  1984      104.850000
    29     7  1984       98.880000
    30     7  1984       94.070000
    31     7  1984       90.320000
     1     8  1984       88.480000
     2     8  1984       86.660000
     3     8  1984       84.870000
     4     8  1984       83.090000
     5     8  1984       81.340000
     6     8  1984       79.610000
     7     8  1984       78.750000
     8     8  1984       79.610000
     9     8  1984       79.610000
    10     8  1984       78.750000
    11     8  1984       77.900000
    12     8  1984       77.900000
    13     8  1984       76.210000
    14     8  1984       75.380000
    15     8  1984       74.550000
    16     8  1984       72.900000
    17     8  1984       71.280000
    18     8  1984       71.280000
    19     8  1984       74.550000
    20     8  1984       77.900000
    21     8  1984       77.900000
    22     8  1984       77.900000
    23     8  1984       77.050000
    24     8  1984       76.210000
    25     8  1984       77.900000
    26     8  1984       76.210000
    27     8  1984       75.380000
    28     8  1984       74.550000
    29     8  1984       72.090000
    30     8  1984       72.900000
    31     8  1984       74.550000
     1     9  1984       76.210000
     2     9  1984       76.210000
     3     9  1984       76.210000
     4     9  1984       79.610000
     5     9  1984       86.660000
     6     9  1984       90.320000
     7     9  1984       88.480000
     8     9  1984       84.870000
     9     9  1984       83.090000
    10     9  1984       75.380000
    11     9  1984       70.480000
    12     9  1984       68.890000
    13     9  1984       71.280000
    14     9  1984       77.900000
    15     9  1984       81.340000
    16     9  1984       81.340000
    17     9  1984       86.660000
    18     9  1984       99.860000
    19     9  1984      106.880000
    20     9  1984       99.860000
    21     9  1984       93.130000
    22     9  1984       86.660000
    23     9  1984       83.980000
    24     9  1984       83.090000
    25     9  1984       89.400000
    26     9  1984       99.860000
    27     9  1984      109.970000
    28     9  1984      114.180000
    29     9  1984      122.870000
    30     9  1984      148.740000
     1    10  1984      136.620000
     2    10  1984      114.180000
     3    10  1984      112.070000
     4    10  1984      105.860000
     5    10  1984       99.860000
     6    10  1984       99.860000
     7    10  1984      101.840000
     8    10  1984       96.940000
     9    10  1984       86.660000
    10    10  1984       79.610000
    11    10  1984       77.900000
    12    10  1984       73.720000
    13    10  1984       72.090000
    14    10  1984       72.090000
    15    10  1984       74.550000
    16    10  1984       86.660000
    17    10  1984      100.850000
    18    10  1984      103.840000
    19    10  1984      109.970000
    20    10  1984      136.620000
    21    10  1984      151.230000
    22    10  1984      188.780000
    23    10  1984      252.820000
    24    10  1984      263.130000
    25    10  1984      251.130000
    26    10  1984      224.930000
    27    10  1984      206.390000
    28    10  1984      289.950000
    29    10  1984      395.080000
    30    10  1984      517.230000
    31    10  1984      476.820000
     1    11  1984      415.240000
     2    11  1984      395.080000
     3    11  1984      415.240000
     4    11  1984      589.850000
     5    11  1984      562.300000
     6    11  1984      457.340000
     7    11  1984      401.730000
     8    11  1984      364.890000
     9    11  1984      438.330000
    10    11  1984      758.710000
    11    11  1984      729.880000
    12    11  1984      659.160000
    13    11  1984      587.060000
    14    11  1984      720.420000
    15    11  1984      998.190000
    16    11  1984     1339.690000
    17    11  1984     1436.770000
    18    11  1984     1028.930000
    19    11  1984     1250.930000
    20    11  1984     1403.970000
    21    11  1984     1092.050000
    22    11  1984     1088.040000
    23    11  1984      852.650000
    24    11  1984      659.160000
    25    11  1984      880.680000
    26    11  1984     1710.200000
    27    11  1984     2040.950000
    28    11  1984     2111.260000
    29    11  1984     1673.840000
    30    11  1984     1084.040000
     1    12  1984      956.820000
     2    12  1984      788.210000
     3    12  1984      720.420000
     4    12  1984      683.280000
     5    12  1984     1036.700000
     6    12  1984     1592.450000
     7    12  1984     1339.690000
     8    12  1984      818.360000
     9    12  1984      953.110000
    10    12  1984     1250.930000
    11    12  1984     1281.590000
    12    12  1984     2052.570000
    13    12  1984     2562.900000
    14    12  1984     2794.270000
    15    12  1984     2850.430000
    16    12  1984     2075.930000
    17    12  1984     1195.150000
    18    12  1984     1116.300000
    19    12  1984     1357.880000
    20    12  1984     1124.450000
    21    12  1984      835.400000
    22    12  1984      689.390000
    23    12  1984      698.610000
    24    12  1984      745.820000
    25    12  1984      717.280000
    26    12  1984      765.210000
    27    12  1984     1149.110000
    28    12  1984     1060.210000
    29    12  1984     1357.880000
    30    12  1984     1784.310000
    31    12  1984     1668.680000
     1     1  1985     1182.490000
     2     1  1985      894.900000
     3     1  1985      845.730000
     4     1  1985      798.180000
     5     1  1985      653.210000
     6     1  1985      603.920000
     7     1  1985      845.730000
     8     1  1985     1710.200000
     9     1  1985     2064.230000
    10     1  1985     1904.520000
    11     1  1985     1607.530000
    12     1  1985     1321.660000
    13     1  1985     1455.720000
    14     1  1985     2040.950000
    15     1  1985     2368.450000
    16     1  1985     2231.560000
    17     1  1985     1882.320000
    18     1  1985     1380.810000
    19     1  1985     1128.540000
    20     1  1985     1116.300000
    21     1  1985     1376.210000
    22     1  1985     1250.930000
    23     1  1985     1124.450000
    24     1  1985     1140.860000
    25     1  1985      938.360000
    26     1  1985      825.150000
    27     1  1985      859.610000
    28     1  1985      818.360000
    29     1  1985      884.230000
    30     1  1985      960.540000
    31     1  1985     1068.120000
     1     2  1985     1367.020000
     2     2  1985     1403.970000
     3     2  1985     1068.120000
     4     2  1985     1259.650000
     5     2  1985     1068.120000
     6     2  1985      845.730000
     7     2  1985      650.250000
     8     2  1985      733.050000
     9     2  1985      831.980000
    10     2  1985      931.030000
    11     2  1985      698.610000
    12     2  1985      990.590000
    13     2  1985     1330.660000
    14     2  1985     1465.240000
    15     2  1985     1021.190000
    16     2  1985      695.530000
    17     2  1985      659.160000
    18     2  1985      695.530000
    19     2  1985      811.600000
    20     2  1985      887.780000
    21     2  1985      887.780000
    22     2  1985     1303.760000
    23     2  1985     1465.240000
    24     2  1985     1140.860000
    25     2  1985      912.860000
    26     2  1985      828.560000
    27     2  1985      761.960000
    28     2  1985      804.880000
     1     3  1985     1056.270000
     2     3  1985     1100.100000
     3     3  1985     1658.390000
     4     3  1985     2064.230000
     5     3  1985     2305.640000
     6     3  1985     2864.570000
     7     3  1985     2964.720000
     8     3  1985     2843.370000
     9     3  1985     2878.760000
    10     3  1985     3178.650000
    11     3  1985     3308.150000
    12     3  1985     3377.950000
    13     3  1985     3178.650000
    14     3  1985     2040.950000
    15     3  1985     2111.260000
    16     3  1985     2643.220000
    17     3  1985     2878.760000
    18     3  1985     3008.260000
    19     3  1985     2549.660000
    20     3  1985     1949.380000
    21     3  1985     2318.120000
    22     3  1985     2497.080000
    23     3  1985     2451.610000
    24     3  1985     1983.430000
    25     3  1985     1330.660000
    26     3  1985      674.180000
    27     3  1985      692.450000
    28     3  1985      791.520000
    29     3  1985      818.360000
    30     3  1985     1632.840000
    31     3  1985     1465.240000
     1     4  1985     1460.480000
     2     4  1985     1731.180000
     3     4  1985     2280.790000
     4     4  1985     2629.730000
     5     4  1985     3193.730000
     6     4  1985     3544.150000
     7     4  1985     3781.430000
     8     4  1985     3840.060000
     9     4  1985     3773.100000
    10     4  1985     3773.100000
    11     4  1985     3723.330000
    12     4  1985     3331.320000
    13     4  1985     2140.970000
    14     4  1985     1699.760000
    15     4  1985     1679.000000
    16     4  1985     1658.390000
    17     4  1985     1233.610000
    18     4  1985      975.500000
    19     4  1985     1076.070000
    20     4  1985     1056.270000
    21     4  1985     1277.190000
    22     4  1985     1413.300000
    23     4  1985     1394.680000
    24     4  1985     1532.960000
    25     4  1985     1689.370000
    26     4  1985     1816.640000
    27     4  1985     1860.270000
    28     4  1985     1403.970000
    29     4  1985     1207.890000
    30     4  1985      920.100000
     1     5  1985      831.980000
     2     5  1985     1413.300000
     3     5  1985     1757.630000
     4     5  1985     1822.060000
     5     5  1985     1587.440000
     6     5  1985     1080.050000
     7     5  1985     1124.450000
     8     5  1985     1048.420000
     9     5  1985      971.740000
    10     5  1985      891.330000
    11     5  1985      859.610000
    12     5  1985      845.730000
    13     5  1985      814.980000
    14     5  1985      804.880000
    15     5  1985      873.630000
    16     5  1985     1013.490000
    17     5  1985      971.740000
    18     5  1985     1040.600000
    19     5  1985     1124.450000
    20     5  1985     1080.050000
    21     5  1985      916.480000
    22     5  1985      818.360000
    23     5  1985      781.590000
    24     5  1985      720.420000
    25     5  1985      641.410000
    26     5  1985      530.250000
    27     5  1985      403.960000
    28     5  1985      371.240000
    29     5  1985      386.310000
    30     5  1985      373.370000
    31     5  1985      364.890000
     1     6  1985      336.100000
     2     6  1985      304.890000
     3     6  1985      279.040000
     4     6  1985      264.870000
     5     6  1985      261.390000
     6     6  1985      259.670000
     7     6  1985      251.130000
     8     6  1985      244.420000
     9     6  1985      254.520000
    10     6  1985      282.650000
    11     6  1985      279.040000
    12     6  1985      264.870000
    13     6  1985      246.090000
    14     6  1985      221.780000
    15     6  1985      200.420000
