THAUMATURGO	-72.795	-8.946
    20     2  1984     1938.510000
    21     2  1984     2261.600000
    22     2  1984     2221.990000
    23     2  1984     1505.260000
    24     2  1984      924.340000
    25     2  1984     1014.860000
    26     2  1984      871.280000
    27     2  1984      747.150000
    28     2  1984      549.780000
    29     2  1984      691.780000
     1     3  1984      613.370000
     2     3  1984      473.110000
     3     3  1984      897.640000
     4     3  1984      956.830000
     5     3  1984      710.830000
     6     3  1984      487.230000
     7     3  1984      784.260000
     8     3  1984      897.640000
     9     3  1984      730.100000
    10     3  1984      593.310000
    11     3  1984     1616.780000
    12     3  1984     2062.830000
    13     3  1984     1710.610000
    14     3  1984      817.060000
    15     3  1984      461.150000
    16     3  1984      410.900000
    17     3  1984      394.090000
    18     3  1984      645.160000
    19     3  1984     1103.250000
    20     3  1984     1031.720000
    21     3  1984      696.520000
    22     3  1984      582.290000
    23     3  1984      489.260000
    24     3  1984      418.460000
    25     3  1984      390.400000
    26     3  1984      364.980000
    27     3  1984      328.270000
    28     3  1984      333.410000
    29     3  1984      399.660000
    30     3  1984      652.060000
    31     3  1984      722.850000
     1     4  1984      608.890000
     2     4  1984      549.780000
     3     4  1984      497.420000
     4     4  1984      507.710000
     5     4  1984      814.520000
     6     4  1984     1403.680000
     7     4  1984     1234.220000
     8     4  1984     1197.870000
     9     4  1984     1080.130000
    10     4  1984      905.610000
    11     4  1984      687.060000
    12     4  1984     1311.490000
    13     4  1984     1452.440000
    14     4  1984     1203.890000
    15     4  1984      965.020000
    16     4  1984      672.960000
    17     4  1984      518.090000
    18     4  1984      547.640000
    19     4  1984      588.890000
    20     4  1984      435.710000
    21     4  1984      366.770000
    22     4  1984      399.660000
    23     4  1984      706.050000
    24     4  1984      611.130000
    25     4  1984      399.660000
    26     4  1984      708.440000
    27     4  1984      796.810000
    28     4  1984      465.120000
    29     4  1984      301.450000
    30     4  1984      224.170000
     1     5  1984      418.460000
     2     5  1984      313.060000
     3     5  1984      240.310000
     4     5  1984      224.170000
     5     5  1984      214.890000
     6     5  1984      190.350000
     7     5  1984      167.040000
     8     5  1984      165.910000
