JATUARANA	-59.678	-3.052
    15    12  1983    83312.600000
    16    12  1983    83801.700000
    17    12  1983    84644.600000
    18    12  1983    85635.200000
    19    12  1983    86347.400000
    20    12  1983    87063.600000
    21    12  1983    88217.700000
    22    12  1983    88798.500000
    23    12  1983    89381.900000
    24    12  1983    90041.300000
    25    12  1983    90851.600000
    26    12  1983    91666.700000
    27    12  1983    92337.300000
    28    12  1983    92861.100000
    29    12  1983    93537.400000
    30    12  1983    94065.700000
    31    12  1983    94900.000000
     1     1  1984    95509.800000
     2     1  1984    96122.200000
     3     1  1984    96737.200000
     4     1  1984    97122.900000
     5     1  1984    97432.200000
     6     1  1984    97975.100000
     7     1  1984    98676.000000
     8     1  1984    99066.900000
     9     1  1984    99615.800000
    10     1  1984   100325.000000
    11     1  1984   101116.000000
    12     1  1984   101593.000000
    13     1  1984   102231.000000
    14     1  1984   103032.000000
    15     1  1984   103676.000000
    16     1  1984   104080.000000
    17     1  1984   104485.000000
    18     1  1984   105054.000000
    19     1  1984   105625.000000
    20     1  1984   106034.000000
    21     1  1984   106362.000000
    22     1  1984   106855.000000
    23     1  1984   107267.000000
    24     1  1984   107680.000000
    25     1  1984   107929.000000
    26     1  1984   107929.000000
    27     1  1984   108261.000000
    28     1  1984   108760.000000
    29     1  1984   109093.000000
    30     1  1984   109093.000000
    31     1  1984   109344.000000
     1     2  1984   109678.000000
     2     2  1984   109930.000000
     3     2  1984   110266.000000
     4     2  1984   110771.000000
     5     2  1984   111193.000000
     6     2  1984   111701.000000
     7     2  1984   112041.000000
     8     2  1984   112636.000000
     9     2  1984   113234.000000
    10     2  1984   113577.000000
    11     2  1984   114092.000000
    12     2  1984   114437.000000
    13     2  1984   115041.000000
    14     2  1984   115560.000000
    15     2  1984   115995.000000
    16     2  1984   116430.000000
    17     2  1984   116866.000000
    18     2  1984   117479.000000
    19     2  1984   117918.000000
    20     2  1984   118358.000000
    21     2  1984   118799.000000
    22     2  1984   119489.000000
    23     2  1984   119489.000000
    24     2  1984   121176.000000
    25     2  1984   122025.000000
    26     2  1984   122771.000000
    27     2  1984   123307.000000
    28     2  1984   123843.000000
    29     2  1984   124489.000000
     1     3  1984   124921.000000
     2     3  1984   125354.000000
     3     3  1984   125788.000000
     4     3  1984   126331.000000
     5     3  1984   127424.000000
     6     3  1984   128082.000000
     7     3  1984   128632.000000
     8     3  1984   129074.000000
     9     3  1984   129849.000000
    10     3  1984   130627.000000
    11     3  1984   131073.000000
    12     3  1984   131743.000000
    13     3  1984   132192.000000
    14     3  1984   132754.000000
    15     3  1984   133318.000000
    16     3  1984   133770.000000
    17     3  1984   134450.000000
    18     3  1984   135246.000000
    19     3  1984   135816.000000
    20     3  1984   136274.000000
    21     3  1984   136733.000000
    22     3  1984   137193.000000
    23     3  1984   137653.000000
    24     3  1984   138115.000000
    25     3  1984   138578.000000
    26     3  1984   139042.000000
    27     3  1984   139158.000000
    28     3  1984   139158.000000
    29     3  1984   139390.000000
    30     3  1984   139623.000000
    31     3  1984   139856.000000
     1     4  1984   140089.000000
     2     4  1984   140556.000000
     3     4  1984   140790.000000
     4     4  1984   141025.000000
     5     4  1984   141259.000000
     6     4  1984   141259.000000
     7     4  1984   141259.000000
     8     4  1984   141494.000000
     9     4  1984   141729.000000
    10     4  1984   141964.000000
    11     4  1984   142200.000000
    12     4  1984   142200.000000
    13     4  1984   142672.000000
    14     4  1984   142908.000000
    15     4  1984   143263.000000
    16     4  1984   143619.000000
    17     4  1984   143856.000000
    18     4  1984   144094.000000
    19     4  1984   144332.000000
    20     4  1984   144570.000000
    21     4  1984   144808.000000
    22     4  1984   145166.000000
    23     4  1984   145525.000000
    24     4  1984   145765.000000
    25     4  1984   146244.000000
    26     4  1984   146725.000000
    27     4  1984   147690.000000
    28     4  1984   148780.000000
    29     4  1984   149388.000000
    30     4  1984   149789.000000
     1     5  1984   150595.000000
     2     5  1984   152621.000000
     3     5  1984   153028.000000
     4     5  1984   153436.000000
     5     5  1984   153845.000000
     6     5  1984   155076.000000
     7     5  1984   156106.000000
     8     5  1984   156934.000000
     9     5  1984   157765.000000
    10     5  1984   158390.000000
    11     5  1984   159016.000000
    12     5  1984   159854.000000
    13     5  1984   160485.000000
    14     5  1984   160906.000000
    15     5  1984   161751.000000
    16     5  1984   162598.000000
    17     5  1984   163449.000000
    18     5  1984   164089.000000
    19     5  1984   164730.000000
    20     5  1984   165159.000000
    21     5  1984   165588.000000
    22     5  1984   166234.000000
    23     5  1984   167097.000000
    24     5  1984   168180.000000
    25     5  1984   169704.000000
    26     5  1984   170360.000000
    27     5  1984   170360.000000
    28     5  1984   170360.000000
    29     5  1984   170579.000000
    30     5  1984   170579.000000
    31     5  1984   170579.000000
     1     6  1984   170799.000000
     2     6  1984   171238.000000
     3     6  1984   171898.000000
     4     6  1984   172559.000000
     5     6  1984   172559.000000
     6     6  1984   173002.000000
     7     6  1984   173444.000000
     8     6  1984   173888.000000
