ASSISBRASIL	-69.550	-10.933
    22    11  1983       19.420000
    23    11  1983       16.400000
    24    11  1983       28.100000
    25    11  1983       33.570000
    26    11  1983       27.150000
    27    11  1983       19.810000
    28    11  1983       13.980000
    29    11  1983       16.760000
    30    11  1983       13.320000
     1    12  1983       20.210000
     2    12  1983       26.690000
     3    12  1983       22.690000
     4    12  1983       23.990000
     5    12  1983       49.750000
     6    12  1983       52.320000
     7    12  1983      135.330000
     8    12  1983      128.010000
     9    12  1983       56.310000
    10    12  1983       21.850000
    11    12  1983       11.450000
    12    12  1983        6.920000
    13    12  1983        5.400000
    14    12  1983        4.800000
    15    12  1983        6.030000
    16    12  1983        7.640000
    17    12  1983        6.920000
    18    12  1983       10.000000
    19    12  1983        9.440000
    20    12  1983       11.450000
    21    12  1983       10.280000
    22    12  1983        6.030000
    23    12  1983        5.000000
    24    12  1983        4.240000
    25    12  1983        4.060000
    26    12  1983        4.060000
    27    12  1983        6.470000
    28    12  1983        7.880000
    29    12  1983        4.420000
    30    12  1983        5.190000
    31    12  1983        6.470000
     1     1  1984       61.160000
     2     1  1984       66.210000
     3     1  1984       32.540000
     4     1  1984       18.640000
     5     1  1984       35.680000
     6     1  1984       38.970000
     7     1  1984      207.950000
     8     1  1984      158.530000
     9     1  1984       90.170000
    10     1  1984       50.390000
    11     1  1984       61.870000
    12     1  1984      231.320000
    13     1  1984      255.700000
    14     1  1984      107.300000
    15     1  1984       81.760000
    16     1  1984       63.300000
    17     1  1984       97.190000
    18     1  1984       90.170000
    19     1  1984       57.680000
    20     1  1984       35.150000
    21     1  1984       33.570000
    22     1  1984       95.410000
    23     1  1984       64.020000
    24     1  1984       58.370000
    25     1  1984       40.680000
    26     1  1984       32.030000
    27     1  1984       27.150000
    28     1  1984       46.010000
    29     1  1984      141.760000
    30     1  1984      307.420000
    31     1  1984      251.790000
     1     2  1984      307.420000
     2     2  1984      301.800000
     3     2  1984      283.800000
     4     2  1984      140.680000
     5     2  1984       92.770000
     6     2  1984      178.690000
     7     2  1984      209.160000
     8     2  1984      117.910000
     9     2  1984      110.140000
    10     2  1984      294.820000
    11     2  1984      184.850000
    12     2  1984      140.680000
    13     2  1984      145.040000
    14     2  1984       98.990000
    15     2  1984      115.950000
    16     2  1984      225.070000
    17     2  1984      166.680000
    18     2  1984      169.050000
    19     2  1984      138.530000
    20     2  1984      112.060000
    21     2  1984       78.520000
    22     2  1984       66.940000
    23     2  1984      178.690000
    24     2  1984      151.710000
    25     2  1984      181.140000
    26     2  1984      128.010000
    27     2  1984       86.750000
    28     2  1984       52.320000
    29     2  1984      125.950000
     1     3  1984       85.910000
     2     3  1984      119.900000
     3     3  1984       65.470000
     4     3  1984       43.000000
     5     3  1984       30.030000
     6     3  1984       24.870000
     7     3  1984       33.050000
     8     3  1984       41.250000
     9     3  1984       24.870000
    10     3  1984       19.030000
    11     3  1984      221.360000
    12     3  1984      117.910000
    13     3  1984      136.390000
    14     3  1984       59.750000
    15     3  1984       37.310000
    16     3  1984       24.430000
    17     3  1984       31.520000
    18     3  1984      443.400000
    19     3  1984      318.800000
    20     3  1984      151.710000
    21     3  1984      514.490000
    22     3  1984      304.600000
    23     3  1984      222.590000
    24     3  1984      183.610000
    25     3  1984      114.970000
    26     3  1984       68.430000
    27     3  1984      118.900000
    28     3  1984      147.250000
    29     3  1984       78.520000
    30     3  1984      173.830000
    31     3  1984       88.450000
     1     4  1984       63.300000
     2     4  1984       68.430000
     3     4  1984      100.810000
     4     4  1984      458.270000
     5     4  1984     1124.330000
     6     4  1984      330.360000
     7     4  1984      230.070000
     8     4  1984      283.800000
     9     4  1984      307.420000
    10     4  1984      117.910000
    11     4  1984       65.470000
    12     4  1984      138.530000
