MANICORÉ	-61.302	-5.817
    22    11  1983    10432.800000
    23    11  1983    10612.900000
    24    11  1983    10754.100000
    25    11  1983    10876.000000
    26    11  1983    11039.800000
    27    11  1983    11205.000000
    28    11  1983    11434.400000
    29    11  1983    11751.600000
    30    11  1983    12073.700000
     1    12  1983    12356.900000
     2    12  1983    12555.200000
     3    12  1983    12710.700000
     4    12  1983    12867.200000
     5    12  1983    13024.900000
     6    12  1983    12979.800000
     7    12  1983    13458.400000
     8    12  1983    13806.400000
     9    12  1983    14207.000000
    10    12  1983    14710.900000
    11    12  1983    15224.900000
    12    12  1983    15698.700000
    13    12  1983    16027.600000
    14    12  1983    16283.300000
    15    12  1983    16515.500000
    16    12  1983    16775.600000
    17    12  1983    16932.800000
    18    12  1983    17117.200000
    19    12  1983    17143.700000
    20    12  1983    17090.800000
    21    12  1983    16985.400000
    22    12  1983    16854.100000
    23    12  1983    16697.300000
    24    12  1983    16567.300000
    25    12  1983    16489.600000
    26    12  1983    16489.600000
    27    12  1983    16697.300000
    28    12  1983    17011.700000
    29    12  1983    17356.100000
    30    12  1983    18358.000000
    31    12  1983    19677.300000
     1     1  1984    20635.100000
     2     1  1984    21348.000000
     3     1  1984    21861.500000
     4     1  1984    22598.300000
     5     1  1984    23160.100000
     6     1  1984    23953.500000
     7     1  1984    24762.300000
     8     1  1984    25354.100000
     9     1  1984    25820.000000
    10     1  1984    26155.700000
    11     1  1984    26527.900000
    12     1  1984    26834.700000
    13     1  1984    27177.900000
    14     1  1984    27732.300000
    15     1  1984    28646.800000
    16     1  1984    29361.900000
    17     1  1984    30014.100000
    18     1  1984    30380.000000
    19     1  1984    30748.400000
    20     1  1984    31119.400000
    21     1  1984    31418.000000
    22     1  1984    32020.200000
    23     1  1984    32782.100000
    24     1  1984    33166.900000
    25     1  1984    33399.000000
    26     1  1984    33787.900000
    27     1  1984    34136.200000
    28     1  1984    34311.100000
    29     1  1984    34556.100000
    30     1  1984    34766.300000
    31     1  1984    34906.600000
     1     2  1984    35011.900000
     2     2  1984    35117.200000
     3     2  1984    35292.900000
     4     2  1984    35468.700000
     5     2  1984    35679.800000
     6     2  1984    35856.000000
     7     2  1984    36102.800000
     8     2  1984    36314.600000
     9     2  1984    36561.900000
    10     2  1984    36774.100000
    11     2  1984    36915.700000
    12     2  1984    37092.800000
    13     2  1984    37305.600000
    14     2  1984    37483.000000
    15     2  1984    37660.600000
    16     2  1984    37873.900000
    17     2  1984    38087.300000
    18     2  1984    38301.000000
    19     2  1984    38514.900000
    20     2  1984    38693.300000
    21     2  1984    38871.800000
    22     2  1984    39229.200000
    23     2  1984    39300.800000
    24     2  1984    39515.600000
    25     2  1984    39730.500000
    26     2  1984    39945.700000
    27     2  1984    40161.100000
    28     2  1984    40448.600000
    29     2  1984    40664.400000
     1     3  1984    40952.400000
     2     3  1984    41240.800000
     3     3  1984    41457.400000
     4     3  1984    41674.100000
     5     3  1984    41854.800000
     6     3  1984    42108.000000
     7     3  1984    42252.900000
     8     3  1984    42470.300000
     9     3  1984    42760.400000
    10     3  1984    42905.600000
    11     3  1984    43196.200000
