CRUZEIRODOSUL	-72.681	-7.611
    26    11  1984     1122.260000
    27    11  1984     1354.860000
    28    11  1984     1559.440000
    29    11  1984     1727.440000
    30    11  1984     1773.050000
     1    12  1984     1733.900000
     2    12  1984     1733.900000
     3    12  1984     1663.760000
     4    12  1984     1500.340000
     5    12  1984     1320.460000
     6    12  1984     1269.590000
     7    12  1984     1186.750000
     8    12  1984     1109.020000
     9    12  1984     1038.730000
    10    12  1984      972.960000
    11    12  1984      935.880000
    12    12  1984     1059.350000
    13    12  1984     1331.880000
    14    12  1984     1457.090000
    15    12  1984     1454.240000
    16    12  1984     1278.010000
    17    12  1984     1064.530000
    18    12  1984      909.090000
    19    12  1984      814.550000
    20    12  1984      928.540000
    21    12  1984     1101.110000
    22    12  1984     1395.490000
    23    12  1984     1529.680000
    24    12  1984     1538.560000
    25    12  1984     1357.750000
    26    12  1984     1140.910000
    27    12  1984      967.980000
    28    12  1984      943.240000
    29    12  1984     1261.190000
    30    12  1984     1535.600000
    31    12  1984     1695.380000
     1     1  1985     1779.640000
     2     1  1985     1843.110000
     3     1  1985     1769.770000
     4     1  1985     1589.610000
     5     1  1985     1323.310000
     6     1  1985     1028.490000
     7     1  1985      809.940000
     8     1  1985      594.380000
     9     1  1985      461.140000
    10     1  1985      547.030000
    11     1  1985      837.760000
    12     1  1985      894.620000
    13     1  1985      899.430000
    14     1  1985      894.620000
    15     1  1985      938.330000
    16     1  1985     1146.260000
    17     1  1985     1383.830000
    18     1  1985     1401.330000
    19     1  1985     1233.390000
    20     1  1985     1074.930000
    21     1  1985      861.250000
    22     1  1985      784.810000
    23     1  1985      713.680000
    24     1  1985      643.450000
    25     1  1985      568.520000
    26     1  1985      524.010000
    27     1  1985      466.540000
    28     1  1985      520.210000
    29     1  1985      594.380000
    30     1  1985      685.630000
    31     1  1985      863.610000
     1     2  1985     1038.730000
     2     2  1985     1101.110000
     3     2  1985     1186.750000
     4     2  1985     1241.700000
     5     2  1985     1269.590000
     6     2  1985     1148.940000
     7     2  1985     1008.140000
     8     2  1985     1005.610000
     9     2  1985     1143.580000
    10     2  1985     1192.200000
    11     2  1985     1203.130000
    12     2  1985     1208.600000
    13     2  1985     1194.930000
    14     2  1985     1116.960000
    15     2  1985     1064.530000
    16     2  1985      993.000000
    17     2  1985      963.010000
    18     2  1985      923.660000
    19     2  1985      885.030000
    20     2  1985      863.610000
    21     2  1985      837.760000
    22     2  1985      819.170000
    23     2  1985      823.800000
    24     2  1985      892.210000
    25     2  1985      967.980000
    26     2  1985     1000.560000
    27     2  1985     1018.290000
    28     2  1985     1041.300000
     1     3  1985     1074.930000
     2     3  1985     1138.230000
     3     3  1985     1314.770000
     4     3  1985     1407.190000
     5     3  1985     1477.160000
     6     3  1985     1626.380000
     7     3  1985     1737.140000
     8     3  1985     1812.840000
     9     3  1985     1866.900000
    10     3  1985     1877.170000
    11     3  1985     1911.680000
    12     3  1985     1925.610000
    13     3  1985     1922.120000
    14     3  1985     1860.080000
    15     3  1985     1873.740000
    16     3  1985     1929.100000
    17     3  1985     2087.480000
    18     3  1985     2305.780000
    19     3  1985     2401.760000
    20     3  1985     2450.350000
    21     3  1985     2450.350000
    22     3  1985     2413.870000
    23     3  1985     2389.670000
    24     3  1985     2329.620000
    25     3  1985     2247.260000
    26     3  1985     2139.790000
    27     3  1985     1982.080000
    28     3  1985     1792.870000
    29     3  1985     1660.620000
    30     3  1985     1529.680000
    31     3  1985     1451.400000
     1     4  1985     1404.260000
     2     4  1985     1401.330000
     3     4  1985     1465.670000
     4     4  1985     1506.170000
     5     4  1985     1451.400000
     6     4  1985     1343.350000
     7     4  1985     1241.700000
     8     4  1985     1197.660000
     9     4  1985     1278.010000
    10     4  1985     1378.010000
    11     4  1985     1459.950000
    12     4  1985     1454.240000
    13     4  1985     1401.330000
    14     4  1985     1349.100000
    15     4  1985     1292.090000
    16     4  1985     1280.820000
    17     4  1985     1241.700000
    18     4  1985     1170.480000
    19     4  1985     1146.260000
    20     4  1985     1138.230000
    21     4  1985     1247.260000
    22     4  1985     1401.330000
    23     4  1985     1436.640000
    24     4  1985     1477.160000
    25     4  1985     1547.480000
    26     4  1985     1601.800000
    27     4  1985     1759.930000
    28     4  1985     1796.190000
    29     4  1985     1786.250000
    30     4  1985     1727.440000
     1     5  1985     1638.770000
     2     5  1985     1553.450000
     3     5  1985     1565.440000
     4     5  1985     1651.230000
     5     5  1985     1689.020000
     6     5  1985     1651.230000
     7     5  1985     1541.530000
     8     5  1985     1317.610000
     9     5  1985     1132.900000
    10     5  1985      963.010000
    11     5  1985      828.440000
    12     5  1985      773.500000
    13     5  1985      800.760000
    14     5  1985      882.640000
    15     5  1985      970.470000
    16     5  1985     1170.480000
    17     5  1985     1250.040000
    18     5  1985     1236.160000
    19     5  1985     1138.230000
    20     5  1985     1119.610000
    21     5  1985     1122.260000
    22     5  1985     1093.230000
    23     5  1985     1043.870000
    24     5  1985     1023.390000
    25     5  1985      987.970000
    26     5  1985      967.980000
    27     5  1985      933.430000
    28     5  1985      880.250000
    29     5  1985      814.550000
    30     5  1985      751.100000
    31     5  1985      728.980000
     1     6  1985      707.160000
     2     6  1985      685.630000
     3     6  1985      666.500000
     4     6  1985      689.910000
     5     6  1985      724.600000
     6     6  1985      713.680000
     7     6  1985      692.060000
     8     6  1985      653.880000
     9     6  1985      608.520000
    10     6  1985      566.550000
    11     6  1985      543.170000
    12     6  1985      471.980000
    13     6  1985      417.170000
    14     6  1985      362.120000
    15     6  1985      321.170000
    16     6  1985      288.210000
    17     6  1985      268.060000
    18     6  1985      256.830000
    19     6  1985      248.550000
    20     6  1985      254.060000
    21     6  1985      261.020000
    22     6  1985      268.060000
    23     6  1985      269.480000
    24     6  1985      273.750000
    25     6  1985      273.750000
    26     6  1985      273.750000
    27     6  1985      279.500000
    28     6  1985      285.290000
    29     6  1985      288.210000
    30     6  1985      292.610000
     1     7  1985      297.050000
     2     7  1985      292.610000
     3     7  1985      280.940000
     4     7  1985      254.060000
     5     7  1985      233.670000
     6     7  1985      221.800000
     7     7  1985      214.040000
     8     7  1985      221.800000
     9     7  1985      243.090000
    10     7  1985      251.300000
    11     7  1985      258.220000
    12     7  1985      265.230000
    13     7  1985      262.420000
    14     7  1985      248.550000
    15     7  1985      237.690000
    16     7  1985      220.500000
    17     7  1985      203.880000
    18     7  1985      186.630000
    19     7  1985      172.370000
    20     7  1985      160.870000
    21     7  1985      154.140000
    22     7  1985      147.530000
    23     7  1985      144.280000
    24     7  1985      141.060000
    25     7  1985      138.930000
    26     7  1985      136.810000
    27     7  1985      132.620000
    28     7  1985      130.540000
    29     7  1985      129.510000
    30     7  1985      128.480000
    31     7  1985      128.480000
     1     8  1985      145.360000
     2     8  1985      165.430000
     3     8  1985      179.440000
     4     8  1985      174.710000
     5     8  1985      193.940000
     6     8  1985      200.130000
     7     8  1985      187.840000
     8     8  1985      179.440000
     9     8  1985      177.070000
    10     8  1985      173.540000
    11     8  1985      178.250000
    12     8  1985      181.820000
    13     8  1985      174.710000
    14     8  1985      166.580000
    15     8  1985      151.920000
    16     8  1985      136.810000
    17     8  1985      126.440000
    18     8  1985      122.390000
    19     8  1985      122.390000
    20     8  1985      124.410000
    21     8  1985      122.390000
    22     8  1985      124.410000
    23     8  1985      130.540000
    24     8  1985      136.810000
    25     8  1985      143.200000
    26     8  1985      143.200000
    27     8  1985      136.810000
    28     8  1985      126.440000
    29     8  1985      131.580000
    30     8  1985      136.810000
    31     8  1985      147.530000
     1     9  1985      158.610000
     2     9  1985      174.710000
     3     9  1985      158.610000
     4     9  1985      154.140000
     5     9  1985      151.920000
     6     9  1985      147.530000
     7     9  1985      151.920000
     8     9  1985      158.610000
     9     9  1985      165.430000
    10     9  1985      157.490000
    11     9  1985      134.710000
    12     9  1985      120.390000
    13     9  1985      112.530000
    14     9  1985      104.900000
    15     9  1985      102.100000
    16     9  1985      103.030000
    17     9  1985      118.400000
    18     9  1985      145.360000
    19     9  1985      174.710000
    20     9  1985      201.380000
    21     9  1985      237.690000
    22     9  1985      259.620000
    23     9  1985      243.090000
    24     9  1985      221.800000
    25     9  1985      193.940000
    26     9  1985      196.410000
    27     9  1985      224.420000
    28     9  1985      268.060000
    29     9  1985      288.210000
    30     9  1985      309.000000
     1    10  1985      321.170000
     2    10  1985      328.880000
     3    10  1985      324.240000
     4    10  1985      303.000000
     5    10  1985      294.090000
     6    10  1985      288.210000
     7    10  1985      309.000000
     8    10  1985      365.360000
     9    10  1985      380.090000
    10    10  1985      349.290000
    11    10  1985      300.020000
    12    10  1985      278.060000
    13    10  1985      331.980000
    14    10  1985      390.060000
    15    10  1985      429.290000
    16    10  1985      432.780000
    17    10  1985      412.030000
    18    10  1985      395.080000
    19    10  1985      391.730000
    20    10  1985      388.390000
    21    10  1985      381.750000
    22    10  1985      373.510000
    23    10  1985      366.980000
    24    10  1985      362.120000
    25    10  1985      365.360000
    26    10  1985      378.440000
    27    10  1985      408.610000
    28    10  1985      415.460000
    29    10  1985      443.320000
    30    10  1985      562.620000
    31    10  1985      631.020000
     1    11  1985      660.180000
     2    11  1985      550.910000
     3    11  1985      466.540000
     4    11  1985      524.010000
     5    11  1985      602.440000
