FÉEESPERANÇA	-61.441	2.871
    31     1  1985      149.753000
     1     2  1985      145.534000
     2     2  1985      139.245000
     3     2  1985      135.078000
     4     2  1985      130.933000
     5     2  1985      124.755000
     6     2  1985      122.707000
     7     2  1985      117.646000
     8     2  1985      114.396000
     9     2  1985      111.188000
    10     2  1985      112.786000
    11     2  1985      111.188000
    12     2  1985      108.022000
    13     2  1985      103.353000
    14     2  1985      101.818000
    15     2  1985      100.294000
    16     2  1985       98.779800
    17     2  1985       95.784400
    18     2  1985       92.831700
    19     2  1985       89.921800
    20     2  1985       88.483000
    21     2  1985       87.055000
    22     2  1985       85.637700
    23     2  1985       84.231200
    24     2  1985       80.076600
    25     2  1985       77.361000
    26     2  1985       80.076600
    27     2  1985       81.450600
    28     2  1985       78.713300
     1     3  1985       76.019500
     2     3  1985       73.369100
     3     3  1985       72.060200
     4     3  1985       73.369100
     5     3  1985       74.688800
     6     3  1985       74.688800
     7     3  1985       72.060200
     8     3  1985       69.475300
     9     3  1985       68.199300
    10     3  1985       77.361000
    11     3  1985       74.688800
    12     3  1985       68.199300
    13     3  1985       65.680100
    14     3  1985       61.983900
    15     3  1985       61.983900
    16     3  1985       63.205000
    17     3  1985       63.205000
    18     3  1985       66.934200
    19     3  1985       78.713300
    20     3  1985       81.450600
    21     3  1985       73.369100
    22     3  1985       66.934200
    23     3  1985       63.205000
    24     3  1985       60.773900
    25     3  1985       59.574900
    26     3  1985       57.210300
    27     3  1985       56.044600
    28     3  1985       59.574900
    29     3  1985       59.574900
    30     3  1985       74.688800
    31     3  1985       77.361000
     1     4  1985       74.688800
     2     4  1985       63.205000
     3     4  1985       57.210300
     4     4  1985       54.890000
     5     4  1985       54.890000
     6     4  1985       52.614400
     7     4  1985       49.284700
     8     4  1985       48.197300
     9     4  1985       47.121100
    10     4  1985       45.002500
    11     4  1985       43.960200
    12     4  1985       43.960200
    13     4  1985       40.901200
    14     4  1985       38.918700
    15     4  1985       38.918700
    16     4  1985       38.918700
    17     4  1985       37.944600
    18     4  1985       36.030800
    19     4  1985       34.163000
    20     4  1985       35.091100
    21     4  1985       34.163000
    22     4  1985       33.246400
    23     4  1985       33.246400
    24     4  1985       32.341300
    25     4  1985       32.341300
    26     4  1985       32.341300
    27     4  1985       34.163000
    28     4  1985       42.929100
    29     4  1985       68.199300
    30     4  1985       98.779800
     1     5  1985      137.159000
     2     5  1985      117.646000
     3     5  1985      111.188000
     4     5  1985       95.784400
     5     5  1985      126.809000
     6     5  1985      139.245000
     7     5  1985      143.433000
     8     5  1985      151.869000
     9     5  1985      126.809000
    10     5  1985      111.188000
    11     5  1985      117.646000
    12     5  1985      179.818000
    13     5  1985      204.053000
    14     5  1985      173.299000
    15     5  1985      151.869000
    16     5  1985      133.003000
    17     5  1985      120.938000
    18     5  1985      117.646000
    19     5  1985      135.078000
    20     5  1985      147.641000
    21     5  1985      135.078000
    22     5  1985      143.433000
    23     5  1985      117.646000
    24     5  1985      120.938000
    25     5  1985      111.188000
    26     5  1985      128.868000
    27     5  1985      215.233000
    28     5  1985      260.899000
    29     5  1985      291.330000
    30     5  1985      319.901000
    31     5  1985      361.110000
     1     6  1985      398.137000
     2     6  1985      463.681000
     3     6  1985      616.344000
     4     6  1985      583.532000
     5     6  1985      517.329000
     6     6  1985      510.138000
     7     6  1985      493.491000
     8     6  1985      418.126000
     9     6  1985      398.137000
    10     6  1985      413.114000
    11     6  1985      476.472000
    12     6  1985      385.728000
    13     6  1985      366.012000
    14     6  1985      339.190000
    15     6  1985      346.471000
    16     6  1985      358.663000
    17     6  1985      319.901000
    18     6  1985      288.970000
    19     6  1985      288.970000
    20     6  1985      315.108000
    21     6  1985      324.705000
    22     6  1985      305.560000
    23     6  1985      281.907000
    24     6  1985      307.942000
    25     6  1985      408.111000
    26     6  1985      348.904000
    27     6  1985      324.705000
    28     6  1985      425.664000
    29     6  1985      546.425000
    30     6  1985      463.681000
     1     7  1985      400.627000
     2     7  1985      430.701000
     3     7  1985      561.170000
     4     7  1985      543.980000
     5     7  1985      448.409000
     6     7  1985      378.314000
     7     7  1985      331.934000
     8     7  1985      298.431000
     9     7  1985      288.970000
    10     7  1985      296.061000
    11     7  1985      305.560000
    12     7  1985      312.717000
    13     7  1985      305.560000
    14     7  1985      288.970000
    15     7  1985      307.942000
    16     7  1985      390.684000
    17     7  1985      438.276000
    18     7  1985      486.413000
    19     7  1985      488.769000
    20     7  1985      526.969000
    21     7  1985      526.969000
    22     7  1985      531.810000
    23     7  1985      634.258000
    24     7  1985      526.969000
    25     7  1985      479.037000
    26     7  1985      468.790000
    27     7  1985      445.872000
    28     7  1985      438.276000
    29     7  1985      468.790000
    30     7  1985      507.749000
    31     7  1985      443.338000
     1     8  1985      433.224000
     2     8  1985      408.111000
     3     8  1985      423.149000
     4     8  1985      430.701000
     5     8  1985      413.114000
     6     8  1985      425.664000
     7     8  1985      425.664000
     8     8  1985      621.444000
     9     8  1985      696.959000
    10     8  1985      556.240000
    11     8  1985      526.969000
    12     8  1985      517.329000
    13     8  1985      522.141000
    14     8  1985      517.329000
    15     8  1985      468.790000
    16     8  1985      471.349000
    17     8  1985      423.149000
    18     8  1985      415.619000
    19     8  1985      450.948000
    20     8  1985      458.581000
    21     8  1985      413.114000
    22     8  1985      400.627000
    23     8  1985      458.581000
    24     8  1985      463.681000
    25     8  1985      493.491000
    26     8  1985      571.073000
    27     8  1985      613.799000
    28     8  1985      514.928000
    29     8  1985      450.948000
    30     8  1985      408.111000
    31     8  1985      395.650000
     1     9  1985      405.614000
     2     9  1985      390.684000
     3     9  1985      375.848000
     4     9  1985      358.663000
     5     9  1985      375.848000
     6     9  1985      408.111000
     7     9  1985      423.149000
     8     9  1985      433.224000
     9     9  1985      408.111000
    10     9  1985      408.111000
    11     9  1985      408.111000
    12     9  1985      388.205000
    13     9  1985      398.137000
    14     9  1985      395.650000
