PORTOVELHO	-63.920	-8.737
    24     1  1984    33192.200000
    25     1  1984    33492.200000
    26     1  1984    33578.200000
    27     1  1984    33578.200000
    28     1  1984    33320.600000
    29     1  1984    33234.900000
    30     1  1984    33277.700000
    31     1  1984    33492.200000
     1     2  1984    33750.700000
     2     2  1984    34097.300000
     3     2  1984    34446.000000
     4     2  1984    34797.000000
     5     2  1984    35150.100000
     6     2  1984    35327.500000
     7     2  1984    35639.200000
     8     2  1984    36087.500000
     9     2  1984    36448.600000
    10     2  1984    36720.900000
    11     2  1984    36857.500000
    12     2  1984    36948.800000
    13     2  1984    37040.200000
    14     2  1984    37223.400000
    15     2  1984    37315.200000
    16     2  1984    37545.300000
    17     2  1984    37915.300000
    18     2  1984    38334.200000
    19     2  1984    38803.000000
    20     2  1984    39275.400000
    21     2  1984    39608.100000
    22     2  1984    39751.200000
    23     2  1984    39846.800000
    24     2  1984    39942.500000
    25     2  1984    40182.500000
    26     2  1984    40471.600000
    27     2  1984    40568.200000
    28     2  1984    40665.000000
    29     2  1984    40810.500000
     1     3  1984    40810.500000
     2     3  1984    40956.300000
     3     3  1984    41053.600000
     4     3  1984    41151.100000
     5     3  1984    41297.700000
     6     3  1984    41640.800000
     7     3  1984    41887.000000
     8     3  1984    41985.700000
     9     3  1984    42134.000000
    10     3  1984    42183.600000
    11     3  1984    42233.100000
    12     3  1984    42233.100000
    13     3  1984    42183.600000
    14     3  1984    42084.500000
    15     3  1984    41788.400000
    16     3  1984    41591.700000
    17     3  1984    41493.500000
    18     3  1984    41542.600000
    19     3  1984    41739.200000
    20     3  1984    41936.300000
    21     3  1984    42035.100000
    22     3  1984    42134.000000
    23     3  1984    42332.300000
    24     3  1984    42680.700000
    25     3  1984    43131.200000
    26     3  1984    43382.800000
    27     3  1984    43736.500000
    28     3  1984    43939.400000
    29     3  1984    44041.000000
    30     3  1984    44295.800000
    31     3  1984    44654.100000
     1     4  1984    44859.600000
     2     4  1984    45014.100000
     3     4  1984    45272.300000
     4     4  1984    45687.400000
     5     4  1984    46209.600000
     6     4  1984    46577.200000
     7     4  1984    46893.800000
     8     4  1984    47105.600000
     9     4  1984    47424.400000
    10     4  1984    47584.300000
    11     4  1984    47744.500000
    12     4  1984    47905.000000
    13     4  1984    48012.200000
    14     4  1984    48227.100000
    15     4  1984    48334.800000
    16     4  1984    48442.600000
    17     4  1984    48334.800000
    18     4  1984    48227.100000
    19     4  1984    48065.900000
    20     4  1984    47905.000000
    21     4  1984    47584.300000
    22     4  1984    47052.600000
    23     4  1984    46735.400000
    24     4  1984    46629.900000
    25     4  1984    46841.000000
    26     4  1984    46893.800000
    27     4  1984    47052.600000
    28     4  1984    47052.600000
    29     4  1984    47105.600000
    30     4  1984    47477.600000
     1     5  1984    47530.900000
     2     5  1984    47530.900000
     3     5  1984    47211.700000
     4     5  1984    46524.600000
     5     5  1984    45948.000000
     6     5  1984    45375.900000
     7     5  1984    44756.800000
     8     5  1984    44142.900000
     9     5  1984    43483.700000
    10     5  1984    42930.700000
    11     5  1984    42431.700000
    12     5  1984    41936.300000
    13     5  1984    41640.800000
    14     5  1984    41248.800000
    15     5  1984    40810.500000
    16     5  1984    40471.600000
    17     5  1984    39894.600000
    18     5  1984    39560.400000
    19     5  1984    39133.300000
    20     5  1984    38662.000000
    21     5  1984    38101.100000
    22     5  1984    37545.300000
    23     5  1984    36903.100000
    24     5  1984    36267.800000
    25     5  1984    35505.400000
    26     5  1984    35017.400000
    27     5  1984    34709.000000
    28     5  1984    34271.400000
    29     5  1984    33793.900000
    30     5  1984    33277.700000
    31     5  1984    32893.800000
     1     6  1984    32512.600000
     2     6  1984    32260.000000
     3     6  1984    32344.100000
     4     6  1984    33234.900000
     5     6  1984    33707.500000
     6     6  1984    33449.300000
     7     6  1984    32808.900000
     8     6  1984    31925.100000
     9     6  1984    31097.100000
    10     6  1984    30606.800000
    11     6  1984    30081.000000
    12     6  1984    29680.300000
    13     6  1984    29124.900000
    14     6  1984    28459.200000
    15     6  1984    27649.800000
    16     6  1984    26892.300000
    17     6  1984    26147.800000
    18     6  1984    25488.600000
    19     6  1984    25126.900000
    20     6  1984    25019.000000
    21     6  1984    25162.900000
    22     6  1984    24875.500000
    23     6  1984    24306.900000
    24     6  1984    23885.700000
    25     6  1984    23607.500000
    26     6  1984    23365.600000
    27     6  1984    23125.300000
    28     6  1984    22920.600000
    29     6  1984    22852.600000
    30     6  1984    22649.300000
     1     7  1984    22313.000000
     2     7  1984    22079.400000
     3     7  1984    22246.100000
     4     7  1984    21979.800000
     5     7  1984    21387.700000
     6     7  1984    20486.500000
     7     7  1984    19732.900000
     8     7  1984    18875.600000
     9     7  1984    18041.600000
    10     7  1984    17316.400000
    11     7  1984    16637.400000
    12     7  1984    16056.900000
    13     7  1984    15623.200000
    14     7  1984    15276.100000
    15     7  1984    15143.900000
    16     7  1984    15302.600000
    17     7  1984    16221.500000
    18     7  1984    17116.600000
    19     7  1984    17059.800000
    20     7  1984    16331.800000
    21     7  1984    15515.900000
    22     7  1984    14986.100000
    23     7  1984    14570.500000
    24     7  1984    14365.400000
    25     7  1984    14136.700000
    26     7  1984    13910.300000
    27     7  1984    13464.300000
    28     7  1984    13075.300000
    29     7  1984    12717.000000
    30     7  1984    12318.200000
    31     7  1984    11813.800000
     1     8  1984    11366.400000
     2     8  1984    10929.600000
     3     8  1984    10608.900000
     4     8  1984    10273.200000
     5     8  1984     9863.000000
     6     8  1984     9462.990000
     7     8  1984     9130.960000
     8     8  1984     8862.980000
     9     8  1984     8562.710000
    10     8  1984     8305.180000
    11     8  1984     8232.490000
    12     8  1984     8507.120000
    13     8  1984     8599.890000
    14     8  1984     8599.890000
    15     8  1984     8341.670000
    16     8  1984     8088.280000
    17     8  1984     7945.640000
    18     8  1984     7892.550000
    19     8  1984     7910.220000
    20     8  1984     7910.220000
    21     8  1984     7839.680000
    22     8  1984     7752.050000
    23     8  1984     7699.760000
    24     8  1984     7699.760000
    25     8  1984     7630.380000
    26     8  1984     7458.620000
    27     8  1984     7289.260000
    28     8  1984     7122.290000
    29     8  1984     6925.060000
    30     8  1984     6811.570000
    31     8  1984     6892.510000
     1     9  1984     7172.130000
     2     9  1984     7356.720000
     3     9  1984     7289.260000
     4     9  1984     7089.180000
     5     9  1984     6860.070000
     6     9  1984     6683.290000
     7     9  1984     6540.760000
     8     9  1984     6384.600000
     9     9  1984     6230.760000
    10     9  1984     6109.350000
    11     9  1984     6019.250000
    12     9  1984     5900.400000
    13     9  1984     5768.440000
    14     9  1984     5695.910000
    15     9  1984     5623.950000
    16     9  1984     5581.050000
    17     9  1984     5538.340000
    18     9  1984     5481.720000
    19     9  1984     5439.490000
    20     9  1984     5383.490000
    21     9  1984     5272.560000
    22     9  1984     5190.290000
    23     9  1984     5122.340000
    24     9  1984     5081.840000
    25     9  1984     5001.420000
    26     9  1984     4961.510000
    27     9  1984     4895.420000
    28     9  1984     4829.880000
    29     9  1984     4764.880000
    30     9  1984     4739.040000
     1    10  1984     4726.150000
     2    10  1984     4764.880000
     3    10  1984     4921.790000
