EIRUNEPÉ-MONTANTE	-69.881	-6.684
     1     4  1984     3301.600000
     2     4  1984     3298.400000
     3     4  1984     3295.200000
     4     4  1984     3292.000000
     5     4  1984     3304.800000
     6     4  1984     3314.400000
     7     4  1984     3320.800000
     8     4  1984     3327.200000
     9     4  1984     3333.600000
    10     4  1984     3327.200000
    11     4  1984     3324.000000
    12     4  1984     3330.400000
    13     4  1984     3327.200000
    14     4  1984     3327.200000
    15     4  1984     3333.600000
    16     4  1984     3336.800000
    17     4  1984     3336.800000
    18     4  1984     3336.800000
    19     4  1984     3333.600000
    20     4  1984     3327.200000
    21     4  1984     3324.000000
    22     4  1984     3314.400000
    23     4  1984     3317.600000
    24     4  1984     3330.400000
    25     4  1984     3336.800000
    26     4  1984     3336.800000
    27     4  1984     3336.800000
    28     4  1984     3343.200000
    29     4  1984     3356.000000
    30     4  1984     3359.200000
     1     5  1984     3349.600000
     2     5  1984     3333.600000
     3     5  1984     3327.200000
     4     5  1984     3327.200000
     5     5  1984     3320.800000
     6     5  1984     3301.600000
     7     5  1984     3288.800000
     8     5  1984     3272.800000
     9     5  1984     3250.400000
    10     5  1984     3231.200000
    11     5  1984     3215.200000
    12     5  1984     3192.800000
    13     5  1984     3167.200000
    14     5  1984     3154.400000
    15     5  1984     3144.800000
    16     5  1984     3128.800000
    17     5  1984     3109.600000
    18     5  1984     3071.200000
    19     5  1984     3032.800000
    20     5  1984     3000.800000
    21     5  1984     2959.200000
    22     5  1984     2917.600000
    23     5  1984     2872.800000
    24     5  1984     2830.000000
    25     5  1984     2800.000000
    26     5  1984     2776.000000
    27     5  1984     2758.000000
    28     5  1984     2728.000000
    29     5  1984     2698.800000
    30     5  1984     2651.200000
    31     5  1984     2614.800000
     1     6  1984     2550.400000
     2     6  1984     2494.400000
     3     6  1984     2430.000000
     4     6  1984     2329.200000
     5     6  1984     2217.200000
     6     6  1984     2080.000000
     7     6  1984     1973.600000
     8     6  1984     1807.200000
     9     6  1984     1697.200000
    10     6  1984     1584.400000
    11     6  1984     1482.400000
    12     6  1984     1408.800000
    13     6  1984     1339.000000
    14     6  1984     1265.000000
    15     6  1984     1201.000000
    16     6  1984     1167.000000
    17     6  1984     1151.000000
    18     6  1984     1143.000000
    19     6  1984     1143.000000
    20     6  1984     1139.000000
    21     6  1984     1139.000000
    22     6  1984     1139.000000
    23     6  1984     1135.000000
    24     6  1984     1129.000000
    25     6  1984     1111.000000
    26     6  1984     1081.000000
    27     6  1984     1059.000000
    28     6  1984     1029.000000
    29     6  1984      987.000000
    30     6  1984      965.000000
     1     7  1984      931.000000
     2     7  1984      907.000000
     3     7  1984      895.000000
     4     7  1984      893.100000
     5     7  1984      893.100000
     6     7  1984      891.200000
     7     7  1984      885.500000
     8     7  1984      879.800000
     9     7  1984      866.500000
    10     7  1984      855.100000
    11     7  1984      834.200000
    12     7  1984      815.200000
    13     7  1984      792.400000
    14     7  1984      762.000000
    15     7  1984      735.400000
    16     7  1984      712.600000
    17     7  1984      694.200000
    18     7  1984      683.400000
    19     7  1984      683.400000
    20     7  1984      683.400000
    21     7  1984      683.400000
    22     7  1984      676.200000
    23     7  1984      660.000000
    24     7  1984      640.200000
    25     7  1984      620.400000
    26     7  1984      603.100000
    27     7  1984      582.700000
    28     7  1984      562.300000
    29     7  1984      550.400000
    30     7  1984      536.800000
    31     7  1984      523.600000
     1     8  1984      514.000000
     2     8  1984      498.000000
