COLOCAÇÃOCAXIASNOVO	-69.000	-5.400
    25    12  1983      584.820000
    26    12  1983      583.510000
    27    12  1983      573.100000
    28    12  1983      552.490000
    29    12  1983      519.560000
    30    12  1983      472.750000
    31    12  1983      414.740000
     1     1  1984      373.870000
     2     1  1984      411.280000
     3     1  1984      463.100000
     4     1  1984      491.040000
     5     1  1984      503.370000
     6     1  1984      498.430000
     7     1  1984      494.730000
     8     1  1984      523.330000
     9     1  1984      590.050000
    10     1  1984      628.480000
    11     1  1984      627.140000
    12     1  1984      588.740000
    13     1  1984      546.100000
    14     1  1984      522.070000
    15     1  1984      505.850000
    16     1  1984      492.270000
    17     1  1984      509.580000
    18     1  1984      558.900000
    19     1  1984      597.930000
    20     1  1984      640.580000
    21     1  1984      637.880000
    22     1  1984      640.580000
    23     1  1984      724.720000
    24     1  1984      757.400000
    25     1  1984      776.090000
    26     1  1984      790.580000
    27     1  1984      800.780000
    28     1  1984      809.550000
    29     1  1984      830.170000
    30     1  1984      842.030000
    31     1  1984      843.520000
     1     2  1984      839.060000
     2     2  1984      822.780000
     3     2  1984      808.090000
     4     2  1984      794.940000
     5     2  1984      787.670000
     6     2  1984      774.640000
     7     2  1984      797.860000
     8     2  1984      827.210000
     9     2  1984      849.470000
    10     2  1984      865.930000
    11     2  1984      884.020000
    12     2  1984      899.190000
    13     2  1984      912.920000
    14     2  1984      923.650000
    15     2  1984      939.050000
    16     2  1984      957.660000
    17     2  1984      982.670000
    18     2  1984      992.110000
    19     2  1984     1001.580000
    20     2  1984     1006.320000
    21     2  1984     1001.580000
    22     2  1984     1000.000000
    23     2  1984     1001.580000
    24     2  1984     1007.910000
    25     2  1984     1019.020000
    26     2  1984     1025.390000
    27     2  1984     1019.020000
    28     2  1984     1014.250000
    29     2  1984     1007.910000
     1     3  1984      998.420000
     2     3  1984      988.960000
     3     3  1984      982.670000
     4     3  1984      977.960000
     5     3  1984      973.260000
     6     3  1984      968.570000
     7     3  1984      962.330000
     8     3  1984      956.100000
     9     3  1984      945.240000
    10     3  1984      937.510000
    11     3  1984      932.880000
    12     3  1984      909.860000
    13     3  1984      880.990000
    14     3  1984      836.090000
    15     3  1984      783.320000
    16     3  1984      740.280000
    17     3  1984      691.180000
    18     3  1984      644.630000
    19     3  1984      621.790000
    20     3  1984      659.560000
    21     3  1984      695.340000
    22     3  1984      724.720000
    23     3  1984      755.960000
    24     3  1984      774.640000
    25     3  1984      796.400000
    26     3  1984      815.420000
    27     3  1984      830.170000
    28     3  1984      846.490000
    29     3  1984      862.930000
    30     3  1984      877.970000
    31     3  1984      894.630000
     1     4  1984      908.330000
     2     4  1984      919.040000
     3     4  1984      926.720000
     4     4  1984      929.800000
     5     4  1984      923.650000
     6     4  1984      911.390000
     7     4  1984      887.040000
     8     4  1984      843.520000
     9     4  1984      786.220000
    10     4  1984      723.310000
    11     4  1984      678.740000
    12     4  1984      656.840000
    13     4  1984      648.690000
    14     4  1984      643.280000
    15     4  1984      643.280000
    16     4  1984      639.230000
    17     4  1984      629.820000
    18     4  1984      621.790000
    19     4  1984      627.140000
    20     4  1984      636.540000
    21     4  1984      637.880000
    22     4  1984      627.140000
    23     4  1984      637.880000
    24     4  1984      666.390000
    25     4  1984      692.560000
    26     4  1984      717.690000
    27     4  1984      737.450000
    28     4  1984      745.970000
    29     4  1984      751.680000
    30     4  1984      750.250000
     1     5  1984      768.880000
     2     5  1984      777.530000
     3     5  1984      745.970000
     4     5  1984      687.020000
     5     5  1984      621.790000
     6     5  1984      551.210000
     7     5  1984      508.330000
     8     5  1984      463.100000
     9     5  1984      425.190000
    10     5  1984      414.740000
    11     5  1984      411.280000
    12     5  1984      404.380000
    13     5  1984      400.950000
    14     5  1984      404.380000
    15     5  1984      412.430000
    16     5  1984      424.030000
    17     5  1984      414.740000
    18     5  1984      383.940000
    19     5  1984      358.380000
    20     5  1984      327.050000
    21     5  1984      320.700000
    22     5  1984      392.980000
    23     5  1984      458.300000
    24     5  1984      465.500000
    25     5  1984      438.090000
    26     5  1984      386.200000
    27     5  1984      343.130000
    28     5  1984      328.110000
    29     5  1984      336.660000
    30     5  1984      357.280000
    31     5  1984      366.090000
     1     6  1984      378.330000
     2     6  1984      397.530000
     3     6  1984      397.530000
     4     6  1984      383.940000
     5     6  1984      357.280000
     6     6  1984      314.390000
     7     6  1984      282.500000
     8     6  1984      254.760000
     9     6  1984      229.920000
    10     6  1984      216.920000
    11     6  1984      218.760000
    12     6  1984      228.050000
    13     6  1984      244.140000
