BRASILÉIA	-68.745	-11.018
     1     1  1984       22.340000
     2     1  1984       28.090000
     3     1  1984       86.430000
     4     1  1984      111.690000
     5     1  1984       72.580000
     6     1  1984       94.790000
     7     1  1984       97.650000
     8     1  1984      277.500000
     9     1  1984      238.910000
    10     1  1984      154.010000
    11     1  1984      136.250000
    12     1  1984      250.450000
    13     1  1984      433.590000
    14     1  1984      388.970000
    15     1  1984      240.990000
    16     1  1984      159.250000
    17     1  1984      121.750000
    18     1  1984      112.460000
    19     1  1984      155.750000
    20     1  1984      114.750000
    21     1  1984       87.800000
    22     1  1984       66.330000
    23     1  1984       75.140000
    24     1  1984       97.650000
    25     1  1984      157.490000
    26     1  1984      142.070000
    27     1  1984      114.750000
    28     1  1984       85.070000
    29     1  1984      102.000000
    30     1  1984      219.510000
    31     1  1984      403.620000
     1     2  1984      450.090000
     2     2  1984      483.850000
     3     2  1984      462.030000
     4     2  1984      349.580000
     5     2  1984      208.590000
     6     2  1984      147.990000
     7     2  1984      190.270000
     8     2  1984      160.130000
     9     2  1984      124.910000
    10     2  1984      204.680000
    11     2  1984      288.640000
    12     2  1984      228.620000
    13     2  1984      193.120000
    14     2  1984      154.880000
    15     2  1984      161.010000
    16     2  1984      120.960000
    17     2  1984      444.170000
    18     2  1984      438.280000
    19     2  1984      442.980000
    20     2  1984      284.160000
    21     2  1984      210.560000
    22     2  1984      149.700000
    23     2  1984      131.340000
    24     2  1984      342.120000
    25     2  1984      304.820000
    26     2  1984      369.060000
    27     2  1984      298.780000
    28     2  1984      262.210000
    29     2  1984      298.780000
     1     3  1984      360.350000
     2     3  1984      257.910000
     3     3  1984      438.280000
     4     3  1984      518.610000
     5     3  1984      535.080000
     6     3  1984      377.860000
     7     3  1984      159.250000
     8     3  1984      123.330000
     9     3  1984      111.690000
    10     3  1984      106.430000
    11     3  1984       70.680000
    12     3  1984      131.340000
    13     3  1984      242.040000
    14     3  1984      170.840000
    15     3  1984      132.970000
    16     3  1984      117.060000
    17     3  1984      133.790000
    18     3  1984      176.310000
    19     3  1984      564.750000
    20     3  1984      549.190000
    21     3  1984      408.170000
    22     3  1984      547.900000
    23     3  1984      532.530000
    24     3  1984      318.090000
    25     3  1984      195.980000
    26     3  1984      146.290000
    27     3  1984      124.910000
    28     3  1984      218.510000
    29     3  1984      234.770000
    30     3  1984      193.120000
    31     3  1984      251.510000
     1     4  1984      196.940000
     2     4  1984      154.880000
     3     4  1984      161.890000
     4     4  1984      262.210000
     5     4  1984      638.350000
     6     4  1984      912.490000
     7     4  1984     1046.650000
     8     4  1984      753.410000
     9     4  1984      654.900000
    10     4  1984      536.360000
    11     4  1984      286.400000
    12     4  1984      229.640000
    13     4  1984      203.700000
    14     4  1984      249.390000
    15     4  1984      183.700000
    16     4  1984      152.280000
    17     4  1984      137.900000
    18     4  1984      122.540000
    19     4  1984       97.650000
    20     4  1984       79.050000
    21     4  1984       89.180000
    22     4  1984      212.540000
    23     4  1984      365.780000
    24     4  1984      145.440000
    25     4  1984      249.390000
    26     4  1984      501.100000
    27     4  1984      382.290000
    28     4  1984      195.030000
    29     4  1984      142.910000
    30     4  1984      124.120000
     1     5  1984      118.620000
     2     5  1984       97.650000
     3     5  1984       79.050000
     4     5  1984       74.500000
     5     5  1984       70.680000
     6     5  1984       66.950000
     7     5  1984       70.680000
