CACHOEIRAMORENA	-59.335	-2.114
     2     6  2001      718.999000
     3     6  2001      644.332000
     4     6  2001      554.216000
     5     6  2001      658.890000
     6     6  2001      587.955000
     7     6  2001      594.841000
     8     6  2001      587.955000
     9     6  2001      615.773000
    10     6  2001      658.890000
    11     6  2001      651.587000
    12     6  2001      567.574000
    13     6  2001      554.216000
    14     6  2001      554.216000
    15     6  2001      547.605000
    16     6  2001      547.605000
    17     6  2001      534.520000
    18     6  2001      547.605000
    19     6  2001      560.872000
    20     6  2001      521.615000
    21     6  2001      471.798000
    22     6  2001      471.798000
    23     6  2001      490.144000
    24     6  2001      541.040000
    25     6  2001      541.040000
    26     6  2001      547.605000
    27     6  2001      534.520000
    28     6  2001      541.040000
    29     6  2001      541.040000
    30     6  2001      502.598000
     1     7  2001      502.598000
     2     7  2001      594.841000
     3     7  2001      547.605000
     4     7  2001      541.040000
     5     7  2001      477.869000
     6     7  2001      453.853000
     7     7  2001      447.960000
     8     7  2001      430.545000
     9     7  2001      447.960000
    10     7  2001      419.155000
    11     7  2001      419.155000
    12     7  2001      419.155000
    13     7  2001      396.898000
    14     7  2001      396.898000
    15     7  2001      370.053000
    16     7  2001      370.053000
    17     7  2001      370.053000
    18     7  2001      329.327000
    19     7  2001      380.662000
    20     7  2001      375.336000
    21     7  2001      447.960000
    22     7  2001      314.753000
    23     7  2001      309.979000
    24     7  2001      309.979000
    25     7  2001      295.908000
    26     7  2001      295.908000
    27     7  2001      282.210000
    28     7  2001      309.979000
    29     7  2001      324.427000
    30     7  2001      309.979000
    31     7  2001      286.735000
     1     8  2001      295.908000
     2     8  2001      547.605000
     3     8  2001      471.798000
     4     8  2001      386.031000
     5     8  2001      386.031000
     6     8  2001      471.798000
     7     8  2001      658.890000
     8     8  2001      658.890000
     9     8  2001      567.574000
    10     8  2001      567.574000
    11     8  2001      334.269000
    12     8  2001      305.247000
    13     8  2001      282.210000
    14     8  2001      282.210000
    15     8  2001      286.735000
    16     8  2001      286.735000
    17     8  2001      673.635000
    18     8  2001      560.872000
    19     8  2001      396.898000
    20     8  2001      711.320000
    21     8  2001      711.320000
    22     8  2001      644.332000
    23     8  2001      587.955000
    24     8  2001      453.853000
    25     8  2001      375.336000
    26     8  2001      319.569000
    27     8  2001      424.828000
    28     8  2001      453.853000
    29     8  2001      528.045000
    30     8  2001      711.320000
    31     8  2001      688.568000
     1     9  2001      831.502000
     2     9  2001      453.853000
     3     9  2001      594.841000
     4     9  2001      567.574000
     5     9  2001      359.616000
     6     9  2001      334.269000
     7     9  2001      309.979000
     8     9  2001      344.280000
     9     9  2001      386.031000
    10     9  2001      314.753000
    11     9  2001      703.689000
    12     9  2001      790.244000
    13     9  2001      798.399000
    14     9  2001      839.898000
    15     9  2001      848.343000
    16     9  2001      806.603000
    17     9  2001      814.854000
    18     9  2001      856.836000
    19     9  2001      798.399000
    20     9  2001      990.104000
    21     9  2001      971.695000
    22     9  2001     1046.520000
    23     9  2001     1037.000000
    24     9  2001     1124.560000
    25     9  2001      917.653000
    26     9  2001      917.653000
    27     9  2001     1056.100000
    28     9  2001     1094.920000
    29     9  2001     1104.750000
    30     9  2001     1065.730000
     1    10  2001      990.104000
     2    10  2001      908.818000
     3    10  2001      990.104000
     4    10  2001      891.296000
     5    10  2001     1018.090000
     6    10  2001     1046.520000
     7    10  2001     1046.520000
     8    10  2001     1046.520000
     9    10  2001      900.032000
    10    10  2001      873.969000
    11    10  2001      814.854000
    12    10  2001      658.890000
    13    10  2001      622.843000
    14    10  2001      831.502000
    15    10  2001      711.320000
    16    10  2001     1008.710000
    17    10  2001     1075.410000
    18    10  2001     1008.710000
    19    10  2001     1008.710000
    20    10  2001     1056.100000
    21    10  2001     1065.730000
    22    10  2001     1114.630000
    23    10  2001      882.608000
    24    10  2001      882.608000
    25    10  2001      944.452000
    26    10  2001      908.818000
    27    10  2001     1037.000000
    28    10  2001     1037.000000
    29    10  2001      798.399000
    30    10  2001      839.898000
    31    10  2001      831.502000
     1    11  2001      798.399000
     2    11  2001      766.066000
     3    11  2001      944.452000
     4    11  2001     1046.520000
     5    11  2001     1027.520000
     6    11  2001     1037.000000
     7    11  2001      806.603000
     8    11  2001      806.603000
     9    11  2001      908.818000
    10    11  2001     1104.750000
    11    11  2001      990.104000
    12    11  2001     1027.520000
    13    11  2001     1056.100000
    14    11  2001     1046.520000
    15    11  2001     1154.650000
    16    11  2001     1124.560000
    17    11  2001     1114.630000
    18    11  2001     1018.090000
    19    11  2001     1134.540000
    20    11  2001     1154.650000
    21    11  2001     1154.650000
    22    11  2001     1037.000000
    23    11  2001      865.378000
    24    11  2001      926.537000
    25    11  2001      962.565000
    26    11  2001      908.818000
    27    11  2001      823.154000
    28    11  2001      971.695000
    29    11  2001      971.695000
    30    11  2001     1094.920000
     1    12  2001      980.875000
     2    12  2001      926.537000
     3    12  2001      926.537000
     4    12  2001      782.137000
     5    12  2001      882.608000
     6    12  2001      848.343000
     7    12  2001      839.898000
     8    12  2001      839.898000
     9    12  2001      560.872000
    10    12  2001      839.898000
    11    12  2001      882.608000
    12    12  2001     1075.410000
    13    12  2001      831.502000
    14    12  2001      935.470000
    15    12  2001      790.244000
    16    12  2001      891.296000
    17    12  2001     1191.000000
    18    12  2001      831.502000
    19    12  2001      856.836000
    20    12  2001      711.320000
    21    12  2001      790.244000
    22    12  2001      742.318000
    23    12  2001      651.587000
