BASEALALAÚ	-60.520	-0.859
     1     4  1984       53.671600
     2     4  1984       55.821600
     3     4  1984       63.771700
     4     4  1984       69.865000
     5     4  1984       59.147100
     6     4  1984       54.739900
     7     4  1984       46.560600
     8     4  1984       39.198300
     9     4  1984       34.995800
    10     4  1984       32.617000
    11     4  1984       33.398200
    12     4  1984       55.821600
    13     4  1984       86.648300
    14     4  1984      106.361000
    15     4  1984      104.255000
    16     4  1984       93.832100
    17     4  1984       79.562400
    18     4  1984       64.962400
    19     4  1984       55.821600
    20     4  1984       50.545900
    21     4  1984       47.537600
    22     4  1984       41.865700
    23     4  1984       31.089400
    24     4  1984       36.640700
    25     4  1984       41.865700
    26     4  1984       49.530200
    27     4  1984       73.571200
    28     4  1984      113.787000
    29     4  1984      131.061000
    30     4  1984      138.743000
     1     5  1984      129.970000
     2     5  1984      113.787000
     3     5  1984      102.156000
     4     5  1984       92.800000
     5     5  1984       81.576600
     6     5  1984       73.571200
     7     5  1984       78.558500
     8     5  1984      106.361000
     9     5  1984      238.307000
    10     5  1984      289.844000
    11     5  1984      316.217000
    12     5  1984      321.283000
    13     5  1984      320.015000
    14     5  1984      325.092000
    15     5  1984      318.748000
    16     5  1984      294.838000
    17     5  1984      278.661000
    18     5  1984      270.014000
    19     5  1984      260.188000
    20     5  1984      260.188000
    21     5  1984      268.783000
    22     5  1984      281.140000
    23     5  1984      372.657000
    24     5  1984      457.332000
    25     5  1984      491.162000
    26     5  1984      499.341000
    27     5  1984      488.441000
    28     5  1984      473.521000
    29     5  1984      461.371000
    30     5  1984      404.070000
    31     5  1984      313.689000
     1     6  1984      270.014000
     2     6  1984      243.142000
     3     6  1984      233.489000
     4     6  1984      250.424000
     5     6  1984      304.868000
     6     6  1984      327.635000
     7     6  1984      344.244000
     8     6  1984      355.822000
     9     6  1984      360.989000
    10     6  1984      363.576000
    11     6  1984      364.871000
    12     6  1984      366.167000
    13     6  1984      363.576000
    14     6  1984      359.696000
    15     6  1984      341.680000
    16     6  1984      316.217000
    17     6  1984      299.846000
    18     6  1984      294.838000
    19     6  1984      289.844000
    20     6  1984      293.588000
    21     6  1984      308.643000
    22     6  1984      313.689000
    23     6  1984      317.482000
    24     6  1984      317.482000
    25     6  1984      322.552000
    26     6  1984      320.015000
    27     6  1984      317.482000
    28     6  1984      312.426000
    29     6  1984      309.903000
    30     6  1984      299.846000
     1     7  1984      276.186000
     2     7  1984      250.424000
     3     7  1984      232.287000
     4     7  1984      225.097000
     5     7  1984      227.490000
     6     7  1984      231.086000
     7     7  1984      231.086000
     8     7  1984      220.325000
     9     7  1984      209.650000
    10     7  1984      208.470000
    11     7  1984      220.325000
    12     7  1984      238.307000
    13     7  1984      247.993000
    14     7  1984      251.641000
    15     7  1984      239.515000
    16     7  1984      214.383000
    17     7  1984      193.225000
    18     7  1984      225.097000
    19     7  1984      251.641000
    20     7  1984      276.186000
    21     7  1984      299.846000
    22     7  1984      322.552000
    23     7  1984      345.528000
    24     7  1984      345.528000
    25     7  1984      335.284000
    26     7  1984      320.015000
    27     7  1984      304.868000
    28     7  1984      289.844000
    29     7  1984      282.381000
    30     7  1984      273.714000
    31     7  1984      274.950000
     1     8  1984      273.714000
     2     8  1984      284.865000
     3     8  1984      325.092000
     4     8  1984      359.696000
     5     8  1984      362.282000
     6     8  1984      349.382000
     7     8  1984      336.561000
