FEIJÓ	-70.368	-8.152
    14    12  1983      360.100000
    15    12  1983      776.380000
    16    12  1983      733.070000
    17    12  1983      545.630000
    18    12  1983      488.490000
    19    12  1983      513.500000
    20    12  1983      496.760000
    21    12  1983      452.120000
    22    12  1983      476.210000
    23    12  1983      420.940000
    24    12  1983      340.850000
    25    12  1983      460.080000
    26    12  1983      347.790000
    27    12  1983      303.910000
    28    12  1983      363.650000
    29    12  1983      631.290000
    30    12  1983      560.950000
    31    12  1983      413.320000
     1     1  1984      307.180000
     2     1  1984      272.130000
     3     1  1984      323.800000
     4     1  1984      569.800000
     5     1  1984      587.700000
     6     1  1984      432.500000
     7     1  1984      517.730000
     8     1  1984      631.290000
     9     1  1984     1002.360000
    10     1  1984     1005.290000
    11     1  1984     1005.290000
    12     1  1984      941.800000
    13     1  1984      958.910000
    14     1  1984     1292.740000
    15     1  1984     1380.370000
    16     1  1984     1538.700000
    17     1  1984     1520.690000
    18     1  1984     1394.100000
    19     1  1984     1217.560000
    20     1  1984     1132.130000
    21     1  1984      861.210000
    22     1  1984      552.170000
    23     1  1984      521.980000
    24     1  1984      718.070000
    25     1  1984      745.680000
    26     1  1984      599.020000
    27     1  1984      517.730000
    28     1  1984      511.400000
    29     1  1984      511.400000
    30     1  1984      554.360000
    31     1  1984      567.580000
     1     2  1984      784.150000
     2     2  1984     1008.220000
     3     2  1984     1272.910000
     4     2  1984     1349.720000
     5     2  1984     1359.900000
     6     2  1984     1370.120000
     7     2  1984     1390.670000
     8     2  1984     1394.100000
     9     2  1984     1411.360000
    10     2  1984     1435.700000
    11     2  1984     1488.540000
    12     2  1984     1499.220000
    13     2  1984     1513.510000
    14     2  1984     1460.240000
    15     2  1984     1107.400000
    16     2  1984      936.130000
    17     2  1984     1119.730000
    18     2  1984     1390.670000
    19     2  1984     1481.440000
    20     2  1984     1524.280000
    21     2  1984     1524.280000
    22     2  1984     1626.570000
    23     2  1984     1690.270000
    24     2  1984     1705.430000
    25     2  1984     1690.270000
    26     2  1984     1582.340000
    27     2  1984     1306.040000
    28     2  1984     1104.330000
    29     2  1984     1217.560000
     1     3  1984     1363.300000
     2     3  1984     1085.980000
     3     3  1984      950.340000
     4     3  1984     1064.770000
     5     3  1984     1037.800000
     6     3  1984      705.690000
     7     3  1984      617.360000
     8     3  1984      552.170000
     9     3  1984      760.950000
    10     3  1984      768.650000
    11     3  1984      638.310000
    12     3  1984      664.390000
    13     3  1984      750.750000
    14     3  1984      725.550000
    15     3  1984      547.810000
    16     3  1984      411.420000
    17     3  1984      360.100000
    18     3  1984      498.840000
    19     3  1984      705.690000
    20     3  1984      850.370000
    21     3  1984      823.560000
    22     3  1984      713.110000
    23     3  1984      720.560000
    24     3  1984      797.180000
    25     3  1984      950.340000
    26     3  1984      823.560000
    27     3  1984      528.380000
    28     3  1984      448.160000
    29     3  1984      592.210000
    30     3  1984      594.480000
    31     3  1984      596.750000
     1     4  1984      631.290000
     2     4  1984      513.500000
     3     4  1984      466.100000
     4     4  1984      547.810000
     5     4  1984      766.080000
     6     4  1984      638.310000
     7     4  1984      628.960000
     8     4  1984      596.750000
     9     4  1984      635.970000
    10     4  1984      472.150000
    11     4  1984      440.300000
    12     4  1984      415.220000
    13     4  1984      470.130000
    14     4  1984      486.430000
    15     4  1984      505.100000
    16     4  1984      402.010000
    17     4  1984      369.020000
    18     4  1984      327.170000
    19     4  1984      258.390000
    20     4  1984      215.110000
    21     4  1984      206.920000
    22     4  1984      652.470000
    23     4  1984      990.680000
    24     4  1984      999.430000
    25     4  1984      858.490000
    26     4  1984      850.370000
    27     4  1984     1037.800000
    28     4  1984     1113.560000
    29     4  1984      647.730000
    30     4  1984      594.480000
     1     5  1984      494.690000
     2     5  1984      444.220000
     3     5  1984      424.780000
     4     5  1984      390.860000
     5     5  1984      305.540000
     6     5  1984      361.870000
     7     5  1984      333.980000
     8     5  1984      273.680000
     9     5  1984      222.050000
    10     5  1984      198.890000
    11     5  1984      187.130000
    12     5  1984      182.020000
    13     5  1984      187.130000
    14     5  1984      197.560000
    15     5  1984      187.130000
    16     5  1984      182.020000
    17     5  1984      152.800000
    18     5  1984      133.620000
    19     5  1984      117.740000
    20     5  1984      111.670000
    21     5  1984      118.770000
    22     5  1984      120.840000
    23     5  1984      110.670000
    24     5  1984      106.720000
    25     5  1984      100.940000
    26     5  1984       96.240000
    27     5  1984       92.550000
    28     5  1984       88.940000
    29     5  1984       82.790000
    30     5  1984       83.660000
    31     5  1984       87.160000
     1     6  1984       88.050000
     2     6  1984       83.660000
     3     6  1984       81.080000
     4     6  1984       85.400000
     5     6  1984       86.280000
     6     6  1984       82.790000
     7     6  1984       80.220000
     8     6  1984       74.380000
     9     6  1984       69.550000
    10     6  1984       64.110000
    11     6  1984       62.590000
    12     6  1984       60.360000
    13     6  1984       60.360000
    14     6  1984       71.140000
    15     6  1984       72.750000
    16     6  1984       64.870000
    17     6  1984       58.160000
    18     6  1984       57.430000
    19     6  1984       56.000000
    20     6  1984       53.180000
    21     6  1984       48.430000
    22     6  1984       45.810000
    23     6  1984       45.170000
    24     6  1984       48.430000
    25     6  1984       47.110000
    26     6  1984       44.530000
    27     6  1984       43.260000
    28     6  1984       40.780000
    29     6  1984       38.970000
    30     6  1984       37.790000
     1     7  1984       39.570000
     2     7  1984       40.180000
     3     7  1984       42.640000
     4     7  1984       43.890000
     5     7  1984       43.260000
     6     7  1984       40.780000
     7     7  1984       38.380000
     8     7  1984       36.050000
     9     7  1984       34.340000
    10     7  1984       36.620000
    11     7  1984       39.570000
    12     7  1984       47.110000
    13     7  1984       55.290000
    14     7  1984       58.890000
    15     7  1984       57.430000
    16     7  1984       61.840000
    17     7  1984       63.350000
    18     7  1984       64.870000
    19     7  1984       64.110000
    20     7  1984       62.590000
    21     7  1984       59.620000
    22     7  1984       58.890000
    23     7  1984       56.000000
    24     7  1984       50.440000
    25     7  1984       49.100000
    26     7  1984       45.810000
    27     7  1984       43.260000
    28     7  1984       42.010000
    29     7  1984       40.780000
    30     7  1984       38.380000
    31     7  1984       36.620000
     1     8  1984       36.620000
     2     8  1984       36.050000
     3     8  1984       37.790000
     4     8  1984       39.570000
     5     8  1984       36.620000
     6     8  1984       35.470000
     7     8  1984       34.340000
     8     8  1984       34.340000
     9     8  1984       36.620000
    10     8  1984       39.570000
    11     8  1984       43.260000
    12     8  1984       45.170000
    13     8  1984       49.100000
    14     8  1984       49.100000
    15     8  1984       47.770000
    16     8  1984       45.170000
    17     8  1984       43.260000
    18     8  1984       41.400000
    19     8  1984       39.570000
    20     8  1984       37.790000
    21     8  1984       36.050000
    22     8  1984       34.340000
    23     8  1984       33.230000
    24     8  1984       31.680000
    25     8  1984       30.550000
    26     8  1984       30.550000
    27     8  1984       29.440000
    28     8  1984       28.360000
    29     8  1984       27.300000
    30     8  1984       26.960000
    31     8  1984       29.080000
     1     9  1984       33.230000
     2     9  1984       38.970000
     3     9  1984       40.780000
     4     9  1984       37.200000
     5     9  1984       34.910000
     6     9  1984       31.680000
     7     9  1984       30.180000
     8     9  1984       27.650000
     9     9  1984       24.600000
    10     9  1984       23.000000
    11     9  1984       21.760000
    12     9  1984       24.280000
    13     9  1984       25.260000
    14     9  1984       25.930000
    15     9  1984       27.300000
    16     9  1984       29.440000
    17     9  1984       33.780000
    18     9  1984       34.340000
    19     9  1984       30.180000
    20     9  1984       27.300000
    21     9  1984       25.930000
    22     9  1984       24.600000
    23     9  1984       23.320000
    24     9  1984       22.070000
    25     9  1984       24.930000
    26     9  1984       37.790000
    27     9  1984       34.910000
    28     9  1984       33.230000
    29     9  1984       38.380000
    30     9  1984       42.640000
     1    10  1984       40.780000
     2    10  1984       30.920000
     3    10  1984       29.440000
     4    10  1984       31.300000
     5    10  1984       33.780000
     6    10  1984       36.620000
     7    10  1984       34.910000
     8    10  1984       28.360000
     9    10  1984       26.610000
    10    10  1984       25.260000
    11    10  1984       26.610000
    12    10  1984       32.680000
    13    10  1984       32.680000
    14    10  1984       30.180000
    15    10  1984       30.180000
    16    10  1984       37.790000
    17    10  1984       56.710000
    18    10  1984      102.850000
    19    10  1984      113.670000
    20    10  1984       90.740000
    21    10  1984      148.170000
    22    10  1984      178.230000
    23    10  1984      164.670000
    24    10  1984      112.670000
    25    10  1984       92.550000
    26    10  1984      161.060000
    27    10  1984      258.390000
    28    10  1984      236.260000
    29    10  1984      255.380000
    30    10  1984      281.480000
    31    10  1984      302.280000
     1    11  1984      307.180000
     2    11  1984      272.130000
     3    11  1984      295.800000
     4    11  1984      275.230000
     5    11  1984      247.940000
     6    11  1984      381.680000
     7    11  1984      340.850000
     8    11  1984      234.820000
     9    11  1984      206.920000
    10    11  1984      216.490000
    11    11  1984      474.180000
    12    11  1984      413.320000
    13    11  1984      328.870000
    14    11  1984      513.500000
    15    11  1984      815.600000
    16    11  1984      950.340000
    17    11  1984      941.800000
    18    11  1984      676.410000
    19    11  1984      484.380000
    20    11  1984      420.940000
    21    11  1984      363.650000
    22    11  1984      305.540000
    23    11  1984      328.870000
    24    11  1984      269.040000
    25    11  1984      664.390000
    26    11  1984      773.800000
    27    11  1984      944.640000
    28    11  1984      996.510000
    29    11  1984      676.410000
    30    11  1984      503.010000
     1    12  1984      488.490000
     2    12  1984      448.160000
     3    12  1984      472.150000
     4    12  1984      511.400000
     5    12  1984      810.320000
     6    12  1984     1116.640000
     7    12  1984      888.600000
     8    12  1984      539.130000
     9    12  1984      534.820000
    10    12  1984      781.550000
    11    12  1984     1031.850000
    12    12  1984     1356.500000
    13    12  1984     1527.880000
    14    12  1984     1545.930000
    15    12  1984     1353.110000
    16    12  1984      880.340000
    17    12  1984      532.670000
    18    12  1984      385.340000
    19    12  1984      328.870000
    20    12  1984      300.650000
    21    12  1984      419.030000
    22    12  1984      547.810000
    23    12  1984      474.180000
    24    12  1984      381.680000
    25    12  1984      360.100000
    26    12  1984      515.620000
    27    12  1984     1061.750000
    28    12  1984      979.070000
    29    12  1984     1070.810000
    30    12  1984     1002.360000
    31    12  1984      650.100000
     1     1  1985      509.290000
     2     1  1985      624.300000
     3     1  1985      578.710000
     4     1  1985      519.850000
     5     1  1985      462.080000
     6     1  1985      409.530000
     7     1  1985      558.750000
     8     1  1985     1014.100000
     9     1  1985     1144.590000
    10     1  1985     1037.800000
    11     1  1985      831.560000
    12     1  1985      657.220000
    13     1  1985      740.620000
    14     1  1985     1144.590000
    15     1  1985     1383.800000
    16     1  1985     1460.240000
    17     1  1985     1425.250000
    18     1  1985     1282.810000
    19     1  1985      700.770000
    20     1  1985      605.860000
    21     1  1985      583.200000
    22     1  1985      498.840000
    23     1  1985      589.950000
    24     1  1985      596.750000
    25     1  1985      458.080000
    26     1  1985      403.890000
    27     1  1985      369.020000
    28     1  1985      365.430000
    29     1  1985      358.320000
    30     1  1985      413.320000
    31     1  1985      541.290000
     1     2  1985      628.960000
     2     2  1985      745.680000
     3     2  1985      601.300000
     4     2  1985      681.250000
     5     2  1985      505.100000
     6     2  1985      392.710000
     7     2  1985      335.690000
     8     2  1985      370.810000
     9     2  1985      438.340000
    10     2  1985      645.370000
    11     2  1985      730.560000
    12     2  1985      820.910000
    13     2  1985      976.180000
    14     2  1985      842.280000
    15     2  1985      635.970000
    16     2  1985      708.160000
    17     2  1985      633.630000
    18     2  1985      574.250000
    19     2  1985      458.080000
    20     2  1985      563.160000
    21     2  1985      468.110000
    22     2  1985      528.380000
    23     2  1985      866.650000
    24     2  1985      834.230000
    25     2  1985      524.110000
    26     2  1985      374.420000
    27     2  1985      422.860000
    28     2  1985      631.290000
     1     3  1985      799.800000
     2     3  1985      750.750000
     3     3  1985      688.540000
     4     3  1985      778.960000
     5     3  1985      705.690000
     6     3  1985      789.350000
     7     3  1985      789.350000
     8     3  1985      718.070000
     9     3  1985      930.470000
    10     3  1985     1169.720000
    11     3  1985     1220.780000
    12     3  1985      993.590000
    13     3  1985      666.780000
    14     3  1985      444.220000
    15     3  1985      927.650000
    16     3  1985     1204.710000
    17     3  1985     1276.210000
    18     3  1985     1272.910000
    19     3  1985      807.680000
    20     3  1985      585.440000
    21     3  1985     1160.270000
    22     3  1985     1319.400000
    23     3  1985     1266.340000
    24     3  1985      869.380000
    25     3  1985      560.950000
    26     3  1985      478.250000
    27     3  1985      476.210000
    28     3  1985      402.010000
    29     3  1985      478.250000
    30     3  1985      556.550000
    31     3  1985      545.630000
     1     4  1985      669.180000
     2     4  1985      855.780000
     3     4  1985     1079.900000
     4     4  1985     1188.750000
     5     4  1985      947.490000
     6     4  1985      869.380000
     7     4  1985     1067.790000
     8     4  1985     1125.920000
     9     4  1985     1272.910000
    10     4  1985     1243.460000
    11     4  1985      891.360000
    12     4  1985      725.550000
    13     4  1985      647.730000
    14     4  1985      693.420000
    15     4  1985      681.250000
