TABAJARA	-62.054	-8.933
     9     1  1984     1921.010000
    10     1  1984     1998.890000
    11     1  1984     2004.960000
    12     1  1984     1885.690000
    13     1  1984     1839.200000
    14     1  1984     1793.400000
    15     1  1984     1742.700000
    16     1  1984     1692.870000
    17     1  1984     1638.520000
    18     1  1984     1564.200000
    19     1  1984     1466.620000
    20     1  1984     1363.110000
    21     1  1984     1037.370000
    22     1  1984     1064.320000
    23     1  1984     1100.410000
    24     1  1984     1143.310000
    25     1  1984     1214.020000
    26     1  1984     1232.090000
    27     1  1984     1227.560000
    28     1  1984     1223.030000
    29     1  1984     1223.030000
    30     1  1984     1264.100000
    31     1  1984     1305.990000
     1     2  1984     1339.130000
     2     2  1984     1372.770000
     3     2  1984     1402.010000
     4     2  1984     1441.560000
     5     2  1984     1481.770000
     6     2  1984     1558.970000
     7     2  1984     1671.000000
     8     2  1984     1759.510000
     9     2  1984     1850.750000
    10     2  1984     1932.870000
    11     2  1984     2004.960000
    12     2  1984     2066.250000
    13     2  1984     2084.850000
    14     2  1984     2134.940000
    15     2  1984     2179.360000
    16     2  1984     2217.860000
    17     2  1984     2211.420000
    18     2  1984     2204.980000
    19     2  1984     2217.860000
    20     2  1984     2256.770000
    21     2  1984     2329.170000
    22     2  1984     2389.420000
    23     2  1984     2457.440000
    24     2  1984     2526.620000
    25     2  1984     2582.780000
    26     2  1984     2611.150000
    27     2  1984     2575.720000
    28     2  1984     2540.590000
    29     2  1984     2512.690000
     1     3  1984     2491.890000
     2     3  1984     2416.490000
     3     3  1984     2315.900000
     4     3  1984     2217.860000
     5     3  1984     2153.910000
     6     3  1984     2091.070000
     7     3  1984     2116.070000
     8     3  1984     2166.610000
     9     3  1984     2204.980000
    10     3  1984     2237.270000
    11     3  1984     2282.940000
    12     3  1984     2296.090000
    13     3  1984     2296.090000
    14     3  1984     2349.150000
    15     3  1984     2402.930000
    16     3  1984     2457.440000
    17     3  1984     2505.740000
    18     3  1984     2554.610000
    19     3  1984     2596.940000
    20     3  1984     2611.150000
    21     3  1984     2632.540000
    22     3  1984     2661.220000
    23     3  1984     2726.450000
    24     3  1984     2726.450000
    25     3  1984     2654.040000
    26     3  1984     2582.780000
    27     3  1984     2484.970000
    28     3  1984     2457.440000
    29     3  1984     2443.750000
    30     3  1984     2430.100000
    31     3  1984     2464.310000
     1     4  1984     2498.810000
     2     4  1984     2625.400000
     3     4  1984     2682.860000
     4     4  1984     2625.400000
     5     4  1984     2618.260000
     6     4  1984     2675.640000
     7     4  1984     2829.800000
     8     4  1984     2874.790000
     9     4  1984     2920.220000
    10     4  1984     2950.740000
    11     4  1984     2989.150000
    12     4  1984     2996.870000
    13     4  1984     2996.870000
    14     4  1984     2950.740000
    15     4  1984     2874.790000
    16     4  1984     2814.890000
    17     4  1984     2748.400000
    18     4  1984     2675.640000
    19     4  1984     2596.940000
    20     4  1984     2512.690000
    21     4  1984     2436.910000
    22     4  1984     2375.950000
    23     4  1984     2335.820000
    24     4  1984     2296.090000
    25     4  1984     2256.770000
    26     4  1984     2224.320000
    27     4  1984     2198.560000
    28     4  1984     2185.750000
    29     4  1984     2122.350000
    30     4  1984     2078.640000
