ÓBIDOS	-55.513	-1.919
    23     4  1983   180530.000000
    24     4  1983   181475.000000
    25     4  1983   181711.000000
    26     4  1983   182185.000000
    27     4  1983   182659.000000
    28     4  1983   183133.000000
    29     4  1983   183608.000000
    30     4  1983   183608.000000
     1     5  1983   183608.000000
     2     5  1983   183370.000000
     3     5  1983   183370.000000
     4     5  1983   183608.000000
     5     5  1983   183133.000000
     6     5  1983   183133.000000
     7     5  1983   183133.000000
     8     5  1983   183133.000000
     9     5  1983   182896.000000
    10     5  1983   183370.000000
    11     5  1983   183845.000000
    12     5  1983   184558.000000
    13     5  1983   184558.000000
    14     5  1983   185510.000000
    15     5  1983   185987.000000
    16     5  1983   186464.000000
    17     5  1983   186464.000000
    18     5  1983   186942.000000
    19     5  1983   187180.000000
    20     5  1983   187659.000000
    21     5  1983   187659.000000
    22     5  1983   187659.000000
    23     5  1983   187659.000000
    24     5  1983   187659.000000
    25     5  1983   188376.000000
    26     5  1983   188137.000000
    27     5  1983   188376.000000
    28     5  1983   188856.000000
    29     5  1983   189095.000000
    30     5  1983   189575.000000
    31     5  1983   189335.000000
     1     6  1983   189335.000000
     2     6  1983   189335.000000
     3     6  1983   189095.000000
     4     6  1983   188856.000000
     5     6  1983   188616.000000
     6     6  1983   188376.000000
     7     6  1983   188376.000000
     8     6  1983   187898.000000
     9     6  1983   187659.000000
    10     6  1983   187419.000000
    11     6  1983   187898.000000
    12     6  1983   187898.000000
    13     6  1983   188137.000000
    14     6  1983   188376.000000
    15     6  1983   188137.000000
    16     6  1983   188137.000000
    17     6  1983   188616.000000
    18     6  1983   188376.000000
    19     6  1983   187898.000000
    20     6  1983   187898.000000
    21     6  1983   186942.000000
    22     6  1983   186464.000000
    23     6  1983   186464.000000
    24     6  1983   185749.000000
    25     6  1983   185272.000000
    26     6  1983   185034.000000
    27     6  1983   184558.000000
    28     6  1983   183845.000000
    29     6  1983   183133.000000
    30     6  1983   182422.000000
     1     7  1983   181948.000000
     2     7  1983   181475.000000
     3     7  1983   180530.000000
     4     7  1983   179586.000000
     5     7  1983   178880.000000
     6     7  1983   178174.000000
     7     7  1983   177704.000000
     8     7  1983   177235.000000
     9     7  1983   176531.000000
    10     7  1983   176063.000000
    11     7  1983   175361.000000
    12     7  1983   175595.000000
    13     7  1983   174893.000000
    14     7  1983   174426.000000
    15     7  1983   173727.000000
    16     7  1983   173028.000000
    17     7  1983   172330.000000
    18     7  1983   171633.000000
    19     7  1983   170705.000000
    20     7  1983   169779.000000
    21     7  1983   168393.000000
    22     7  1983   167471.000000
    23     7  1983   167011.000000
    24     7  1983   166092.000000
    25     7  1983   165174.000000
    26     7  1983   164030.000000
    27     7  1983   162888.000000
    28     7  1983   161748.000000
    29     7  1983   160612.000000
    30     7  1983   159025.000000
    31     7  1983   158120.000000
     1     8  1983   156767.000000
     2     8  1983   155193.000000
     3     8  1983   153542.000000
     4     8  1983   152081.000000
     5     8  1983   150626.000000
     6     8  1983   149382.000000
     7     8  1983   147730.000000
     8     8  1983   146085.000000
     9     8  1983   144651.000000
    10     8  1983   143630.000000
    11     8  1983   142205.000000
    12     8  1983   140786.000000
    13     8  1983   139170.000000
    14     8  1983   137361.000000
    15     8  1983   135561.000000
