SANTARÉMSUCUNDURI	-59.042	-6.796
    30     3  2001     1033.500000
    31     3  2001     1047.040000
     1     4  2001     1081.090000
     2     4  2001     1108.520000
     3     4  2001     1132.670000
     4     4  2001     1170.880000
     5     4  2001     1252.000000
     6     4  2001     1341.070000
     7     4  2001     1382.110000
     8     4  2001     1364.770000
     9     4  2001     1343.210000
    10     4  2001     1321.790000
    11     4  2001     1377.760000
    12     4  2001     1338.920000
    13     4  2001     1273.000000
    14     4  2001     1198.860000
    15     4  2001     1156.950000
    16     4  2001     1084.510000
    17     4  2001     1020.000000
    18     4  2001      981.443000
    19     4  2001      969.783000
    20     4  2001      948.222000
    21     4  2001      930.074000
    22     4  2001      908.741000
    23     4  2001      920.213000
    24     4  2001      968.120000
    25     4  2001      979.775000
    26     4  2001      988.121000
    27     4  2001      979.775000
    28     4  2001      938.312000
    29     4  2001      900.569000
    30     4  2001      792.896000
     1     5  2001      722.564000
     2     5  2001      682.689000
     3     5  2001      676.605000
     4     5  2001      667.505000
     5     5  2001      640.393000
     6     5  2001      724.109000
     7     5  2001      763.000000
     8     5  2001      701.022000
     9     5  2001      672.051000
    10     5  2001      665.991000
    11     5  2001      670.535000
    12     5  2001      691.840000
    13     5  2001      716.392000
    14     5  2001      739.604000
    15     5  2001      755.181000
    16     5  2001      734.947000
    17     5  2001      713.311000
    18     5  2001      719.476000
    19     5  2001      741.158000
    20     5  2001      755.181000
    21     5  2001      759.870000
    22     5  2001      744.268000
    23     5  2001      717.934000
    24     5  2001      707.160000
    25     5  2001      728.748000
    26     5  2001      745.825000
    27     5  2001      777.125000
    28     5  2001      810.336000
    29     5  2001      813.517000
    30     5  2001      805.570000
    31     5  2001      789.736000
     1     6  2001      714.851000
     2     6  2001      652.408000
     3     6  2001      682.689000
     4     6  2001      682.689000
     5     6  2001      672.051000
     6     6  2001      646.393000
     7     6  2001      619.502000
     8     6  2001      589.965000
     9     6  2001      553.560000
    10     6  2001      524.863000
    11     6  2001      495.150000
    12     6  2001      471.419000
    13     6  2001      453.472000
    14     6  2001      431.626000
    15     6  2001      426.208000
    16     6  2001      423.505000
    17     6  2001      410.056000
    18     6  2001      394.062000
    19     6  2001      372.989000
    20     6  2001      363.862000
    21     6  2001      350.923000
    22     6  2001      334.280000
    23     6  2001      320.358000
    24     6  2001      309.080000
    25     6  2001      304.100000
    26     6  2001      296.668000
    27     6  2001      291.740000
    28     6  2001      281.945000
    29     6  2001      269.822000
    30     6  2001      260.220000
     1     7  2001      249.525000
     2     7  2001      242.457000
     3     7  2001      236.607000
     4     7  2001      231.953000
     5     7  2001      229.634000
     6     7  2001      225.015000
     7     7  2001      218.131000
     8     7  2001      202.281000
     9     7  2001      193.361000
    10     7  2001      190.042000
    11     7  2001      186.737000
    12     7  2001      186.737000
    13     7  2001      180.173000
    14     7  2001      175.829000
    15     7  2001      169.364000
    16     7  2001      164.024000
    17     7  2001      158.727000
    18     7  2001      154.521000
    19     7  2001      151.385000
    20     7  2001      146.195000
    21     7  2001      142.076000
    22     7  2001      137.987000
    23     7  2001      135.954000
    24     7  2001      135.954000
    25     7  2001      135.954000
    26     7  2001      135.954000
    27     7  2001      134.940000
    28     7  2001      132.919000
    29     7  2001      130.904000
    30     7  2001      129.900000
    31     7  2001      121.938000
     1     8  2001      116.050000
     2     8  2001      112.167000
     3     8  2001      108.316000
     4     8  2001      103.551000
     5     8  2001       98.841000
     6     8  2001       95.112800
     7     8  2001       91.421100
     8     8  2001       88.676500
     9     8  2001       86.858600
    10     8  2001       84.149600
    11     8  2001       80.571500
    12     8  2001       79.683200
    13     8  2001       77.033000
    14     8  2001       75.278800
    15     8  2001       71.801200
    16     8  2001       70.078100
    17     8  2001       68.365500
    18     8  2001       65.816800
    19     8  2001       64.131300
    20     8  2001       61.623900
    21     8  2001       58.320200
    22     8  2001       56.685700
    23     8  2001       55.063000
    24     8  2001       53.452200
    25     8  2001       51.853500
    26     8  2001       51.853500
    27     8  2001       51.853500
    28     8  2001       51.853500
    29     8  2001       51.058800
    30     8  2001       51.058800
    31     8  2001       51.058800
     1     9  2001       50.267100
     2     9  2001       49.478600
     3     9  2001       49.478600
     4     9  2001       55.872900
     5     9  2001       59.966300
     6     9  2001       63.292700
     7     9  2001       66.663700
     8     9  2001       72.666700
     9     9  2001       77.033000
    10     9  2001       80.571500
    11     9  2001       82.355700
    12     9  2001       84.149600
    13     9  2001       80.571500
    14     9  2001       73.534900
    15     9  2001       64.131300
    16     9  2001       59.141800
    17     9  2001       55.872900
    18     9  2001       54.256100
    19     9  2001       49.478600
    20     9  2001       45.583800
    21     9  2001       42.526800
    22     9  2001       45.583800
    23     9  2001       48.693200
    24     9  2001       51.853500
    25     9  2001       56.685700
    26     9  2001       55.063000
    27     9  2001       51.058800
    28     9  2001       47.132100
    29     9  2001       45.583800
    30     9  2001       42.526800
     1    10  2001       41.018500
     2    10  2001       39.524100
     3    10  2001       41.018500
     4    10  2001       43.286000
     5    10  2001       44.048600
     6    10  2001       44.814500
     7    10  2001       38.043700
     8    10  2001       36.577700
     9    10  2001       41.018500
    10    10  2001       43.286000
    11    10  2001       44.814500
    12    10  2001       48.693200
    13    10  2001       53.452200
    14    10  2001       60.793700
    15    10  2001       65.816800
    16    10  2001       70.938300
    17    10  2001       77.033000
    18    10  2001       74.405500
    19    10  2001       71.801200
    20    10  2001       70.078100
    21    10  2001       68.365500
    22    10  2001       66.663700
    23    10  2001       70.078100
    24    10  2001       75.278800
    25    10  2001       78.797300
    26    10  2001       95.112800
    27    10  2001      104.500000
    28    10  2001       97.905600
    29    10  2001       89.589000
    30    10  2001       78.797300
    31    10  2001       72.666700
     1    11  2001       69.220500
     2    11  2001       69.220500
     3    11  2001       73.534900
     4    11  2001       73.534900
     5    11  2001       77.913900
     6    11  2001       77.033000
     7    11  2001       74.405500
     8    11  2001       71.801200
     9    11  2001       68.365500
    10    11  2001       59.141800
    11    11  2001       47.132100
    12    11  2001       41.770900
    13    11  2001       39.524100
    14    11  2001       36.577700
    15    11  2001       35.126300
    16    11  2001       40.269500
    17    11  2001       54.256100
    18    11  2001      102.605000
    19    11  2001      131.911000
    20    11  2001      144.132000
    21    11  2001      155.570000
    22    11  2001      160.840000
    23    11  2001      168.293000
    24    11  2001      174.747000
    25    11  2001      176.912000
    26    11  2001      180.173000
    27    11  2001      218.131000
    28    11  2001      272.236000
    29    11  2001      279.510000
    30    11  2001      268.617000
     1    12  2001      260.220000
     2    12  2001      248.343000
     3    12  2001      242.457000
     4    12  2001      238.943000
     5    12  2001      288.057000
     6    12  2001      326.668000
     7    12  2001      304.100000
     8    12  2001      356.085000
     9    12  2001      410.056000
    10    12  2001      461.733000
    11    12  2001      479.761000
    12    12  2001      442.515000
    13    12  2001      489.539000
    14    12  2001      546.350000
    15    12  2001      616.532000
    16    12  2001      604.688000
    17    12  2001      572.418000
    18    12  2001      520.591000
    19    12  2001      450.726000
    20    12  2001      456.222000
    21    12  2001      495.150000
    22    12  2001      573.875000
    23    12  2001      578.252000
    24    12  2001      552.117000
    25    12  2001      537.729000
    26    12  2001      542.035000
    27    12  2001      716.392000
    28    12  2001      704.089000
    29    12  2001      688.786000
    30    12  2001      676.605000
    31    12  2001      661.456000
     1     1  2002      646.393000
     2     1  2002      658.436000
     3     1  2002      678.125000
     4     1  2002      681.166000
     5     1  2002      665.991000
     6     1  2002      647.895000
     7     1  2002      634.406000
     8     1  2002      612.084000
     9     1  2002      632.912000
    10     1  2002      675.086000
    11     1  2002      734.947000
    12     1  2002      850.322000
    13     1  2002      882.657000
    14     1  2002      861.605000
    15     1  2002      845.498000
    16     1  2002      827.870000
    17     1  2002      815.108000
    18     1  2002      803.983000
    19     1  2002      794.478000
    20     1  2002      819.888000
    21     1  2002      861.605000
    22     1  2002      871.305000
    23     1  2002      855.153000
    24     1  2002      826.272000
    25     1  2002      797.643000
    26     1  2002      731.846000
    27     1  2002      679.645000
    28     1  2002      646.393000
    29     1  2002      623.964000
    30     1  2002      601.736000
    31     1  2002      569.506000
     1     2  2002      526.289000
     2     2  2002      478.368000
     3     2  2002      489.539000
     4     2  2002      684.212000
     5     2  2002      855.153000
     6     2  2002      881.033000
     7     2  2002      902.202000
     8     2  2002     1057.220000
     9     2  2002     1207.640000
    10     2  2002     1281.430000
    11     2  2002     1434.610000
    12     2  2002     1470.020000
    13     2  2002     1441.220000
    14     2  2002     1478.920000
    15     2  2002     1492.310000
    16     2  2002     1501.260000
    17     2  2002     1494.550000
    18     2  2002     1470.020000
    19     2  2002     1434.610000
    20     2  2002     1443.430000
    21     2  2002     1428.010000
    22     2  2002     1412.640000
    23     2  2002     1390.810000
    24     2  2002     1364.770000
    25     2  2002     1334.630000
    26     2  2002     1292.010000
    27     2  2002     1200.620000
    28     2  2002     1167.390000
     1     3  2002     1132.670000
     2     3  2002     1101.650000
     3     3  2002     1057.220000
     4     3  2002     1089.640000
     5     3  2002     1103.370000
     6     3  2002     1105.080000
     7     3  2002     1038.570000
     8     3  2002      963.136000
     9     3  2002      902.202000
    10     3  2002      897.305000
    11     3  2002      916.931000
    12     3  2002      943.264000
    13     3  2002      958.158000
    14     3  2002      966.458000
    15     3  2002      905.470000
    16     3  2002      851.932000
    17     3  2002      829.469000
    18     3  2002      807.158000
    19     3  2002      788.157000
    20     3  2002      797.643000
    21     3  2002      831.068000
    22     3  2002      889.160000
    23     3  2002      949.876000
    24     3  2002      926.784000
    25     3  2002      898.937000
    26     3  2002      971.446000
    27     3  2002     1153.470000
    28     3  2002     1235.840000
    29     3  2002     1183.100000
    30     3  2002     1127.480000
    31     3  2002     1108.520000
     1     4  2002     1003.190000
     2     4  2002      983.111000
     3     4  2002      926.784000
     4     4  2002      869.686000
     5     4  2002      887.533000
     6     4  2002      895.675000
     7     4  2002      887.533000
     8     4  2002      895.675000
     9     4  2002      912.015000
    10     4  2002      969.783000
    11     4  2002      923.497000
    12     4  2002      851.932000
    13     4  2002      796.060000
    14     4  2002      742.713000
    15     4  2002      761.435000
    16     4  2002      785.001000
    17     4  2002      824.675000
    18     4  2002      840.681000
    19     4  2002      815.108000
    20     4  2002      807.158000
    21     4  2002      788.157000
    22     4  2002      775.553000
    23     4  2002      750.499000
    24     4  2002      717.934000
    25     4  2002      704.089000
    26     4  2002      691.840000
    27     4  2002      670.535000
    28     4  2002      649.398000
    29     4  2002      613.566000
    30     4  2002      584.101000
     1     5  2002      570.962000
     2     5  2002      569.506000
     3     5  2002      555.005000
     4     5  2002      537.729000
     5     5  2002      514.910000
     6     5  2002      529.143000
     7     5  2002      549.231000
     8     5  2002      544.911000
     9     5  2002      549.231000
    10     5  2002      566.599000
    11     5  2002      519.170000
    12     5  2002      486.741000
    13     5  2002      470.032000
    14     5  2002      447.985000
    15     5  2002      426.208000
    16     5  2002      416.767000
    17     5  2002      403.372000
    18     5  2002      391.412000
    19     5  2002      386.126000
    20     5  2002      384.807000
    21     5  2002      391.412000
    22     5  2002      384.807000
    23     5  2002      370.376000
    24     5  2002      356.085000
    25     5  2002      344.498000
    26     5  2002      334.280000
    27     5  2002      336.827000
    28     5  2002      341.936000
    29     5  2002      347.064000
    30     5  2002      347.064000
    31     5  2002      334.280000
     1     6  2002      321.618000
     2     6  2002      326.668000
     3     6  2002      348.349000
     4     6  2002      336.827000
     5     6  2002      306.587000
     6     6  2002      291.740000
     7     6  2002      299.140000
     8     6  2002      295.434000
     9     6  2002      281.945000
    10     6  2002      271.028000
    11     6  2002      257.834000
    12     6  2002      248.343000
    13     6  2002      242.457000
    14     6  2002      229.634000
    15     6  2002      223.864000
    16     6  2002      204.527000
    17     6  2002      200.042000
    18     6  2002      195.581000
    19     6  2002      191.146000
    20     6  2002      183.447000
    21     6  2002      176.912000
    22     6  2002      168.293000
    23     6  2002      159.783000
    24     6  2002      153.474000
    25     6  2002      150.344000
    26     6  2002      147.230000
    27     6  2002      144.132000
    28     6  2002      140.028000
    29     6  2002      135.954000
    30     6  2002      130.904000
     1     7  2002      125.903000
     2     7  2002      121.938000
     3     7  2002      116.050000
     4     7  2002      114.104000
     5     7  2002      110.237000
     6     7  2002      106.404000
     7     7  2002      103.551000
     8     7  2002      101.661000
     9     7  2002       98.841000
    10     7  2002       95.112800
    11     7  2002       92.340500
    12     7  2002       91.421100
    13     7  2002       90.503900
    14     7  2002       89.589000
    15     7  2002       87.766400
    16     7  2002       85.953200
    17     7  2002       84.149600
    18     7  2002       89.589000
    19     7  2002       96.972400
    20     7  2002      102.605000
    21     7  2002      111.201000
    22     7  2002      103.551000
    23     7  2002       89.589000
    24     7  2002       83.251400
    25     7  2002       80.571500
    26     7  2002       77.913900
    27     7  2002       77.033000
    28     7  2002       73.534900
    29     7  2002       69.220500
    30     7  2002       73.534900
    31     7  2002       81.462400
     1     8  2002       96.041500
     2     8  2002       93.262300
     3     8  2002       96.972400
     4     8  2002       96.972400
     5     8  2002       87.766400
     6     8  2002       78.797300
     7     8  2002       70.078100
     8     8  2002       62.456900
     9     8  2002       59.141800
    10     8  2002       63.292700
    11     8  2002       65.816800
    12     8  2002       64.972700
    13     8  2002       61.623900
    14     8  2002       57.501500
    15     8  2002       55.063000
    16     8  2002       52.651300
    17     8  2002       51.058800
    18     8  2002       48.693200
    19     8  2002       45.583800
    20     8  2002       44.048600
    21     8  2002       48.693200
    22     8  2002       53.452200
    23     8  2002       50.267100
    24     8  2002       48.693200
    25     8  2002       47.132100
    26     8  2002       45.583800
    27     8  2002       44.048600
    28     8  2002       41.018500
    29     8  2002       38.782100
    30     8  2002       37.308900
    31     8  2002       35.850200
