SERRINHA	-64.827	-0.482
     6     4  1984     9959.310000
     7     4  1984    10026.000000
     8     4  1984    10159.600000
     9     4  1984    10293.600000
    10     4  1984    10528.700000
    11     4  1984    10798.600000
    12     4  1984    11069.700000
    13     4  1984    11342.000000
    14     4  1984    11615.400000
    15     4  1984    11890.000000
    16     4  1984    12200.300000
    17     4  1984    12616.300000
    18     4  1984    12929.900000
    19     4  1984    13104.700000
    20     4  1984    13420.400000
    21     4  1984    13631.600000
    22     4  1984    13490.700000
    23     4  1984    13385.300000
    24     4  1984    13279.900000
    25     4  1984    13209.800000
    26     4  1984    13174.700000
    27     4  1984    13385.300000
    28     4  1984    13843.400000
    29     4  1984    14411.000000
    30     4  1984    14982.700000
     1     5  1984    15486.100000
     2     5  1984    16137.700000
     3     5  1984    16794.000000
     4     5  1984    17491.800000
     5     5  1984    18046.300000
     6     5  1984    18603.800000
     7     5  1984    18902.400000
     8     5  1984    19014.600000
     9     5  1984    19014.600000
    10     5  1984    19089.400000
    11     5  1984    19126.900000
    12     5  1984    19164.300000
    13     5  1984    19126.900000
    14     5  1984    18977.200000
    15     5  1984    18827.700000
    16     5  1984    18603.800000
    17     5  1984    18454.900000
    18     5  1984    18306.100000
    19     5  1984    18157.600000
    20     5  1984    18046.300000
    21     5  1984    18009.200000
    22     5  1984    18120.500000
    23     5  1984    18231.800000
    24     5  1984    18380.400000
    25     5  1984    18603.800000
    26     5  1984    18977.200000
    27     5  1984    19496.200000
    28     5  1984    20191.200000
    29     5  1984    20697.200000
    30     5  1984    21107.800000
    31     5  1984    21315.100000
     1     6  1984    21628.400000
     2     6  1984    21838.900000
     3     6  1984    22263.800000
     4     6  1984    22586.000000
     5     6  1984    22802.400000
     6     6  1984    23129.600000
     7     6  1984    23515.000000
     8     6  1984    23792.900000
     9     6  1984    23960.600000
    10     6  1984    24072.800000
    11     6  1984    24129.100000
    12     6  1984    24016.700000
    13     6  1984    23848.700000
    14     6  1984    23848.700000
    15     6  1984    24072.800000
    16     6  1984    24582.000000
    17     6  1984    25098.100000
    18     6  1984    25621.000000
    19     6  1984    26210.200000
    20     6  1984    26508.000000
    21     6  1984    26747.900000
    22     6  1984    26989.100000
    23     6  1984    27049.600000
    24     6  1984    27170.900000
    25     6  1984    27231.700000
    26     6  1984    27231.700000
    27     6  1984    27110.200000
    28     6  1984    27049.600000
    29     6  1984    27049.600000
    30     6  1984    26928.600000
     1     7  1984    26868.300000
     2     7  1984    26868.300000
     3     7  1984    26808.000000
     4     7  1984    26687.800000
     5     7  1984    26508.000000
     6     7  1984    26329.100000
     7     7  1984    26210.200000
     8     7  1984    25973.500000
     9     7  1984    25796.900000
    10     7  1984    25738.200000
    11     7  1984    25679.500000
    12     7  1984    25679.500000
    13     7  1984    25679.500000
    14     7  1984    25738.200000
    15     7  1984    25796.900000
    16     7  1984    25796.900000
    17     7  1984    25855.700000
    18     7  1984    25973.500000
    19     7  1984    26032.500000
    20     7  1984    26091.700000
    21     7  1984    26091.700000
    22     7  1984    26032.500000
    23     7  1984    26032.500000
    24     7  1984    25914.500000
    25     7  1984    26091.700000
    26     7  1984    26032.500000
    27     7  1984    26150.900000
    28     7  1984    26210.200000
    29     7  1984    26269.600000
    30     7  1984    26329.100000
    31     7  1984    26329.100000
     1     8  1984    26329.100000
     2     8  1984    26329.100000
     3     8  1984    26329.100000
     4     8  1984    26329.100000
     5     8  1984    26210.200000
     6     8  1984    26150.900000
     7     8  1984    26210.200000
     8     8  1984    26091.700000
     9     8  1984    25855.700000
    10     8  1984    25621.000000
    11     8  1984    25387.700000
    12     8  1984    25155.800000
    13     8  1984    25040.400000
    14     8  1984    24810.500000
    15     8  1984    24582.000000
    16     8  1984    24241.800000
    17     8  1984    24016.700000
    18     8  1984    23792.900000
    19     8  1984    23570.400000
    20     8  1984    23294.300000
    21     8  1984    23129.600000
    22     8  1984    22911.200000
    23     8  1984    22694.100000
    24     8  1984    22586.000000
    25     8  1984    22694.100000
    26     8  1984    22856.800000
    27     8  1984    23020.200000
    28     8  1984    23184.400000
    29     8  1984    23349.400000
    30     8  1984    23570.400000
    31     8  1984    23625.900000
     1     9  1984    23570.400000
     2     9  1984    23349.400000
     3     9  1984    22911.200000
     4     9  1984    22424.600000
     5     9  1984    21891.700000
     6     9  1984    21419.200000
     7     9  1984    20748.200000
     8     9  1984    20141.000000
     9     9  1984    19643.800000
    10     9  1984    19203.100000
    11     9  1984    19052.000000
    12     9  1984    18865.000000
    13     9  1984    18715.700000
    14     9  1984    18641.100000
    15     9  1984    18641.100000
    16     9  1984    18529.300000
    17     9  1984    18380.400000
    18     9  1984    18268.900000
    19     9  1984    18194.700000
    20     9  1984    18157.600000
    21     9  1984    18268.900000
    22     9  1984    18380.400000
    23     9  1984    18603.800000
    24     9  1984    18641.100000
    25     9  1984    18678.400000
    26     9  1984    18678.400000
    27     9  1984    18529.300000
    28     9  1984    18380.400000
    29     9  1984    18231.800000
    30     9  1984    18009.200000
     1    10  1984    17935.200000
     2    10  1984    17787.200000
     3    10  1984    17639.400000
     4    10  1984    17455.000000
     5    10  1984    17160.700000
     6    10  1984    16867.300000
     7    10  1984    16574.700000
     8    10  1984    16319.600000
     9    10  1984    16101.400000
    10    10  1984    15992.500000
    11    10  1984    15883.700000
    12    10  1984    15847.500000
    13    10  1984    15775.100000
    14    10  1984    15738.900000
    15    10  1984    15702.800000
    16    10  1984    15847.500000
    17    10  1984    16028.800000
    18    10  1984    16283.200000
    19    10  1984    16684.300000
    20    10  1984    17013.800000
    21    10  1984    17307.700000
    22    10  1984    17528.700000
    23    10  1984    17750.200000
    24    10  1984    17787.200000
    25    10  1984    17787.200000
    26    10  1984    17713.300000
    27    10  1984    17602.500000
    28    10  1984    17455.000000
    29    10  1984    17270.900000
    30    10  1984    17160.700000
    31    10  1984    17050.500000
     1    11  1984    16940.500000
     2    11  1984    16830.600000
     3    11  1984    16684.300000
     4    11  1984    16611.300000
     5    11  1984    16684.300000
     6    11  1984    16867.300000
     7    11  1984    16794.000000
     8    11  1984    16684.300000
     9    11  1984    16392.400000
    10    11  1984    16174.000000
    11    11  1984    15883.700000
    12    11  1984    15414.000000
    13    11  1984    14911.000000
    14    11  1984    14446.600000
    15    11  1984    14162.200000
    16    11  1984    13914.100000
    17    11  1984    13596.400000
    18    11  1984    13455.600000
    19    11  1984    13385.300000
    20    11  1984    13279.900000
    21    11  1984    13209.800000
    22    11  1984    13209.800000
    23    11  1984    13209.800000
    24    11  1984    13279.900000
    25    11  1984    13279.900000
    26    11  1984    13350.100000
    27    11  1984    13420.400000
    28    11  1984    13420.400000
    29    11  1984    13385.300000
    30    11  1984    13420.400000
     1    12  1984    13490.700000
     2    12  1984    13490.700000
     3    12  1984    13420.400000
     4    12  1984    13350.100000
     5    12  1984    13279.900000
     6    12  1984    13174.700000
     7    12  1984    13034.700000
     8    12  1984    12895.000000
     9    12  1984    12825.200000
    10    12  1984    12755.500000
    11    12  1984    12720.700000
    12    12  1984    12685.900000
    13    12  1984    12651.100000
    14    12  1984    12546.800000
    15    12  1984    12442.700000
    16    12  1984    12338.700000
    17    12  1984    12165.800000
    18    12  1984    12027.800000
    19    12  1984    11993.300000
    20    12  1984    12062.300000
    21    12  1984    12131.300000
    22    12  1984    12234.900000
    23    12  1984    12442.700000
    24    12  1984    12651.100000
    25    12  1984    13034.700000
    26    12  1984    13385.300000
    27    12  1984    13808.100000
    28    12  1984    14162.200000
    29    12  1984    14624.900000
    30    12  1984    15378.000000
    31    12  1984    16065.100000
     1     1  1985    16757.500000
     2     1  1985    17418.200000
     3     1  1985    17935.200000
     4     1  1985    18454.900000
     5     1  1985    18641.100000
     6     1  1985    18977.200000
     7     1  1985    19126.900000
     8     1  1985    19164.300000
     9     1  1985    19251.800000
    10     1  1985    19349.300000
    11     1  1985    19447.200000
    12     1  1985    19545.300000
    13     1  1985    19496.200000
    14     1  1985    19203.100000
    15     1  1985    18939.800000
    16     1  1985    18641.100000
    17     1  1985    17898.100000
    18     1  1985    17491.800000
    19     1  1985    17013.800000
    20     1  1985    16465.300000
    21     1  1985    15992.500000
    22     1  1985    15522.200000
    23     1  1985    14946.800000
    24     1  1985    14767.900000
    25     1  1985    14446.600000
    26     1  1985    14126.700000
    27     1  1985    13808.100000
    28     1  1985    13385.300000
    29     1  1985    12929.900000
    30     1  1985    12477.400000
    31     1  1985    12062.300000
     1     2  1985    11649.700000
     2     2  1985    11273.800000
     3     2  1985    10900.100000
     4     2  1985    10528.700000
     5     2  1985    10159.600000
     6     2  1985     9627.060000
     7     2  1985     9165.350000
     8     2  1985     8740.310000
     9     2  1985     8286.680000
    10     2  1985     8029.430000
    11     2  1985     7773.650000
    12     2  1985     7678.120000
    13     2  1985     7741.780000
    14     2  1985     7837.460000
    15     2  1985     7869.390000
    16     2  1985     7837.460000
    17     2  1985     7805.540000
    18     2  1985     7678.120000
    19     2  1985     7582.790000
    20     2  1985     7487.690000
    21     2  1985     7329.650000
    22     2  1985     7172.230000
    23     2  1985     7015.420000
    24     2  1985     6859.240000
    25     2  1985     6734.750000
    26     2  1985     6672.650000
    27     2  1985     6672.650000
    28     2  1985     6641.650000
     1     3  1985     6796.940000
     2     3  1985     6765.830000
     3     3  1985     6703.690000
     4     3  1985     6641.650000
     5     3  1985     6517.880000
     6     3  1985     6363.750000
     7     3  1985     6333.010000
     8     3  1985     6456.150000
     9     3  1985     6672.650000
    10     3  1985     6796.940000
    11     3  1985     6796.940000
    12     3  1985     6765.830000
    13     3  1985     6765.830000
    14     3  1985     6796.940000
    15     3  1985     6796.940000
    16     3  1985     6952.870000
    17     3  1985     6952.870000
    18     3  1985     6921.630000
    19     3  1985     6703.690000
    20     3  1985     6363.750000
    21     3  1985     6149.100000
    22     3  1985     6425.320000
    23     3  1985     6579.710000
    24     3  1985     6517.880000
    25     3  1985     6425.320000
    26     3  1985     6333.010000
    27     3  1985     6333.010000
    28     3  1985     6333.010000
    29     3  1985     6394.530000
    30     3  1985     6456.150000
    31     3  1985     6487.000000
     1     4  1985     6456.150000
     2     4  1985     6487.000000
     3     4  1985     6610.660000
     4     4  1985     6921.630000
     5     4  1985     7266.610000
     6     4  1985     7424.400000
     7     4  1985     7456.030000
     8     4  1985     7392.790000
     9     4  1985     7298.120000
    10     4  1985     7172.230000
    11     4  1985     7046.730000
    12     4  1985     6921.630000
    13     4  1985     6796.940000
    14     4  1985     6672.650000
    15     4  1985     6641.650000
    16     4  1985     6456.150000
    17     4  1985     6179.690000
    18     4  1985     5844.780000
    19     4  1985     5543.270000
    20     4  1985     5274.390000
    21     4  1985     4949.070000
    22     4  1985     4831.700000
    23     4  1985     4627.540000
    24     4  1985     4396.170000
    25     4  1985     4166.960000
    26     4  1985     4166.960000
    27     4  1985     4138.460000
    28     4  1985     4252.650000
    29     4  1985     4482.680000
    30     4  1985     4773.210000
     1     5  1985     4949.070000
     2     5  1985     5663.530000
     3     5  1985     6149.100000
     4     5  1985     6672.650000
     5     5  1985     7109.430000
     6     5  1985     7933.340000
     7     5  1985     8190.040000
     8     5  1985     8610.260000
     9     5  1985     9001.440000
    10     5  1985     9263.940000
    11     5  1985     9992.640000
    12     5  1985    10934.000000
    13     5  1985    11752.600000
    14     5  1985    12616.300000
    15     5  1985    13244.800000
    16     5  1985    13631.600000
    17     5  1985    13914.100000
    18     5  1985    14197.700000
    19     5  1985    14339.900000
    20     5  1985    14517.900000
    21     5  1985    14767.900000
    22     5  1985    15198.100000
    23     5  1985    15594.400000
    24     5  1985    15920.000000
    25     5  1985    16174.000000
    26     5  1985    16356.000000
    27     5  1985    16538.200000
    28     5  1985    16794.000000
    29     5  1985    17123.900000
    30     5  1985    17491.800000
    31     5  1985    17935.200000
     1     6  1985    18417.600000
     2     6  1985    18790.300000
     3     6  1985    19203.100000
     4     6  1985    19643.800000
     5     6  1985    20090.900000
     6     6  1985    20646.200000
     7     6  1985    21367.100000
     8     6  1985    22157.100000
     9     6  1985    23020.200000
