BOCADOPOMPEU-JUSANTE	-65.043	-10.918
    23     3  1984      246.627000
    24     3  1984      251.182000
    25     3  1984      251.182000
    26     3  1984      246.627000
    27     3  1984      258.079000
    28     3  1984      260.395000
    29     3  1984      272.105000
    30     3  1984      306.021000
    31     3  1984      341.577000
     1     4  1984      359.960000
     2     4  1984      381.457000
     3     4  1984      406.257000
     4     4  1984      434.570000
     5     4  1984      454.859000
     6     4  1984      469.586000
     7     4  1984      472.554000
     8     4  1984      469.586000
     9     4  1984      454.859000
    10     4  1984      443.218000
    11     4  1984      425.993000
    12     4  1984      411.857000
    13     4  1984      392.399000
    14     4  1984      381.457000
    15     4  1984      370.644000
    16     4  1984      357.309000
    17     4  1984      354.667000
    18     4  1984      341.577000
    19     4  1984      328.692000
    20     4  1984      321.060000
    21     4  1984      306.021000
    22     4  1984      293.718000
    23     4  1984      279.233000
    24     4  1984      274.472000
    25     4  1984      272.105000
    26     4  1984      258.079000
    27     4  1984      242.107000
    28     4  1984      230.960000
    29     4  1984      222.199000
    30     4  1984      215.721000
     1     5  1984      211.447000
     2     5  1984      209.324000
     3     5  1984      207.209000
     4     5  1984      209.324000
     5     5  1984      215.721000
     6     5  1984      213.580000
     7     5  1984      209.324000
     8     5  1984      200.918000
     9     5  1984      182.533000
    10     5  1984      184.539000
    11     5  1984      172.637000
    12     5  1984      164.886000
    13     5  1984      168.743000
    14     5  1984      174.598000
    15     5  1984      180.535000
    16     5  1984      178.547000
    17     5  1984      170.685000
    18     5  1984      157.284000
    19     5  1984      147.992000
    20     5  1984      137.153000
    21     5  1984      130.119000
    22     5  1984      121.544000
    23     5  1984      114.859000
    24     5  1984      109.949000
    25     5  1984      106.476000
    26     5  1984      104.963000
    27     5  1984      103.962000
    28     5  1984      103.463000
    29     5  1984      101.481000
    30     5  1984       99.034300
    31     5  1984       96.621500
     1     6  1984       94.242500
     2     6  1984       91.897100
     3     6  1984       89.585300
     4     6  1984       87.759800
     5     6  1984       85.955800
     6     6  1984       83.730500
     7     6  1984       81.538400
     8     6  1984       79.808500
     9     6  1984       78.524800
    10     6  1984       76.831700
    11     6  1984       75.159500
    12     6  1984       73.508100
    13     6  1984       71.877600
    14     6  1984       70.267800
    15     6  1984       68.678800
    16     6  1984       66.721400
    17     6  1984       64.414900
    18     6  1984       62.154400
    19     6  1984       59.939700
    20     6  1984       57.770600
    21     6  1984       55.997600
    22     6  1984       54.255900
    23     6  1984       52.885000
    24     6  1984       51.199400
    25     6  1984       49.873200
    26     6  1984       48.243200
    27     6  1984       46.643900
    28     6  1984       45.075200
    29     6  1984       43.536900
    30     6  1984       42.028900
     1     7  1984       40.551000
     2     7  1984       39.103100
     3     7  1984       37.966300
     4     7  1984       36.572000
     5     7  1984       35.477800
     6     7  1984       34.136600
     7     7  1984       33.346000
     8     7  1984       32.308200
     9     7  1984       31.288900
    10     7  1984       30.536600
    11     7  1984       29.794800
    12     7  1984       29.063200
    13     7  1984       28.342000
    14     7  1984       27.631100
    15     7  1984       26.930400
    16     7  1984       26.239900
    17     7  1984       25.559600
    18     7  1984       24.668200
    19     7  1984       24.011500
    20     7  1984       22.939300
    21     7  1984       22.101500
    22     7  1984       21.281400
    23     7  1984       20.677800
    24     7  1984       20.084100
    25     7  1984       19.307800
    26     7  1984       18.548800
    27     7  1984       18.175700
    28     7  1984       17.624200
    29     7  1984       16.903900
    30     7  1984       16.200600
    31     7  1984       15.684200
     1     8  1984       15.177300
     2     8  1984       14.516200
     3     8  1984       14.031300
     4     8  1984       13.555700
     5     8  1984       12.936000
     6     8  1984       12.632400
     7     8  1984       12.184500
     8     8  1984       11.745900
     9     8  1984       11.316300
    10     8  1984       11.035000
    11     8  1984       10.757700
    12     8  1984       10.349200
    13     8  1984        9.949700
    14     8  1984        9.688400
    15     8  1984        9.430900
    16     8  1984        9.177400
    17     8  1984        8.804500
    18     8  1984        8.440400
    19     8  1984        8.202500
    20     8  1984        8.202500
    21     8  1984        7.852800
    22     8  1984        7.968400
    23     8  1984        7.968400
    24     8  1984        7.852800
    25     8  1984        7.852800
    26     8  1984        7.738200
    27     8  1984        7.738200
    28     8  1984        7.624500
    29     8  1984        7.624500
    30     8  1984        7.511800
    31     8  1984        7.511800
     1     9  1984        7.511800
     2     9  1984        7.738200
     3     9  1984        7.624500
     4     9  1984        7.511800
     5     9  1984        7.400000
     6     9  1984        7.400000
     7     9  1984        7.289200
     8     9  1984        7.289200
     9     9  1984        7.624500
    10     9  1984        7.624500
    11     9  1984        7.738200
    12     9  1984        7.852800
    13     9  1984        7.852800
    14     9  1984        7.968400
    15     9  1984        8.085000
    16     9  1984        8.440400
    17     9  1984        8.560800
    18     9  1984        8.682200
    19     9  1984        8.804500
    20     9  1984        8.560800
    21     9  1984        8.320900
    22     9  1984        8.440400
    23     9  1984        8.320900
    24     9  1984        8.682200
    25     9  1984        8.804500
    26     9  1984        8.440400
    27     9  1984        8.560800
    28     9  1984        8.320900
    29     9  1984        8.320900
    30     9  1984        8.085000
     1    10  1984        8.202500
     2    10  1984        8.320900
     3    10  1984        8.440400
     4    10  1984        8.560800
     5    10  1984        8.320900
     6    10  1984        7.968400
     7    10  1984        7.968400
     8    10  1984        8.202500
     9    10  1984        8.560800
    10    10  1984        8.804500
    11    10  1984        9.303700
    12    10  1984        9.559200
    13    10  1984        9.688400
    14    10  1984       10.081900
    15    10  1984        9.688400
    16    10  1984        8.682200
    17    10  1984        8.804500
    18    10  1984        8.804500
    19    10  1984        8.927900
    20    10  1984        8.927900
    21    10  1984        9.052200
    22    10  1984        9.052200
    23    10  1984        8.804500
    24    10  1984        8.804500
    25    10  1984        8.202500
    26    10  1984        7.738200
    27    10  1984        7.624500
    28    10  1984        7.289200
    29    10  1984        7.400000
    30    10  1984        7.968400
    31    10  1984        8.560800
     1    11  1984        9.052200
     2    11  1984        9.818600
     3    11  1984       11.035000
     4    11  1984       12.632400
     5    11  1984       12.936000
     6    11  1984       13.089400
     7    11  1984       13.243800
     8    11  1984       13.089400
     9    11  1984       12.632400
    10    11  1984       12.632400
    11    11  1984       13.089400
    12    11  1984       13.089400
    13    11  1984       12.783700
    14    11  1984       12.936000
    15    11  1984       13.243800
    16    11  1984       13.555700
    17    11  1984       14.031300
    18    11  1984       14.516200
    19    11  1984       14.679900
    20    11  1984       15.177300
    21    11  1984       16.027400
    22    11  1984       17.261900
    23    11  1984       18.175700
    24    11  1984       18.736900
    25    11  1984       18.926100
    26    11  1984       20.877900
    27    11  1984       23.579300
    28    11  1984       24.889400
    29    11  1984       27.162800
    30    11  1984       27.866900
     1    12  1984       28.821700
     2    12  1984       29.549800
     3    12  1984       30.040900
     4    12  1984       33.346000
     5    12  1984       38.817100
     6    12  1984       41.434100
     7    12  1984       42.930100
     8    12  1984       45.699000
     9    12  1984       49.544700
    10    12  1984       49.873200
    11    12  1984       49.873200
    12    12  1984       49.544700
    13    12  1984       48.891500
    14    12  1984       49.544700
    15    12  1984       50.533800
    16    12  1984       50.533800
    17    12  1984       50.202900
    18    12  1984       51.199400
    19    12  1984       55.297100
    20    12  1984       58.128900
    21    12  1984       60.672900
    22    12  1984       65.178600
    23    12  1984       68.678800
    24    12  1984       76.411700
    25    12  1984       83.289500
    26    12  1984       88.214200
    27    12  1984       90.968400
    28    12  1984       98.549000
    29    12  1984      105.971000
    30    12  1984      118.182000
    31    12  1984      131.863000
     1     1  1985      159.171000
     2     1  1985      166.810000
     3     1  1985      174.598000
     4     1  1985      182.533000
     5     1  1985      192.656000
     6     1  1985      226.562000
     7     1  1985      274.472000
     8     1  1985      331.253000
     9     1  1985      378.742000
    10     1  1985      403.470000
    11     1  1985      403.470000
    12     1  1985      409.053000
    13     1  1985      428.845000
    14     1  1985      425.993000
    15     1  1985      414.668000
    16     1  1985      400.690000
    17     1  1985      384.181000
    18     1  1985      338.983000
    19     1  1985      338.983000
    20     1  1985      318.533000
    21     1  1985      301.075000
    22     1  1985      279.233000
    23     1  1985      262.720000
    24     1  1985      246.627000
    25     1  1985      235.392000
    26     1  1985      222.199000
    27     1  1985      215.721000
    28     1  1985      200.918000
    29     1  1985      200.918000
    30     1  1985      194.708000
    31     1  1985      184.539000
     1     2  1985      176.568000
     2     2  1985      166.810000
     3     2  1985      159.171000
     4     2  1985      146.161000
     5     2  1985      142.530000
     6     2  1985      140.728000
     7     2  1985      138.936000
     8     2  1985      142.530000
     9     2  1985      140.728000
    10     2  1985      133.617000
    11     2  1985      128.384000
    12     2  1985      121.544000
    13     2  1985      131.863000
    14     2  1985      131.863000
    15     2  1985      131.863000
    16     2  1985      133.617000
    17     2  1985      133.617000
    18     2  1985      130.119000
    19     2  1985      133.617000
    20     2  1985      147.992000
    21     2  1985      155.407000
    22     2  1985      161.066000
    23     2  1985      166.810000
    24     2  1985      180.535000
    25     2  1985      196.769000
    26     2  1985      203.006000
    27     2  1985      205.103000
    28     2  1985      203.006000
     1     3  1985      224.376000
     2     3  1985      239.860000
     3     3  1985      253.472000
     4     3  1985      267.395000
     5     3  1985      269.746000
     6     3  1985      272.105000
     7     3  1985      267.395000
     8     3  1985      267.395000
     9     3  1985      260.395000
    10     3  1985      251.182000
    11     3  1985      246.627000
    12     3  1985      244.363000
    13     3  1985      242.107000
