JI-PARANÁ	-61.936	-10.874
     5     3  1984     1025.660000
     6     3  1984      998.620000
     7     3  1984      961.210000
     8     3  1984      966.520000
     9     3  1984      950.610000
    10     3  1984      987.870000
    11     3  1984     1257.370000
    12     3  1984     1376.640000
    13     3  1984     1407.070000
    14     3  1984     1468.690000
    15     3  1984     1506.130000
    16     3  1984     1531.290000
    17     3  1984     1543.920000
    18     3  1984     1499.870000
    19     3  1984     1419.320000
    20     3  1984     1425.460000
    21     3  1984     1400.970000
    22     3  1984     1340.430000
    23     3  1984     1286.810000
    24     3  1984     1222.370000
    25     3  1984     1251.510000
    26     3  1984     1358.490000
    27     3  1984     1358.490000
    28     3  1984     1524.980000
    29     3  1984     1652.860000
    30     3  1984     1582.050000
    31     3  1984     1543.920000
     1     4  1984     1425.460000
     2     4  1984     1468.690000
     3     4  1984     1626.980000
     4     4  1984     1771.180000
     5     4  1984     1851.740000
     6     4  1984     1892.520000
     7     4  1984     1865.300000
     8     4  1984     1797.890000
     9     4  1984     1718.220000
    10     4  1984     1614.100000
    11     4  1984     1614.100000
    12     4  1984     1562.940000
    13     4  1984     1450.100000
    14     4  1984     1292.730000
    15     4  1984     1199.250000
    16     4  1984     1119.610000
    17     4  1984     1080.560000
    18     4  1984     1063.980000
    19     4  1984     1025.660000
    20     4  1984     1031.110000
    21     4  1984     1042.020000
    22     4  1984     1031.110000
    23     4  1984     1014.810000
    24     4  1984     1004.010000
    25     4  1984     1031.110000
    26     4  1984     1069.490000
    27     4  1984     1069.490000
    28     4  1984     1020.230000
    29     4  1984      987.870000
    30     4  1984      877.700000
     1     5  1984      872.580000
     2     5  1984      982.520000
     3     5  1984     1052.980000
     4     5  1984     1075.020000
     5     5  1984     1097.230000
     6     5  1984     1031.110000
     7     5  1984      945.330000
     8     5  1984      913.890000
     9     5  1984      872.580000
    10     5  1984      811.950000
    11     5  1984      762.670000
    12     5  1984      714.550000
    13     5  1984      695.630000
    14     5  1984      690.930000
    15     5  1984      695.630000
    16     5  1984      695.630000
    17     5  1984      700.350000
    18     5  1984      681.570000
    19     5  1984      714.550000
    20     5  1984      658.360000
    21     5  1984      621.850000
    22     5  1984      594.980000
    23     5  1984      568.560000
    24     5  1984      546.880000
    25     5  1984      529.760000
    26     5  1984      517.060000
    27     5  1984      504.470000
    28     5  1984      500.290000
    29     5  1984      500.290000
    30     5  1984      496.140000
    31     5  1984      496.140000
     1     6  1984      500.290000
     2     6  1984      508.650000
     3     6  1984      500.290000
     4     6  1984      475.540000
     5     6  1984      459.290000
     6     6  1984      443.260000
     7     6  1984      435.320000
     8     6  1984      431.380000
     9     6  1984      427.440000
    10     6  1984      419.610000
    11     6  1984      411.830000
    12     6  1984      404.110000
    13     6  1984      404.110000
    14     6  1984      396.440000
    15     6  1984      385.040000
    16     6  1984      373.770000
    17     6  1984      370.040000
    18     6  1984      362.620000
    19     6  1984      355.250000
    20     6  1984      351.590000
    21     6  1984      337.090000
    22     6  1984      329.930000
    23     6  1984      322.820000
    24     6  1984      319.290000
    25     6  1984      315.770000
    26     6  1984      308.770000
    27     6  1984      305.300000
    28     6  1984      301.840000
    29     6  1984      294.960000
    30     6  1984      294.960000
     1     7  1984      291.550000
     2     7  1984      288.150000
     3     7  1984      284.760000
     4     7  1984      281.390000
     5     7  1984      281.390000
     6     7  1984      274.690000
     7     7  1984      274.690000
     8     7  1984      268.050000
     9     7  1984      264.760000
    10     7  1984      261.470000
    11     7  1984      254.960000
    12     7  1984      254.960000
    13     7  1984      248.500000
    14     7  1984      242.110000
