TARAQUÁ	-68.539	0.130
    16     1  1984      977.422000
    17     1  1984     1025.670000
    18     1  1984     1214.260000
    19     1  1984     1373.590000
    20     1  1984     1400.860000
    21     1  1984     1366.800000
    22     1  1984     1339.790000
    23     1  1984     1346.520000
    24     1  1984     1394.020000
    25     1  1984     1407.700000
    26     1  1984     1373.590000
    27     1  1984     1273.140000
    28     1  1984     1227.250000
    29     1  1984     1214.260000
    30     1  1984     1156.430000
    31     1  1984     1068.600000
     1     2  1984     1037.870000
     2     2  1984     1194.870000
     3     2  1984     1400.860000
     4     2  1984     1568.650000
     5     2  1984     1669.780000
     6     2  1984     1669.780000
     7     2  1984     1699.110000
     8     2  1984     1803.280000
     9     2  1984     1848.630000
    10     2  1984     1841.040000
    11     2  1984     1818.340000
    12     2  1984     1894.400000
    13     2  1984     1886.740000
    14     2  1984     1803.280000
    15     2  1984     1750.900000
    16     2  1984     1750.900000
    17     2  1984     1810.800000
    18     2  1984     2018.500000
    19     2  1984     2202.030000
    20     2  1984     2349.810000
    21     2  1984     2441.890000
    22     2  1984     2560.980000
    23     2  1984     2690.940000
    24     2  1984     2832.210000
    25     2  1984     2912.860000
    26     2  1984     2921.870000
    27     2  1984     2894.860000
    28     2  1984     2894.860000
    29     2  1984     2939.930000
     1     3  1984     3067.510000
     2     3  1984     3169.170000
     3     3  1984     3206.450000
     4     3  1984     3262.670000
     5     3  1984     3404.820000
     6     3  1984     3520.180000
     7     3  1984     3607.640000
     8     3  1984     3725.500000
     9     3  1984     3735.390000
    10     3  1984     3695.900000
    11     3  1984     3588.130000
    12     3  1984     3433.530000
    13     3  1984     3281.490000
    14     3  1984     3040.000000
    15     3  1984     2894.860000
    16     3  1984     2734.800000
    17     3  1984     2595.400000
    18     3  1984     2383.140000
    19     3  1984     2193.930000
    20     3  1984     1963.840000
    21     3  1984     1728.640000
    22     3  1984     1497.870000
    23     3  1984     1360.030000
    24     3  1984     1346.520000
    25     3  1984     1346.520000
    26     3  1984     1326.360000
    27     3  1984     1279.750000
    28     3  1984     1253.400000
    29     3  1984     1175.590000
    30     3  1984     1150.070000
    31     3  1984     1201.320000
     1     4  1984     1253.400000
     2     4  1984     1319.660000
     3     4  1984     1319.660000
     4     4  1984     1273.140000
     5     4  1984     1220.750000
     6     4  1984     1188.430000
     7     4  1984     1188.430000
     8     4  1984     1188.430000
     9     4  1984     1306.310000
    10     4  1984     1469.900000
    11     4  1984     1669.780000
    12     4  1984     1886.740000
    13     4  1984     2026.350000
    14     4  1984     2193.930000
    15     4  1984     2283.680000
    16     4  1984     2333.210000
    17     4  1984     2341.510000
    18     4  1984     2291.910000
    19     4  1984     2242.720000
    20     4  1984     2153.570000
    21     4  1984     2097.560000
    22     4  1984     1995.010000
    23     4  1984     1987.200000
    24     4  1984     1995.010000
    25     4  1984     2242.720000
    26     4  1984     2509.680000
    27     4  1984     2948.980000
    28     4  1984     3433.530000
    29     4  1984     3814.830000
    30     4  1984     4006.010000
     1     5  1984     4409.330000
     2     5  1984     4686.220000
     3     5  1984     4936.400000
     4     5  1984     4947.380000
     5     5  1984     4848.820000
     6     5  1984     4686.220000
     7     5  1984     4430.410000
     8     5  1984     4231.740000
     9     5  1984     4016.170000
    10     5  1984     3874.820000
    11     5  1984     3904.950000
    12     5  1984     3955.360000
    13     5  1984     3975.590000
    14     5  1984     3985.720000
    15     5  1984     3945.260000
    16     5  1984     3794.910000
    17     5  1984     3568.670000
    18     5  1984     3243.890000
    19     5  1984     3067.510000
    20     5  1984     3104.340000
    21     5  1984     3159.880000
    22     5  1984     3290.920000
    23     5  1984     3404.820000
    24     5  1984     3481.560000
    25     5  1984     3568.670000
    26     5  1984     3725.500000
    27     5  1984     3864.800000
    28     5  1984     3975.590000
    29     5  1984     3995.860000
    30     5  1984     3975.590000
    31     5  1984     3874.820000
     1     6  1984     3715.620000
     2     6  1984     3319.260000
     3     6  1984     3272.080000
     4     6  1984     3319.260000
     5     6  1984     3443.110000
     6     6  1984     3578.390000
     7     6  1984     3568.670000
     8     6  1984     3549.240000
     9     6  1984     3539.540000
    10     6  1984     3500.850000
    11     6  1984     3414.380000
    12     6  1984     3338.200000
    13     6  1984     3347.690000
    14     6  1984     3366.690000
    15     6  1984     3347.690000
    16     6  1984     3357.190000
    17     6  1984     3443.110000
    18     6  1984     3500.850000
    19     6  1984     3578.390000
    20     6  1984     3725.500000
    21     6  1984     3925.090000
    22     6  1984     4118.290000
    23     6  1984     4252.490000
    24     6  1984     4314.970000
    25     6  1984     4356.810000
    26     6  1984     4388.300000
    27     6  1984     4388.300000
    28     6  1984     4335.870000
    29     6  1984     4283.690000
    30     6  1984     4190.350000
     1     7  1984     4097.790000
     2     7  1984     4006.010000
     3     7  1984     3945.260000
     4     7  1984     3894.900000
     5     7  1984     3915.010000
     6     7  1984     3955.360000
     7     7  1984     3975.590000
     8     7  1984     3985.720000
     9     7  1984     3965.470000
    10     7  1984     3965.470000
    11     7  1984     3935.170000
    12     7  1984     3874.820000
    13     7  1984     3844.780000
    14     7  1984     3814.830000
    15     7  1984     3794.910000
    16     7  1984     3784.960000
    17     7  1984     3775.030000
    18     7  1984     3755.190000
    19     7  1984     3735.390000
    20     7  1984     3666.390000
    21     7  1984     3588.130000
    22     7  1984     3636.970000
    23     7  1984     3765.100000
    24     7  1984     3915.010000
    25     7  1984     4026.340000
    26     7  1984     4097.790000
    27     7  1984     4242.110000
    28     7  1984     4409.330000
    29     7  1984     4600.350000
    30     7  1984     4794.390000
    31     7  1984     4925.420000
     1     8  1984     4980.400000
     2     8  1984     5002.460000
     3     8  1984     4958.380000
     4     8  1984     4859.740000
     5     8  1984     4729.370000
     6     8  1984     4578.970000
     7     8  1984     4409.330000
     8     8  1984     4231.740000
     9     8  1984     4077.330000
    10     8  1984     3965.470000
    11     8  1984     3874.820000
    12     8  1984     3824.800000
    13     8  1984     3814.830000
    14     8  1984     3804.860000
    15     8  1984     3765.100000
    16     8  1984     3666.390000
    17     8  1984     3558.950000
    18     8  1984     3520.180000
    19     8  1984     3549.240000
    20     8  1984     3549.240000
    21     8  1984     3500.850000
    22     8  1984     3462.320000
    23     8  1984     3395.270000
    24     8  1984     3357.190000
    25     8  1984     3309.800000
    26     8  1984     3281.490000
    27     8  1984     3281.490000
    28     8  1984     3253.270000
    29     8  1984     3169.170000
    30     8  1984     3030.850000
    31     8  1984     2867.950000
     1     9  1984     2690.940000
     2     9  1984     2543.840000
     3     9  1984     2450.320000
     4     9  1984     2408.250000
     5     9  1984     2425.050000
     6     9  1984     2484.180000
     7     9  1984     2518.200000
     8     9  1984     2552.410000
     9     9  1984     2638.670000
    10     9  1984     2761.240000
    11     9  1984     2823.300000
    12     9  1984     2805.510000
    13     9  1984     2734.800000
    14     9  1984     2656.050000
    15     9  1984     2604.030000
    16     9  1984     2552.410000
    17     9  1984     2518.200000
    18     9  1984     2492.670000
    19     9  1984     2450.320000
    20     9  1984     2408.250000
    21     9  1984     2399.870000
    22     9  1984     2374.790000
    23     9  1984     2399.870000
    24     9  1984     2458.770000
    25     9  1984     2518.200000
    26     9  1984     2543.840000
    27     9  1984     2475.700000
    28     9  1984     2391.500000
    29     9  1984     2267.260000
    30     9  1984     2113.510000
     1    10  1984     1979.400000
     2    10  1984     1909.750000
     3    10  1984     1848.630000
     4    10  1984     1803.280000
     5    10  1984     1736.050000
     6    10  1984     1684.420000
     7    10  1984     1684.420000
     8    10  1984     1706.480000
     9    10  1984     1750.900000
    10    10  1984     1833.460000
    11    10  1984     1886.740000
    12    10  1984     1932.860000
    13    10  1984     2018.500000
    14    10  1984     2137.510000
    15    10  1984     2291.910000
    16    10  1984     2526.740000
    17    10  1984     2717.220000
    18    10  1984     2894.860000
    19    10  1984     2967.100000
    20    10  1984     2939.930000
    21    10  1984     2894.860000
    22    10  1984     2867.950000
    23    10  1984     2859.000000
    24    10  1984     2832.210000
    25    10  1984     2761.240000
    26    10  1984     2682.200000
    27    10  1984     2578.170000
    28    10  1984     2441.890000
    29    10  1984     2300.150000
    30    10  1984     2226.410000
    31    10  1984     2193.930000
     1    11  1984     2250.890000
     2    11  1984     2308.400000
     3    11  1984     2275.470000
     4    11  1984     2177.750000
     5    11  1984     2073.720000
     6    11  1984     1971.610000
     7    11  1984     1856.220000
     8    11  1984     1736.050000
     9    11  1984     1618.920000
    10    11  1984     1511.920000
    11    11  1984     1414.560000
    12    11  1984     1353.270000
    13    11  1984     1299.650000
    14    11  1984     1259.970000
    15    11  1984     1240.300000
    16    11  1984     1259.970000
    17    11  1984     1293.000000
    18    11  1984     1333.070000
    19    11  1984     1380.390000
    20    11  1984     1449.060000
    21    11  1984     1540.190000
    22    11  1984     1604.490000
    23    11  1984     1647.910000
    24    11  1984     1640.640000
    25    11  1984     1582.950000
    26    11  1984     1469.900000
    27    11  1984     1353.270000
    28    11  1984     1299.650000
    29    11  1984     1279.750000
    30    11  1984     1360.030000
     1    12  1984     1442.130000
     2    12  1984     1455.990000
     3    12  1984     1483.860000
     4    12  1984     1504.890000
     5    12  1984     1547.280000
     6    12  1984     1561.510000
     7    12  1984     1554.390000
     8    12  1984     1554.390000
     9    12  1984     1547.280000
    10    12  1984     1547.280000
    11    12  1984     1504.890000
    12    12  1984     1435.220000
    13    12  1984     1353.270000
    14    12  1984     1233.770000
    15    12  1984     1124.760000
    16    12  1984     1025.670000
    17    12  1984      971.452000
    18    12  1984      906.699000
    19    12  1984      971.452000
    20    12  1984     1124.760000
    21    12  1984     1339.790000
    22    12  1984     1554.390000
    23    12  1984     1626.150000
    24    12  1984     1575.790000
    25    12  1984     1640.640000
    26    12  1984     1773.280000
    27    12  1984     1879.090000
    28    12  1984     2073.720000
    29    12  1984     2441.890000
    30    12  1984     2778.920000
    31    12  1984     2958.030000
     1     1  1985     3012.590000
     2     1  1985     2994.360000
     3     1  1985     2939.930000
     4     1  1985     2850.060000
     5     1  1985     2717.220000
     6     1  1985     2526.740000
     7     1  1985     2300.150000
     8     1  1985     2057.890000
     9     1  1985     1833.460000
    10     1  1985     1684.420000
    11     1  1985     1590.120000
    12     1  1985     1449.060000
    13     1  1985     1279.750000
    14     1  1985     1080.990000
    15     1  1985      912.516000
    16     1  1985      826.739000
    17     1  1985      776.814000
    18     1  1985      717.395000
    19     1  1985      675.306000
    20     1  1985      613.985000
    21     1  1985      535.686000
    22     1  1985      439.139000
    23     1  1985      404.282000
    24     1  1985      378.857000
    25     1  1985      358.146000
    26     1  1985      333.876000
    27     1  1985      321.982000
    28     1  1985      294.866000
    29     1  1985      272.344000
    30     1  1985      264.987000
    31     1  1985      268.656000
     1     2  1985      257.706000
     2     2  1985      232.829000
     3     2  1985      208.912000
     4     2  1985      195.687000
     5     2  1985      189.197000
     6     2  1985      192.432000
     7     2  1985      198.963000
     8     2  1985      229.352000
     9     2  1985      294.866000
    10     2  1985      345.931000
    11     2  1985      387.263000
    12     2  1985      408.580000
    13     2  1985      408.580000
    14     2  1985      408.580000
    15     2  1985      400.001000
    16     2  1985      374.680000
    17     2  1985      341.895000
    18     2  1985      314.143000
    19     2  1985      291.066000
    20     2  1985      287.284000
    21     2  1985      314.143000
    22     2  1985      354.057000
    23     2  1985      391.492000
    24     2  1985      400.001000
    25     2  1985      387.263000
    26     2  1985      370.520000
    27     2  1985      354.057000
    28     2  1985      337.877000
     1     3  1985      306.378000
     2     3  1985      302.522000
     3     3  1985      325.929000
     4     3  1985      358.146000
     5     3  1985      400.001000
     6     3  1985      448.021000
     7     3  1985      484.215000
     8     3  1985      554.883000
     9     3  1985      603.979000
    10     3  1985      654.622000
    11     3  1985      613.985000
    12     3  1985      530.926000
    13     3  1985      456.970000
    14     3  1985      400.001000
    15     3  1985      358.146000
    16     3  1985      325.929000
    17     3  1985      302.522000
    18     3  1985      287.284000
    19     3  1985      279.777000
    20     3  1985      298.685000
    21     3  1985      448.021000
    22     3  1985      579.235000
    23     3  1985      624.052000
    24     3  1985      619.011000
    25     3  1985      584.153000
    26     3  1985      526.182000
    27     3  1985      461.470000
    28     3  1985      425.941000
    29     3  1985      434.722000
    30     3  1985      448.021000
    31     3  1985      443.572000
     1     4  1985      439.139000
     2     4  1985      417.226000
     3     4  1985      391.492000
     4     4  1985      370.520000
     5     4  1985      337.877000
     6     4  1985      318.054000
     7     4  1985      329.893000
     8     4  1985      354.057000
     9     4  1985      387.263000
    10     4  1985      421.575000
    11     4  1985      439.139000
    12     4  1985      452.487000
    13     4  1985      448.021000
    14     4  1985      443.572000
    15     4  1985      425.941000
    16     4  1985      408.580000
    17     4  1985      387.263000
    18     4  1985      370.520000
    19     4  1985      354.057000
    20     4  1985      358.146000
    21     4  1985      370.520000
    22     4  1985      387.263000
    23     4  1985      391.492000
    24     4  1985      408.580000
    25     4  1985      461.470000
    26     4  1985      569.447000
    27     4  1985      670.113000
    28     4  1985      798.858000
    29     4  1985      924.193000
    30     4  1985     1007.480000
     1     5  1985     1031.760000
     2     5  1985     1056.270000
     3     5  1985     1080.990000
     4     5  1985     1099.670000
     5     5  1985     1112.190000
     6     5  1985     1143.730000
     7     5  1985     1169.190000
     8     5  1985     1220.750000
     9     5  1985     1373.590000
    10     5  1985     1504.890000
    11     5  1985     1597.300000
    12     5  1985     1736.050000
    13     5  1985     2010.660000
    14     5  1985     2129.500000
    15     5  1985     2161.620000
    16     5  1985     2161.620000
