PEDRASNEGRAS	-62.899	-12.851
    28    12  1983      522.977000
    29    12  1983      547.617000
    30    12  1983      572.854000
    31    12  1983      595.789000
     1     1  1984      619.199000
     2     1  1984      646.103000
     3     1  1984      667.445000
     4     1  1984      686.029000
     5     1  1984      711.225000
     6     1  1984      730.436000
     7     1  1984      753.190000
     8     1  1984      769.668000
     9     1  1984      796.422000
    10     1  1984      823.658000
    11     1  1984      851.377000
    12     1  1984      865.417000
    13     1  1984      872.482000
    14     1  1984      886.704000
    15     1  1984      922.787000
    16     1  1984      963.355000
    17     1  1984      989.649000
    18     1  1984     1020.160000
    19     1  1984     1035.590000
    20     1  1984     1043.360000
    21     1  1984     1055.060000
    22     1  1984     1074.720000
    23     1  1984     1094.560000
    24     1  1984     1114.600000
    25     1  1984     1130.770000
    26     1  1984     1155.260000
    27     1  1984     1171.730000
    28     1  1984     1188.330000
    29     1  1984     1196.680000
    30     1  1984     1209.250000
    31     1  1984     1230.370000
     1     2  1984     1247.400000
     2     2  1984     1264.550000
     3     2  1984     1273.170000
     4     2  1984     1282.240000
     5     2  1984     1310.590000
     6     2  1984     1332.000000
     7     2  1984     1360.750000
     8     2  1984     1411.590000
     9     2  1984     1426.250000
    10     2  1984     1455.720000
    11     2  1984     1485.410000
    12     2  1984     1500.340000
    13     2  1984     1507.830000
    14     2  1984     1515.320000
    15     2  1984     1530.360000
    16     2  1984     1545.450000
    17     2  1984     1560.600000
    18     2  1984     1575.800000
    19     2  1984     1591.060000
    20     2  1984     1606.370000
    21     2  1984     1606.370000
    22     2  1984     1606.370000
    23     2  1984     1606.370000
    24     2  1984     1621.730000
    25     2  1984     1621.730000
    26     2  1984     1637.140000
    27     2  1984     1637.140000
    28     2  1984     1637.140000
    29     2  1984     1637.140000
     1     3  1984     1637.140000
     2     3  1984     1637.140000
     3     3  1984     1637.140000
     4     3  1984     1637.140000
     5     3  1984     1637.140000
     6     3  1984     1637.140000
     7     3  1984     1637.140000
     8     3  1984     1637.140000
     9     3  1984     1637.140000
    10     3  1984     1675.920000
    11     3  1984     1683.710000
    12     3  1984     1683.710000
    13     3  1984     1691.520000
    14     3  1984     1691.520000
    15     3  1984     1699.340000
    16     3  1984     1699.340000
    17     3  1984     1699.340000
    18     3  1984     1707.180000
    19     3  1984     1707.180000
    20     3  1984     1715.030000
    21     3  1984     1715.030000
    22     3  1984     1715.030000
    23     3  1984     1707.180000
    24     3  1984     1715.030000
    25     3  1984     1730.760000
    26     3  1984     1730.760000
    27     3  1984     1746.550000
    28     3  1984     1754.460000
    29     3  1984     1754.460000
    30     3  1984     1762.390000
    31     3  1984     1778.280000
     1     4  1984     1794.230000
     2     4  1984     1834.320000
     3     4  1984     1834.320000
     4     4  1984     1834.320000
     5     4  1984     1834.320000
     6     4  1984     1834.320000
     7     4  1984     1842.370000
     8     4  1984     1842.370000
     9     4  1984     1842.370000
    10     4  1984     1842.370000
    11     4  1984     1842.370000
    12     4  1984     1850.440000
    13     4  1984     1850.440000
    14     4  1984     1850.440000
    15     4  1984     1858.530000
    16     4  1984     1866.620000
    17     4  1984     1866.620000
    18     4  1984     1874.730000
    19     4  1984     1882.850000
    20     4  1984     1882.850000
    21     4  1984     1882.850000
    22     4  1984     1890.990000
    23     4  1984     1882.850000
    24     4  1984     1882.850000
    25     4  1984     1874.730000
    26     4  1984     1874.730000
    27     4  1984     1866.620000
    28     4  1984     1858.530000
    29     4  1984     1858.530000
    30     4  1984     1850.440000
     1     5  1984     1842.370000
     2     5  1984     1842.370000
     3     5  1984     1834.320000
     4     5  1984     1826.270000
     5     5  1984     1826.270000
     6     5  1984     1810.220000
     7     5  1984     1794.230000
     8     5  1984     1778.280000
     9     5  1984     1762.390000
    10     5  1984     1746.550000
    11     5  1984     1730.760000
    12     5  1984     1715.030000
    13     5  1984     1699.340000
    14     5  1984     1683.710000
    15     5  1984     1668.140000
    16     5  1984     1660.370000
    17     5  1984     1652.610000
    18     5  1984     1637.140000
    19     5  1984     1621.730000
    20     5  1984     1606.370000
    21     5  1984     1591.060000
    22     5  1984     1575.800000
    23     5  1984     1560.600000
    24     5  1984     1545.450000
    25     5  1984     1530.360000
    26     5  1984     1515.320000
    27     5  1984     1500.340000
    28     5  1984     1485.410000
    29     5  1984     1463.120000
    30     5  1984     1433.590000
    31     5  1984     1418.910000
     1     6  1984     1411.590000
     2     6  1984     1397.000000
     3     6  1984     1382.460000
     4     6  1984     1367.970000
     5     6  1984     1367.970000
     6     6  1984     1353.540000
     7     6  1984     1339.170000
     8     6  1984     1324.850000
     9     6  1984     1310.590000
    10     6  1984     1296.390000
    11     6  1984     1282.240000
    12     6  1984     1273.170000
    13     6  1984     1264.550000
    14     6  1984     1255.960000
    15     6  1984     1247.400000
    16     6  1984     1238.870000
    17     6  1984     1230.370000
    18     6  1984     1221.900000
    19     6  1984     1205.050000
    20     6  1984     1196.680000
    21     6  1984     1188.330000
    22     6  1984     1171.730000
    23     6  1984     1163.480000
    24     6  1984     1147.070000
    25     6  1984     1130.770000
