SERINGALDACARIDADE	-68.577	-9.044
     3     1  1984      900.970000
     4     1  1984     1208.020000
     5     1  1984     1755.800000
     6     1  1984     1792.320000
     7     1  1984     1687.740000
     8     1  1984     1866.390000
     9     1  1984     2096.730000
    10     1  1984     2720.240000
    11     1  1984     3297.160000
    12     1  1984     3699.780000
    13     1  1984     3830.040000
    14     1  1984     4013.810000
    15     1  1984     4202.100000
    16     1  1984     4307.920000
    17     1  1984     4408.380000
    18     1  1984     4361.350000
    19     1  1984     4175.860000
    20     1  1984     3817.530000
    21     1  1984     3416.780000
    22     1  1984     3116.710000
    23     1  1984     2940.890000
    24     1  1984     3116.710000
    25     1  1984     3422.680000
    26     1  1984     3458.180000
    27     1  1984     3286.420000
    28     1  1984     3023.050000
    29     1  1984     2890.050000
    30     1  1984     2819.570000
    31     1  1984     2945.990000
     1     2  1984     3137.700000
     2     2  1984     3148.220000
     3     2  1984     3302.540000
     4     2  1984     3547.780000
     5     2  1984     4039.520000
     6     2  1984     4215.250000
     7     2  1984     4780.090000
     8     2  1984     5182.250000
     9     2  1984     5307.700000
    10     2  1984     5404.700000
    11     2  1984     5510.180000
    12     2  1984     5601.450000
    13     2  1984     5693.500000
    14     2  1984     5708.920000
    15     2  1984     5563.330000
    16     2  1984     5352.350000
    17     2  1984     5204.270000
    18     2  1984     5138.350000
    19     2  1984     5015.020000
    20     2  1984     4914.630000
    21     2  1984     4843.580000
    22     2  1984     4794.160000
    23     2  1984     4752.020000
    24     2  1984     4738.010000
    25     2  1984     4717.050000
    26     2  1984     4675.260000
    27     2  1984     4626.750000
    28     2  1984     4503.240000
    29     2  1984     4388.190000
     1     3  1984     4476.030000
     2     3  1984     4585.390000
     3     3  1984     4606.040000
     4     3  1984     4523.700000
     5     3  1984     4455.680000
     6     3  1984     4321.250000
     7     3  1984     4169.320000
     8     3  1984     3975.420000
     9     3  1984     3644.670000
    10     3  1984     3375.640000
    11     3  1984     3452.250000
    12     3  1984     3428.580000
    13     3  1984     3817.530000
    14     3  1984     3620.320000
    15     3  1984     3238.280000
    16     3  1984     2651.670000
    17     3  1984     2512.160000
    18     3  1984     2661.420000
    19     3  1984     2735.030000
    20     3  1984     2819.570000
    21     3  1984     2951.100000
    22     3  1984     3038.570000
    23     3  1984     3346.410000
    24     3  1984     3523.770000
    25     3  1984     3476.010000
    26     3  1984     3313.300000
    27     3  1984     2966.450000
    28     3  1984     2531.200000
    29     3  1984     2252.490000
    30     3  1984     2266.070000
    31     3  1984     2455.440000
     1     4  1984     2507.410000
     2     4  1984     2617.680000
     3     4  1984     2759.770000
     4     4  1984     2819.570000
     5     4  1984     2759.770000
     6     4  1984     2739.970000
     7     4  1984     2930.690000
     8     4  1984     3127.200000
     9     4  1984     3307.920000
    10     4  1984     3329.480000
    11     4  1984     3324.080000
    12     4  1984     3302.540000
    13     4  1984     3153.490000
    14     4  1984     2900.190000
    15     4  1984     2779.640000
    16     4  1984     2671.180000
    17     4  1984     2564.680000
    18     4  1984     2376.080000
    19     4  1984     2123.070000
    20     4  1984     1804.570000
    21     4  1984     1547.650000
