CAREIRO	-59.833	-3.196
    18     2  2001    11659.100000
    19     2  2001    11775.100000
    20     2  2001    11891.900000
    21     2  2001    11989.800000
    22     2  2001    12068.500000
    23     2  2001    12127.700000
    24     2  2001    12246.800000
    25     2  2001    12346.700000
    26     2  2001    12447.000000
    27     2  2001    12548.000000
    28     2  2001    12649.400000
     1     3  2001    12812.900000
     2     3  2001    12936.400000
     3     3  2001    13060.800000
     4     3  2001    13185.900000
     5     3  2001    13311.800000
     6     3  2001    13417.300000
     7     3  2001    13544.700000
     8     3  2001    13672.900000
     9     3  2001    13801.900000
    10     3  2001    13888.300000
    11     3  2001    13996.900000
    12     3  2001    14084.100000
    13     3  2001    14127.900000
    14     3  2001    14215.700000
    15     3  2001    14281.800000
    16     3  2001    14370.200000
    17     3  2001    14436.800000
    18     3  2001    14548.200000
    19     3  2001    14615.300000
    20     3  2001    14705.100000
    21     3  2001    14817.800000
    22     3  2001    14931.200000
    23     3  2001    14999.500000
    24     3  2001    15113.700000
    25     3  2001    15205.600000
    26     3  2001    15251.600000
    27     3  2001    15367.200000
    28     3  2001    15529.900000
    29     3  2001    15670.300000
    30     3  2001    15788.000000
    31     3  2001    15906.200000
     1     4  2001    16001.200000
     2     4  2001    16144.400000
     3     4  2001    16288.500000
     4     4  2001    16433.400000
     5     4  2001    16579.200000
     6     4  2001    16701.300000
     7     4  2001    16848.700000
     8     4  2001    17021.700000
     9     4  2001    17121.100000
    10     4  2001    17270.900000
    11     4  2001    17421.600000
    12     4  2001    17547.900000
    13     4  2001    17674.700000
    14     4  2001    17827.800000
    15     4  2001    17981.700000
    16     4  2001    18110.600000
    17     4  2001    18214.200000
    18     4  2001    18292.100000
    19     4  2001    18396.400000
    20     4  2001    18501.100000
    21     4  2001    18658.800000
    22     4  2001    18817.500000
    23     4  2001    18897.200000
    24     4  2001    18977.000000
    25     4  2001    19083.900000
    26     4  2001    19191.200000
    27     4  2001    19244.900000
    28     4  2001    19352.800000
    29     4  2001    19406.900000
    30     4  2001    19461.100000
     1     5  2001    19515.300000
     2     5  2001    19569.700000
     3     5  2001    19651.500000
     4     5  2001    19733.500000
     5     5  2001    19760.900000
     6     5  2001    19788.300000
     7     5  2001    19815.700000
