SANTOANTÔNIODOIÇÁ	-67.933	-3.083
    12    10  1983    29775.900000
    13    10  1983    30832.600000
    14    10  1983    31712.000000
    15    10  1983    32484.800000
    16    10  1983    33108.700000
    17    10  1983    33619.100000
    18    10  1983    34053.500000
    19    10  1983    34450.400000
    20    10  1983    34889.200000
    21    10  1983    34889.200000
    22    10  1983    34849.300000
    23    10  1983    35089.400000
    24    10  1983    35330.300000
    25    10  1983    35571.900000
    26    10  1983    35652.500000
    27    10  1983    35571.900000
    28    10  1983    35451.000000
    29    10  1983    35491.300000
    30    10  1983    35652.500000
    31    10  1983    36219.300000
     1    11  1983    36585.600000
     2    11  1983    36994.400000
     3    11  1983    37900.300000
     4    11  1983    39111.800000
     5    11  1983    40182.300000
     6    11  1983    41017.700000
     7    11  1983    41760.700000
     8    11  1983    42159.200000
     9    11  1983    42509.200000
    10    11  1983    43061.500000
    11    11  1983    43465.100000
    12    11  1983    44022.500000
    13    11  1983    44633.900000
    14    11  1983    45094.800000
    15    11  1983    45454.500000
    16    11  1983    45763.900000
    17    11  1983    45815.500000
    18    11  1983    45867.100000
    19    11  1983    46022.300000
    20    11  1983    46125.800000
    21    11  1983    46125.800000
    22    11  1983    45867.100000
    23    11  1983    45557.500000
    24    11  1983    45197.400000
    25    11  1983    44787.300000
    26    11  1983    44378.700000
    27    11  1983    44073.300000
    28    11  1983    43718.100000
    29    11  1983    43515.600000
    30    11  1983    43465.100000
     1    12  1983    43364.100000
     2    12  1983    43465.100000
     3    12  1983    44327.800000
     4    12  1983    45300.200000
     5    12  1983    46749.000000
     6    12  1983    48163.900000
     7    12  1983    49276.300000
     8    12  1983    50130.900000
     9    12  1983    50883.600000
    10    12  1983    51532.400000
    11    12  1983    52184.600000
    12    12  1983    52730.700000
    13    12  1983    53334.100000
    14    12  1983    53940.400000
    15    12  1983    54272.200000
    16    12  1983    54882.800000
    17    12  1983    55496.200000
    18    12  1983    55944.100000
    19    12  1983    56393.400000
    20    12  1983    56731.400000
    21    12  1983    56787.800000
    22    12  1983    57070.200000
    23    12  1983    57070.200000
    24    12  1983    56957.200000
    25    12  1983    56844.200000
    26    12  1983    56506.000000
    27    12  1983    56506.000000
    28    12  1983    56393.400000
    29    12  1983    56337.200000
    30    12  1983    56280.900000
    31    12  1983    56280.900000
     1     1  1984    56393.400000
     2     1  1984    56506.000000
     3     1  1984    56618.600000
     4     1  1984    56731.400000
     5     1  1984    56844.200000
     6     1  1984    56957.200000
     7     1  1984    56957.200000
     8     1  1984    56957.200000
     9     1  1984    57013.700000
    10     1  1984    56787.800000
    11     1  1984    56506.000000
    12     1  1984    56056.300000
    13     1  1984    55440.300000
    14     1  1984    54716.000000
    15     1  1984    53995.600000
    16     1  1984    53224.200000
    17     1  1984    52512.000000
    18     1  1984    51966.800000
    19     1  1984    51858.100000
    20     1  1984    51749.400000
    21     1  1984    51749.400000
    22     1  1984    51803.700000
    23     1  1984    52130.100000
    24     1  1984    52402.800000
    25     1  1984    52621.300000
    26     1  1984    52730.700000
    27     1  1984    52840.200000
    28     1  1984    52949.800000
    29     1  1984    53059.500000
    30     1  1984    53059.500000
    31     1  1984    53169.300000
     1     2  1984    53389.100000
     2     2  1984    53499.200000
     3     2  1984    53664.400000
     4     2  1984    53995.600000
