CARACARAÍ	-61.124	1.821
     1     6  1984     4506.310000
     2     6  1984     4333.480000
     3     6  1984     3844.120000
     4     6  1984     3523.100000
     5     6  1984     3706.920000
     6     6  1984     3970.600000
     7     6  1984     4654.670000
     8     6  1984     5673.160000
     9     6  1984     6182.120000
    10     6  1984     6489.720000
    11     6  1984     6598.800000
    12     6  1984     6520.810000
    13     6  1984     6000.470000
    14     6  1984     4999.060000
    15     6  1984     4085.840000
    16     6  1984     3535.230000
    17     6  1984     3486.790000
    18     6  1984     3620.670000
    19     6  1984     3819.030000
    20     6  1984     3869.290000
    21     6  1984     3596.170000
    22     6  1984     3486.790000
    23     6  1984     4228.490000
    24     6  1984     5196.240000
    25     6  1984     5512.310000
    26     6  1984     6458.680000
    27     6  1984     6850.890000
    28     6  1984     7187.540000
    29     6  1984     7415.600000
    30     6  1984     7481.280000
     1     7  1984     7252.410000
     2     7  1984     6946.410000
     3     7  1984     6819.170000
     4     7  1984     6962.380000
     5     7  1984     7155.200000
     6     7  1984     7284.930000
     7     7  1984     7236.170000
     8     7  1984     6724.370000
     9     7  1984     5940.400000
    10     7  1984     5585.190000
    11     7  1984     5673.160000
    12     7  1984     5940.400000
    13     7  1984     6106.160000
    14     7  1984     6258.450000
    15     7  1984     6273.760000
    16     7  1984     6106.160000
    17     7  1984     6106.160000
    18     7  1984     6182.120000
    19     7  1984     6197.350000
    20     7  1984     6212.600000
    21     7  1984     6350.550000
    22     7  1984     6583.170000
    23     7  1984     6850.890000
    24     7  1984     6787.510000
    25     7  1984     6630.100000
    26     7  1984     6536.380000
    27     7  1984     6630.100000
    28     7  1984     6708.620000
    29     7  1984     6835.030000
    30     7  1984     7106.800000
    31     7  1984     7366.490000
     1     8  1984     7547.210000
     2     8  1984     7629.940000
     3     8  1984     7563.720000
     4     8  1984     7382.840000
     5     8  1984     7187.540000
     6     8  1984     6994.370000
     7     8  1984     6520.810000
     8     8  1984     5895.520000
     9     8  1984     5182.060000
    10     8  1984     4519.710000
    11     8  1984     4359.890000
    12     8  1984     4254.640000
    13     8  1984     4399.630000
    14     8  1984     4519.710000
    15     8  1984     4641.100000
    16     8  1984     4763.790000
    17     8  1984     4929.390000
    18     8  1984     5125.470000
    19     8  1984     5210.450000
    20     8  1984     5338.970000
    21     8  1984     5267.410000
    22     8  1984     5125.470000
    23     8  1984     5055.080000
    24     8  1984     5069.130000
    25     8  1984     5055.080000
    26     8  1984     4492.920000
    27     8  1984     4060.110000
    28     8  1984     3731.720000
    29     8  1984     3438.610000
    30     8  1984     3354.960000
    31     8  1984     3645.230000
     1     9  1984     4085.840000
     2     9  1984     4333.480000
     3     9  1984     4506.310000
     4     9  1984     4586.990000
     5     9  1984     4832.510000
     6     9  1984     5069.130000
     7     9  1984     5224.660000
     8     9  1984     5338.970000
     9     9  1984     5468.770000
    10     9  1984     5599.820000
    11     9  1984     5717.360000
    12     9  1984     5821.020000
    13     9  1984     5910.470000
    14     9  1984     6030.590000
    15     9  1984     5895.520000
    16     9  1984     5687.880000
    17     9  1984     5512.310000
    18     9  1984     5324.630000
    19     9  1984     4999.060000
    20     9  1984     4519.710000
    21     9  1984     4333.480000
