HUMAITÁ	-63.020	-7.505
    29    12  1983    15213.900000
    30    12  1983    15704.900000
    31    12  1983    15913.300000
     1     1  1984    16044.100000
     2     1  1984    16201.600000
     3     1  1984    16810.300000
     4     1  1984    17265.500000
     5     1  1984    17806.700000
     6     1  1984    18602.200000
     7     1  1984    19776.600000
     8     1  1984    21179.600000
     9     1  1984    22280.500000
    10     1  1984    22938.200000
    11     1  1984    23963.900000
    12     1  1984    24796.600000
    13     1  1984    25481.000000
    14     1  1984    26628.100000
    15     1  1984    27358.100000
    16     1  1984    27739.400000
    17     1  1984    27903.500000
    18     1  1984    28095.400000
    19     1  1984    28342.800000
    20     1  1984    28618.600000
    21     1  1984    28812.300000
    22     1  1984    29117.600000
    23     1  1984    29229.000000
    24     1  1984    29340.500000
    25     1  1984    29396.300000
    26     1  1984    29424.200000
    27     1  1984    29508.000000
    28     1  1984    29619.900000
    29     1  1984    29731.900000
    30     1  1984    29900.300000
    31     1  1984    30097.200000
     1     2  1984    30238.100000
     2     2  1984    30322.800000
     3     2  1984    30351.100000
     4     2  1984    30407.600000
     5     2  1984    30690.800000
     6     2  1984    30889.600000
     7     2  1984    31088.900000
     8     2  1984    31345.800000
     9     2  1984    31546.200000
    10     2  1984    31660.900000
    11     2  1984    31833.300000
    12     2  1984    31977.200000
    13     2  1984    32034.900000
    14     2  1984    32034.900000
    15     2  1984    32121.400000
    16     2  1984    32179.100000
    17     2  1984    32410.500000
    18     2  1984    32729.500000
    19     2  1984    33049.800000
    20     2  1984    33342.000000
    21     2  1984    33517.700000
    22     2  1984    33635.100000
    23     2  1984    33870.300000
    24     2  1984    34165.100000
    25     2  1984    34224.200000
    26     2  1984    34401.700000
    27     2  1984    34549.800000
    28     2  1984    34668.500000
    29     2  1984    34817.100000
     1     3  1984    34936.200000
     2     3  1984    35250.100000
     3     3  1984    36015.800000
     4     3  1984    36271.800000
     5     3  1984    37042.500000
     6     3  1984    38205.500000
     7     3  1984    38855.100000
     8     3  1984    38985.400000
     9     3  1984    39638.100000
    10     3  1984    40162.000000
    11     3  1984    40556.000000
    12     3  1984    41082.700000
    13     3  1984    41478.700000
    14     3  1984    42008.200000
    15     3  1984    42539.100000
    16     3  1984    43071.600000
    17     3  1984    43739.400000
    18     3  1984    43605.700000
    19     3  1984    42805.200000
    20     3  1984    41743.300000
    21     3  1984    40950.900000
    22     3  1984    41214.600000
    23     3  1984    41743.300000
    24     3  1984    42539.100000
    25     3  1984    43205.000000
    26     3  1984    43739.400000
    27     3  1984    44409.500000
    28     3  1984    45216.800000
    29     3  1984    45756.800000
    30     3  1984    46027.400000
    31     3  1984    46433.900000
     1     4  1984    46841.300000
     2     4  1984    47113.300000
     3     4  1984    47522.000000
     4     4  1984    47931.600000
     5     4  1984    47931.600000
     6     4  1984    47249.500000
     7     4  1984    47385.700000
     8     4  1984    48478.900000
     9     4  1984    49027.600000
    10     4  1984    49853.400000
    11     4  1984    50959.300000
    12     4  1984    52349.600000
    13     4  1984    52908.100000
    14     4  1984    53467.900000
    15     4  1984    53748.400000
    16     4  1984    54310.300000
    17     4  1984    54732.600000
    18     4  1984    55155.700000
    19     4  1984    55438.100000
    20     4  1984    55720.900000
    21     4  1984    55438.100000
    22     4  1984    55155.700000
    23     4  1984    54732.600000
    24     4  1984    54591.700000
    25     4  1984    54310.300000
    26     4  1984    53888.700000
