RIOBRANCO	-67.800	-9.976
    18    11  1984      489.170000
    19    11  1984      464.430000
    20    11  1984      448.650000
    21    11  1984      473.020000
    22    11  1984      549.500000
    23    11  1984      600.520000
    24    11  1984      597.790000
    25    11  1984      565.400000
    26    11  1984      531.210000
    27    11  1984      527.320000
    28    11  1984      549.500000
    29    11  1984      510.630000
    30    11  1984      390.200000
     1    12  1984      365.630000
     2    12  1984      349.270000
     3    12  1984      335.360000
     4    12  1984      338.550000
     5    12  1984      331.130000
     6    12  1984      352.520000
     7    12  1984      372.260000
     8    12  1984      395.890000
     9    12  1984      443.840000
    10    12  1984      622.600000
    11    12  1984      667.790000
    12    12  1984      789.870000
    13    12  1984      920.830000
    14    12  1984      991.300000
    15    12  1984     1018.740000
    16    12  1984      954.100000
    17    12  1984      701.120000
    18    12  1984      499.220000
    19    12  1984      466.870000
    20    12  1984      420.150000
    21    12  1984      424.840000
    22    12  1984      405.050000
    23    12  1984      385.680000
    24    12  1984      370.040000
    25    12  1984      350.350000
    26    12  1984      322.750000
    27    12  1984      302.190000
    28    12  1984      326.930000
    29    12  1984      363.430000
    30    12  1984      394.750000
    31    12  1984      408.520000
     1     1  1985      417.810000
     2     1  1985      413.150000
     3     1  1985      397.030000
     4     1  1985      400.460000
     5     1  1985      443.840000
     6     1  1985      485.420000
     7     1  1985      539.020000
     8     1  1985      682.190000
     9     1  1985      901.120000
    10     1  1985     1064.030000
    11     1  1985     1162.670000
    12     1  1985     1168.160000
    13     1  1985     1153.550000
    14     1  1985     1216.220000
    15     1  1985     1259.440000
    16     1  1985     1257.550000
    17     1  1985     1212.490000
    18     1  1985     1175.500000
    19     1  1985     1166.330000
    20     1  1985     1171.830000
    21     1  1985     1188.390000
    22     1  1985     1131.780000
    23     1  1985     1074.610000
    24     1  1985     1004.980000
    25     1  1985      914.240000
    26     1  1985      860.650000
    27     1  1985      838.340000
    28     1  1985      828.860000
    29     1  1985      827.290000
    30     1  1985      824.140000
    31     1  1985      806.920000
     1     2  1985      777.560000
     2     2  1985      747.170000
     3     2  1985      706.990000
     4     2  1985      676.410000
     5     2  1985      659.210000
     6     2  1985      621.210000
     7     2  1985      505.550000
     8     2  1985      446.240000
     9     2  1985      397.030000
    10     2  1985      322.750000
    11     2  1985      300.170000
    12     2  1985      297.140000
    13     2  1985      312.390000
    14     2  1985      323.790000
    15     2  1985      331.130000
    16     2  1985      341.750000
    17     2  1985      360.140000
    18     2  1985      406.210000
    19     2  1985      492.920000
    20     2  1985      593.700000
    21     2  1985      639.380000
    22     2  1985      720.280000
    23     2  1985      833.600000
    24     2  1985      817.860000
    25     2  1985      771.440000
    26     2  1985      645.020000
    27     2  1985      557.430000
    28     2  1985      504.280000
     1     3  1985      510.630000
     2     3  1985      554.780000
     3     3  1985      595.060000
     4     3  1985      696.730000
     5     3  1985      816.290000
     6     3  1985     1067.550000
     7     3  1985     1179.180000
     8     3  1985     1223.690000
     9     3  1985     1201.340000
    10     3  1985     1168.160000
    11     3  1985     1133.580000
    12     3  1985     1057.010000
    13     3  1985     1011.850000
    14     3  1985      977.700000
    15     3  1985      944.070000
    16     3  1985      952.430000
    17     3  1985     1117.360000
    18     3  1985     1092.330000
    19     3  1985     1064.030000
    20     3  1985     1055.260000
    21     3  1985     1030.850000
    22     3  1985     1004.980000
    23     3  1985     1078.140000
    24     3  1985     1079.910000
    25     3  1985     1020.470000
    26     3  1985      889.700000
    27     3  1985      796.050000
    28     3  1985      744.160000
    29     3  1985      705.520000
    30     3  1985      682.190000
    31     3  1985      663.490000
     1     4  1985      633.760000
     2     4  1985      614.280000
     3     4  1985      747.170000
     4     4  1985      862.250000
     5     4  1985      910.950000
     6     4  1985      824.140000
     7     4  1985      811.600000
     8     4  1985      897.850000
     9     4  1985     1025.650000
    10     4  1985     1171.830000
    11     4  1985     1197.640000
    12     4  1985     1214.360000
    13     4  1985     1227.430000
    14     4  1985     1229.300000
    15     4  1985     1078.140000
    16     4  1985      950.750000
    17     4  1985      892.960000
    18     4  1985      871.900000
    19     4  1985      998.130000
    20     4  1985     1268.920000
    21     4  1985     1286.070000
    22     4  1985     1334.230000
    23     4  1985     1349.800000
    24     4  1985     1340.060000
    25     4  1985     1357.620000
    26     4  1985     1377.250000
    27     4  1985     1469.130000
    28     4  1985     1503.740000
    29     4  1985     1434.870000
    30     4  1985     1318.730000
     1     5  1985     1289.890000
     2     5  1985     1265.120000
     3     5  1985     1233.050000
     4     5  1985     1219.950000
     5     5  1985     1193.930000
     6     5  1985     1153.550000
     7     5  1985     1110.190000
     8     5  1985     1062.270000
     9     5  1985     1039.540000
    10     5  1985     1006.690000
    11     5  1985      955.780000
    12     5  1985      884.830000
    13     5  1985      827.290000
    14     5  1985      726.220000
    15     5  1985      685.090000
    16     5  1985      662.060000
    17     5  1985      635.170000
    18     5  1985      560.080000
    19     5  1985      451.060000
    20     5  1985      410.830000
    21     5  1985      389.070000
    22     5  1985      378.940000
    23     5  1985      364.530000
    24     5  1985      356.860000
    25     5  1985      347.120000
    26     5  1985      308.290000
    27     5  1985      296.140000
    28     5  1985      290.140000
    29     5  1985      284.200000
    30     5  1985      266.690000
    31     5  1985      264.780000
     1     6  1985      257.180000
     2     6  1985      245.960000
     3     6  1985      234.960000
     4     6  1985      229.550000
     5     6  1985      216.250000
     6     6  1985      198.220000
     7     6  1985      181.690000
     8     6  1985      173.670000
     9     6  1985      149.060000
    10     6  1985      131.690000
    11     6  1985      128.890000
    12     6  1985      127.500000
    13     6  1985      126.110000
    14     6  1985      124.050000
    15     6  1985      119.290000
    16     6  1985      115.940000
    17     6  1985      112.630000
    18     6  1985      110.020000
    19     6  1985      109.370000
    20     6  1985      108.720000
    21     6  1985      107.430000
    22     6  1985      106.140000
    23     6  1985      106.140000
    24     6  1985      105.500000
    25     6  1985      102.330000
    26     6  1985       97.340000
    27     6  1985       96.110000
    28     6  1985       94.890000
    29     6  1985       93.670000
    30     6  1985       91.260000
     1     7  1985       90.660000
     2     7  1985       89.470000
     3     7  1985       90.070000
     4     7  1985       88.880000
     5     7  1985       87.700000
     6     7  1985       86.520000
     7     7  1985       85.360000
     8     7  1985       84.770000
     9     7  1985       83.040000
    10     7  1985       82.470000
    11     7  1985       80.750000
    12     7  1985       80.190000
    13     7  1985       79.620000
    14     7  1985       79.060000
    15     7  1985       77.380000
    16     7  1985       76.270000
    17     7  1985       75.160000
    18     7  1985       75.160000
    19     7  1985       71.350000
    20     7  1985       69.740000
    21     7  1985       66.580000
    22     7  1985       65.020000
    23     7  1985       62.460000
    24     7  1985       59.450000
    25     7  1985       58.950000
    26     7  1985       60.440000
    27     7  1985       62.460000
    28     7  1985       66.060000
    29     7  1985       68.150000
    30     7  1985       70.810000
    31     7  1985       72.430000
     1     8  1985       70.810000
     2     8  1985       66.060000
     3     8  1985       62.460000
     4     8  1985       58.460000
     5     8  1985       65.020000
     6     8  1985       73.520000
     7     8  1985       81.890000
     8     8  1985       85.360000
