SÃOPAULODEOLIVENÇA	-68.750	-3.450
     5    10  1983    21075.400000
     6    10  1983    21165.500000
     7    10  1983    21286.200000
     8    10  1983    21468.000000
     9    10  1983    21742.800000
    10    10  1983    22206.300000
    11    10  1983    22866.600000
    12    10  1983    23899.100000
    13    10  1983    25200.900000
    14    10  1983    25852.700000
    15    10  1983    27048.400000
    16    10  1983    28208.500000
    17    10  1983    28429.800000
    18    10  1983    28319.000000
    19    10  1983    28061.600000
    20    10  1983    27842.300000
    21    10  1983    27915.300000
    22    10  1983    28098.300000
    23    10  1983    28208.500000
    24    10  1983    28429.800000
    25    10  1983    28578.100000
    26    10  1983    28652.400000
    27    10  1983    28578.100000
    28    10  1983    28503.900000
    29    10  1983    28689.600000
    30    10  1983    29026.000000
    31    10  1983    29668.900000
     1    11  1983    30321.700000
     2    11  1983    31102.400000
     3    11  1983    32259.300000
     4    11  1983    33033.400000
     5    11  1983    33820.400000
     6    11  1983    34408.500000
     7    11  1983    34918.300000
     8    11  1983    35261.100000
     9    11  1983    35779.700000
    10    11  1983    36084.600000
    11    11  1983    36744.200000
    12    11  1983    37099.400000
    13    11  1983    37636.700000
    14    11  1983    38088.600000
    15    11  1983    38361.500000
    16    11  1983    38819.400000
    17    11  1983    38911.500000
    18    11  1983    38727.500000
    19    11  1983    38361.500000
    20    11  1983    38270.400000
    21    11  1983    37997.900000
    22    11  1983    37636.700000
    23    11  1983    37010.400000
    24    11  1983    36700.000000
    25    11  1983    36391.400000
    26    11  1983    36172.100000
    27    11  1983    35953.700000
    28    11  1983    36172.100000
    29    11  1983    36303.600000
    30    11  1983    36303.600000
     1    12  1983    36259.700000
     2    12  1983    36303.600000
     3    12  1983    36877.100000
     4    12  1983    38452.800000
     5    12  1983    40169.000000
     6    12  1983    41938.000000
     7    12  1983    42572.200000
     8    12  1983    43015.200000
     9    12  1983    43610.900000
    10    12  1983    43961.000000
    11    12  1983    44515.200000
    12    12  1983    44972.200000
    13    12  1983    45638.100000
    14    12  1983    46103.100000
    15    12  1983    46780.600000
    16    12  1983    47359.400000
    17    12  1983    47730.200000
    18    12  1983    48049.700000
    19    12  1983    48424.300000
    20    12  1983    48585.500000
    21    12  1983    48693.100000
    22    12  1983    48531.700000
    23    12  1983    48370.700000
    24    12  1983    48156.500000
    25    12  1983    47836.500000
    26    12  1983    47624.000000
    27    12  1983    47518.000000
    28    12  1983    47412.200000
    29    12  1983    47412.200000
    30    12  1983    47412.200000
    31    12  1983    47412.200000
     1     1  1984    47412.200000
     2     1  1984    47518.000000
     3     1  1984    47518.000000
     4     1  1984    47518.000000
     5     1  1984    47412.200000
     6     1  1984    47571.000000
     7     1  1984    47730.200000
     8     1  1984    47889.800000
     9     1  1984    47730.200000
    10     1  1984    47518.000000
    11     1  1984    46990.500000
    12     1  1984    46362.900000
    13     1  1984    45638.100000
    14     1  1984    45023.200000
    15     1  1984    44414.100000
    16     1  1984    44111.700000
    17     1  1984    43461.500000
    18     1  1984    42965.900000
    19     1  1984    43213.200000
    20     1  1984    43312.400000
    21     1  1984    43411.700000
    22     1  1984    43511.200000
    23     1  1984    43760.700000
    24     1  1984    44011.200000
    25     1  1984    44162.000000
    26     1  1984    44262.700000
    27     1  1984    44313.100000
    28     1  1984    44414.100000
    29     1  1984    44464.600000
    30     1  1984    44464.600000
    31     1  1984    44464.600000
     1     2  1984    44464.600000
     2     2  1984    44515.200000
     3     2  1984    44972.200000
     4     2  1984    45432.500000
     5     2  1984    46155.000000
     6     2  1984    46885.500000
     7     2  1984    47677.100000
     8     2  1984    48424.300000
     9     2  1984    49125.400000
    10     2  1984    49833.600000
    11     2  1984    50770.500000
    12     2  1984    51663.400000
    13     2  1984    51944.600000
    14     2  1984    52680.900000
    15     2  1984    53137.600000
    16     2  1984    53597.100000
    17     2  1984    54291.500000
    18     2  1984    54816.400000
    19     2  1984    55344.900000
    20     2  1984    55699.100000
    21     2  1984    56114.400000
    22     2  1984    56591.700000
    23     2  1984    57192.300000
    24     2  1984    57736.600000
    25     2  1984    58345.600000
    26     2  1984    59144.100000
    27     2  1984    59887.800000
    28     2  1984    60137.200000
    29     2  1984    60324.700000
     1     3  1984    60512.600000
     2     3  1984    60700.900000
     3     3  1984    61015.700000
     4     3  1984    61521.700000
     5     3  1984    61712.200000
     6     3  1984    61966.900000
     7     3  1984    62158.300000
     8     3  1984    62478.400000
     9     3  1984    62606.700000
    10     3  1984    62863.900000
    11     3  1984    63251.100000
    12     3  1984    63380.600000
    13     3  1984    63510.200000
    14     3  1984    63640.000000
    15     3  1984    63770.000000
    16     3  1984    63900.200000
    17     3  1984    64030.500000
    18     3  1984    64161.100000
    19     3  1984    64291.800000
    20     3  1984    64291.800000
    21     3  1984    64291.800000
    22     3  1984    64291.800000
    23     3  1984    64422.700000
    24     3  1984    64422.700000
    25     3  1984    64553.900000
    26     3  1984    64422.700000
    27     3  1984    64357.300000
    28     3  1984    64291.800000
    29     3  1984    64095.800000
    30     3  1984    64030.500000
    31     3  1984    63900.200000
     1     4  1984    63900.200000
     2     4  1984    63770.000000
     3     4  1984    63640.000000
