PIMENTEIRAS	-61.046	-13.480
    10    11  1983      298.000000
    11    11  1983      302.000000
    12    11  1983      304.000000
    13    11  1983      307.000000
    14    11  1983      311.000000
    15    11  1983      312.000000
    16    11  1983      310.000000
    17    11  1983      308.000000
    18    11  1983      306.000000
    19    11  1983      308.000000
    20    11  1983      307.000000
    21    11  1983      306.000000
    22    11  1983      306.000000
    23    11  1983      308.000000
    24    11  1983      307.000000
    25    11  1983      308.000000
    26    11  1983      308.000000
    27    11  1983      312.000000
    28    11  1983      314.000000
    29    11  1983      317.000000
    30    11  1983      321.000000
     1    12  1983      324.000000
     2    12  1983      327.000000
     3    12  1983      331.000000
     4    12  1983      335.000000
     5    12  1983      339.000000
     6    12  1983      342.000000
     7    12  1983      344.000000
     8    12  1983      347.000000
     9    12  1983      351.000000
    10    12  1983      355.000000
    11    12  1983      359.000000
    12    12  1983      363.000000
    13    12  1983      367.000000
    14    12  1983      370.000000
    15    12  1983      374.000000
    16    12  1983      379.000000
    17    12  1983      382.000000
    18    12  1983      386.000000
    19    12  1983      388.000000
    20    12  1983      390.000000
    21    12  1983      392.000000
    22    12  1983      394.000000
    23    12  1983      398.000000
    24    12  1983      400.000000
    25    12  1983      402.000000
    26    12  1983      404.000000
    27    12  1983      410.000000
    28    12  1983      418.000000
    29    12  1983      422.000000
    30    12  1983      425.000000
    31    12  1983      429.000000
     1     1  1984      435.000000
     2     1  1984      440.000000
     3     1  1984      442.000000
     4     1  1984      446.000000
     5     1  1984      456.000000
     6     1  1984      463.000000
     7     1  1984      468.000000
     8     1  1984      475.000000
     9     1  1984      480.000000
    10     1  1984      485.000000
    11     1  1984      491.000000
    12     1  1984      497.000000
    13     1  1984      503.000000
    14     1  1984      508.000000
    15     1  1984      516.000000
    16     1  1984      521.000000
    17     1  1984      525.000000
    18     1  1984      529.000000
    19     1  1984      536.000000
    20     1  1984      541.000000
    21     1  1984      546.000000
    22     1  1984      552.000000
    23     1  1984      559.000000
    24     1  1984      566.000000
    25     1  1984      574.000000
    26     1  1984      582.000000
    27     1  1984      590.000000
    28     1  1984      596.000000
    29     1  1984      601.000000
    30     1  1984      603.000000
    31     1  1984      604.000000
     1     2  1984      604.000000
     2     2  1984      602.000000
     3     2  1984      602.000000
     4     2  1984      599.000000
     5     2  1984      596.000000
     6     2  1984      596.000000
     7     2  1984      598.000000
     8     2  1984      602.000000
     9     2  1984      602.000000
    10     2  1984      603.000000
    11     2  1984      604.000000
    12     2  1984      602.000000
    13     2  1984      604.000000
    14     2  1984      606.000000
    15     2  1984      608.000000
    16     2  1984      610.000000
    17     2  1984      612.000000
    18     2  1984      610.000000
    19     2  1984      610.000000
    20     2  1984      608.000000
    21     2  1984      606.000000
    22     2  1984      608.000000
    23     2  1984      608.000000
    24     2  1984      610.000000
    25     2  1984      608.000000
    26     2  1984      608.000000
    27     2  1984      606.000000
    28     2  1984      604.000000
    29     2  1984      604.000000
     1     3  1984      603.000000
     2     3  1984      607.000000
     3     3  1984      612.000000
     4     3  1984      614.000000
     5     3  1984      616.000000
     6     3  1984      616.000000
     7     3  1984      618.000000
     8     3  1984      618.000000
     9     3  1984      620.000000
    10     3  1984      620.000000
    11     3  1984      621.000000
    12     3  1984      618.000000
    13     3  1984      616.000000
    14     3  1984      616.000000
    15     3  1984      617.000000
    16     3  1984      618.000000
    17     3  1984      618.000000
    18     3  1984      620.000000
    19     3  1984      622.000000
    20     3  1984      622.000000
    21     3  1984      626.000000
    22     3  1984      636.000000
    23     3  1984      644.000000
    24     3  1984      644.000000
    25     3  1984      642.000000
    26     3  1984      642.000000
    27     3  1984      640.000000
    28     3  1984      640.000000
    29     3  1984      640.000000
    30     3  1984      639.000000
    31     3  1984      636.000000
     1     4  1984      634.000000
     2     4  1984      634.000000
     3     4  1984      640.000000
     4     4  1984      642.000000
     5     4  1984      642.000000
     6     4  1984      642.000000
     7     4  1984      642.000000
     8     4  1984      642.000000
     9     4  1984      640.000000
    10     4  1984      640.000000
    11     4  1984      642.000000
    12     4  1984      642.000000
    13     4  1984      640.000000
    14     4  1984      640.000000
    15     4  1984      637.000000
    16     4  1984      634.000000
    17     4  1984      630.000000
    18     4  1984      622.000000
    19     4  1984      618.000000
    20     4  1984      616.000000
    21     4  1984      616.000000
    22     4  1984      614.000000
    23     4  1984      614.000000
    24     4  1984      618.000000
    25     4  1984      614.000000
    26     4  1984      609.000000
    27     4  1984      606.000000
    28     4  1984      604.000000
    29     4  1984      602.000000
    30     4  1984      600.000000
     1     5  1984      598.000000
     2     5  1984      596.000000
     3     5  1984      594.000000
     4     5  1984      592.000000
     5     5  1984      588.000000
     6     5  1984      586.000000
     7     5  1984      584.000000
     8     5  1984      582.000000
     9     5  1984      580.000000
