JATUARANA	-59.678	-3.052
    22    10  1983      658.000000
    23    10  1983      656.000000
    24    10  1983      656.000000
    25    10  1983      659.000000
    26    10  1983      661.000000
    27    10  1983      664.000000
    28    10  1983      666.000000
    29    10  1983      669.000000
    30    10  1983      671.000000
    31    10  1983      674.000000
     1    11  1983      676.000000
     2    11  1983      679.000000
     3    11  1983      685.000000
     4    11  1983      689.000000
     5    11  1983      693.000000
     6    11  1983      697.000000
     7    11  1983      704.000000
     8    11  1983      712.000000
     9    11  1983      719.000000
    10    11  1983      725.000000
    11    11  1983      734.000000
    12    11  1983      743.000000
    13    11  1983      752.000000
    14    11  1983      760.000000
    15    11  1983      768.000000
    16    11  1983      776.000000
    17    11  1983      786.000000
    18    11  1983      793.000000
    19    11  1983      797.000000
    20    11  1983      801.000000
    21    11  1983      803.000000
    22    11  1983      808.000000
    23    11  1983      815.000000
    24    11  1983      819.000000
    25    11  1983      823.000000
    26    11  1983      827.000000
    27    11  1983      831.000000
    28    11  1983      834.000000
    29    11  1983      836.000000
    30    11  1983      837.000000
     1    12  1983      837.000000
     2    12  1983      837.000000
     3    12  1983      836.000000
     4    12  1983      836.000000
     5    12  1983      836.000000
     6    12  1983      836.000000
     7    12  1983      838.000000
     8    12  1983      841.000000
     9    12  1983      845.000000
    10    12  1983      847.000000
    11    12  1983      851.000000
    12    12  1983      857.000000
    13    12  1983      863.000000
    14    12  1983      872.000000
    15    12  1983      879.000000
    16    12  1983      886.000000
    17    12  1983      898.000000
    18    12  1983      912.000000
    19    12  1983      922.000000
    20    12  1983      932.000000
    21    12  1983      948.000000
    22    12  1983      956.000000
    23    12  1983      964.000000
    24    12  1983      973.000000
    25    12  1983      984.000000
    26    12  1983      995.000000
    27    12  1983     1004.000000
    28    12  1983     1011.000000
    29    12  1983     1020.000000
    30    12  1983     1027.000000
    31    12  1983     1038.000000
     1     1  1984     1046.000000
     2     1  1984     1054.000000
     3     1  1984     1062.000000
     4     1  1984     1067.000000
     5     1  1984     1071.000000
     6     1  1984     1078.000000
     7     1  1984     1087.000000
     8     1  1984     1092.000000
     9     1  1984     1099.000000
    10     1  1984     1108.000000
    11     1  1984     1118.000000
    12     1  1984     1124.000000
    13     1  1984     1132.000000
    14     1  1984     1142.000000
    15     1  1984     1150.000000
    16     1  1984     1155.000000
    17     1  1984     1160.000000
    18     1  1984     1167.000000
    19     1  1984     1174.000000
    20     1  1984     1179.000000
    21     1  1984     1183.000000
    22     1  1984     1189.000000
    23     1  1984     1194.000000
    24     1  1984     1199.000000
    25     1  1984     1202.000000
    26     1  1984     1202.000000
    27     1  1984     1206.000000
    28     1  1984     1212.000000
    29     1  1984     1216.000000
    30     1  1984     1216.000000
    31     1  1984     1219.000000
     1     2  1984     1223.000000
     2     2  1984     1226.000000
     3     2  1984     1230.000000
     4     2  1984     1236.000000
     5     2  1984     1241.000000
     6     2  1984     1247.000000
     7     2  1984     1251.000000
     8     2  1984     1258.000000
     9     2  1984     1265.000000
    10     2  1984     1269.000000
    11     2  1984     1275.000000
    12     2  1984     1279.000000
    13     2  1984     1286.000000
    14     2  1984     1292.000000
