BRASILÉIA	-68.745	-11.018
    25    11  1984      528.000000
    26    11  1984      486.000000
    27    11  1984      436.000000
    28    11  1984      395.000000
    29    11  1984      358.000000
    30    11  1984      362.000000
     1    12  1984      584.000000
     2    12  1984      427.000000
     3    12  1984      376.000000
     4    12  1984      364.000000
     5    12  1984      469.000000
     6    12  1984      560.000000
     7    12  1984      448.000000
     8    12  1984      453.000000
     9    12  1984      465.000000
    10    12  1984      828.000000
    11    12  1984      993.000000
    12    12  1984     1054.000000
    13    12  1984      790.000000
    14    12  1984      570.000000
    15    12  1984      410.000000
    16    12  1984      394.000000
    17    12  1984      392.000000
    18    12  1984      400.000000
    19    12  1984      407.000000
    20    12  1984      394.000000
    21    12  1984      391.000000
    22    12  1984      378.000000
    23    12  1984      373.000000
    24    12  1984      356.000000
    25    12  1984      386.000000
    26    12  1984      388.000000
    27    12  1984      408.000000
    28    12  1984      468.000000
    29    12  1984      553.000000
    30    12  1984      550.000000
    31    12  1984      456.000000
     1     1  1985      449.000000
     2     1  1985      416.000000
     3     1  1985      486.000000
     4     1  1985      540.000000
     5     1  1985      416.000000
     6     1  1985      452.000000
     7     1  1985      642.000000
     8     1  1985      832.000000
     9     1  1985      712.000000
    10     1  1985      546.000000
    11     1  1985      681.000000
    12     1  1985      617.000000
    13     1  1985      550.000000
    14     1  1985      512.000000
    15     1  1985      480.000000
    16     1  1985      456.000000
    17     1  1985      451.000000
    18     1  1985      574.000000
    19     1  1985      790.000000
    20     1  1985      538.000000
    21     1  1985      506.000000
    22     1  1985      492.000000
    23     1  1985      566.000000
    24     1  1985      599.000000
    25     1  1985      660.000000
    26     1  1985      560.000000
    27     1  1985      504.000000
    28     1  1985      613.000000
    29     1  1985      558.000000
    30     1  1985      501.000000
    31     1  1985      460.000000
     1     2  1985      429.000000
     2     2  1985      407.000000
     3     2  1985      386.000000
     4     2  1985      370.000000
     5     2  1985      355.000000
     6     2  1985      376.000000
     7     2  1985      389.000000
     8     2  1985      399.000000
     9     2  1985      413.000000
    10     2  1985      432.000000
    11     2  1985      464.000000
    12     2  1985      459.000000
    13     2  1985      443.000000
    14     2  1985      434.000000
    15     2  1985      418.000000
    16     2  1985      408.000000
    17     2  1985      418.000000
    18     2  1985      430.000000
    19     2  1985      448.000000
    20     2  1985      473.000000
    21     2  1985      456.000000
    22     2  1985      474.000000
    23     2  1985      561.000000
    24     2  1985      656.000000
    25     2  1985      586.000000
    26     2  1985      528.000000
    27     2  1985      668.000000
    28     2  1985      728.000000
