CACHOEIRAMORENA	-59.335	-2.114
    21    10  1983      321.000000
    22    10  1983      319.000000
    23    10  1983      319.000000
    24    10  1983      321.000000
    25    10  1983      321.000000
    26    10  1983      319.000000
    27    10  1983      314.000000
    28    10  1983      310.000000
    29    10  1983      312.000000
    30    10  1983      324.000000
    31    10  1983      337.000000
     1    11  1983      339.000000
     2    11  1983      335.000000
     3    11  1983      333.000000
     4    11  1983      327.000000
     5    11  1983      319.000000
     6    11  1983      314.000000
     7    11  1983      309.000000
     8    11  1983      308.000000
     9    11  1983      307.000000
    10    11  1983      306.000000
    11    11  1983      305.000000
    12    11  1983      304.000000
    13    11  1983      303.000000
    14    11  1983      306.000000
    15    11  1983      307.000000
    16    11  1983      311.000000
    17    11  1983      311.000000
    18    11  1983      317.000000
    19    11  1983      318.000000
    20    11  1983      314.000000
    21    11  1983      308.000000
    22    11  1983      307.000000
    23    11  1983      296.000000
    24    11  1983      292.000000
    25    11  1983      281.000000
    26    11  1983      278.000000
    27    11  1983      278.000000
    28    11  1983      283.000000
    29    11  1983      289.000000
    30    11  1983      305.000000
     1    12  1983      324.000000
     2    12  1983      325.000000
     3    12  1983      327.000000
     4    12  1983      327.000000
     5    12  1983      326.000000
     6    12  1983      328.000000
     7    12  1983      329.000000
     8    12  1983      330.000000
     9    12  1983      334.000000
    10    12  1983      352.000000
    11    12  1983      360.000000
    12    12  1983      378.000000
    13    12  1983      385.000000
    14    12  1983      384.000000
    15    12  1983      384.000000
    16    12  1983      384.000000
    17    12  1983      380.000000
    18    12  1983      375.000000
    19    12  1983      368.000000
    20    12  1983      358.000000
    21    12  1983      348.000000
    22    12  1983      340.000000
    23    12  1983      336.000000
    24    12  1983      344.000000
    25    12  1983      354.000000
    26    12  1983      357.000000
    27    12  1983      354.000000
    28    12  1983      355.000000
    29    12  1983      359.000000
    30    12  1983      361.000000
    31    12  1983      364.000000
     1     1  1984      381.000000
     2     1  1984      384.000000
     3     1  1984      400.000000
     4     1  1984      400.000000
     5     1  1984      399.000000
     6     1  1984      403.000000
     7     1  1984      415.000000
     8     1  1984      431.000000
     9     1  1984      438.000000
    10     1  1984      440.000000
    11     1  1984      439.000000
    12     1  1984      432.000000
    13     1  1984      419.000000
    14     1  1984      405.000000
    15     1  1984      396.000000
    16     1  1984      385.000000
    17     1  1984      381.000000
    18     1  1984      381.000000
    19     1  1984      386.000000
    20     1  1984      387.000000
    21     1  1984      391.000000
    22     1  1984      398.000000
    23     1  1984      410.000000
    24     1  1984      416.000000
    25     1  1984      419.000000
    26     1  1984      420.000000
    27     1  1984      418.000000
    28     1  1984      433.000000
    29     1  1984      439.000000
    30     1  1984      436.000000
    31     1  1984      434.000000
     1     2  1984      432.000000
     2     2  1984      431.000000
     3     2  1984      430.000000
     4     2  1984      428.000000
     5     2  1984      424.000000
     6     2  1984      422.000000
     7     2  1984      427.000000
     8     2  1984      432.000000
     9     2  1984      438.000000
    10     2  1984      445.000000
    11     2  1984      443.000000
    12     2  1984      442.000000
    13     2  1984      442.000000
    14     2  1984      438.000000
    15     2  1984      433.000000
    16     2  1984      429.000000
    17     2  1984      431.000000
    18     2  1984      433.000000
    19     2  1984      433.000000
    20     2  1984      431.000000
    21     2  1984      433.000000
    22     2  1984      440.000000
    23     2  1984      439.000000
    24     2  1984      440.000000
    25     2  1984      443.000000
    26     2  1984      441.000000
    27     2  1984      439.000000
    28     2  1984      437.000000
    29     2  1984      434.000000
     1     3  1984      436.000000
     2     3  1984      436.000000
     3     3  1984      434.000000
     4     3  1984      436.000000
     5     3  1984      440.000000
     6     3  1984      447.000000
     7     3  1984      446.000000
     8     3  1984      441.000000
     9     3  1984      436.000000
    10     3  1984      431.000000
    11     3  1984      423.000000
    12     3  1984      413.000000
    13     3  1984      406.000000
    14     3  1984      407.000000
    15     3  1984      407.000000
    16     3  1984      407.000000
    17     3  1984      406.000000
    18     3  1984      398.000000
    19     3  1984      388.000000
    20     3  1984      384.000000
    21     3  1984      386.000000
    22     3  1984      389.000000
    23     3  1984      394.000000
    24     3  1984      395.000000
    25     3  1984      396.000000
    26     3  1984      394.000000
    27     3  1984      390.000000
    28     3  1984      381.000000
    29     3  1984      374.000000
    30     3  1984      369.000000
    31     3  1984      367.000000
     1     4  1984      367.000000
     2     4  1984      370.000000
     3     4  1984      372.000000
     4     4  1984      374.000000
     5     4  1984      372.000000
     6     4  1984      366.000000
     7     4  1984      357.000000
     8     4  1984      349.000000
     9     4  1984      342.000000
    10     4  1984      336.000000
    11     4  1984      331.000000
    12     4  1984      334.000000
    13     4  1984      345.000000
    14     4  1984      364.000000
    15     4  1984      381.000000
    16     4  1984      395.000000
    17     4  1984      409.000000
    18     4  1984      414.000000
    19     4  1984      409.000000
    20     4  1984      398.000000
    21     4  1984      389.000000
    22     4  1984      380.000000
    23     4  1984      373.000000
    24     4  1984      371.000000
    25     4  1984      367.000000
    26     4  1984      363.000000
    27     4  1984      368.000000
    28     4  1984      373.000000
    29     4  1984      379.000000
    30     4  1984      385.000000
     1     5  1984      391.000000
     2     5  1984      395.000000
     3     5  1984      394.000000
     4     5  1984      388.000000
     5     5  1984      381.000000
     6     5  1984      379.000000
     7     5  1984      377.000000
     8     5  1984      379.000000
     9     5  1984      388.000000
    10     5  1984      401.000000
    11     5  1984      416.000000
    12     5  1984      423.000000
    13     5  1984      430.000000
    14     5  1984      429.000000
    15     5  1984      428.000000
    16     5  1984      428.000000
    17     5  1984      427.000000
    18     5  1984      425.000000
    19     5  1984      425.000000
    20     5  1984      425.000000
    21     5  1984      426.000000
    22     5  1984      430.000000
    23     5  1984      431.000000
    24     5  1984      436.000000
    25     5  1984      436.000000
    26     5  1984      440.000000
    27     5  1984      443.000000
    28     5  1984      447.000000
    29     5  1984      450.000000
    30     5  1984      450.000000
    31     5  1984      448.000000
     1     6  1984      443.000000
     2     6  1984      437.000000
     3     6  1984      427.000000
     4     6  1984      418.000000
     5     6  1984      410.000000
     6     6  1984      409.000000
     7     6  1984      413.000000
     8     6  1984      415.000000
     9     6  1984      419.000000
    10     6  1984      429.000000
    11     6  1984      429.000000
    12     6  1984      425.000000
    13     6  1984      419.000000
    14     6  1984      413.000000
    15     6  1984      404.000000
    16     6  1984      400.000000
    17     6  1984      394.000000
    18     6  1984      390.000000
    19     6  1984      385.000000
    20     6  1984      385.000000
    21     6  1984      387.000000
    22     6  1984      390.000000
    23     6  1984      391.000000
    24     6  1984      389.000000
    25     6  1984      386.000000
    26     6  1984      381.000000
    27     6  1984      380.000000
    28     6  1984      383.000000
    29     6  1984      383.000000
    30     6  1984      380.000000
     1     7  1984      375.000000
     2     7  1984      371.000000
     3     7  1984      369.000000
     4     7  1984      367.000000
     5     7  1984      367.000000
     6     7  1984      366.000000
     7     7  1984      365.000000
     8     7  1984      360.000000
     9     7  1984      355.000000
    10     7  1984      356.000000
    11     7  1984      360.000000
    12     7  1984      359.000000
    13     7  1984      359.000000
    14     7  1984      357.000000
    15     7  1984      355.000000
    16     7  1984      355.000000
    17     7  1984      358.000000
    18     7  1984      358.000000
    19     7  1984      359.000000
    20     7  1984      357.000000
    21     7  1984      363.000000
    22     7  1984      376.000000
    23     7  1984      382.000000
    24     7  1984      384.000000
    25     7  1984      383.000000
    26     7  1984      379.000000
    27     7  1984      376.000000
    28     7  1984      374.000000
    29     7  1984      369.000000
    30     7  1984      362.000000
    31     7  1984      353.000000
     1     8  1984      346.000000
     2     8  1984      340.000000
     3     8  1984      337.000000
     4     8  1984      335.000000
     5     8  1984      335.000000
     6     8  1984      332.000000
     7     8  1984      330.000000
     8     8  1984      333.000000
     9     8  1984      339.000000
    10     8  1984      342.000000
    11     8  1984      346.000000
    12     8  1984      352.000000
    13     8  1984      357.000000
    14     8  1984      359.000000
    15     8  1984      363.000000
    16     8  1984      366.000000
    17     8  1984      369.000000
    18     8  1984      372.000000
    19     8  1984      375.000000
    20     8  1984      377.000000
