JAPURÁ-ACANAUI	-66.600	-1.817
    29     2  1984     1112.000000
     1     3  1984     1123.000000
     2     3  1984     1136.000000
     3     3  1984     1150.000000
     4     3  1984     1164.000000
     5     3  1984     1175.000000
     6     3  1984     1186.000000
     7     3  1984     1194.000000
     8     3  1984     1204.000000
     9     3  1984     1212.000000
    10     3  1984     1218.000000
    11     3  1984     1224.000000
    12     3  1984     1231.000000
    13     3  1984     1234.000000
    14     3  1984     1236.000000
    15     3  1984     1236.000000
    16     3  1984     1233.000000
    17     3  1984     1228.000000
    18     3  1984     1220.000000
    19     3  1984     1212.000000
    20     3  1984     1199.000000
    21     3  1984     1184.000000
    22     3  1984     1165.000000
    23     3  1984     1143.000000
    24     3  1984     1118.000000
    25     3  1984     1090.000000
    26     3  1984     1064.000000
    27     3  1984     1038.000000
    28     3  1984     1012.000000
    29     3  1984      989.000000
    30     3  1984      966.000000
    31     3  1984      947.000000
     1     4  1984      931.000000
     2     4  1984      921.000000
     3     4  1984      918.000000
     4     4  1984      921.000000
     5     4  1984      926.000000
     6     4  1984      930.000000
     7     4  1984      937.000000
     8     4  1984      940.000000
     9     4  1984      944.000000
    10     4  1984      950.000000
    11     4  1984      959.000000
    12     4  1984      977.000000
    13     4  1984      990.000000
    14     4  1984     1005.000000
    15     4  1984     1024.000000
    16     4  1984     1044.000000
    17     4  1984     1060.000000
    18     4  1984     1074.000000
    19     4  1984     1084.000000
    20     4  1984     1091.000000
    21     4  1984     1095.000000
    22     4  1984     1100.000000
    23     4  1984     1104.000000
    24     4  1984     1112.000000
    25     4  1984     1118.000000
    26     4  1984     1129.000000
    27     4  1984     1137.000000
    28     4  1984     1146.000000
    29     4  1984     1154.000000
    30     4  1984     1160.000000
     1     5  1984     1168.000000
     2     5  1984     1175.000000
     3     5  1984     1180.000000
     4     5  1984     1186.000000
     5     5  1984     1191.000000
     6     5  1984     1196.000000
     7     5  1984     1200.000000
     8     5  1984     1206.000000
     9     5  1984     1211.000000
    10     5  1984     1217.000000
    11     5  1984     1223.000000
    12     5  1984     1230.000000
    13     5  1984     1234.000000
    14     5  1984     1239.000000
    15     5  1984     1244.000000
    16     5  1984     1246.000000
    17     5  1984     1248.000000
    18     5  1984     1250.000000
    19     5  1984     1251.000000
    20     5  1984     1250.000000
    21     5  1984     1247.000000
    22     5  1984     1245.000000
    23     5  1984     1240.000000
    24     5  1984     1238.000000
    25     5  1984     1233.000000
    26     5  1984     1228.000000
    27     5  1984     1226.000000
    28     5  1984     1223.000000
    29     5  1984     1222.000000
    30     5  1984     1221.000000
    31     5  1984     1220.000000
     1     6  1984     1218.000000
     2     6  1984     1218.000000
     3     6  1984     1218.000000
     4     6  1984     1217.000000
     5     6  1984     1216.000000
     6     6  1984     1211.000000
     7     6  1984     1208.000000
     8     6  1984     1207.000000
     9     6  1984     1204.000000
    10     6  1984     1204.000000
    11     6  1984     1202.000000
    12     6  1984     1202.000000
    13     6  1984     1208.000000
    14     6  1984     1212.000000
    15     6  1984     1214.000000
    16     6  1984     1216.000000
    17     6  1984     1218.000000
    18     6  1984     1223.000000
    19     6  1984     1226.000000
    20     6  1984     1228.000000
    21     6  1984     1230.000000
    22     6  1984     1234.000000
    23     6  1984     1235.000000
    24     6  1984     1238.000000
    25     6  1984     1242.000000
    26     6  1984     1245.000000
    27     6  1984     1248.000000
    28     6  1984     1250.000000
    29     6  1984     1258.000000
    30     6  1984     1261.000000
     1     7  1984     1262.000000
     2     7  1984     1264.000000
     3     7  1984     1266.000000
     4     7  1984     1266.000000
     5     7  1984     1268.000000
     6     7  1984     1269.000000
     7     7  1984     1270.000000
     8     7  1984     1272.000000
     9     7  1984     1273.000000
    10     7  1984     1274.000000
    11     7  1984     1276.000000
    12     7  1984     1276.000000
    13     7  1984     1276.000000
    14     7  1984     1277.000000
    15     7  1984     1277.000000
    16     7  1984     1276.000000
    17     7  1984     1276.000000
    18     7  1984     1276.000000
    19     7  1984     1277.000000
    20     7  1984     1277.000000
    21     7  1984     1277.000000
    22     7  1984     1278.000000
    23     7  1984     1276.000000
    24     7  1984     1274.000000
    25     7  1984     1272.000000
    26     7  1984     1272.000000
    27     7  1984     1271.000000
    28     7  1984     1268.000000
    29     7  1984     1267.000000
    30     7  1984     1266.000000
    31     7  1984     1264.000000
     1     8  1984     1262.000000
     2     8  1984     1262.000000
     3     8  1984     1260.000000
     4     8  1984     1261.000000
     5     8  1984     1260.000000
     6     8  1984     1260.000000
     7     8  1984     1258.000000
     8     8  1984     1256.000000
     9     8  1984     1254.000000
    10     8  1984     1252.000000
    11     8  1984     1248.000000
    12     8  1984     1246.000000
    13     8  1984     1243.000000
    14     8  1984     1238.000000
    15     8  1984     1233.000000
    16     8  1984     1229.000000
    17     8  1984     1224.000000
    18     8  1984     1220.000000
    19     8  1984     1216.000000
    20     8  1984     1211.000000
    21     8  1984     1206.000000
    22     8  1984     1202.000000
    23     8  1984     1196.000000
    24     8  1984     1192.000000
    25     8  1984     1188.000000
    26     8  1984     1186.000000
    27     8  1984     1182.000000
    28     8  1984     1178.000000
    29     8  1984     1172.000000
    30     8  1984     1166.000000
    31     8  1984     1158.000000
     1     9  1984     1151.000000
     2     9  1984     1140.000000
     3     9  1984     1130.000000
     4     9  1984     1121.000000
     5     9  1984     1110.000000
     6     9  1984     1099.000000
     7     9  1984     1088.000000
     8     9  1984     1078.000000
     9     9  1984     1068.000000
    10     9  1984     1063.000000
    11     9  1984     1056.000000
    12     9  1984     1056.000000
    13     9  1984     1055.000000
    14     9  1984     1056.000000
    15     9  1984     1060.000000
    16     9  1984     1065.000000
    17     9  1984     1070.000000
    18     9  1984     1076.000000
    19     9  1984     1082.000000
    20     9  1984     1084.000000
    21     9  1984     1081.000000
    22     9  1984     1078.000000
    23     9  1984     1074.000000
    24     9  1984     1068.000000
    25     9  1984     1063.000000
    26     9  1984     1058.000000
    27     9  1984     1056.000000
    28     9  1984     1052.000000
    29     9  1984     1050.000000
    30     9  1984     1049.000000
     1    10  1984     1045.000000
     2    10  1984     1042.000000
     3    10  1984     1038.000000
     4    10  1984     1031.000000
     5    10  1984     1024.000000
     6    10  1984     1014.000000
     7    10  1984     1002.000000
     8    10  1984      989.000000
     9    10  1984      975.000000
    10    10  1984      962.000000
    11    10  1984      952.000000
    12    10  1984      947.000000
    13    10  1984      944.000000
    14    10  1984      946.000000
    15    10  1984      952.000000
    16    10  1984      960.000000
    17    10  1984      970.000000
    18    10  1984      982.000000
    19    10  1984      992.000000
    20    10  1984      998.000000
    21    10  1984     1000.000000
    22    10  1984     1000.000000
    23    10  1984      998.000000
    24    10  1984      996.000000
    25    10  1984      994.000000
    26    10  1984      993.000000
    27    10  1984      992.000000
    28    10  1984      990.000000
    29    10  1984      990.000000
    30    10  1984      984.000000
    31    10  1984      978.000000
     1    11  1984      973.000000
     2    11  1984      968.000000
     3    11  1984      962.000000
     4    11  1984      956.000000
     5    11  1984      952.000000
     6    11  1984      944.000000
     7    11  1984      931.000000
     8    11  1984      916.000000
     9    11  1984      896.000000
    10    11  1984      876.000000
    11    11  1984      864.000000
    12    11  1984      846.000000
    13    11  1984      832.000000
    14    11  1984      820.000000
    15    11  1984      810.000000
    16    11  1984      802.000000
    17    11  1984      794.000000
    18    11  1984      793.000000
    19    11  1984      804.000000
    20    11  1984      824.000000
    21    11  1984      842.000000
    22    11  1984      861.000000
    23    11  1984      878.000000
    24    11  1984      888.000000
    25    11  1984      892.000000
    26    11  1984      894.000000
    27    11  1984      889.000000
    28    11  1984      884.000000
    29    11  1984      876.000000
    30    11  1984      864.000000
     1    12  1984      856.000000
     2    12  1984      856.000000
     3    12  1984      862.000000
     4    12  1984      868.000000
     5    12  1984      874.000000
     6    12  1984      882.000000
     7    12  1984      890.000000
     8    12  1984      898.000000
     9    12  1984      906.000000
    10    12  1984      914.000000
    11    12  1984      920.000000
    12    12  1984      927.000000
    13    12  1984      930.000000
    14    12  1984      930.000000
    15    12  1984      926.000000
    16    12  1984      914.000000
    17    12  1984      902.000000
    18    12  1984      882.000000
    19    12  1984      864.000000
    20    12  1984      844.000000
    21    12  1984      828.000000
    22    12  1984      822.000000
    23    12  1984      828.000000
    24    12  1984      838.000000
    25    12  1984      850.000000
    26    12  1984      866.000000
    27    12  1984      874.000000
    28    12  1984      882.000000
    29    12  1984      888.000000
    30    12  1984      896.000000
    31    12  1984      911.000000
     1     1  1985      936.000000
     2     1  1985      968.000000
     3     1  1985      996.000000
     4     1  1985     1020.000000
     5     1  1985     1036.000000
     6     1  1985     1046.000000
     7     1  1985     1050.000000
     8     1  1985     1050.000000
     9     1  1985     1038.000000
    10     1  1985     1024.000000
    11     1  1985     1004.000000
    12     1  1985      980.000000
    13     1  1985      954.000000
    14     1  1985      918.000000
    15     1  1985      892.000000
    16     1  1985      855.000000
    17     1  1985      831.000000
    18     1  1985      799.000000
    19     1  1985      772.000000
    20     1  1985      750.000000
    21     1  1985      733.000000
    22     1  1985      716.000000
    23     1  1985      704.000000
    24     1  1985      696.000000
    25     1  1985      686.000000
    26     1  1985      677.000000
    27     1  1985      660.000000
    28     1  1985      648.000000
    29     1  1985      630.000000
    30     1  1985      616.000000
    31     1  1985      600.000000
     1     2  1985      586.000000
     2     2  1985      572.000000
     3     2  1985      556.000000
     4     2  1985      546.000000
     5     2  1985      534.000000
     6     2  1985      527.000000
     7     2  1985      522.000000
     8     2  1985      530.000000
     9     2  1985      540.000000
    10     2  1985      552.000000
    11     2  1985      564.000000
    12     2  1985      582.000000
    13     2  1985      608.000000
    14     2  1985      635.000000
    15     2  1985      646.000000
    16     2  1985      653.000000
    17     2  1985      656.000000
    18     2  1985      657.000000
    19     2  1985      656.000000
    20     2  1985      652.000000
    21     2  1985      645.000000
    22     2  1985      638.000000
    23     2  1985      630.000000
    24     2  1985      623.000000
    25     2  1985      618.000000
    26     2  1985      615.000000
    27     2  1985      620.000000
    28     2  1985      635.000000
     1     3  1985      642.000000
     2     3  1985      639.000000
     3     3  1985      634.000000
     4     3  1985      628.000000
     5     3  1985      616.000000
     6     3  1985      602.000000
     7     3  1985      596.000000
     8     3  1985      594.000000
