PALMEIRASDOJAVARI	-72.800	-5.133
    11     3  1984     1450.000000
    12     3  1984     1446.000000
    13     3  1984     1440.000000
    14     3  1984     1432.000000
    15     3  1984     1423.000000
    16     3  1984     1411.000000
    17     3  1984     1399.000000
    18     3  1984     1376.000000
    19     3  1984     1346.000000
    20     3  1984     1279.000000
    21     3  1984     1206.000000
    22     3  1984     1140.000000
    23     3  1984     1102.000000
    24     3  1984     1084.000000
    25     3  1984     1087.000000
    26     3  1984     1088.000000
    27     3  1984     1106.000000
    28     3  1984     1132.000000
    29     3  1984     1158.000000
    30     3  1984     1190.000000
    31     3  1984     1212.000000
     1     4  1984     1226.000000
     2     4  1984     1246.000000
     3     4  1984     1278.000000
     4     4  1984     1294.000000
     5     4  1984     1310.000000
     6     4  1984     1328.000000
     7     4  1984     1334.000000
     8     4  1984     1334.000000
     9     4  1984     1332.000000
    10     4  1984     1328.000000
    11     4  1984     1346.000000
    12     4  1984     1362.000000
    13     4  1984     1376.000000
    14     4  1984     1386.000000
    15     4  1984     1389.000000
    16     4  1984     1388.000000
    17     4  1984     1397.000000
    18     4  1984     1410.000000
    19     4  1984     1418.000000
    20     4  1984     1418.000000
    21     4  1984     1418.000000
    22     4  1984     1419.000000
    23     4  1984     1420.000000
    24     4  1984     1409.000000
    25     4  1984     1401.000000
    26     4  1984     1409.000000
    27     4  1984     1422.000000
    28     4  1984     1430.000000
    29     4  1984     1432.000000
    30     4  1984     1434.000000
     1     5  1984     1438.000000
     2     5  1984     1444.000000
     3     5  1984     1448.000000
     4     5  1984     1453.000000
     5     5  1984     1458.000000
     6     5  1984     1464.000000
     7     5  1984     1470.000000
     8     5  1984     1474.000000
     9     5  1984     1474.000000
    10     5  1984     1470.000000
    11     5  1984     1466.000000
    12     5  1984     1461.000000
    13     5  1984     1454.000000
    14     5  1984     1448.000000
    15     5  1984     1443.000000
    16     5  1984     1437.000000
    17     5  1984     1430.000000
    18     5  1984     1422.000000
    19     5  1984     1416.000000
    20     5  1984     1410.000000
    21     5  1984     1404.000000
    22     5  1984     1398.000000
    23     5  1984     1390.000000
    24     5  1984     1366.000000
    25     5  1984     1334.000000
    26     5  1984     1310.000000
    27     5  1984     1280.000000
    28     5  1984     1260.000000
    29     5  1984     1254.000000
    30     5  1984     1242.000000
    31     5  1984     1223.000000
     1     6  1984     1202.000000
     2     6  1984     1170.000000
     3     6  1984     1138.000000
     4     6  1984     1118.000000
     5     6  1984     1086.000000
     6     6  1984     1050.000000
     7     6  1984     1019.000000
     8     6  1984     1046.000000
     9     6  1984     1071.000000
    10     6  1984     1069.000000
    11     6  1984     1068.000000
    12     6  1984     1059.000000
    13     6  1984     1028.000000
    14     6  1984     1008.000000
    15     6  1984     1016.000000
    16     6  1984     1039.000000
    17     6  1984     1057.000000
    18     6  1984     1059.000000
    19     6  1984     1055.000000
    20     6  1984     1043.000000
    21     6  1984     1026.000000
    22     6  1984     1000.000000
    23     6  1984      989.000000
    24     6  1984     1000.000000
    25     6  1984      996.000000
    26     6  1984      979.000000
    27     6  1984      960.000000
    28     6  1984      936.000000
    29     6  1984      927.000000
    30     6  1984      926.000000
     1     7  1984      901.000000
     2     7  1984      870.000000
     3     7  1984      847.000000
     4     7  1984      832.000000
     5     7  1984      822.000000
     6     7  1984      816.000000
     7     7  1984      852.000000
     8     7  1984      912.000000
     9     7  1984      922.000000
    10     7  1984      902.000000
    11     7  1984      876.000000
    12     7  1984      857.000000
    13     7  1984      856.000000
    14     7  1984      857.000000
    15     7  1984      856.000000
    16     7  1984      849.000000
    17     7  1984      850.000000
    18     7  1984      880.000000
    19     7  1984      953.000000
    20     7  1984      994.000000
    21     7  1984      997.000000
    22     7  1984      984.000000
    23     7  1984      966.000000
    24     7  1984      946.000000
    25     7  1984      915.000000
    26     7  1984      873.000000
    27     7  1984      834.000000
    28     7  1984      791.000000
    29     7  1984      746.000000
    30     7  1984      715.000000
    31     7  1984      696.000000
     1     8  1984      688.000000
     2     8  1984      671.000000
     3     8  1984      654.000000
     4     8  1984      645.000000
     5     8  1984      667.000000
     6     8  1984      732.000000
     7     8  1984      773.000000
     8     8  1984      747.000000
     9     8  1984      708.000000
    10     8  1984      676.000000
    11     8  1984      665.000000
    12     8  1984      701.000000
    13     8  1984      780.000000
    14     8  1984      792.000000
    15     8  1984      802.000000
    16     8  1984      811.000000
    17     8  1984      812.000000
    18     8  1984      809.000000
    19     8  1984      782.000000
    20     8  1984      764.000000
    21     8  1984      801.000000
    22     8  1984      859.000000
    23     8  1984      872.000000
    24     8  1984      870.000000
    25     8  1984      872.000000
    26     8  1984      920.000000
    27     8  1984      994.000000
    28     8  1984      990.000000
    29     8  1984      957.000000
    30     8  1984      906.000000
    31     8  1984      852.000000
     1     9  1984      799.000000
     2     9  1984      753.000000
     3     9  1984      717.000000
     4     9  1984      726.000000
     5     9  1984      731.000000
     6     9  1984      716.000000
     7     9  1984      700.000000
     8     9  1984      692.000000
     9     9  1984      713.000000
    10     9  1984      772.000000
    11     9  1984      796.000000
    12     9  1984      799.000000
    13     9  1984      809.000000
    14     9  1984      827.000000
    15     9  1984      817.000000
    16     9  1984      802.000000
    17     9  1984      786.000000
    18     9  1984      786.000000
    19     9  1984      780.000000
    20     9  1984      758.000000
    21     9  1984      732.000000
    22     9  1984      700.000000
    23     9  1984      676.000000
    24     9  1984      658.000000
    25     9  1984      644.000000
    26     9  1984      638.000000
    27     9  1984      629.000000
    28     9  1984      645.000000
    29     9  1984      656.000000
    30     9  1984      650.000000
     1    10  1984      634.000000
     2    10  1984      626.000000
     3    10  1984      642.000000
     4    10  1984      658.000000
     5    10  1984      666.000000
     6    10  1984      674.000000
     7    10  1984      706.000000
     8    10  1984      758.000000
     9    10  1984      782.000000
    10    10  1984      796.000000
    11    10  1984      800.000000
    12    10  1984      811.000000
    13    10  1984      844.000000
    14    10  1984      892.000000
    15    10  1984      931.000000
    16    10  1984      985.000000
    17    10  1984     1126.000000
    18    10  1984     1214.000000
    19    10  1984     1238.000000
    20    10  1984     1233.000000
    21    10  1984     1217.000000
    22    10  1984     1197.000000
    23    10  1984     1165.000000
    24    10  1984     1140.000000
    25    10  1984     1125.000000
    26    10  1984     1124.000000
    27    10  1984     1121.000000
    28    10  1984     1106.000000
    29    10  1984     1084.000000
    30    10  1984     1051.000000
    31    10  1984     1022.000000
     1    11  1984      990.000000
     2    11  1984      942.000000
     3    11  1984      900.000000
     4    11  1984      882.000000
     5    11  1984      861.000000
     6    11  1984      836.000000
     7    11  1984      804.000000
     8    11  1984      787.000000
     9    11  1984      796.000000
    10    11  1984      806.000000
    11    11  1984      816.000000
    12    11  1984      815.000000
    13    11  1984      805.000000
    14    11  1984      798.000000
    15    11  1984      805.000000
    16    11  1984      826.000000
    17    11  1984      862.000000
