FONTEBOA	-66.062	-2.491
    23     1  1984     1708.000000
    24     1  1984     1708.000000
    25     1  1984     1708.000000
    26     1  1984     1709.000000
    27     1  1984     1710.000000
    28     1  1984     1712.000000
    29     1  1984     1712.000000
    30     1  1984     1715.000000
    31     1  1984     1718.000000
     1     2  1984     1720.000000
     2     2  1984     1723.000000
     3     2  1984     1727.000000
     4     2  1984     1730.000000
     5     2  1984     1734.000000
     6     2  1984     1740.000000
     7     2  1984     1747.000000
     8     2  1984     1758.000000
     9     2  1984     1766.000000
    10     2  1984     1774.000000
    11     2  1984     1782.000000
    12     2  1984     1793.000000
    13     2  1984     1800.000000
    14     2  1984     1812.000000
    15     2  1984     1821.000000
    16     2  1984     1830.000000
    17     2  1984     1840.000000
    18     2  1984     1848.000000
    19     2  1984     1857.000000
    20     2  1984     1866.000000
    21     2  1984     1874.000000
    22     2  1984     1882.000000
    23     2  1984     1892.000000
    24     2  1984     1902.000000
    25     2  1984     1910.000000
    26     2  1984     1918.000000
    27     2  1984     1926.000000
    28     2  1984     1931.000000
    29     2  1984     1939.000000
     1     3  1984     1947.000000
     2     3  1984     1952.000000
     3     3  1984     1958.000000
     4     3  1984     1966.000000
     5     3  1984     1972.000000
     6     3  1984     1978.000000
     7     3  1984     1981.000000
     8     3  1984     1985.000000
     9     3  1984     1990.000000
    10     3  1984     1994.000000
    11     3  1984     1998.000000
    12     3  1984     2002.000000
    13     3  1984     2005.000000
    14     3  1984     2008.000000
    15     3  1984     2010.000000
    16     3  1984     2014.000000
    17     3  1984     2016.000000
    18     3  1984     2019.000000
    19     3  1984     2022.000000
    20     3  1984     2024.000000
    21     3  1984     2024.000000
    22     3  1984     2024.000000
    23     3  1984     2025.000000
    24     3  1984     2027.000000
    25     3  1984     2028.000000
    26     3  1984     2030.000000
    27     3  1984     2032.000000
    28     3  1984     2032.000000
    29     3  1984     2032.000000
    30     3  1984     2032.000000
    31     3  1984     2032.000000
     1     4  1984     2032.000000
     2     4  1984     2032.000000
     3     4  1984     2031.000000
     4     4  1984     2030.000000
     5     4  1984     2028.000000
     6     4  1984     2027.000000
     7     4  1984     2027.000000
     8     4  1984     2026.000000
     9     4  1984     2026.000000
    10     4  1984     2026.000000
    11     4  1984     2027.000000
    12     4  1984     2030.000000
    13     4  1984     2031.000000
    14     4  1984     2034.000000
    15     4  1984     2035.000000
    16     4  1984     2038.000000
    17     4  1984     2039.000000
    18     4  1984     2041.000000
    19     4  1984     2043.000000
    20     4  1984     2045.000000
    21     4  1984     2048.000000
    22     4  1984     2048.000000
    23     4  1984     2051.000000
    24     4  1984     2054.000000
    25     4  1984     2056.000000
    26     4  1984     2059.000000
    27     4  1984     2063.000000
    28     4  1984     2066.000000
    29     4  1984     2067.000000
    30     4  1984     2068.000000
     1     5  1984     2072.000000
     2     5  1984     2075.000000
     3     5  1984     2076.000000
     4     5  1984     2078.000000
     5     5  1984     2078.000000
     6     5  1984     2079.000000
     7     5  1984     2080.000000
     8     5  1984     2082.000000
     9     5  1984     2086.000000
    10     5  1984     2088.000000
    11     5  1984     2091.000000
    12     5  1984     2094.000000
    13     5  1984     2094.000000
    14     5  1984     2094.000000
    15     5  1984     2097.000000
    16     5  1984     2098.000000
    17     5  1984     2098.000000
    18     5  1984     2099.000000
    19     5  1984     2101.000000
    20     5  1984     2102.000000
    21     5  1984     2104.000000
    22     5  1984     2104.000000
    23     5  1984     2105.000000
    24     5  1984     2106.000000
    25     5  1984     2107.000000
    26     5  1984     2108.000000
    27     5  1984     2108.000000
    28     5  1984     2106.000000
    29     5  1984     2106.000000
    30     5  1984     2106.000000
    31     5  1984     2106.000000
     1     6  1984     2106.000000
     2     6  1984     2106.000000
     3     6  1984     2106.000000
     4     6  1984     2106.000000
     5     6  1984     2106.000000
     6     6  1984     2104.000000
     7     6  1984     2104.000000
     8     6  1984     2103.000000
     9     6  1984     2102.000000
    10     6  1984     2102.000000
    11     6  1984     2101.000000
    12     6  1984     2100.000000
    13     6  1984     2099.000000
    14     6  1984     2098.000000
    15     6  1984     2096.000000
    16     6  1984     2094.000000
    17     6  1984     2092.000000
    18     6  1984     2090.000000
    19     6  1984     2090.000000
    20     6  1984     2085.000000
    21     6  1984     2083.000000
    22     6  1984     2080.000000
    23     6  1984     2076.000000
    24     6  1984     2074.000000
    25     6  1984     2072.000000
    26     6  1984     2068.000000
    27     6  1984     2064.000000
    28     6  1984     2060.000000
    29     6  1984     2058.000000
    30     6  1984     2054.000000
     1     7  1984     2050.000000
     2     7  1984     2046.000000
     3     7  1984     2042.000000
     4     7  1984     2038.000000
     5     7  1984     2035.000000
     6     7  1984     2031.000000
     7     7  1984     2028.000000
     8     7  1984     2024.000000
     9     7  1984     2018.000000
    10     7  1984     2014.000000
    11     7  1984     2008.000000
    12     7  1984     2000.000000
    13     7  1984     1990.000000
    14     7  1984     1984.000000
    15     7  1984     1980.000000
    16     7  1984     1972.000000
    17     7  1984     1967.000000
    18     7  1984     1962.000000
    19     7  1984     1957.000000
    20     7  1984     1950.000000
    21     7  1984     1940.000000
    22     7  1984     1934.000000
