GUAJARÁ-MIRIM	-65.348	-10.793
     6     3  1984     1007.000000
     7     3  1984     1010.000000
     8     3  1984     1013.000000
     9     3  1984     1014.000000
    10     3  1984     1016.000000
    11     3  1984     1020.000000
    12     3  1984     1024.000000
    13     3  1984     1027.000000
    14     3  1984     1031.000000
    15     3  1984     1035.000000
    16     3  1984     1038.000000
    17     3  1984     1042.000000
    18     3  1984     1048.000000
    19     3  1984     1054.000000
    20     3  1984     1059.000000
    21     3  1984     1063.000000
    22     3  1984     1068.000000
    23     3  1984     1074.000000
    24     3  1984     1079.000000
    25     3  1984     1083.000000
    26     3  1984     1088.000000
    27     3  1984     1097.000000
    28     3  1984     1102.000000
    29     3  1984     1108.000000
    30     3  1984     1112.000000
    31     3  1984     1117.000000
     1     4  1984     1122.000000
     2     4  1984     1129.000000
     3     4  1984     1138.000000
     4     4  1984     1145.000000
     5     4  1984     1151.000000
     6     4  1984     1156.000000
     7     4  1984     1164.000000
     8     4  1984     1169.000000
     9     4  1984     1173.000000
    10     4  1984     1177.000000
    11     4  1984     1180.000000
    12     4  1984     1183.000000
    13     4  1984     1188.000000
    14     4  1984     1192.000000
    15     4  1984     1193.000000
    16     4  1984     1195.000000
    17     4  1984     1198.000000
    18     4  1984     1200.000000
    19     4  1984     1201.000000
    20     4  1984     1202.000000
    21     4  1984     1202.000000
    22     4  1984     1203.000000
    23     4  1984     1204.000000
    24     4  1984     1205.000000
    25     4  1984     1206.000000
    26     4  1984     1207.000000
    27     4  1984     1208.000000
    28     4  1984     1208.000000
    29     4  1984     1208.000000
    30     4  1984     1208.000000
     1     5  1984     1208.000000
     2     5  1984     1208.000000
     3     5  1984     1208.000000
     4     5  1984     1208.000000
     5     5  1984     1207.000000
     6     5  1984     1206.000000
     7     5  1984     1205.000000
     8     5  1984     1205.000000
     9     5  1984     1205.000000
    10     5  1984     1204.000000
    11     5  1984     1202.000000
    12     5  1984     1200.000000
    13     5  1984     1198.000000
    14     5  1984     1194.000000
    15     5  1984     1192.000000
    16     5  1984     1190.000000
    17     5  1984     1188.000000
    18     5  1984     1184.000000
    19     5  1984     1182.000000
    20     5  1984     1178.000000
    21     5  1984     1175.000000
    22     5  1984     1171.000000
    23     5  1984     1168.000000
    24     5  1984     1164.000000
    25     5  1984     1160.000000
    26     5  1984     1156.000000
    27     5  1984     1151.000000
    28     5  1984     1147.000000
    29     5  1984     1143.000000
    30     5  1984     1137.000000
    31     5  1984     1132.000000
     1     6  1984     1126.000000
     2     6  1984     1120.000000
     3     6  1984     1114.000000
     4     6  1984     1109.000000
     5     6  1984     1102.000000
     6     6  1984     1095.000000
     7     6  1984     1088.000000
     8     6  1984     1080.000000
     9     6  1984     1074.000000
    10     6  1984     1066.000000
    11     6  1984     1058.000000
    12     6  1984     1045.000000
    13     6  1984     1038.000000
    14     6  1984     1031.000000
    15     6  1984     1024.000000
    16     6  1984     1013.000000
    17     6  1984     1006.000000
    18     6  1984      996.000000
    19     6  1984      986.000000
    20     6  1984      977.000000
    21     6  1984      966.000000
    22     6  1984      956.000000
    23     6  1984      946.000000
    24     6  1984      933.000000
    25     6  1984      923.000000
    26     6  1984      913.000000
    27     6  1984      903.000000
    28     6  1984      895.000000
    29     6  1984      884.000000
    30     6  1984      875.000000
     1     7  1984      866.000000
     2     7  1984      856.000000
     3     7  1984      848.000000
     4     7  1984      839.000000
     5     7  1984      832.000000
     6     7  1984      825.000000
     7     7  1984      817.000000
     8     7  1984      810.000000
     9     7  1984      803.000000
    10     7  1984      794.000000
    11     7  1984      787.000000
    12     7  1984      779.000000
    13     7  1984      771.000000
    14     7  1984      762.000000
    15     7  1984      752.000000
    16     7  1984      744.000000
    17     7  1984      736.000000
    18     7  1984      729.000000
    19     7  1984      723.000000
    20     7  1984      719.000000
    21     7  1984      715.000000
    22     7  1984      712.000000
    23     7  1984      707.000000
    24     7  1984      701.000000
    25     7  1984      695.000000
    26     7  1984      689.000000
    27     7  1984      683.000000
    28     7  1984      676.000000
    29     7  1984      671.000000
    30     7  1984      663.000000
    31     7  1984      655.000000
     1     8  1984      646.000000
     2     8  1984      636.000000
     3     8  1984      626.000000
     4     8  1984      614.000000
     5     8  1984      604.000000
     6     8  1984      594.000000
     7     8  1984      584.000000
     8     8  1984      575.000000
     9     8  1984      567.000000
    10     8  1984      559.000000
    11     8  1984      550.000000
    12     8  1984      542.000000
    13     8  1984      534.000000
    14     8  1984      530.000000
    15     8  1984      524.000000
    16     8  1984      520.000000
    17     8  1984      518.000000
    18     8  1984      522.000000
    19     8  1984      526.000000
    20     8  1984      530.000000
    21     8  1984      530.000000
    22     8  1984      530.000000
    23     8  1984      526.000000
    24     8  1984      524.000000
    25     8  1984      519.000000
    26     8  1984      508.000000
    27     8  1984      502.000000
    28     8  1984      498.000000
    29     8  1984      492.000000
    30     8  1984      486.000000
    31     8  1984      480.000000
