COLOCAÇÃOCAXIASNOVO	-69.000	-5.400
    12    11  1984      787.000000
    13    11  1984      823.000000
    14    11  1984      844.000000
    15    11  1984      837.000000
    16    11  1984      814.000000
    17    11  1984      793.000000
    18    11  1984      765.000000
    19    11  1984      772.000000
    20    11  1984      792.000000
    21    11  1984      805.000000
    22    11  1984      804.000000
    23    11  1984      784.000000
    24    11  1984      736.000000
    25    11  1984      734.000000
    26    11  1984      765.000000
    27    11  1984      772.000000
    28    11  1984      794.000000
    29    11  1984      818.000000
    30    11  1984      852.000000
     1    12  1984      894.000000
     2    12  1984      904.000000
     3    12  1984      897.000000
     4    12  1984      915.000000
     5    12  1984      940.000000
     6    12  1984      960.000000
     7    12  1984      970.000000
     8    12  1984      980.000000
     9    12  1984      987.000000
    10    12  1984      981.000000
    11    12  1984      970.000000
    12    12  1984      966.000000
    13    12  1984      975.000000
    14    12  1984      992.000000
    15    12  1984     1016.000000
    16    12  1984     1042.000000
    17    12  1984     1054.000000
    18    12  1984     1070.000000
    19    12  1984     1103.000000
    20    12  1984     1115.000000
    21    12  1984     1122.000000
    22    12  1984     1126.000000
    23    12  1984     1128.000000
    24    12  1984     1129.000000
    25    12  1984     1130.000000
    26    12  1984     1130.000000
    27    12  1984     1133.000000
    28    12  1984     1138.000000
    29    12  1984     1143.000000
    30    12  1984     1150.000000
    31    12  1984     1151.000000
     1     1  1985     1152.000000
     2     1  1985     1152.000000
     3     1  1985     1154.000000
     4     1  1985     1153.000000
     5     1  1985     1156.000000
     6     1  1985     1156.000000
     7     1  1985     1154.000000
     8     1  1985     1150.000000
     9     1  1985     1138.000000
    10     1  1985     1118.000000
    11     1  1985     1086.000000
    12     1  1985     1041.000000
    13     1  1985      987.000000
    14     1  1985      974.000000
    15     1  1985      995.000000
    16     1  1985     1020.000000
    17     1  1985     1036.000000
    18     1  1985     1050.000000
    19     1  1985     1062.000000
    20     1  1985     1071.000000
    21     1  1985     1077.000000
    22     1  1985     1080.000000
    23     1  1985     1078.000000
    24     1  1985     1066.000000
    25     1  1985     1026.000000
    26     1  1985      936.000000
    27     1  1985      832.000000
    28     1  1985      784.000000
    29     1  1985      747.000000
    30     1  1985      726.000000
    31     1  1985      704.000000
     1     2  1985      671.000000
     2     2  1985      662.000000
     3     2  1985      722.000000
     4     2  1985      737.000000
     5     2  1985      752.000000
     6     2  1985      779.000000
     7     2  1985      816.000000
     8     2  1985      850.000000
     9     2  1985      880.000000
    10     2  1985      896.000000
    11     2  1985      908.000000
    12     2  1985      916.000000
    13     2  1985      922.000000
    14     2  1985      930.000000
    15     2  1985      936.000000
    16     2  1985      936.000000
    17     2  1985      929.000000
    18     2  1985      923.000000
    19     2  1985      912.000000
    20     2  1985      906.000000
    21     2  1985      902.000000
    22     2  1985      898.000000
    23     2  1985      896.000000
    24     2  1985      894.000000
    25     2  1985      888.000000
    26     2  1985      883.000000
    27     2  1985      867.000000
    28     2  1985      840.000000
     1     3  1985      799.000000
     2     3  1985      762.000000
     3     3  1985      752.000000
     4     3  1985      837.000000
     5     3  1985      910.000000
     6     3  1985      948.000000
     7     3  1985     1000.000000
     8     3  1985     1040.000000
     9     3  1985     1060.000000
    10     3  1985     1069.000000
    11     3  1985     1082.000000
    12     3  1985     1099.000000
    13     3  1985     1108.000000
    14     3  1985     1108.000000
    15     3  1985     1106.000000
    16     3  1985     1103.000000
    17     3  1985     1091.000000
    18     3  1985     1072.000000
    19     3  1985     1053.000000
    20     3  1985     1036.000000
    21     3  1985     1009.000000
    22     3  1985      989.000000
    23     3  1985      970.000000
    24     3  1985      970.000000
    25     3  1985      980.000000
    26     3  1985      993.000000
