TEFÉ	-64.655	-3.376
    30    12  1983      873.000000
    31    12  1983      879.000000
     1     1  1984      883.000000
     2     1  1984      887.000000
     3     1  1984      891.000000
     4     1  1984      897.000000
     5     1  1984      903.000000
     6     1  1984      907.000000
     7     1  1984      913.000000
     8     1  1984      917.000000
     9     1  1984      921.000000
    10     1  1984      925.000000
    11     1  1984      927.000000
    12     1  1984      928.000000
    13     1  1984      928.000000
    14     1  1984      928.000000
    15     1  1984      927.000000
    16     1  1984      923.000000
    17     1  1984      919.000000
    18     1  1984      915.000000
    19     1  1984      908.000000
    20     1  1984      900.000000
    21     1  1984      893.000000
    22     1  1984      885.000000
    23     1  1984      881.000000
    24     1  1984      877.000000
    25     1  1984      872.000000
    26     1  1984      867.000000
    27     1  1984      868.000000
    28     1  1984      868.000000
    29     1  1984      868.000000
    30     1  1984      870.000000
    31     1  1984      873.000000
     1     2  1984      875.000000
     2     2  1984      879.000000
     3     2  1984      880.000000
     4     2  1984      882.000000
     5     2  1984      884.000000
     6     2  1984      887.000000
     7     2  1984      892.000000
     8     2  1984      900.000000
     9     2  1984      907.000000
    10     2  1984      913.000000
    11     2  1984      919.000000
    12     2  1984      926.000000
    13     2  1984      936.000000
    14     2  1984      950.000000
    15     2  1984      960.000000
    16     2  1984      971.000000
    17     2  1984      983.000000
    18     2  1984      992.000000
    19     2  1984     1004.000000
    20     2  1984     1011.000000
    21     2  1984     1019.000000
    22     2  1984     1026.000000
    23     2  1984     1036.000000
    24     2  1984     1046.000000
    25     2  1984     1056.000000
    26     2  1984     1067.000000
    27     2  1984     1076.000000
    28     2  1984     1082.000000
    29     2  1984     1092.000000
     1     3  1984     1101.000000
     2     3  1984     1110.000000
     3     3  1984     1118.000000
     4     3  1984     1131.000000
     5     3  1984     1140.000000
     6     3  1984     1149.000000
     7     3  1984     1156.000000
     8     3  1984     1163.000000
     9     3  1984     1173.000000
    10     3  1984     1182.000000
    11     3  1984     1187.000000
    12     3  1984     1192.000000
    13     3  1984     1198.000000
    14     3  1984     1200.000000
    15     3  1984     1205.000000
    16     3  1984     1209.000000
    17     3  1984     1212.000000
