PORTOVELHO	-63.920	-8.737
    17     3  1985     1528.000000
    18     3  1985     1538.000000
    19     3  1985     1540.000000
    20     3  1985     1534.000000
    21     3  1985     1526.000000
    22     3  1985     1509.000000
    23     3  1985     1498.000000
    24     3  1985     1492.000000
    25     3  1985     1496.000000
    26     3  1985     1502.000000
    27     3  1985     1502.000000
    28     3  1985     1496.000000
    29     3  1985     1484.000000
    30     3  1985     1474.000000
    31     3  1985     1470.000000
     1     4  1985     1468.000000
     2     4  1985     1470.000000
     3     4  1985     1468.000000
     4     4  1985     1471.000000
     5     4  1985     1479.000000
     6     4  1985     1480.000000
     7     4  1985     1480.000000
     8     4  1985     1494.000000
     9     4  1985     1516.000000
    10     4  1985     1532.000000
    11     4  1985     1543.000000
    12     4  1985     1543.000000
    13     4  1985     1536.000000
    14     4  1985     1528.000000
    15     4  1985     1517.000000
    16     4  1985     1506.000000
    17     4  1985     1503.000000
    18     4  1985     1504.000000
    19     4  1985     1503.000000
    20     4  1985     1504.000000
    21     4  1985     1496.000000
    22     4  1985     1490.000000
    23     4  1985     1492.000000
    24     4  1985     1501.000000
    25     4  1985     1520.000000
    26     4  1985     1530.000000
    27     4  1985     1530.000000
    28     4  1985     1526.000000
    29     4  1985     1526.000000
    30     4  1985     1534.000000
     1     5  1985     1548.000000
     2     5  1985     1555.000000
     3     5  1985     1557.000000
     4     5  1985     1560.000000
     5     5  1985     1564.000000
     6     5  1985     1560.000000
     7     5  1985     1546.000000
     8     5  1985     1536.000000
     9     5  1985     1522.000000
    10     5  1985     1504.000000
    11     5  1985     1487.000000
    12     5  1985     1473.000000
    13     5  1985     1458.000000
    14     5  1985     1444.000000
    15     5  1985     1433.000000
    16     5  1985     1429.000000
    17     5  1985     1428.000000
    18     5  1985     1428.000000
    19     5  1985     1424.000000
    20     5  1985     1428.000000
    21     5  1985     1439.000000
    22     5  1985     1440.000000
    23     5  1985     1432.000000
    24     5  1985     1418.000000
    25     5  1985     1409.000000
    26     5  1985     1399.000000
    27     5  1985     1391.000000
    28     5  1985     1381.000000
    29     5  1985     1372.000000
    30     5  1985     1366.000000
    31     5  1985     1358.000000
     1     6  1985     1346.000000
     2     6  1985     1336.000000
     3     6  1985     1325.000000
     4     6  1985     1314.000000
     5     6  1985     1308.000000
     6     6  1985     1308.000000
     7     6  1985     1314.000000
     8     6  1985     1310.000000
     9     6  1985     1300.000000
    10     6  1985     1290.000000
    11     6  1985     1280.000000
    12     6  1985     1264.000000
    13     6  1985     1249.000000
    14     6  1985     1234.000000
    15     6  1985     1218.000000
    16     6  1985     1205.000000
    17     6  1985     1192.000000
    18     6  1985     1172.000000
    19     6  1985     1161.000000
    20     6  1985     1147.000000
    21     6  1985     1134.000000
    22     6  1985     1120.000000
    23     6  1985     1108.000000
    24     6  1985     1096.000000
    25     6  1985     1083.000000
    26     6  1985     1070.000000
    27     6  1985     1060.000000
    28     6  1985     1046.000000
    29     6  1985     1032.000000
    30     6  1985     1023.000000
     1     7  1985     1018.000000
     2     7  1985     1009.000000
     3     7  1985      998.000000
     4     7  1985      987.000000
     5     7  1985      973.000000
     6     7  1985      962.000000
     7     7  1985      958.000000
     8     7  1985      967.000000
     9     7  1985      972.000000
    10     7  1985      967.000000
    11     7  1985      962.000000
    12     7  1985      954.000000
    13     7  1985      947.000000
    14     7  1985      938.000000
    15     7  1985      928.000000
    16     7  1985      910.000000
    17     7  1985      889.000000
    18     7  1985      870.000000
    19     7  1985      854.000000
    20     7  1985      842.000000
    21     7  1985      828.000000
    22     7  1985      810.000000
    23     7  1985      792.000000
    24     7  1985      774.000000
    25     7  1985      758.000000
    26     7  1985      742.000000
    27     7  1985      725.000000
    28     7  1985      712.000000
    29     7  1985      700.000000
    30     7  1985      688.000000
    31     7  1985      677.000000
     1     8  1985      671.000000
     2     8  1985      705.000000
     3     8  1985      746.000000
     4     8  1985      764.000000
     5     8  1985      753.000000
     6     8  1985      779.000000
     7     8  1985      826.000000
     8     8  1985      834.000000
     9     8  1985      817.000000
    10     8  1985      792.000000
    11     8  1985      767.000000
    12     8  1985      746.000000
    13     8  1985      726.000000
    14     8  1985      712.000000
    15     8  1985      700.000000
    16     8  1985      696.000000
    17     8  1985      698.000000
    18     8  1985      698.000000
    19     8  1985      694.000000
    20     8  1985      684.000000
    21     8  1985      670.000000
    22     8  1985      654.000000
    23     8  1985      638.000000
    24     8  1985      624.000000
    25     8  1985      606.000000
    26     8  1985      591.000000
    27     8  1985      581.000000
    28     8  1985      568.000000
    29     8  1985      561.000000
    30     8  1985      556.000000
    31     8  1985      554.000000
     1     9  1985      550.000000
     2     9  1985      544.000000
     3     9  1985      539.000000
     4     9  1985      546.000000
     5     9  1985      559.000000
     6     9  1985      557.000000
     7     9  1985      544.000000
     8     9  1985      528.000000
     9     9  1985      516.000000
    10     9  1985      506.000000
    11     9  1985      498.000000
    12     9  1985      492.000000
    13     9  1985      486.000000
    14     9  1985      480.000000
    15     9  1985      471.000000
    16     9  1985      466.000000
    17     9  1985      460.000000
    18     9  1985      466.000000
    19     9  1985      478.000000
    20     9  1985      495.000000
    21     9  1985      508.000000
    22     9  1985      530.000000
    23     9  1985      562.000000
    24     9  1985      582.000000
    25     9  1985      590.000000
    26     9  1985      599.000000
    27     9  1985      604.000000
    28     9  1985      602.000000
    29     9  1985      596.000000
    30     9  1985      588.000000
     1    10  1985      584.000000
     2    10  1985      594.000000
     3    10  1985      620.000000
     4    10  1985      633.000000
     5    10  1985      631.000000
     6    10  1985      622.000000
     7    10  1985      621.000000
     8    10  1985      622.000000
     9    10  1985      618.000000
    10    10  1985      612.000000
    11    10  1985      604.000000
    12    10  1985      599.000000
    13    10  1985      592.000000
    14    10  1985      578.000000
    15    10  1985      565.000000
    16    10  1985      556.000000
    17    10  1985      556.000000
    18    10  1985      562.000000
    19    10  1985      580.000000
    20    10  1985      606.000000
