MOURA	-61.635	-1.457
     8    12  1983      476.000000
     9    12  1983      475.000000
    10    12  1983      474.000000
    11    12  1983      473.000000
    12    12  1983      473.000000
    13    12  1983      476.000000
    14    12  1983      482.000000
    15    12  1983      490.000000
    16    12  1983      498.000000
    17    12  1983      507.000000
    18    12  1983      518.000000
    19    12  1983      532.000000
    20    12  1983      545.000000
    21    12  1983      557.000000
    22    12  1983      567.000000
    23    12  1983      580.000000
    24    12  1983      590.000000
    25    12  1983      600.000000
    26    12  1983      610.000000
    27    12  1983      620.000000
    28    12  1983      625.000000
    29    12  1983      632.000000
    30    12  1983      638.000000
    31    12  1983      643.000000
     1     1  1984      647.000000
     2     1  1984      651.000000
     3     1  1984      654.000000
     4     1  1984      659.000000
     5     1  1984      660.000000
     6     1  1984      662.000000
     7     1  1984      667.000000
     8     1  1984      672.000000
     9     1  1984      678.000000
    10     1  1984      683.000000
    11     1  1984      687.000000
    12     1  1984      692.000000
    13     1  1984      698.000000
    14     1  1984      703.000000
    15     1  1984      708.000000
    16     1  1984      712.000000
    17     1  1984      715.000000
    18     1  1984      719.000000
    19     1  1984      723.000000
    20     1  1984      725.000000
    21     1  1984      728.000000
    22     1  1984      730.000000
    23     1  1984      732.000000
    24     1  1984      732.000000
    25     1  1984      732.000000
    26     1  1984      734.000000
    27     1  1984      736.000000
    28     1  1984      741.000000
    29     1  1984      747.000000
    30     1  1984      751.000000
    31     1  1984      754.000000
     1     2  1984      762.000000
     2     2  1984      770.000000
     3     2  1984      777.000000
     4     2  1984      783.000000
     5     2  1984      790.000000
     6     2  1984      798.000000
     7     2  1984      806.000000
     8     2  1984      814.000000
     9     2  1984      822.000000
    10     2  1984      826.000000
    11     2  1984      830.000000
    12     2  1984      835.000000
    13     2  1984      840.000000
    14     2  1984      845.000000
    15     2  1984      849.000000
    16     2  1984      853.000000
    17     2  1984      857.000000
    18     2  1984      861.000000
    19     2  1984      865.000000
    20     2  1984      869.000000
    21     2  1984      873.000000
    22     2  1984      877.000000
    23     2  1984      881.000000
    24     2  1984      883.000000
    25     2  1984      891.000000
    26     2  1984      896.000000
    27     2  1984      900.000000
    28     2  1984      904.000000
    29     2  1984      909.000000
     1     3  1984      914.000000
     2     3  1984      919.000000
     3     3  1984      924.000000
     4     3  1984      930.000000
     5     3  1984      936.000000
     6     3  1984      942.000000
     7     3  1984      948.000000
     8     3  1984      952.000000
     9     3  1984      956.000000
    10     3  1984      960.000000
