MANOELURBANO	-69.268	-8.884
     5     2  1984     1102.000000
     6     2  1984     1123.000000
     7     2  1984     1142.000000
     8     2  1984     1148.000000
     9     2  1984     1158.000000
    10     2  1984     1165.000000
    11     2  1984     1147.000000
    12     2  1984     1130.000000
    13     2  1984     1105.000000
    14     2  1984     1095.000000
    15     2  1984     1120.000000
    16     2  1984     1146.000000
    17     2  1984     1150.000000
    18     2  1984     1150.000000
    19     2  1984     1162.000000
    20     2  1984     1172.000000
    21     2  1984     1186.000000
    22     2  1984     1210.000000
    23     2  1984     1244.000000
    24     2  1984     1276.000000
    25     2  1984     1300.000000
    26     2  1984     1320.000000
    27     2  1984     1308.000000
    28     2  1984     1295.000000
    29     2  1984     1270.000000
     1     3  1984     1230.000000
     2     3  1984     1193.000000
     3     3  1984     1156.000000
     4     3  1984     1118.000000
     5     3  1984     1082.000000
     6     3  1984     1042.000000
     7     3  1984      991.000000
     8     3  1984      960.000000
     9     3  1984      944.000000
    10     3  1984      935.000000
    11     3  1984      916.000000
    12     3  1984      910.000000
    13     3  1984      902.000000
    14     3  1984      899.000000
    15     3  1984      906.000000
    16     3  1984      917.000000
    17     3  1984      928.000000
    18     3  1984      938.000000
    19     3  1984      952.000000
    20     3  1984      960.000000
    21     3  1984      990.000000
    22     3  1984     1023.000000
    23     3  1984      996.000000
    24     3  1984      984.000000
    25     3  1984      964.000000
    26     3  1984      933.000000
    27     3  1984      905.000000
    28     3  1984      900.000000
    29     3  1984      912.000000
    30     3  1984      918.000000
    31     3  1984      931.000000
     1     4  1984      951.000000
     2     4  1984      983.000000
     3     4  1984      942.000000
     4     4  1984      945.000000
     5     4  1984      954.000000
     6     4  1984      965.000000
     7     4  1984      992.000000
     8     4  1984     1056.000000
     9     4  1984     1054.000000
    10     4  1984     1044.000000
    11     4  1984     1026.000000
    12     4  1984      988.000000
    13     4  1984      948.000000
    14     4  1984      920.000000
    15     4  1984      944.000000
    16     4  1984      953.000000
    17     4  1984      942.000000
    18     4  1984      934.000000
    19     4  1984      922.000000
    20     4  1984      905.000000
    21     4  1984      894.000000
    22     4  1984      915.000000
    23     4  1984      938.000000
    24     4  1984      946.000000
    25     4  1984      966.000000
    26     4  1984      984.000000
    27     4  1984      996.000000
    28     4  1984     1001.000000
    29     4  1984     1000.000000
    30     4  1984      989.000000
     1     5  1984      978.000000
     2     5  1984      964.000000
     3     5  1984      942.000000
     4     5  1984      915.000000
     5     5  1984      896.000000
     6     5  1984      876.000000
     7     5  1984      855.000000
     8     5  1984      810.000000
     9     5  1984      764.000000
    10     5  1984      750.000000
    11     5  1984      735.000000
    12     5  1984      725.000000
    13     5  1984      730.000000
    14     5  1984      737.000000
    15     5  1984      725.000000
    16     5  1984      704.000000
    17     5  1984      685.000000
    18     5  1984      660.000000
    19     5  1984      630.000000
    20     5  1984      612.000000
    21     5  1984      610.000000
    22     5  1984      595.000000
    23     5  1984      574.000000
    24     5  1984      564.000000
    25     5  1984      564.000000
    26     5  1984      568.000000
    27     5  1984      556.000000
    28     5  1984      545.000000
    29     5  1984      532.000000
    30     5  1984      522.000000
    31     5  1984      512.000000
     1     6  1984      508.000000
     2     6  1984      506.000000
     3     6  1984      506.000000
     4     6  1984      507.000000
     5     6  1984      516.000000
     6     6  1984      537.000000
     7     6  1984      531.000000
     8     6  1984      518.000000
     9     6  1984      506.000000
    10     6  1984      526.000000
    11     6  1984      574.000000
    12     6  1984      548.000000
    13     6  1984      536.000000
    14     6  1984      524.000000
    15     6  1984      512.000000
    16     6  1984      500.000000
    17     6  1984      497.000000
    18     6  1984      490.000000
    19     6  1984      487.000000
    20     6  1984      483.000000
    21     6  1984      481.000000
    22     6  1984      478.000000
    23     6  1984      474.000000
    24     6  1984      472.000000
    25     6  1984      474.000000
    26     6  1984      474.000000
    27     6  1984      476.000000
    28     6  1984      493.000000
    29     6  1984      510.000000
    30     6  1984      493.000000
     1     7  1984      480.000000
     2     7  1984      471.000000
     3     7  1984      470.000000
     4     7  1984      472.000000
     5     7  1984      466.000000
     6     7  1984      462.000000
     7     7  1984      453.000000
     8     7  1984      451.000000
     9     7  1984      448.000000
    10     7  1984      446.000000
    11     7  1984      444.000000
    12     7  1984      443.000000
    13     7  1984      444.000000
    14     7  1984      439.000000
    15     7  1984      438.000000
    16     7  1984      438.000000
    17     7  1984      436.000000
    18     7  1984      436.000000
    19     7  1984      437.000000
    20     7  1984      437.000000
    21     7  1984      436.000000
    22     7  1984      436.000000
    23     7  1984      434.000000
    24     7  1984      454.000000
    25     7  1984      461.000000
    26     7  1984      452.000000
    27     7  1984      442.000000
    28     7  1984      433.000000
    29     7  1984      427.000000
    30     7  1984      422.000000
    31     7  1984      418.000000
     1     8  1984      416.000000
     2     8  1984      414.000000
     3     8  1984      412.000000
     4     8  1984      410.000000
     5     8  1984      408.000000
     6     8  1984      406.000000
     7     8  1984      405.000000
     8     8  1984      406.000000
     9     8  1984      406.000000
    10     8  1984      405.000000
    11     8  1984      404.000000
    12     8  1984      404.000000
    13     8  1984      402.000000
    14     8  1984      401.000000
    15     8  1984      400.000000
    16     8  1984      398.000000
    17     8  1984      396.000000
    18     8  1984      396.000000
    19     8  1984      400.000000
    20     8  1984      404.000000
    21     8  1984      404.000000
    22     8  1984      404.000000
    23     8  1984      403.000000
    24     8  1984      402.000000
    25     8  1984      404.000000
    26     8  1984      402.000000
    27     8  1984      401.000000
    28     8  1984      400.000000
    29     8  1984      397.000000
    30     8  1984      398.000000
    31     8  1984      400.000000
     1     9  1984      402.000000
     2     9  1984      402.000000
     3     9  1984      402.000000
     4     9  1984      406.000000
     5     9  1984      414.000000
     6     9  1984      418.000000
     7     9  1984      416.000000
     8     9  1984      412.000000
