VALPARAÍSO-MONTANTE	-67.400	-8.683
    18     6  1984      628.000000
    19     6  1984      633.000000
    20     6  1984      635.000000
    21     6  1984      627.000000
    22     6  1984      615.000000
    23     6  1984      601.000000
    24     6  1984      591.000000
    25     6  1984      581.000000
    26     6  1984      572.000000
    27     6  1984      564.000000
    28     6  1984      560.000000
    29     6  1984      551.000000
    30     6  1984      544.000000
     1     7  1984      537.000000
     2     7  1984      532.000000
     3     7  1984      530.000000
     4     7  1984      527.000000
     5     7  1984      524.000000
     6     7  1984      521.000000
     7     7  1984      520.000000
     8     7  1984      519.000000
     9     7  1984      517.000000
    10     7  1984      516.000000
    11     7  1984      515.000000
    12     7  1984      513.000000
    13     7  1984      510.000000
    14     7  1984      507.000000
    15     7  1984      504.000000
    16     7  1984      499.000000
    17     7  1984      496.000000
    18     7  1984      496.000000
    19     7  1984      494.000000
    20     7  1984      490.000000
    21     7  1984      485.000000
    22     7  1984      483.000000
    23     7  1984      480.000000
    24     7  1984      477.000000
    25     7  1984      473.000000
    26     7  1984      470.000000
    27     7  1984      466.000000
    28     7  1984      466.000000
    29     7  1984      465.000000
    30     7  1984      466.000000
    31     7  1984      468.000000
     1     8  1984      467.000000
     2     8  1984      461.000000
     3     8  1984      456.000000
     4     8  1984      449.000000
     5     8  1984      446.000000
     6     8  1984      443.000000
     7     8  1984      439.000000
     8     8  1984      433.000000
     9     8  1984      431.000000
    10     8  1984      429.000000
    11     8  1984      426.000000
    12     8  1984      424.000000
    13     8  1984      421.000000
    14     8  1984      420.000000
    15     8  1984      418.000000
    16     8  1984      417.000000
    17     8  1984      414.000000
    18     8  1984      413.000000
    19     8  1984      410.000000
    20     8  1984      410.000000
    21     8  1984      408.000000
    22     8  1984      406.000000
    23     8  1984      405.000000
    24     8  1984      404.000000
    25     8  1984      405.000000
    26     8  1984      404.000000
    27     8  1984      404.000000
    28     8  1984      403.000000
    29     8  1984      402.000000
    30     8  1984      402.000000
    31     8  1984      400.000000
     1     9  1984      400.000000
     2     9  1984      400.000000
     3     9  1984      402.000000
     4     9  1984      404.000000
     5     9  1984      402.000000
     6     9  1984      402.000000
     7     9  1984      402.000000
     8     9  1984      400.000000
     9     9  1984      404.000000
    10     9  1984      408.000000
    11     9  1984      410.000000
    12     9  1984      415.000000
    13     9  1984      418.000000
    14     9  1984      420.000000
    15     9  1984      423.000000
    16     9  1984      427.000000
    17     9  1984      422.000000
    18     9  1984      418.000000
    19     9  1984      418.000000
    20     9  1984      418.000000
    21     9  1984      422.000000
    22     9  1984      423.000000
    23     9  1984      421.000000
    24     9  1984      419.000000
    25     9  1984      422.000000
    26     9  1984      435.000000
    27     9  1984      437.000000
    28     9  1984      435.000000
    29     9  1984      432.000000
    30     9  1984      439.000000
     1    10  1984      454.000000
     2    10  1984      457.000000
     3    10  1984      459.000000
     4    10  1984      460.000000
     5    10  1984      457.000000
     6    10  1984      453.000000
     7    10  1984      449.000000
     8    10  1984      445.000000
     9    10  1984      440.000000
    10    10  1984      435.000000
    11    10  1984      434.000000
    12    10  1984      434.000000
    13    10  1984      434.000000
    14    10  1984      440.000000
    15    10  1984      444.000000
    16    10  1984      444.000000
    17    10  1984      443.000000
    18    10  1984      444.000000
    19    10  1984      470.000000
    20    10  1984      481.000000
    21    10  1984      498.000000
    22    10  1984      505.000000
    23    10  1984      513.000000
    24    10  1984      536.000000
    25    10  1984      555.000000
    26    10  1984      567.000000
    27    10  1984      574.000000
    28    10  1984      599.000000
    29    10  1984      640.000000
    30    10  1984      665.000000
    31    10  1984      685.000000
     1    11  1984      740.000000
     2    11  1984      808.000000
     3    11  1984      836.000000
     4    11  1984      816.000000
     5    11  1984      791.000000
     6    11  1984      793.000000
     7    11  1984      832.000000
     8    11  1984      859.000000
     9    11  1984      861.000000
    10    11  1984      856.000000
    11    11  1984      834.000000
    12    11  1984      849.000000
    13    11  1984      882.000000
    14    11  1984      889.000000
    15    11  1984      881.000000
    16    11  1984      910.000000
    17    11  1984      963.000000
    18    11  1984     1013.000000
    19    11  1984     1055.000000
    20    11  1984     1063.000000
    21    11  1984     1075.000000
    22    11  1984     1109.000000
    23    11  1984     1134.000000
    24    11  1984     1170.000000
    25    11  1984     1214.000000
    26    11  1984     1214.000000
    27    11  1984     1210.000000
    28    11  1984     1250.000000
    29    11  1984     1299.000000
    30    11  1984     1319.000000
     1    12  1984     1303.000000
     2    12  1984     1247.000000
     3    12  1984     1191.000000
     4    12  1984     1159.000000
     5    12  1984     1138.000000
     6    12  1984     1133.000000
     7    12  1984     1154.000000
     8    12  1984     1205.000000
     9    12  1984     1247.000000
    10    12  1984     1285.000000
    11    12  1984     1352.000000
    12    12  1984     1398.000000
    13    12  1984     1427.000000
    14    12  1984     1457.000000
    15    12  1984     1494.000000
    16    12  1984     1523.000000
    17    12  1984     1537.000000
    18    12  1984     1533.000000
    19    12  1984     1475.000000
    20    12  1984     1406.000000
    21    12  1984     1343.000000
    22    12  1984     1288.000000
    23    12  1984     1234.000000
    24    12  1984     1168.000000
    25    12  1984     1122.000000
    26    12  1984     1093.000000
    27    12  1984     1076.000000
    28    12  1984     1125.000000
    29    12  1984     1201.000000
    30    12  1984     1230.000000
    31    12  1984     1254.000000
     1     1  1985     1309.000000
     2     1  1985     1354.000000
     3     1  1985     1346.000000
     4     1  1985     1310.000000
     5     1  1985     1275.000000
     6     1  1985     1309.000000
     7     1  1985     1338.000000
     8     1  1985     1419.000000
     9     1  1985     1518.000000
    10     1  1985     1588.000000
    11     1  1985     1622.000000
    12     1  1985     1640.000000
    13     1  1985     1647.000000
    14     1  1985     1650.000000
    15     1  1985     1653.000000
    16     1  1985     1660.000000
    17     1  1985     1675.000000
    18     1  1985     1687.000000
    19     1  1985     1697.000000
    20     1  1985     1691.000000
    21     1  1985     1672.000000
    22     1  1985     1656.000000
    23     1  1985     1646.000000
    24     1  1985     1633.000000
    25     1  1985     1615.000000
    26     1  1985     1601.000000
    27     1  1985     1589.000000
    28     1  1985     1550.000000
    29     1  1985     1511.000000
    30     1  1985     1482.000000
    31     1  1985     1459.000000
     1     2  1985     1438.000000
     2     2  1985     1422.000000
     3     2  1985     1419.000000
     4     2  1985     1416.000000
     5     2  1985     1389.000000
     6     2  1985     1353.000000
     7     2  1985     1312.000000
     8     2  1985     1261.000000
     9     2  1985     1209.000000
    10     2  1985     1172.000000
    11     2  1985     1147.000000
    12     2  1985     1135.000000
    13     2  1985     1127.000000
    14     2  1985     1141.000000
    15     2  1985     1217.000000
    16     2  1985     1283.000000
    17     2  1985     1298.000000
    18     2  1985     1252.000000
    19     2  1985     1209.000000
    20     2  1985     1190.000000
    21     2  1985     1202.000000
    22     2  1985     1220.000000
    23     2  1985     1244.000000
    24     2  1985     1301.000000
    25     2  1985     1351.000000
    26     2  1985     1369.000000
    27     2  1985     1369.000000
    28     2  1985     1359.000000
     1     3  1985     1342.000000
     2     3  1985     1337.000000
     3     3  1985     1349.000000
     4     3  1985     1392.000000
     5     3  1985     1461.000000
     6     3  1985     1508.000000
     7     3  1985     1544.000000
     8     3  1985     1583.000000
     9     3  1985     1617.000000
    10     3  1985     1646.000000
    11     3  1985     1664.000000
    12     3  1985     1676.000000
    13     3  1985     1690.000000
    14     3  1985     1705.000000
    15     3  1985     1720.000000
    16     3  1985     1723.000000
    17     3  1985     1722.000000
    18     3  1985     1721.000000
    19     3  1985     1720.000000
    20     3  1985     1720.000000
    21     3  1985     1714.000000
    22     3  1985     1708.000000
    23     3  1985     1696.000000
    24     3  1985     1690.000000
    25     3  1985     1684.000000
    26     3  1985     1665.000000
    27     3  1985     1627.000000
    28     3  1985     1570.000000
    29     3  1985     1525.000000
    30     3  1985     1489.000000
    31     3  1985     1459.000000
     1     4  1985     1449.000000
     2     4  1985     1459.000000
     3     4  1985     1503.000000
     4     4  1985     1542.000000
     5     4  1985     1565.000000
     6     4  1985     1611.000000
     7     4  1985     1642.000000
     8     4  1985     1653.000000
     9     4  1985     1663.000000
    10     4  1985     1682.000000
    11     4  1985     1698.000000
    12     4  1985     1710.000000
    13     4  1985     1730.000000
    14     4  1985     1742.000000
    15     4  1985     1752.000000
    16     4  1985     1760.000000
    17     4  1985     1756.000000
    18     4  1985     1743.000000
    19     4  1985     1718.000000
    20     4  1985     1695.000000
    21     4  1985     1677.000000
    22     4  1985     1670.000000
    23     4  1985     1672.000000
    24     4  1985     1674.000000
    25     4  1985     1658.000000
    26     4  1985     1643.000000
    27     4  1985     1637.000000
    28     4  1985     1653.000000
    29     4  1985     1659.000000
    30     4  1985     1650.000000
     1     5  1985     1635.000000
     2     5  1985     1621.000000
     3     5  1985     1605.000000
     4     5  1985     1607.000000
     5     5  1985     1617.000000
     6     5  1985     1624.000000
     7     5  1985     1607.000000
     8     5  1985     1555.000000
     9     5  1985     1483.000000
    10     5  1985     1415.000000
    11     5  1985     1315.000000
    12     5  1985     1232.000000
    13     5  1985     1173.000000
    14     5  1985     1127.000000
    15     5  1985     1105.000000
    16     5  1985     1085.000000
    17     5  1985     1065.000000
    18     5  1985     1050.000000
    19     5  1985     1039.000000
    20     5  1985     1034.000000
    21     5  1985     1044.000000
    22     5  1985     1050.000000
    23     5  1985     1035.000000
    24     5  1985     1005.000000
    25     5  1985      965.000000
    26     5  1985      955.000000
    27     5  1985      936.000000
    28     5  1985      925.000000
    29     5  1985      912.000000
    30     5  1985      896.000000
    31     5  1985      877.000000
     1     6  1985      851.000000
     2     6  1985      835.000000
     3     6  1985      823.000000
     4     6  1985      807.000000
     5     6  1985      788.000000
     6     6  1985      764.000000
     7     6  1985      752.000000
     8     6  1985      740.000000
     9     6  1985      720.000000
    10     6  1985      708.000000
    11     6  1985      700.000000
    12     6  1985      695.000000
    13     6  1985      696.000000
    14     6  1985      699.000000
    15     6  1985      696.000000
    16     6  1985      685.000000
    17     6  1985      674.000000
    18     6  1985      659.000000
    19     6  1985      645.000000
    20     6  1985      629.000000
    21     6  1985      620.000000
    22     6  1985      610.000000
    23     6  1985      602.000000
    24     6  1985      594.000000
    25     6  1985      586.000000
    26     6  1985      578.000000
    27     6  1985      571.000000
    28     6  1985      565.000000
    29     6  1985      559.000000
    30     6  1985      557.000000
     1     7  1985      553.000000
     2     7  1985      550.000000
     3     7  1985      550.000000
     4     7  1985      550.000000
     5     7  1985      554.000000
     6     7  1985      558.000000
     7     7  1985      557.000000
     8     7  1985      556.000000
     9     7  1985      551.000000
    10     7  1985      548.000000
    11     7  1985      538.000000
    12     7  1985      529.000000
    13     7  1985      521.000000
    14     7  1985      520.000000
    15     7  1985      515.000000
    16     7  1985      513.000000
    17     7  1985      513.000000
    18     7  1985      521.000000
    19     7  1985      524.000000
    20     7  1985      522.000000
    21     7  1985      515.000000
    22     7  1985      511.000000
    23     7  1985      510.000000
    24     7  1985      508.000000
    25     7  1985      502.000000
    26     7  1985      494.000000
    27     7  1985      487.000000
    28     7  1985      483.000000
    29     7  1985      479.000000
    30     7  1985      476.000000
    31     7  1985      473.000000
     1     8  1985      470.000000
     2     8  1985      467.000000
     3     8  1985      464.000000
     4     8  1985      465.000000
     5     8  1985      469.000000
     6     8  1985      473.000000
     7     8  1985      475.000000
     8     8  1985      475.000000
     9     8  1985      472.000000
    10     8  1985      474.000000
    11     8  1985      477.000000
    12     8  1985      476.000000
    13     8  1985      472.000000
    14     8  1985      465.000000
    15     8  1985      461.000000
    16     8  1985      457.000000
    17     8  1985      455.000000
    18     8  1985      455.000000
    19     8  1985      458.000000
    20     8  1985      461.000000
    21     8  1985      460.000000
    22     8  1985      460.000000
    23     8  1985      459.000000
    24     8  1985      461.000000
    25     8  1985      462.000000
    26     8  1985      462.000000
    27     8  1985      463.000000
    28     8  1985      464.000000
    29     8  1985      467.000000
    30     8  1985      470.000000
    31     8  1985      470.000000
     1     9  1985      472.000000
     2     9  1985      469.000000
     3     9  1985      468.000000
     4     9  1985      468.000000
     5     9  1985      472.000000
     6     9  1985      479.000000
     7     9  1985      485.000000
     8     9  1985      487.000000
     9     9  1985      482.000000
    10     9  1985      473.000000
    11     9  1985      464.000000
    12     9  1985      460.000000
    13     9  1985      455.000000
    14     9  1985      453.000000
    15     9  1985      450.000000
    16     9  1985      447.000000
    17     9  1985      441.000000
    18     9  1985      440.000000
    19     9  1985      438.000000
    20     9  1985      437.000000
    21     9  1985      434.000000
    22     9  1985      437.000000
    23     9  1985      440.000000
    24     9  1985      446.000000
    25     9  1985      463.000000
    26     9  1985      475.000000
    27     9  1985      481.000000
    28     9  1985      480.000000
    29     9  1985      482.000000
    30     9  1985      483.000000
     1    10  1985      487.000000
     2    10  1985      491.000000
     3    10  1985      492.000000
     4    10  1985      492.000000
     5    10  1985      501.000000
     6    10  1985      517.000000
     7    10  1985      531.000000
     8    10  1985      537.000000
     9    10  1985      545.000000
    10    10  1985      554.000000
    11    10  1985      564.000000
    12    10  1985      580.000000
    13    10  1985      592.000000
    14    10  1985      588.000000
    15    10  1985      575.000000
    16    10  1985      563.000000
    17    10  1985      562.000000
    18    10  1985      577.000000
    19    10  1985      588.000000
    20    10  1985      591.000000
    21    10  1985      606.000000
    22    10  1985      634.000000
    23    10  1985      693.000000
    24    10  1985      722.000000
    25    10  1985      726.000000
    26    10  1985      725.000000
    27    10  1985      722.000000
    28    10  1985      728.000000
    29    10  1985      741.000000
    30    10  1985      749.000000
    31    10  1985      750.000000
     1    11  1985      742.000000
