SÃOPAULODEOLIVENÇA	-68.750	-3.450
    15     3  1985      934.000000
    16     3  1985      954.000000
    17     3  1985      963.000000
    18     3  1985      968.000000
    19     3  1985      973.000000
    20     3  1985      978.000000
    21     3  1985      979.000000
    22     3  1985      978.000000
    23     3  1985      976.000000
    24     3  1985      972.000000
    25     3  1985      968.000000
    26     3  1985      959.000000
    27     3  1985      952.000000
    28     3  1985      946.000000
    29     3  1985      938.000000
    30     3  1985      934.000000
    31     3  1985      928.000000
     1     4  1985      924.000000
     2     4  1985      919.000000
     3     4  1985      916.000000
     4     4  1985      914.000000
     5     4  1985      914.000000
     6     4  1985      922.000000
     7     4  1985      927.000000
     8     4  1985      936.000000
     9     4  1985      948.000000
    10     4  1985      958.000000
    11     4  1985      960.000000
    12     4  1985      965.000000
    13     4  1985      974.000000
    14     4  1985      990.000000
    15     4  1985     1004.000000
    16     4  1985     1025.000000
    17     4  1985     1037.000000
    18     4  1985     1044.000000
    19     4  1985     1052.000000
    20     4  1985     1058.000000
    21     4  1985     1062.000000
    22     4  1985     1064.000000
    23     4  1985     1067.000000
    24     4  1985     1072.000000
    25     4  1985     1076.000000
    26     4  1985     1080.000000
    27     4  1985     1082.000000
    28     4  1985     1084.000000
    29     4  1985     1086.000000
    30     4  1985     1088.000000
     1     5  1985     1090.000000
     2     5  1985     1092.000000
     3     5  1985     1095.000000
     4     5  1985     1096.000000
     5     5  1985     1098.000000
     6     5  1985     1099.000000
     7     5  1985     1099.000000
     8     5  1985     1098.000000
     9     5  1985     1097.000000
    10     5  1985     1098.000000
    11     5  1985     1095.000000
    12     5  1985     1090.000000
    13     5  1985     1085.000000
    14     5  1985     1080.000000
    15     5  1985     1072.000000
    16     5  1985     1066.000000
    17     5  1985     1062.000000
    18     5  1985     1056.000000
    19     5  1985     1050.000000
    20     5  1985     1046.000000
    21     5  1985     1041.000000
    22     5  1985     1034.000000
    23     5  1985     1030.000000
    24     5  1985     1028.000000
    25     5  1985     1025.000000
    26     5  1985     1023.000000
    27     5  1985     1023.000000
    28     5  1985     1028.000000
    29     5  1985     1034.000000
    30     5  1985     1040.000000
    31     5  1985     1046.000000
     1     6  1985     1051.000000
     2     6  1985     1058.000000
     3     6  1985     1068.000000
     4     6  1985     1074.000000
     5     6  1985     1080.000000
     6     6  1985     1084.000000
     7     6  1985     1088.000000
     8     6  1985     1088.000000
     9     6  1985     1085.000000
    10     6  1985     1079.000000
    11     6  1985     1076.000000
    12     6  1985     1072.000000
    13     6  1985     1061.000000
    14     6  1985     1048.000000
    15     6  1985     1036.000000
    16     6  1985     1022.000000
    17     6  1985     1009.000000
    18     6  1985      995.000000
    19     6  1985      982.000000
    20     6  1985      965.000000
    21     6  1985      950.000000
    22     6  1985      932.000000
    23     6  1985      915.000000
    24     6  1985      890.000000
    25     6  1985      877.000000
    26     6  1985      869.000000
    27     6  1985      866.000000
    28     6  1985      871.000000
    29     6  1985      880.000000
    30     6  1985      888.000000
     1     7  1985      896.000000
     2     7  1985      910.000000
     3     7  1985      910.000000
     4     7  1985      908.000000
     5     7  1985      906.000000
     6     7  1985      908.000000
     7     7  1985      910.000000
     8     7  1985      910.000000
     9     7  1985      909.000000
    10     7  1985      908.000000
    11     7  1985      906.000000
    12     7  1985      902.000000
    13     7  1985      898.000000
    14     7  1985      896.000000
    15     7  1985      892.000000
    16     7  1985      894.000000
    17     7  1985      894.000000
    18     7  1985      897.000000
    19     7  1985      904.000000
    20     7  1985      910.000000
    21     7  1985      916.000000
    22     7  1985      920.000000
