ÓBIDOS	-55.513	-1.919
     5     2  1984      425.000000
     6     2  1984      426.000000
     7     2  1984      426.000000
     8     2  1984      433.000000
     9     2  1984      435.000000
    10     2  1984      438.000000
    11     2  1984      440.000000
    12     2  1984      442.000000
    13     2  1984      448.000000
    14     2  1984      450.000000
    15     2  1984      456.000000
    16     2  1984      461.000000
    17     2  1984      465.000000
    18     2  1984      470.000000
    19     2  1984      476.000000
    20     2  1984      481.000000
    21     2  1984      487.000000
    22     2  1984      492.000000
    23     2  1984      493.000000
    24     2  1984      498.000000
    25     2  1984      501.000000
    26     2  1984      504.000000
    27     2  1984      506.000000
    28     2  1984      508.000000
    29     2  1984      511.000000
     1     3  1984      517.000000
     2     3  1984      524.000000
     3     3  1984      527.000000
     4     3  1984      530.000000
     5     3  1984      533.000000
     6     3  1984      543.000000
     7     3  1984      546.000000
     8     3  1984      550.000000
     9     3  1984      554.000000
    10     3  1984      556.000000
    11     3  1984      556.000000
    12     3  1984      559.000000
    13     3  1984      568.000000
    14     3  1984      569.000000
    15     3  1984      570.000000
    16     3  1984      574.000000
    17     3  1984      577.000000
    18     3  1984      579.000000
    19     3  1984      583.000000
    20     3  1984      590.000000
    21     3  1984      595.000000
    22     3  1984      600.000000
    23     3  1984      602.000000
    24     3  1984      606.000000
    25     3  1984      609.000000
    26     3  1984      610.000000
    27     3  1984      610.000000
    28     3  1984      610.000000
    29     3  1984      612.000000
    30     3  1984      613.000000
    31     3  1984      615.000000
     1     4  1984      620.000000
     2     4  1984      626.000000
     3     4  1984      630.000000
     4     4  1984      631.000000
     5     4  1984      631.000000
     6     4  1984      634.000000
     7     4  1984      636.000000
     8     4  1984      638.000000
     9     4  1984      638.000000
    10     4  1984      637.000000
    11     4  1984      639.000000
    12     4  1984      640.000000
    13     4  1984      640.000000
    14     4  1984      645.000000
    15     4  1984      648.000000
    16     4  1984      653.000000
    17     4  1984      656.000000
    18     4  1984      664.000000
    19     4  1984      667.000000
    20     4  1984      669.000000
    21     4  1984      673.000000
    22     4  1984      675.000000
    23     4  1984      676.000000
    24     4  1984      680.000000
    25     4  1984      681.000000
    26     4  1984      681.000000
    27     4  1984      687.000000
    28     4  1984      690.000000
    29     4  1984      690.000000
    30     4  1984      695.000000
     1     5  1984      697.000000
     2     5  1984      702.000000
     3     5  1984      705.000000
     4     5  1984      707.000000
     5     5  1984      709.000000
     6     5  1984      711.000000
     7     5  1984      712.000000
     8     5  1984      712.000000
     9     5  1984      715.000000
    10     5  1984      716.000000
    11     5  1984      716.000000
    12     5  1984      716.000000
    13     5  1984      717.000000
    14     5  1984      717.000000
    15     5  1984      718.000000
    16     5  1984      722.000000
    17     5  1984      724.000000
    18     5  1984      726.000000
    19     5  1984      724.000000
    20     5  1984      724.000000
    21     5  1984      723.000000
    22     5  1984      726.000000
    23     5  1984      728.000000
    24     5  1984      726.000000
    25     5  1984      724.000000
    26     5  1984      724.000000
    27     5  1984      723.000000
    28     5  1984      722.000000
    29     5  1984      723.000000
    30     5  1984      723.000000
    31     5  1984      723.000000
     1     6  1984      722.000000
     2     6  1984      723.000000
     3     6  1984      722.000000
     4     6  1984      722.000000
     5     6  1984      719.000000
     6     6  1984      717.000000
     7     6  1984      718.000000
     8     6  1984      716.000000
     9     6  1984      715.000000
    10     6  1984      712.000000
    11     6  1984      712.000000
    12     6  1984      712.000000
    13     6  1984      713.000000
    14     6  1984      710.000000
    15     6  1984      710.000000
    16     6  1984      710.000000
    17     6  1984      709.000000
    18     6  1984      708.000000
    19     6  1984      704.000000
    20     6  1984      705.000000
    21     6  1984      702.000000
    22     6  1984      699.000000
    23     6  1984      696.000000
    24     6  1984      694.000000
    25     6  1984      692.000000
    26     6  1984      690.000000
    27     6  1984      690.000000
    28     6  1984      687.000000
    29     6  1984      686.000000
    30     6  1984      685.000000
     1     7  1984      685.000000
     2     7  1984      685.000000
     3     7  1984      685.000000
     4     7  1984      684.000000
     5     7  1984      684.000000
     6     7  1984      682.000000
     7     7  1984      682.000000
     8     7  1984      680.000000
     9     7  1984      679.000000
    10     7  1984      678.000000
    11     7  1984      676.000000
    12     7  1984      673.000000
    13     7  1984      672.000000
    14     7  1984      670.000000
    15     7  1984      669.000000
    16     7  1984      666.000000
    17     7  1984      667.000000
    18     7  1984      665.000000
    19     7  1984      665.000000
    20     7  1984      662.000000
    21     7  1984      662.000000
    22     7  1984      658.000000
    23     7  1984      654.000000
    24     7  1984      651.000000
    25     7  1984      647.000000
    26     7  1984      648.000000
    27     7  1984      645.000000
    28     7  1984      643.000000
    29     7  1984      640.000000
    30     7  1984      638.000000
    31     7  1984      636.000000
     1     8  1984      634.000000
     2     8  1984      632.000000
     3     8  1984      630.000000
     4     8  1984      627.000000
     5     8  1984      623.000000
     6     8  1984      619.000000
     7     8  1984      615.000000
     8     8  1984      611.000000
     9     8  1984      607.000000
    10     8  1984      603.000000
    11     8  1984      600.000000
    12     8  1984      597.000000
    13     8  1984      592.000000
    14     8  1984      589.000000
    15     8  1984      585.000000
    16     8  1984      582.000000
    17     8  1984      577.000000
    18     8  1984      570.000000
    19     8  1984      570.000000
    20     8  1984      568.000000
    21     8  1984      565.000000
    22     8  1984      558.000000
    23     8  1984      549.000000
    24     8  1984      544.000000
    25     8  1984      539.000000
    26     8  1984      536.000000
    27     8  1984      533.000000
    28     8  1984      528.000000
    29     8  1984      524.000000
    30     8  1984      520.000000
    31     8  1984      518.000000
     1     9  1984      514.000000
     2     9  1984      511.000000
     3     9  1984      502.000000
     4     9  1984      495.000000
     5     9  1984      491.000000
     6     9  1984      487.000000
     7     9  1984      480.000000
     8     9  1984      476.000000
     9     9  1984      471.000000
    10     9  1984      466.000000
    11     9  1984      461.000000
    12     9  1984      456.000000
    13     9  1984      450.000000
    14     9  1984      445.000000
    15     9  1984      437.000000
    16     9  1984      433.000000
    17     9  1984      427.000000
    18     9  1984      419.000000
    19     9  1984      411.000000
