BERURI	-61.368	-3.885
    18    10  1983      825.000000
    19    10  1983      828.000000
    20    10  1983      836.000000
    21    10  1983      842.000000
    22    10  1983      849.000000
    23    10  1983      855.000000
    24    10  1983      861.000000
    25    10  1983      869.000000
    26    10  1983      878.000000
    27    10  1983      886.000000
    28    10  1983      892.000000
    29    10  1983      896.000000
    30    10  1983      901.000000
    31    10  1983      905.000000
     1    11  1983      909.000000
     2    11  1983      916.000000
     3    11  1983      925.000000
     4    11  1983      932.000000
     5    11  1983      937.000000
     6    11  1983      944.000000
     7    11  1983      952.000000
     8    11  1983      962.000000
     9    11  1983      971.000000
    10    11  1983      988.000000
    11    11  1983      998.000000
    12    11  1983     1007.000000
    13    11  1983     1014.000000
    14    11  1983     1024.000000
    15    11  1983     1035.000000
    16    11  1983     1045.000000
    17    11  1983     1053.000000
    18    11  1983     1059.000000
    19    11  1983     1068.000000
    20    11  1983     1075.000000
    21    11  1983     1077.000000
    22    11  1983     1079.000000
    23    11  1983     1081.000000
    24    11  1983     1085.000000
    25    11  1983     1092.000000
    26    11  1983     1097.000000
    27    11  1983     1102.000000
    28    11  1983     1104.000000
    29    11  1983     1106.000000
    30    11  1983     1106.000000
     1    12  1983     1104.000000
     2    12  1983     1103.000000
     3    12  1983     1102.000000
     4    12  1983     1102.000000
     5    12  1983     1102.000000
     6    12  1983     1105.000000
     7    12  1983     1109.000000
     8    12  1983     1115.000000
     9    12  1983     1124.000000
    10    12  1983     1131.000000
    11    12  1983     1140.000000
    12    12  1983     1149.000000
    13    12  1983     1158.000000
    14    12  1983     1170.000000
    15    12  1983     1181.000000
    16    12  1983     1194.000000
    17    12  1983     1203.000000
    18    12  1983     1208.000000
    19    12  1983     1217.000000
    20    12  1983     1224.000000
    21    12  1983     1233.000000
    22    12  1983     1243.000000
    23    12  1983     1255.000000
    24    12  1983     1269.000000
    25    12  1983     1278.000000
    26    12  1983     1288.000000
    27    12  1983     1297.000000
    28    12  1983     1303.000000
    29    12  1983     1313.000000
    30    12  1983     1323.000000
    31    12  1983     1335.000000
     1     1  1984     1342.000000
     2     1  1984     1352.000000
     3     1  1984     1359.000000
     4     1  1984     1363.000000
     5     1  1984     1370.000000
     6     1  1984     1377.000000
     7     1  1984     1384.000000
     8     1  1984     1392.000000
     9     1  1984     1398.000000
    10     1  1984     1406.000000
    11     1  1984     1412.000000
    12     1  1984     1416.000000
    13     1  1984     1420.000000
    14     1  1984     1425.000000
    15     1  1984     1432.000000
    16     1  1984     1433.000000
    17     1  1984     1438.000000
    18     1  1984     1440.000000
    19     1  1984     1442.000000
    20     1  1984     1446.000000
    21     1  1984     1448.000000
    22     1  1984     1450.000000
    23     1  1984     1452.000000
    24     1  1984     1453.000000
    25     1  1984     1453.000000
    26     1  1984     1453.000000
    27     1  1984     1454.000000
    28     1  1984     1456.000000
    29     1  1984     1458.000000
    30     1  1984     1460.000000
    31     1  1984     1464.000000
     1     2  1984     1468.000000
     2     2  1984     1470.000000
     3     2  1984     1472.000000
     4     2  1984     1474.000000
     5     2  1984     1476.000000
