CUCUÍ	-66.853	1.215
    29     9  1983     1639.000000
    30     9  1983     1623.000000
     1    10  1983     1604.000000
     2    10  1983     1584.000000
     3    10  1983     1573.000000
     4    10  1983     1568.000000
     5    10  1983     1567.000000
     6    10  1983     1563.000000
     7    10  1983     1571.000000
     8    10  1983     1578.000000
     9    10  1983     1585.000000
    10    10  1983     1587.000000
    11    10  1983     1583.000000
    12    10  1983     1576.000000
    13    10  1983     1569.000000
    14    10  1983     1556.000000
    15    10  1983     1544.000000
    16    10  1983     1536.000000
    17    10  1983     1526.000000
    18    10  1983     1515.000000
    19    10  1983     1500.000000
    20    10  1983     1492.000000
    21    10  1983     1483.000000
    22    10  1983     1476.000000
    23    10  1983     1469.000000
    24    10  1983     1460.000000
    25    10  1983     1450.000000
    26    10  1983     1443.000000
    27    10  1983     1454.000000
    28    10  1983     1477.000000
    29    10  1983     1535.000000
    30    10  1983     1566.000000
    31    10  1983     1581.000000
     1    11  1983     1589.000000
     2    11  1983     1609.000000
     3    11  1983     1623.000000
     4    11  1983     1634.000000
     5    11  1983     1644.000000
     6    11  1983     1651.000000
     7    11  1983     1657.000000
     8    11  1983     1656.000000
     9    11  1983     1654.000000
    10    11  1983     1650.000000
    11    11  1983     1642.000000
    12    11  1983     1625.000000
    13    11  1983     1603.000000
    14    11  1983     1577.000000
    15    11  1983     1552.000000
    16    11  1983     1521.000000
    17    11  1983     1508.000000
    18    11  1983     1500.000000
    19    11  1983     1494.000000
    20    11  1983     1487.000000
    21    11  1983     1481.000000
    22    11  1983     1477.000000
    23    11  1983     1471.000000
    24    11  1983     1466.000000
    25    11  1983     1459.000000
    26    11  1983     1449.000000
    27    11  1983     1448.000000
    28    11  1983     1444.000000
    29    11  1983     1456.000000
    30    11  1983     1464.000000
     1    12  1983     1472.000000
     2    12  1983     1482.000000
     3    12  1983     1488.000000
     4    12  1983     1495.000000
     5    12  1983     1497.000000
     6    12  1983     1504.000000
     7    12  1983     1516.000000
     8    12  1983     1528.000000
     9    12  1983     1546.000000
    10    12  1983     1575.000000
    11    12  1983     1613.000000
    12    12  1983     1636.000000
    13    12  1983     1640.000000
    14    12  1983     1632.000000
    15    12  1983     1622.000000
    16    12  1983     1618.000000
    17    12  1983     1617.000000
    18    12  1983     1616.000000
    19    12  1983     1612.000000
    20    12  1983     1607.000000
    21    12  1983     1600.000000
    22    12  1983     1596.000000
    23    12  1983     1593.000000
    24    12  1983     1591.000000
    25    12  1983     1591.000000
    26    12  1983     1587.000000
    27    12  1983     1584.000000
    28    12  1983     1587.000000
    29    12  1983     1593.000000
    30    12  1983     1590.000000
    31    12  1983     1562.000000
     1     1  1984     1561.000000
     2     1  1984     1546.000000
     3     1  1984     1529.000000
     4     1  1984     1525.000000
     5     1  1984     1520.000000
     6     1  1984     1513.000000
     7     1  1984     1504.000000
     8     1  1984     1490.000000
     9     1  1984     1486.000000
    10     1  1984     1479.000000
    11     1  1984     1483.000000
    12     1  1984     1470.000000
    13     1  1984     1460.000000
    14     1  1984     1450.000000
    15     1  1984     1443.000000
    16     1  1984     1438.000000
    17     1  1984     1434.000000
    18     1  1984     1442.000000
    19     1  1984     1454.000000
    20     1  1984     1471.000000
    21     1  1984     1494.000000
    22     1  1984     1518.000000
    23     1  1984     1547.000000
    24     1  1984     1575.000000
    25     1  1984     1596.000000
    26     1  1984     1603.000000
    27     1  1984     1604.000000
    28     1  1984     1608.000000
    29     1  1984     1619.000000
    30     1  1984     1633.000000
    31     1  1984     1646.000000
     1     2  1984     1651.000000
     2     2  1984     1650.000000
     3     2  1984     1649.000000
     4     2  1984     1650.000000
     5     2  1984     1652.000000
     6     2  1984     1650.000000
     7     2  1984     1649.000000
     8     2  1984     1645.000000
     9     2  1984     1641.000000
    10     2  1984     1631.000000
    11     2  1984     1618.000000
    12     2  1984     1604.000000
    13     2  1984     1594.000000
    14     2  1984     1584.000000
    15     2  1984     1575.000000
    16     2  1984     1564.000000
    17     2  1984     1555.000000
    18     2  1984     1551.000000
    19     2  1984     1557.000000
    20     2  1984     1566.000000
    21     2  1984     1576.000000
    22     2  1984     1590.000000
    23     2  1984     1605.000000
    24     2  1984     1629.000000
    25     2  1984     1651.000000
    26     2  1984     1665.000000
    27     2  1984     1675.000000
    28     2  1984     1676.000000
    29     2  1984     1674.000000
     1     3  1984     1673.000000
     2     3  1984     1666.000000
