HUMAITÁ	-63.020	-7.505
    11    10  1983     1084.000000
    12    10  1983     1079.000000
    13    10  1983     1072.000000
    14    10  1983     1068.000000
    15    10  1983     1062.000000
    16    10  1983     1056.000000
    17    10  1983     1058.000000
    18    10  1983     1062.000000
    19    10  1983     1069.000000
    20    10  1983     1074.000000
    21    10  1983     1079.000000
    22    10  1983     1083.000000
    23    10  1983     1089.000000
    24    10  1983     1094.000000
    25    10  1983     1099.000000
    26    10  1983     1104.000000
    27    10  1983     1110.000000
    28    10  1983     1114.000000
    29    10  1983     1119.000000
    30    10  1983     1132.000000
    31    10  1983     1148.000000
     1    11  1983     1160.000000
     2    11  1983     1175.000000
     3    11  1983     1187.000000
     4    11  1983     1188.000000
     5    11  1983     1177.000000
     6    11  1983     1157.000000
     7    11  1983     1146.000000
     8    11  1983     1137.000000
     9    11  1983     1131.000000
    10    11  1983     1132.000000
    11    11  1983     1152.000000
    12    11  1983     1167.000000
    13    11  1983     1183.000000
    14    11  1983     1191.000000
    15    11  1983     1198.000000
    16    11  1983     1206.000000
    17    11  1983     1225.000000
    18    11  1983     1237.000000
    19    11  1983     1248.000000
    20    11  1983     1260.000000
    21    11  1983     1272.000000
    22    11  1983     1281.000000
    23    11  1983     1294.000000
    24    11  1983     1313.000000
    25    11  1983     1328.000000
    26    11  1983     1337.000000
    27    11  1983     1343.000000
    28    11  1983     1352.000000
    29    11  1983     1358.000000
    30    11  1983     1361.000000
     1    12  1983     1366.000000
     2    12  1983     1377.000000
     3    12  1983     1391.000000
     4    12  1983     1406.000000
     5    12  1983     1424.000000
     6    12  1983     1445.000000
     7    12  1983     1469.000000
     8    12  1983     1494.000000
     9    12  1983     1516.000000
    10    12  1983     1528.000000
    11    12  1983     1541.000000
    12    12  1983     1548.000000
    13    12  1983     1543.000000
    14    12  1983     1534.000000
    15    12  1983     1522.000000
    16    12  1983     1516.000000
    17    12  1983     1512.000000
    18    12  1983     1509.000000
    19    12  1983     1505.000000
    20    12  1983     1497.000000
    21    12  1983     1482.000000
    22    12  1983     1465.000000
    23    12  1983     1458.000000
    24    12  1983     1454.000000
    25    12  1983     1449.000000
    26    12  1983     1446.000000
    27    12  1983     1460.000000
    28    12  1983     1483.000000
    29    12  1983     1506.000000
    30    12  1983     1525.000000
    31    12  1983     1533.000000
     1     1  1984     1538.000000
     2     1  1984     1544.000000
     3     1  1984     1567.000000
     4     1  1984     1584.000000
     5     1  1984     1604.000000
     6     1  1984     1633.000000
     7     1  1984     1675.000000
     8     1  1984     1724.000000
     9     1  1984     1768.000000
    10     1  1984     1794.000000
    11     1  1984     1834.000000
    12     1  1984     1866.000000
    13     1  1984     1892.000000
    14     1  1984     1935.000000
    15     1  1984     1962.000000
