BORBA	-59.597	-4.388
    13     3  1984     1920.000000
    14     3  1984     1924.000000
    15     3  1984     1928.000000
    16     3  1984     1932.000000
    17     3  1984     1936.000000
    18     3  1984     1942.000000
    19     3  1984     1948.000000
    20     3  1984     1952.000000
    21     3  1984     1956.000000
    22     3  1984     1956.000000
    23     3  1984     1962.000000
    24     3  1984     1965.000000
    25     3  1984     1966.000000
    26     3  1984     1968.000000
    27     3  1984     1970.000000
    28     3  1984     1977.000000
    29     3  1984     1983.000000
    30     3  1984     1988.000000
    31     3  1984     1996.000000
     1     4  1984     2002.000000
     2     4  1984     2004.000000
     3     4  1984     2006.000000
     4     4  1984     2010.000000
     5     4  1984     2014.000000
     6     4  1984     2018.000000
     7     4  1984     2024.000000
     8     4  1984     2027.000000
     9     4  1984     2032.000000
    10     4  1984     2037.000000
    11     4  1984     2041.000000
    12     4  1984     2045.000000
    13     4  1984     2049.000000
    14     4  1984     2053.000000
    15     4  1984     2057.000000
    16     4  1984     2061.000000
    17     4  1984     2064.000000
    18     4  1984     2069.000000
    19     4  1984     2074.000000
    20     4  1984     2079.000000
    21     4  1984     2082.000000
    22     4  1984     2085.000000
    23     4  1984     2088.000000
    24     4  1984     2093.000000
    25     4  1984     2097.000000
    26     4  1984     2102.000000
    27     4  1984     2106.000000
    28     4  1984     2110.000000
    29     4  1984     2112.000000
    30     4  1984     2115.000000
     1     5  1984     2118.000000
     2     5  1984     2120.000000
     3     5  1984     2122.000000
     4     5  1984     2124.000000
     5     5  1984     2127.000000
     6     5  1984     2130.000000
     7     5  1984     2132.000000
     8     5  1984     2134.000000
     9     5  1984     2132.000000
    10     5  1984     2133.000000
    11     5  1984     2133.000000
    12     5  1984     2134.000000
    13     5  1984     2134.000000
    14     5  1984     2134.000000
    15     5  1984     2134.000000
    16     5  1984     2134.000000
    17     5  1984     2134.000000
    18     5  1984     2132.000000
    19     5  1984     2132.000000
    20     5  1984     2130.000000
    21     5  1984     2128.000000
    22     5  1984     2126.000000
    23     5  1984     2126.000000
    24     5  1984     2126.000000
    25     5  1984     2124.000000
    26     5  1984     2118.000000
    27     5  1984     2116.000000
    28     5  1984     2111.000000
    29     5  1984     2106.000000
    30     5  1984     2102.000000
    31     5  1984     2098.000000
     1     6  1984     2095.000000
     2     6  1984     2091.000000
     3     6  1984     2086.000000
     4     6  1984     2081.000000
     5     6  1984     2077.000000
     6     6  1984     2073.000000
