GAVIÃO	-66.849	-4.839
    18     4  1993     1472.000000
    19     4  1993     1470.000000
    20     4  1993     1467.000000
    21     4  1993     1464.000000
    22     4  1993     1462.000000
    23     4  1993     1461.000000
    24     4  1993     1459.000000
    25     4  1993     1456.000000
    26     4  1993     1452.000000
    27     4  1993     1451.000000
    28     4  1993     1449.000000
    29     4  1993     1447.000000
    30     4  1993     1445.000000
     1     5  1993     1442.000000
     2     5  1993     1441.000000
     3     5  1993     1440.000000
     4     5  1993     1441.000000
     5     5  1993     1438.000000
     6     5  1993     1437.000000
     7     5  1993     1436.000000
     8     5  1993     1434.000000
     9     5  1993     1435.000000
    10     5  1993     1431.000000
    11     5  1993     1434.000000
    12     5  1993     1429.000000
    13     5  1993     1429.000000
    14     5  1993     1427.000000
    15     5  1993     1424.000000
    16     5  1993     1424.000000
    17     5  1993     1424.000000
    18     5  1993     1424.000000
    19     5  1993     1420.000000
    20     5  1993     1420.000000
    21     5  1993     1419.000000
    22     5  1993     1419.000000
    23     5  1993     1420.000000
    24     5  1993     1417.000000
    25     5  1993     1417.000000
    26     5  1993     1416.000000
    27     5  1993     1416.000000
    28     5  1993     1415.000000
    29     5  1993     1414.000000
    30     5  1993     1413.000000
    31     5  1993     1412.000000
     1     6  1993     1411.000000
     2     6  1993     1410.000000
     3     6  1993     1409.000000
     4     6  1993     1407.000000
     5     6  1993     1406.000000
     6     6  1993     1404.000000
     7     6  1993     1403.000000
     8     6  1993     1400.000000
     9     6  1993     1397.000000
    10     6  1993     1386.000000
    11     6  1993     1383.000000
    12     6  1993     1374.000000
    13     6  1993     1370.000000
    14     6  1993     1362.000000
    15     6  1993     1353.000000
    16     6  1993     1344.000000
    17     6  1993     1331.000000
    18     6  1993     1313.000000
    19     6  1993     1295.000000
    20     6  1993     1265.000000
    21     6  1993     1226.000000
    22     6  1993     1178.000000
    23     6  1993     1127.000000
    24     6  1993     1073.000000
    25     6  1993     1021.000000
    26     6  1993      975.000000
